count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
53,163559,780,164339,0.879293,0
55,162982,740,163722,0.879685,2
87,160614,640,161254,0.881297,32
112,162226,670,162896,0.880199,25
126,161202,700,161902,0.880896,14
127,161834,670,162504,0.880466,1
133,161122,580,161702,0.880951,6
146,161030,610,161640,0.881013,13
147,162821,710,163531,0.879795,1
151,162277,670,162947,0.880165,4
153,161330,650,161980,0.880809,2
161,164000,650,164650,0.878994,8
185,164501,670,165171,0.878654,24
197,167228,600,167828,0.876805,12
199,163030,580,163610,0.879653,2
207,160581,620,161201,0.881319,8
208,162163,600,162763,0.880242,1
216,160784,680,161464,0.881181,8
241,162558,600,163158,0.879973,25
247,160006,670,160676,0.881711,6
249,164669,620,165289,0.878540,2
263,159048,660,159708,0.882364,14
274,157463,580,158043,0.883447,11
299,164087,630,164717,0.878935,25
306,164215,690,164905,0.878848,7
308,161998,680,162678,0.880354,2
311,163432,609,164041,0.879379,3
323,164497,680,165177,0.878656,12
331,164028,680,164708,0.878975,8
365,162510,700,163210,0.880006,34
367,163673,670,164343,0.879216,2
370,162227,620,162847,0.880199,3
381,161342,610,161952,0.880801,11
382,161022,680,161702,0.881019,1
405,160694,620,161314,0.881242,23
415,162327,630,162957,0.880131,10
437,161988,720,162708,0.880361,22
462,161942,670,162612,0.880392,25
463,162893,620,163513,0.879746,1
478,171955,640,172595,0.873614,15
489,162759,670,163429,0.879837,11
494,167267,670,167937,0.876779,5
497,164680,670,165350,0.878532,3
499,160993,690,161683,0.881038,2
501,162936,640,163576,0.879716,2
517,166927,600,167527,0.877009,16
551,163871,700,164571,0.879081,34
552,166623,800,167423,0.877215,1
555,169165,960,170125,0.875496,3
562,162724,710,163434,0.879861,7
564,172987,660,173647,0.872919,2
587,165247,680,165927,0.878147,23
596,166359,640,166999,0.877394,9
611,160700,640,161340,0.881238,15
620,161912,610,162522,0.880413,9
627,162481,630,163111,0.880026,7
644,163573,600,164173,0.879284,17
654,161707,639,162346,0.880552,10
668,162836,680,163516,0.879784,14
693,160350,600,160950,0.881476,25
694,164261,630,164891,0.878816,1
711,162433,620,163053,0.880058,17
718,167892,620,168512,0.876356,7
725,161892,590,162482,0.880426,7
736,162326,670,162996,0.880131,11
740,164071,650,164721,0.878945,4
743,162405,670,163075,0.880077,3
748,168102,700,168802,0.876214,5
767,168668,710,169378,0.875831,19
779,165661,610,166271,0.877867,12
781,169944,640,170584,0.874970,2
798,174776,760,175536,0.871716,17
801,166379,780,167159,0.877380,3
824,164872,680,165552,0.878402,23
825,163082,660,163742,0.879617,1
839,162361,660,163021,0.880107,14
882,164130,710,164840,0.878905,43
895,165758,660,166418,0.877801,13
898,164062,610,164672,0.878952,3
905,163401,740,164141,0.879400,7
907,166134,629,166763,0.877546,2
917,163046,600,163646,0.879642,10
952,160234,750,160984,0.881556,35
953,162200,600,162800,0.880217,1
956,159578,640,160218,0.882003,3
997,163225,780,164005,0.879520,41
