count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
52,192073,850,192923,0.860197,0
61,194619,750,195369,0.858519,9
63,194544,650,195194,0.858568,2
67,191486,650,192136,0.860585,4
69,192583,680,193263,0.859861,2
78,198389,650,199039,0.856041,9
79,193652,610,194262,0.859156,1
90,193565,640,194205,0.859213,11
94,193307,700,194007,0.859383,4
98,196458,710,197168,0.857309,4
99,193891,700,194591,0.858998,1
103,192783,700,193483,0.859729,4
106,194072,700,194772,0.858879,3
112,194478,680,195158,0.858611,6
114,193994,720,194714,0.858930,2
116,192650,710,193360,0.859816,2
118,191306,610,191916,0.860704,2
133,196750,710,197460,0.857117,15
154,193722,750,194472,0.859110,21
160,193199,650,193849,0.859454,6
163,192558,680,193238,0.859877,3
164,194522,670,195192,0.858582,1
166,194358,740,195098,0.858690,2
167,192339,720,193059,0.860022,1
170,193069,670,193739,0.859540,3
173,191648,700,192348,0.860478,3
174,194771,690,195461,0.858418,1
177,202309,780,203089,0.853474,3
198,192322,620,192942,0.860033,21
200,194768,630,195398,0.858420,2
213,203836,680,204516,0.852477,13
218,203520,720,204240,0.852683,5
220,197577,730,198307,0.856574,2
222,193273,670,193943,0.859406,2
224,194189,690,194879,0.858802,2
226,197595,700,198295,0.856562,2
227,193248,640,193888,0.859422,1
240,193797,720,194517,0.859060,13
243,191965,640,192605,0.860269,3
247,193627,670,194297,0.859172,4
249,193913,630,194543,0.858984,2
250,199197,610,199807,0.855511,1
262,193962,650,194612,0.858951,12
276,195905,690,196595,0.857672,14
281,191909,590,192499,0.860306,5
283,194315,680,194995,0.858719,2
297,192318,600,192918,0.860036,14
298,193560,730,194290,0.859216,1
301,194419,670,195089,0.858650,3
305,201731,660,202391,0.853852,4
308,188900,580,189480,0.862295,3
313,190975,600,191575,0.860923,5
319,196601,730,197331,0.857215,6
322,198170,720,198890,0.856184,3
330,195153,710,195863,0.858167,8
336,204571,630,205201,0.851998,6
338,196977,670,197647,0.856968,2
341,194196,660,194856,0.858797,3
342,202518,700,203218,0.853337,1
345,194567,670,195237,0.858553,3
358,195854,690,196544,0.857706,13
359,195268,650,195918,0.858091,1
362,200227,1400,201627,0.854836,3
365,195584,680,196264,0.857883,3
366,196397,670,197067,0.857349,1
373,193488,610,194098,0.859264,7
374,193460,600,194060,0.859282,1
382,201456,600,202056,0.854032,8
393,194147,670,194817,0.858829,11
394,195801,700,196501,0.857741,1
402,197944,700,198644,0.856333,8
403,193818,690,194508,0.859046,1
410,194498,650,195148,0.858598,7
414,208920,630,209550,0.849168,4
425,196644,740,197384,0.857186,11
429,194266,800,195066,0.858751,4
434,196251,720,196971,0.857445,5
443,195208,680,195888,0.858131,9
444,194010,630,194640,0.858920,1
448,195644,660,196304,0.857844,4
451,197443,660,198103,0.856662,3
460,194180,620,194800,0.858808,9
461,196371,610,196981,0.857366,1
462,196025,620,196645,0.857593,1
469,197226,640,197866,0.856804,7
473,196287,630,196917,0.857421,4
484,195279,660,195939,0.858084,11
491,194839,680,195519,0.858374,7
493,192435,640,193075,0.859958,2
496,190914,620,191534,0.860963,3
501,190940,570,191510,0.860946,5
511,193410,740,194150,0.859315,10
512,195893,650,196543,0.857680,1
518,194301,650,194951,0.858728,6
523,195176,630,195806,0.858152,5
525,192742,610,193352,0.859756,2
526,194945,600,195545,0.858304,1
531,201409,660,202069,0.854062,5
533,192415,650,193065,0.859972,2
535,194431,640,195071,0.858642,2
539,193724,680,194404,0.859108,4
541,197390,680,198070,0.856696,2
545,194911,640,195551,0.858326,4
587,194176,650,194826,0.858810,42
590,197086,590,197676,0.856896,3
593,194774,730,195504,0.858417,3
594,196837,750,197587,0.857060,1
597,197666,620,198286,0.856515,3
599,195192,670,195862,0.858141,2
605,193851,660,194511,0.859025,6
613,194805,700,195505,0.858396,8
624,193128,680,193808,0.859501,11
628,193110,630,193740,0.859513,4
629,191963,570,192533,0.860270,1
639,195472,700,196172,0.857957,10
643,194273,700,194973,0.858746,4
645,206819,680,207499,0.850533,2
655,192161,630,192791,0.860139,10
661,196189,670,196859,0.857486,6
665,196551,670,197221,0.857248,4
674,196408,1330,197738,0.857342,9
677,197807,760,198567,0.856423,3
682,198642,690,199332,0.855875,5
687,203755,640,204395,0.852530,5
706,199574,690,200264,0.855264,19
708,195961,780,196741,0.857635,2
709,207374,860,208234,0.850173,1
715,195032,670,195702,0.858247,6
718,196401,690,197091,0.857346,3
724,194928,670,195598,0.858315,6
737,195986,770,196756,0.857619,13
741,204618,710,205328,0.851967,4
746,195842,710,196552,0.857714,5
750,197174,620,197794,0.856838,4
754,197557,720,198277,0.856587,4
758,197358,710,198068,0.856717,4
763,195424,660,196084,0.857989,5
780,196425,650,197075,0.857330,17
781,197336,630,197966,0.856732,1
783,198112,690,198802,0.856222,2
788,196787,690,197477,0.857092,5
792,195478,650,196128,0.857953,4
795,196148,660,196808,0.857512,3
803,194652,690,195342,0.858497,8
807,197464,770,198234,0.856648,4
810,196894,650,197544,0.857022,3
812,198079,690,198769,0.856244,2
813,204401,670,205071,0.852108,1
816,195291,660,195951,0.858076,3
820,197872,720,198592,0.856380,4
821,196725,670,197395,0.857133,1
823,196891,680,197571,0.857024,2
824,197855,680,198535,0.856391,1
835,199167,740,199907,0.855530,11
842,202728,690,203418,0.853200,7
844,196034,670,196704,0.857587,2
845,196927,660,197587,0.857000,1
853,195830,720,196550,0.857722,8
855,201886,720,202606,0.853750,2
867,195613,620,196233,0.857864,12
872,196588,670,197258,0.857223,5
873,196051,640,196691,0.857576,1
880,195551,630,196181,0.857905,7
881,200554,610,201164,0.854622,1
882,200267,700,200967,0.854810,1
883,196200,670,196870,0.857478,1
887,197601,740,198341,0.856558,4
895,196826,620,197446,0.857067,8
903,197209,590,197799,0.856815,8
904,194491,630,195121,0.858603,1
905,196775,680,197455,0.857100,1
913,197149,680,197829,0.856855,8
924,198941,650,199591,0.855679,11
941,206941,710,207651,0.850454,17
943,195877,670,196547,0.857691,2
945,195314,630,195944,0.858061,2
960,197067,630,197697,0.856908,15
961,196411,630,197041,0.857340,1
965,196633,700,197333,0.857194,4
966,194456,690,195146,0.858626,1
968,197421,650,198071,0.856676,2
975,199403,700,200103,0.855376,7
978,200651,650,201301,0.854558,3
983,196805,710,197515,0.857081,5
987,198867,650,199517,0.855727,4
988,196729,650,197379,0.857131,1
991,196289,590,196879,0.857420,3
995,197480,660,198140,0.856637,4
