count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
50,1785326905909257721,380402,166470,0.877319,0
51,1785326905909640283,380192,169113,0.875531,1
52,1785326905910022315,377072,168676,0.875826,1
53,1785326905910401037,380462,170519,0.874582,0
54,1785326905910783349,377892,168402,0.876011,0
55,1785326905911162871,376552,168495,0.875948,1
56,1785326905911540903,384902,171878,0.873666,1
57,1785326905911927485,378292,169041,0.875579,1
58,1785326905912307637,377072,166864,0.877052,0
59,1785326905912686969,379782,169507,0.875265,1
60,1785326905913068561,377122,167240,0.876797,0
61,1785326905913447423,381052,167813,0.876410,0
62,1785326905913830145,377223,168016,0.876272,1
63,1785326905914208808,381602,170958,0.874286,0
64,1785326905914592020,381622,170561,0.874553,1
65,1785326905914975052,377122,167044,0.876930,1
66,1785326905915353574,378322,167527,0.876603,0
67,1785326905915733696,384952,169970,0.874952,0
68,1785326905916121328,386032,172152,0.873481,0
69,1785326905916509240,385092,170275,0.874746,1
70,1785326905916896002,381312,167918,0.876339,0
71,1785326905917278974,381412,168111,0.876208,1
72,1785326905917662706,378923,166694,0.877167,0
73,1785326905918043659,377312,166116,0.877558,0
74,1785326905918422921,380002,166819,0.877082,1
75,1785326905918812783,380402,167712,0.876478,0
76,1785326905919194835,390292,177235,0.870066,1
77,1785326905919586947,390902,170088,0.874872,0
78,1785326905919979779,381612,168820,0.875729,0
79,1785326905920363131,382502,168343,0.876051,0
80,1785326905920747193,382093,168976,0.875623,0
81,1785326905921130906,381632,166798,0.877096,1
82,1785326905921514228,382182,166961,0.876986,0
83,1785326905921898130,382022,169454,0.875300,1
84,1785326905922281662,383702,171407,0.873983,1
85,1785326905922666884,383512,170130,0.874844,0
86,1785326905923051996,379102,166963,0.876985,1
87,1785326905923432948,383692,169356,0.875367,1
88,1785326905923818290,380752,166539,0.877272,1
89,1785326905924201222,388052,173821,0.872358,1
90,1785326905924591834,385112,170594,0.874531,1
91,1785326905924978986,377283,165897,0.877707,0
92,1785326905925357779,381392,166599,0.877231,1
93,1785326905925740911,382742,168982,0.875619,1
94,1785326905926126083,383452,167615,0.876543,0
95,1785326905926511155,382422,169398,0.875338,1
96,1785326905926895717,377912,166561,0.877257,1
97,1785326905927275249,386952,168844,0.875713,1
98,1785326905927663721,383572,168777,0.875758,1
99,1785326905928048833,376582,166400,0.877366,1
100,1785326905928426825,385202,172223,0.873433,0
101,1785326905928813727,383292,170186,0.874806,1
102,1785326905929198899,385492,172259,0.873409,0
103,1785326905929586311,383742,167872,0.876370,0
104,1785326905929971723,381963,168224,0.876132,0
105,1785326905930355286,392842,176666,0.870448,0
106,1785326905930749788,379832,167779,0.876433,1
107,1785326905931131540,378002,166172,0.877520,0
108,1785326905931512412,381762,168125,0.876199,1
109,1785326905931895814,386792,173008,0.872905,0
110,1785326905932284426,383842,167591,0.876560,0
111,1785326905932669808,382632,169114,0.875530,0
112,1785326905933054090,381582,168277,0.876096,0
113,1785326905933437652,383452,168560,0.875904,0
114,1785326905933822885,379432,167352,0.876721,0
115,1785326905934206467,384602,170145,0.874834,0
116,1785326905934592759,383412,170667,0.874482,1
117,1785326905934977721,379902,168710,0.875803,1
118,1785326905935359143,380212,166583,0.877242,1
119,1785326905935741005,381792,169206,0.875468,1
120,1785326905936124217,379882,167999,0.876284,1
121,1785326905936505529,381952,168582,0.875890,0
122,1785326905936889271,386833,172435,0.873290,1
123,1785326905937278484,385612,170137,0.874839,1
124,1785326905937666346,382332,168860,0.875702,1
125,1785326905938051748,382732,169453,0.875301,1
126,1785326905938436650,380022,166996,0.876962,0
127,1785326905938819982,379412,167479,0.876636,1
128,1785326905939201084,383272,171592,0.873858,1
129,1785326905939585816,386902,168474,0.875963,1
130,1785326905939975128,379922,167297,0.876759,0
131,1785326905940356770,381843,167770,0.876439,1
132,1785326905940740593,383792,171272,0.874074,0
133,1785326905941126355,383662,171015,0.874247,1
134,1785326905941511957,383602,168958,0.875635,0
135,1785326905941897139,380902,167721,0.876472,0
136,1785326905942279601,383712,169214,0.875463,0
137,1785326905942664983,380992,167997,0.876285,0
138,1785326905943047615,379182,166310,0.877427,1
139,1785326905943428377,384832,169163,0.875497,0
140,1785326905943815019,380442,167396,0.876692,0
141,1785326905944197031,387833,172088,0.873524,1
142,1785326905944586754,391732,174580,0.871848,0
143,1785326905944986096,383832,167133,0.876870,0
144,1785326905945372048,382242,167566,0.876577,0
145,1785326905945755850,384212,168299,0.876081,0
146,1785326905946141942,380122,167382,0.876701,1
147,1785326905946523624,383652,169145,0.875509,1
148,1785326905946908766,381972,168668,0.875831,0
149,1785326905947292758,387612,172760,0.873072,0
150,1785326905947682230,383132,168933,0.875652,0
151,1785326905948067032,380752,167996,0.876286,0
152,1785326905948449374,381142,168189,0.876155,0
153,1785326905948832136,380032,168162,0.876174,1
154,1785326905949213749,382662,171784,0.873729,1
155,1785326905949597841,385452,171337,0.874030,1
156,1785326905949984913,380922,166930,0.877007,0
157,1785326905950367365,386292,168173,0.876166,0
158,1785326905950755267,384542,166636,0.877206,0
159,1785326905951142309,379582,167849,0.876385,0
160,1785326905951523591,382522,167832,0.876397,1
161,1785326905951907883,385592,169494,0.875273,1
162,1785326905952295135,380582,167337,0.876732,1
163,1785326905952677707,382682,168330,0.876060,0
164,1785326905953062120,382602,170472,0.874613,0
165,1785326905953446652,384532,170385,0.874672,1
166,1785326905953832914,382122,167668,0.876508,0
167,1785326905954216626,392202,174381,0.871981,0
168,1785326905954610718,383022,169964,0.874956,1
169,1785326905954995370,386182,174226,0.872086,1
170,1785326905955383242,384892,167909,0.876345,0
171,1785326905955769754,387573,171202,0.874121,1
172,1785326905956159017,383032,169064,0.875564,1
173,1785326905956543599,386112,168717,0.875798,1
174,1785326905956931481,382662,168610,0.875871,0
175,1785326905957315713,388362,174543,0.871873,1
176,1785326905957705675,392842,174046,0.872207,1
177,1785326905958100317,384492,167918,0.876339,1
178,1785326905958486319,385032,168621,0.875863,1
179,1785326905958878252,380582,168123,0.876200,1
180,1785326905959260634,386562,170726,0.874442,1
181,1785326905959648926,385532,171759,0.873746,0
182,1785326905960036108,381462,168522,0.875930,1
183,1785326905960419260,380992,169085,0.875550,0
184,1785326905960801882,382082,168318,0.876068,0
185,1785326905961186314,382482,167331,0.876736,0
186,1785326905961570666,384512,170504,0.874592,1
187,1785326905961956728,379532,167256,0.876786,1
188,1785326905962337760,384882,168269,0.876101,0
189,1785326905962724102,383252,168742,0.875781,0
190,1785326905963108864,380122,167155,0.876855,1
191,1785326905963490846,382602,168038,0.876257,0
192,1785326905963875198,380513,166851,0.877061,1
193,1785326905964257281,384612,169513,0.875261,1
194,1785326905964643633,380162,166956,0.876989,0
195,1785326905965025415,379182,167129,0.876872,0
196,1785326905965406257,383752,170262,0.874755,1
197,1785326905965791599,381612,170745,0.874429,1
198,1785326905966175041,376732,167568,0.876575,1
199,1785326905966554143,384822,169251,0.875438,0
200,1785326905966941145,381702,168494,0.875949,0
201,1785326905967324527,387302,170547,0.874563,1
202,1785326905967713399,387313,170030,0.874912,0
203,1785326905968102202,384872,169012,0.875599,0
204,1785326905968488744,384302,168484,0.875956,1
