count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
50,1785326941625625120,388932,173870,0.872325,1
51,1785326941626017282,382662,172035,0.873560,1
52,1785326941626401904,383912,174730,0.871747,1
53,1785326941626787576,383132,172365,0.873338,0
54,1785326941627172828,385192,172520,0.873233,0
55,1785326941627560090,392422,174375,0.871985,1
56,1785326941627954372,391382,173970,0.872258,1
57,1785326941628347404,387193,176125,0.870811,1
58,1785326941628736377,399432,176849,0.870325,1
59,1785326941629138569,385812,174513,0.871893,0
60,1785326941629525981,384492,172528,0.873228,1
61,1785326941629912103,390732,173753,0.872404,0
62,1785326941630305055,392112,174668,0.871789,0
63,1785326941630699227,396873,183533,0.865860,0
64,1785326941631097740,385892,172317,0.873370,0
65,1785326941631485182,382282,173182,0.872788,1
66,1785326941631868944,389442,184557,0.865178,0
67,1785326941632260766,375992,171502,0.873919,0
68,1785326941632638558,377742,171907,0.873646,1
69,1785326941633017970,375282,170702,0.874458,0
70,1785326941633394782,376042,171367,0.874010,0
71,1785326941633772334,378512,173732,0.872418,1
72,1785326941634152666,379882,172507,0.873242,0
73,1785326941634534048,377542,171842,0.873690,0
74,1785326941634913350,380803,174467,0.871924,0
75,1785326941635306483,379702,172201,0.873448,0
76,1785326941635688195,388872,174566,0.871857,1
77,1785326941636080077,381702,172281,0.873394,0
78,1785326941636464519,384202,171996,0.873586,1
79,1785326941636850521,384052,173801,0.872371,1
80,1785326941637236533,387292,172206,0.873445,1
81,1785326941637625785,386282,172401,0.873313,1
82,1785326941638013857,379573,171696,0.873788,0
83,1785326941638396160,381402,171180,0.874136,1
84,1785326941638779472,383342,172605,0.873176,0
85,1785326941639164394,379462,171580,0.873866,1
86,1785326941639545466,380992,171315,0.874045,0
87,1785326941639927968,380442,172500,0.873247,0
88,1785326941640310360,383872,171895,0.873654,0
89,1785326941640695682,379942,171340,0.874028,0
90,1785326941641077214,380712,172925,0.872961,1
91,1785326941641459926,391273,171450,0.873954,1
92,1785326941641853159,380692,171023,0.874242,1
93,1785326941642235621,376662,170178,0.874812,0
94,1785326941642614113,383752,174773,0.871718,0
95,1785326941642999375,378312,170748,0.874427,0
96,1785326941643379327,394372,183743,0.865720,0
97,1785326941643775289,376272,168418,0.876000,0
98,1785326941644153301,379632,170943,0.874296,1
99,1785326941644534533,379112,169338,0.875379,0
100,1785326941644915535,389262,177553,0.869853,1
101,1785326941645306877,384443,174728,0.871748,1
102,1785326941645693290,383432,173292,0.872714,1
103,1785326941646079152,383362,174527,0.871883,1
104,1785326941646464534,384982,174312,0.872028,1
105,1785326941646851276,385382,176367,0.870648,0
106,1785326941647238408,384522,171842,0.873690,0
107,1785326941647624440,387722,176217,0.870749,1
108,1785326941648013892,381212,173632,0.872485,1
109,1785326941648397124,384153,174277,0.872051,1
110,1785326941648783237,378712,171921,0.873637,0
111,1785326941649163589,382672,173916,0.872294,1
112,1785326941649548011,382912,174011,0.872230,0
113,1785326941649932543,384232,175266,0.871387,1
114,1785326941650318535,380992,173221,0.872761,1
115,1785326941650703547,382972,172776,0.873061,0
116,1785326941651088229,378572,171451,0.873953,0
117,1785326941651468601,383862,173986,0.872247,0
118,1785326941651854943,381472,173691,0.872445,0
119,1785326941652238085,385503,174706,0.871763,0
120,1785326941652625238,384132,175000,0.871566,1
121,1785326941653010870,390312,181175,0.867431,0
122,1785326941653403692,380582,172220,0.873435,0
123,1785326941653786154,386952,172185,0.873459,0
124,1785326941654174896,380692,171130,0.874170,0
125,1785326941654557108,382122,172345,0.873351,0
126,1785326941654940850,385172,173329,0.872689,1
127,1785326941655329242,383463,174184,0.872114,1
128,1785326941655714355,398602,190608,0.861165,0
129,1785326941656114487,390822,181923,0.866932,0
130,1785326941656507079,383982,174848,0.871668,0
131,1785326941656892521,382632,173373,0.872659,1
132,1785326941657277433,383262,173218,0.872763,0
133,1785326941657662595,379982,171993,0.873588,1
134,1785326941658044437,379352,171368,0.874009,1
135,1785326941658425419,381242,172423,0.873298,1
136,1785326941658808161,378843,171938,0.873625,0
137,1785326941659188474,384152,176102,0.870826,0
138,1785326941659574966,383072,173377,0.872656,1
139,1785326941659960578,382282,173312,0.872700,1
140,1785326941660345180,381332,171767,0.873740,1
141,1785326941660728072,380522,172412,0.873306,0
142,1785326941661110374,381262,171277,0.874071,1
143,1785326941661498826,387242,177552,0.869854,1
144,1785326941661888628,380152,172627,0.873161,1
145,1785326941662270440,382383,173762,0.872398,1
146,1785326941662654773,378462,170366,0.874685,0
147,1785326941663034825,386492,178861,0.868978,0
148,1785326941663422977,383342,172996,0.872913,1
149,1785326941663808209,381752,173691,0.872445,0
150,1785326941664191891,380422,172646,0.873148,0
151,1785326941664574243,384612,174831,0.871679,1
152,1785326941664960765,381192,172596,0.873182,0
153,1785326941665343557,385562,177121,0.870143,1
154,1785326941665730749,381373,172916,0.872967,0
155,1785326941666113702,383222,171530,0.873900,0
156,1785326941666498454,390732,172595,0.873183,1
157,1785326941666891036,383302,173489,0.872581,0
158,1785326941667276858,382342,174034,0.872215,1
159,1785326941667661630,385722,174019,0.872225,0
160,1785326941668049182,379822,172064,0.873540,0
161,1785326941668430594,395342,186169,0.864107,0
162,1785326941668827636,380103,172184,0.873459,0
163,1785326941669209639,380942,172598,0.873181,1
164,1785326941669592131,382272,171413,0.873979,1
165,1785326941669976193,380172,173118,0.872831,1
166,1785326941670358385,379692,172313,0.873373,0
167,1785326941670739627,382072,173298,0.872710,1
168,1785326941671123289,383852,174883,0.871644,0
169,1785326941671508721,387392,178318,0.869341,0
170,1785326941671897753,379102,172163,0.873474,1
171,1785326941672278655,378482,172458,0.873275,1
172,1785326941672658867,379073,172393,0.873319,1
173,1785326941673040100,380082,171867,0.873673,1
174,1785326941673422282,380832,172802,0.873043,1
175,1785326941673806444,380612,172227,0.873430,0
176,1785326941674188746,383172,173782,0.872384,1
177,1785326941674573398,382282,174437,0.871944,0
178,1785326941674957400,382492,174172,0.872122,0
179,1785326941675345892,387552,176627,0.870474,0
180,1785326941675735574,383362,174592,0.871840,0
181,1785326941676120576,388933,181127,0.867464,1
182,1785326941676511589,381762,172971,0.872930,0
183,1785326941676895001,383052,174326,0.872018,1
184,1785326941677279763,383172,174601,0.871834,0
185,1785326941677664575,384722,177416,0.869945,0
186,1785326941678050977,377322,170131,0.874843,1
187,1785326941678429869,383032,173626,0.872489,0
188,1785326941678814391,380452,172261,0.873408,1
