count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
50,159482,560,160042,0.882068,0
51,161712,669,162381,0.880549,1
52,161421,590,162011,0.880747,1
53,170601,510,171111,0.874526,1
54,163321,1090,164411,0.879455,1
55,160120,600,160720,0.881633,1
56,173986,1330,175316,0.872247,1
57,161073,710,161783,0.880984,1
58,162831,700,163531,0.879788,1
59,163689,670,164359,0.879205,1
60,160567,640,161207,0.881329,1
61,162225,650,162875,0.880200,1
62,162282,640,162922,0.880161,1
63,161050,570,161620,0.881000,1
64,161778,660,162438,0.880504,1
65,160506,580,161086,0.881370,1
66,160043,520,160563,0.881686,1
67,161741,570,162311,0.880529,1
68,159169,560,159729,0.882282,1
69,161237,520,161757,0.880872,1
70,159615,540,160155,0.881978,1
71,169233,560,169793,0.875450,1
72,171721,540,172261,0.873771,1
73,162728,580,163308,0.879858,1
74,160386,530,160916,0.881452,1
75,164653,490,165143,0.878550,1
76,160031,600,160631,0.881694,1
77,158829,530,159359,0.882514,1
78,159487,550,160037,0.882065,1
79,159815,570,160385,0.881841,1
80,161473,650,162123,0.880712,1
81,162621,500,163121,0.879931,1
82,162569,560,163129,0.879966,1
83,162747,520,163267,0.879845,1
84,160523,560,161083,0.881359,1
85,160071,540,160611,0.881667,1
86,160629,540,161169,0.881286,1
87,159927,530,160457,0.881765,1
88,162375,540,162915,0.880098,1
89,161703,520,162223,0.880555,1
90,160161,520,160681,0.881605,1
91,162039,630,162669,0.880326,1
92,162317,570,162887,0.880137,1
93,156165,460,156625,0.884334,1
94,158262,530,158792,0.882901,1
95,156319,460,156779,0.884229,1
96,156167,460,156627,0.884333,1
97,158335,450,158785,0.882851,1
98,154453,390,154843,0.885507,1
99,156211,450,156661,0.884303,1
100,156789,450,157239,0.883908,1
101,155117,490,155607,0.885052,1
102,157085,400,157485,0.883705,1
103,162993,920,163913,0.879678,1
104,163371,590,163961,0.879421,1
105,174119,570,174689,0.872158,1
106,159655,480,160135,0.881950,1
107,163893,640,164533,0.879066,1
108,161431,560,161991,0.880740,1
109,161869,500,162369,0.880442,1
110,161337,580,161917,0.880804,1
111,160585,540,161125,0.881316,1
112,158853,610,159463,0.882497,1
113,167371,490,167861,0.876709,1
114,160929,500,161429,0.881082,1
115,161427,560,161987,0.880743,1
116,160493,500,160993,0.881379,1
117,160061,510,160571,0.881673,1
118,161059,490,161549,0.880993,1
119,163307,640,163947,0.879464,1
120,163635,500,164135,0.879241,1
121,165383,500,165883,0.878055,1
122,161791,520,162311,0.880495,1
123,162949,490,163439,0.879708,1
124,160627,520,161147,0.881288,1
125,160975,620,161595,0.881051,1
126,159732,540,160272,0.881898,1
127,159459,580,160039,0.882084,1
128,162247,640,162887,0.880185,1
129,160905,490,161395,0.881098,1
130,161363,550,161913,0.880786,1
131,159091,490,159581,0.882335,1
132,159749,540,160289,0.881886,1
133,168107,520,168627,0.876211,1
134,161495,530,162025,0.880697,1
135,162803,560,163363,0.879807,1
136,161350,600,161950,0.880795,1
137,158688,560,159248,0.882610,1
138,171875,560,172435,0.873668,1
139,162903,560,163463,0.879739,1
140,172831,520,173351,0.873024,1
141,162499,620,163119,0.880014,1
142,159997,540,160537,0.881717,1
143,163825,550,164375,0.879112,1
144,162613,600,163213,0.879936,1
145,159951,530,160481,0.881748,1
146,161189,550,161739,0.880905,1
147,163177,540,163717,0.879553,1
148,160674,520,161194,0.881256,1
149,161631,480,162111,0.880604,1
150,160969,500,161469,0.881055,1
151,159527,580,160107,0.882038,1
152,162945,530,163475,0.879710,1
153,163163,460,163623,0.879562,1
154,165631,540,166171,0.877887,1
155,165819,550,166369,0.877760,1
156,160677,530,161207,0.881254,1
157,161735,560,162295,0.880533,1
158,160713,540,161253,0.881229,1
159,161160,570,161730,0.880925,1
160,162667,520,163187,0.879899,1
161,164055,620,164675,0.878956,1
162,161123,560,161683,0.880950,1
163,161171,510,161681,0.880917,1
164,160079,580,160659,0.881661,1
165,160777,480,161257,0.881186,1
166,164915,580,165495,0.878373,1
167,164513,560,165073,0.878645,1
168,162570,540,163110,0.879965,1
169,161208,520,161728,0.880892,1
170,160296,530,160826,0.881513,1
171,169633,530,170163,0.875180,1
172,162231,550,162781,0.880196,1
173,160629,490,161119,0.881286,1
174,160427,540,160967,0.881424,1
175,159535,490,160025,0.882032,1
176,161023,410,161433,0.881018,1
177,171901,620,172521,0.873650,1
178,160988,500,161488,0.881042,1
179,167216,710,167926,0.876813,1
180,161894,510,162404,0.880425,1
181,161632,560,162192,0.880603,1
182,162129,490,162619,0.880265,1
183,162577,550,163127,0.879961,1
184,164015,460,164475,0.878983,1
185,167813,520,168333,0.876410,1
186,161581,550,162131,0.880638,1
187,165848,540,166388,0.877740,1
188,161866,480,162346,0.880444,1
189,160054,560,160614,0.881678,1
190,161562,530,162092,0.880651,1
191,161870,520,162390,0.880441,1
192,166518,620,167138,0.877286,1
193,167125,540,167665,0.876875,1
194,161693,530,162223,0.880562,1
195,162631,550,163181,0.879924,1
196,162149,510,162659,0.880252,1
197,160947,610,161557,0.881070,1
198,163394,600,163994,0.879405,1
199,163742,620,164362,0.879169,1
200,166060,560,166620,0.877596,1
201,165348,510,165858,0.878079,1
202,164036,520,164556,0.878969,1
203,167594,490,168084,0.876558,1
204,175461,500,175961,0.871256,1
205,162939,540,163479,0.879714,1
206,164246,540,164786,0.878827,1
207,162994,540,163534,0.879677,1
208,162552,560,163112,0.879978,1
209,162900,510,163410,0.879741,1
210,167498,570,168068,0.876623,1
211,162156,510,162666,0.880247,1
212,161984,520,162504,0.880364,1
213,162592,530,163122,0.879950,1
214,163280,530,163810,0.879483,1
215,161416,470,161886,0.880750,1
216,163854,490,164344,0.879093,1
217,163802,430,164232,0.879128,1
218,161290,480,161770,0.880836,1
219,165778,460,166238,0.877787,1
220,163846,500,164346,0.879098,1
221,164074,500,164574,0.878943,1
222,161912,480,162392,0.880413,1
223,167880,590,168470,0.876364,1
224,169687,600,170287,0.875143,1
225,161974,540,162514,0.880371,1
226,160992,500,161492,0.881039,1
227,164060,540,164600,0.878953,1
228,161998,510,162508,0.880354,1
229,161546,490,162036,0.880662,1
230,161854,510,162364,0.880452,1
231,162582,470,163052,0.879957,1
232,162279,480,162759,0.880163,1
233,160507,460,160967,0.881369,1
234,161805,560,162365,0.880486,1
235,163043,560,163603,0.879644,1
236,168100,480,168580,0.876215,1
237,174738,530,175268,0.871742,1
238,163976,480,164456,0.879010,1
239,162244,530,162774,0.880187,1
240,160522,510,161032,0.881359,1
241,171400,510,171910,0.873988,1
242,160008,460,160468,0.881710,1
243,161696,520,162216,0.880560,1
244,162344,460,162804,0.880119,1
245,161232,490,161722,0.880876,1
246,160889,460,161349,0.881109,1
247,164406,530,164936,0.878718,1
248,163004,480,163484,0.879670,1
249,168322,560,168882,0.876065,1
250,165780,480,166260,0.877786,1
251,163958,490,164448,0.879022,1
252,163166,560,163726,0.879560,1
253,161264,550,161814,0.880854,1
254,160132,520,160652,0.881625,1
255,161990,570,162560,0.880360,1
256,161437,540,161977,0.880736,1
257,162295,550,162845,0.880152,1
258,164382,500,164882,0.878734,1
259,163130,530,163660,0.879585,1
260,163668,510,164178,0.879219,1
261,162666,530,163196,0.879900,1
262,161204,500,161704,0.880895,1
263,163782,600,164382,0.879142,1
264,163580,500,164080,0.879279,1
265,161597,570,162167,0.880627,1
266,162925,510,163435,0.879724,1
267,165183,570,165753,0.878191,1
268,162451,470,162921,0.880046,1
269,163718,540,164258,0.879185,1
270,173276,550,173826,0.872724,1
271,162284,470,162754,0.880160,1
272,162162,480,162642,0.880243,1
273,162080,480,162560,0.880299,1
274,162028,480,162508,0.880334,1
275,161175,490,161665,0.880914,1
276,162683,510,163193,0.879888,1
277,162431,520,162951,0.880060,1
278,161959,530,162489,0.880381,1
279,162227,520,162747,0.880199,1
280,167514,640,168154,0.876612,1
281,161482,550,162032,0.880705,1
282,162090,560,162650,0.880292,1
283,166658,610,167268,0.877191,1
284,163145,540,163685,0.879574,1
285,162853,460,163313,0.879773,1
286,161131,570,161701,0.880944,1
287,161869,500,162369,0.880442,1
288,162337,500,162837,0.880124,1
289,163935,580,164515,0.879038,1
290,160543,510,161053,0.881345,1
291,161280,530,161810,0.880843,1
292,162588,520,163108,0.879953,1
293,161946,500,162446,0.880390,1
294,162494,510,163004,0.880017,1
295,160962,470,161432,0.881060,1
296,164480,550,165030,0.878668,1
297,162138,480,162618,0.880259,1
298,161685,520,162205,0.880567,1
299,166833,470,167303,0.877073,1
300,163081,520,163601,0.879618,1
301,161139,510,161649,0.880939,1
302,163126,540,163666,0.879587,1
303,169094,540,169634,0.875544,1
304,161252,500,161752,0.880862,1
305,172180,510,172690,0.873462,1
306,160528,530,161058,0.881355,1
307,160676,480,161156,0.881254,1
308,162053,510,162563,0.880317,1
309,162691,470,163161,0.879883,1
310,163969,510,164479,0.879015,1
311,160767,470,161237,0.881192,1
312,165595,580,166175,0.877911,1
313,163272,570,163842,0.879488,1
314,160890,470,161360,0.881109,1
315,165958,590,166548,0.877665,1
316,162246,490,162736,0.880186,1
317,162754,510,163264,0.879840,1
318,163681,490,164171,0.879210,1
319,162989,670,163659,0.879680,1
320,161397,540,161937,0.880763,1
321,163115,510,163625,0.879595,1
322,162373,480,162853,0.880099,1
323,161901,540,162441,0.880420,1
324,162908,530,163438,0.879735,1
325,161366,550,161916,0.880784,1
326,162544,510,163054,0.879983,1
327,160532,520,161052,0.881352,1
328,162920,600,163520,0.879727,1
329,162887,530,163417,0.879750,1
330,161185,540,161725,0.880908,1
331,164863,530,165393,0.878408,1
332,162451,510,162961,0.880046,1
333,162439,540,162979,0.880054,1
334,160997,540,161537,0.881036,1
335,161544,450,161994,0.880663,1
336,171462,480,171942,0.873946,1
337,162230,470,162700,0.880197,1
338,163078,530,163608,0.879620,1
339,162136,500,162636,0.880260,1
340,161914,500,162414,0.880411,1
341,165202,530,165732,0.878178,1
342,162680,550,163230,0.879890,1
343,164808,520,165328,0.878445,1
344,170216,620,170836,0.874786,1
345,162173,510,162683,0.880235,1
346,162740,540,163280,0.879850,1
347,163338,520,163858,0.879443,1
348,161556,530,162086,0.880655,1
349,162504,540,163044,0.880010,1
350,160692,490,161182,0.881243,1
351,162760,440,163200,0.879836,1
352,160738,550,161288,0.881212,1
353,162296,490,162786,0.880152,1
354,161814,560,162374,0.880480,1
355,163562,470,164032,0.879291,1
356,162180,510,162690,0.880231,1
357,163256,500,163756,0.879499,1
358,162654,500,163154,0.879908,1
359,164262,540,164802,0.878816,1
360,164180,520,164700,0.878871,1
361,162628,530,163158,0.879926,1
362,162296,500,162796,0.880152,1
363,163954,560,164514,0.879025,1
364,163432,550,163982,0.879379,1
