count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
50,1785327027147099861,373562,171096,0.874193,1
51,1785327027147478093,382862,168167,0.876170,1
52,1785327027147863405,378002,166918,0.877015,1
53,1785327027148243417,371612,167290,0.876763,1
54,1785327027148616529,370772,167061,0.876918,1
55,1785327027148989671,368622,165763,0.877798,1
56,1785327027149360453,366202,163814,0.879120,1
57,1785327027149728465,366062,163856,0.879091,1
58,1785327027150096227,369792,166817,0.877084,1
59,1785327027150468239,368732,166239,0.877475,1
60,1785327027150838681,369042,165631,0.877887,1
61,1785327027151209423,368642,166402,0.877365,1
62,1785327027151579725,369242,165974,0.877655,1
63,1785327027151951067,375592,170135,0.874841,1
64,1785327027152328489,368212,164717,0.878507,1
65,1785327027152698321,366612,164748,0.878486,1
66,1785327027153066553,370932,167720,0.876472,1
67,1785327027153439805,367392,164641,0.878559,1
68,1785327027153809787,366002,164813,0.878442,1
69,1785327027154179149,368832,165684,0.877851,1
70,1785327027154549491,366972,164526,0.878637,1
71,1785327027154918013,365402,164758,0.878479,1
72,1785327027155285015,373462,166509,0.877292,1
73,1785327027155660257,370003,166461,0.877325,1
74,1785327027156032320,370082,166161,0.877528,1
75,1785327027156412892,375222,170662,0.874485,1
76,1785327027156790164,368872,165794,0.877777,1
77,1785327027157160706,369782,166085,0.877579,1
78,1785327027157531848,369312,164667,0.878541,1
79,1785327027157902860,370092,165988,0.877645,1
80,1785327027158274512,366712,164670,0.878539,1
81,1785327027158642574,372692,169871,0.875019,1
82,1785327027159017116,371272,168163,0.876173,1
83,1785327027159390438,370482,166514,0.877289,1
84,1785327027159762490,373422,164806,0.878447,1
85,1785327027160138122,382982,166537,0.877273,1
86,1785327027160523144,375012,165559,0.877936,1
87,1785327027160900916,371042,164480,0.878668,1
88,1785327027161273968,375272,164242,0.878829,1
89,1785327027161651120,373102,164933,0.878360,1
90,1785327027162025742,374772,167434,0.876666,1
91,1785327027162402714,372612,165716,0.877829,1
