count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
50,1785838195152564235,376212,156594,0.884041,1
51,1785838195152943377,373792,153372,0.886248,1
52,1785838195153319109,374072,154390,0.885550,1
53,1785838195153694931,381413,159988,0.881723,1
54,1785838195154078034,379992,157456,0.883452,1
55,1785838195154460346,379242,160394,0.881446,1
56,1785838195154841288,383302,159832,0.881830,1
57,1785838195155226260,381422,159830,0.881831,1
58,1785838195155609522,377442,158568,0.882692,1
59,1785838195155989684,378462,158476,0.882755,1
60,1785838195156369726,377492,157255,0.883589,1
61,1785838195156748818,381062,162333,0.880126,1
62,1785838195157131470,378792,156911,0.883824,1
63,1785838195157511852,376842,158499,0.882739,1
64,1785838195157890484,379713,158847,0.882502,1
65,1785838195158272017,378732,159535,0.882032,1
66,1785838195158652519,379022,160973,0.881052,1
67,1785838195159033901,379292,158341,0.882847,1
68,1785838195159414733,378332,159579,0.882002,1
69,1785838195159794575,382012,159797,0.881853,1
70,1785838195160178687,387792,158765,0.882557,1
71,1785838195160568179,380172,159153,0.882293,1
72,1785838195160950051,380242,159191,0.882267,1
73,1785838195161332103,378172,156119,0.884366,1
74,1785838195161711725,375402,158068,0.883033,1
75,1785838195162096698,383522,158565,0.882694,1
76,1785838195162482090,378652,157463,0.883447,1
77,1785838195162862692,381922,159241,0.882233,1
78,1785838195163246274,377852,158089,0.883019,1
79,1785838195163625716,386922,166197,0.877504,1
80,1785838195164014328,382752,158545,0.882708,1
81,1785838195164399130,384282,162063,0.880310,1
82,1785838195164785172,380262,161331,0.880808,1
83,1785838195165167764,388662,167219,0.876811,1
84,1785838195165557927,378472,157986,0.883089,1
85,1785838195165937859,383662,158704,0.882599,1
86,1785838195166323141,376532,156762,0.883926,1
87,1785838195166701143,373402,155351,0.884892,1
88,1785838195167076425,381002,156899,0.883832,1
89,1785838195167459037,391182,157957,0.883109,1
90,1785838195167852079,382872,157285,0.883568,1
91,1785838195168237161,379492,159403,0.882122,1
92,1785838195168618383,379032,158141,0.882984,1
93,1785838195168998995,382992,159189,0.882268,1
94,1785838195169383797,381063,159927,0.881765,1
95,1785838195169766650,378552,160334,0.881487,1
96,1785838195170146792,379172,159532,0.882034,1
97,1785838195170527834,379032,159751,0.881885,1
98,1785838195170908756,380722,159649,0.881954,1
99,1785838195171290968,376852,157767,0.883239,1
100,1785838195171669680,374682,156745,0.883938,1
101,1785838195172045842,382642,156734,0.883945,1
102,1785838195172430154,375482,156922,0.883817,1
103,1785838195172808166,384452,156900,0.883832,1
104,1785838195173194318,382002,158588,0.882678,1
105,1785838195173577930,380263,159076,0.882345,1
106,1785838195173959883,380282,157693,0.883290,1
107,1785838195174341735,378242,159331,0.882171,1
108,1785838195174721487,374902,157520,0.883408,1
109,1785838195175097989,378172,157558,0.883382,1
110,1785838195175478211,379712,156696,0.883971,1
111,1785838195175859753,385442,159694,0.881924,1
112,1785838195176246945,389402,167682,0.876498,1
113,1785838195176637877,379022,159100,0.882329,1
114,1785838195177018679,380092,159638,0.881962,1
115,1785838195177402811,376593,157126,0.883677,1
116,1785838195177781464,375502,156133,0.884356,1
117,1785838195178159086,380022,157752,0.883249,1
118,1785838195178540898,378012,157400,0.883490,1
119,1785838195178920590,378402,158318,0.882863,1
120,1785838195179300682,376472,156826,0.883882,1
121,1785838195179678864,387112,166254,0.877465,1
122,1785838195180068106,380012,158532,0.882717,1
123,1785838195180450048,378812,157690,0.883292,1
124,1785838195180830650,381392,159918,0.881771,1
125,1785838195181213642,386872,163156,0.879567,1
126,1785838195181602004,385063,159194,0.882265,1
127,1785838195181990677,387312,159161,0.882287,1
128,1785838195182379609,385162,160549,0.881341,1
129,1785838195182766471,385832,162777,0.879825,1
130,1785838195183153973,386962,161595,0.880629,1
131,1785838195183542705,385112,161793,0.880494,1
132,1785838195183930347,389302,160381,0.881455,1
133,1785838195184321649,391113,160869,0.881123,1
134,1785838195184715112,383452,159396,0.882127,1
135,1785838195185100404,383112,159964,0.881740,1
136,1785838195185485436,386682,159712,0.881911,1
137,1785838195185873828,376652,157540,0.883394,1
138,1785838195186252230,375982,157298,0.883560,1
139,1785838195186630042,375022,155717,0.884641,1
140,1785838195187006724,381562,158635,0.882646,1
141,1785838195187389956,379452,157633,0.883331,1
142,1785838195187771308,384182,160601,0.881305,1
143,1785838195188165790,383223,160099,0.881648,1
144,1785838195188550773,382822,158916,0.882454,1
145,1785838195188935215,396992,174964,0.871590,1
146,1785838195189333907,388472,164222,0.878843,1
147,1785838195189723899,392532,166290,0.877441,1
148,1785838195190117971,381212,159058,0.882358,1
149,1785838195190500843,384722,159676,0.881936,1
150,1785838195190887595,383663,160534,0.881351,1
151,1785838195191272858,378702,158011,0.883072,1
152,1785838195191653750,378882,158679,0.882616,1
153,1785838195192034262,379702,157817,0.883205,1
154,1785838195192415544,375612,156645,0.884006,1
155,1785838195192792696,374752,156644,0.884007,1
156,1785838195193169268,378962,157682,0.883297,1
157,1785838195193549750,381112,159660,0.881947,1
158,1785838195193932402,380772,158598,0.882671,1
159,1785838195194320994,380912,159436,0.882100,1
