count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
50,145152,420,145572,0.891913,0
51,145762,350,146112,0.891491,1
52,145813,450,146263,0.891455,1
53,146412,370,146782,0.891041,1
54,154363,450,154813,0.885569,1
55,148285,390,148675,0.889748,1
56,145865,360,146225,0.891419,1
57,148576,430,149006,0.889548,1
58,145936,390,146326,0.891370,1
59,145137,420,145557,0.891923,1
60,150107,440,150547,0.888493,1
61,145438,390,145828,0.891715,1
62,147090,340,147430,0.890573,1
63,144390,370,144760,0.892440,1
64,145490,390,145880,0.891679,1
65,151570,410,151980,0.887486,1
66,144781,380,145161,0.892169,1
67,145811,380,146191,0.891457,1
68,145723,400,146123,0.891518,1
69,145504,360,145864,0.891669,1
70,149184,390,149574,0.889128,1
71,145185,370,145555,0.891890,1
72,144665,360,145025,0.892250,1
73,147136,400,147536,0.890541,1
74,146167,390,146557,0.891211,1
75,147228,400,147628,0.890478,1
76,146459,430,146889,0.891009,1
77,143839,390,144229,0.892822,1
78,148290,460,148750,0.889745,1
79,145720,360,146080,0.891520,1
80,144152,370,144522,0.892605,1
81,147663,380,148043,0.890177,1
82,144742,370,145112,0.892196,1
83,148483,520,149003,0.889612,1
84,147133,420,147553,0.890543,1
85,144304,360,144664,0.892500,1
86,146964,410,147374,0.890660,1
87,143476,410,143886,0.893073,1
88,147417,430,147847,0.890347,1
89,150247,410,150657,0.888396,1
90,145008,370,145378,0.892012,1
91,146318,490,146808,0.891106,1
92,146659,370,147029,0.890871,1
93,144940,360,145300,0.892059,1
94,145730,420,146150,0.891513,1
95,146081,420,146501,0.891270,1
96,145371,370,145741,0.891761,1
97,146342,380,146722,0.891090,1
98,148162,360,148522,0.889833,1
99,146253,390,146643,0.891151,1
100,147355,390,147745,0.890390,1
101,144775,370,145145,0.892174,1
102,148876,470,149346,0.889341,1
103,145746,460,146206,0.891502,1
104,144857,410,145267,0.892117,1
105,146406,390,146796,0.891046,1
106,145368,390,145758,0.891763,1
107,146339,390,146729,0.891092,1
108,152069,340,152409,0.887143,1
109,141520,380,141900,0.894430,1
110,143060,360,143420,0.893362,1
111,141461,380,141841,0.894471,1
112,141852,409,142261,0.894200,1
113,141573,360,141933,0.894393,1
114,142133,360,142493,0.894005,1
115,141654,380,142034,0.894337,1
116,141954,390,142344,0.894129,1
117,141114,340,141454,0.894712,1
118,148725,590,149315,0.889445,1
119,145565,410,145975,0.891627,1
120,145616,390,146006,0.891592,1
121,146338,370,146708,0.891093,1
122,156988,370,157358,0.883771,1
123,146869,410,147279,0.890726,1
124,146289,390,146679,0.891126,1
125,147300,380,147680,0.890428,1
126,145981,360,146341,0.891339,1
127,144801,410,145211,0.892156,1
128,147533,390,147923,0.890267,1
129,145013,410,145423,0.892009,1
130,143284,4390,147674,0.893206,1
131,151804,370,152174,0.887325,1
132,145795,360,146155,0.891468,1
133,145965,450,146415,0.891350,1
134,148055,380,148435,0.889907,1
135,142757,370,143127,0.893572,1
136,146007,400,146407,0.891321,1
137,144858,380,145238,0.892116,1
138,145238,420,145658,0.891853,1
139,145500,370,145870,0.891672,1
140,144411,360,144771,0.892426,1
141,147791,420,148211,0.890089,1
142,145712,390,146102,0.891525,1
143,144812,500,145312,0.892148,1
144,147204,360,147564,0.890494,1
145,145515,420,145935,0.891662,1
146,146975,360,147335,0.890652,1
147,145266,420,145686,0.891834,1
148,146236,400,146636,0.891163,1
149,146997,380,147377,0.890637,1
150,145727,380,146107,0.891515,1
151,144529,360,144889,0.892344,1
152,145480,410,145890,0.891686,1
153,145530,410,145940,0.891651,1
154,145921,390,146311,0.891381,1
155,146942,340,147282,0.890675,1
156,148083,390,148473,0.889888,1
157,146444,390,146834,0.891019,1
158,145364,400,145764,0.891766,1
159,145245,370,145615,0.891848,1
160,146105,450,146555,0.891254,1
161,145156,390,145546,0.891910,1
162,144236,520,144756,0.892547,1
163,144796,350,145146,0.892159,1
164,150297,370,150667,0.888362,1
165,145448,390,145838,0.891708,1
166,147529,380,147909,0.890270,1
167,144299,380,144679,0.892503,1
168,146870,390,147260,0.890725,1
