count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
50,131006,440,131446,0.901770,0
51,129575,400,129975,0.902775,1
52,133034,560,133594,0.900348,1
53,132483,490,132973,0.900734,1
54,131612,440,132052,0.901345,1
55,134340,490,134830,0.899434,1
56,132460,440,132900,0.900750,1
57,130738,430,131168,0.901958,1
58,130307,430,130737,0.902261,1
59,128225,450,128675,0.903724,1
60,129275,530,129805,0.902986,1
61,129594,460,130054,0.902762,1
62,130081,450,130531,0.902419,1
63,131351,470,131821,0.901528,1
64,131319,440,131759,0.901550,1
65,130338,470,130808,0.902239,1
66,129618,410,130028,0.902745,1
67,129546,460,130006,0.902795,1
68,131515,350,131865,0.901413,1
69,129863,430,130293,0.902573,1
70,134222,530,134752,0.899517,1
71,133831,470,134301,0.899790,1
72,129630,480,130110,0.902736,1
73,129619,490,130109,0.902744,1
74,129088,440,129528,0.903117,1
75,129657,470,130127,0.902717,1
76,130734,440,131174,0.901961,1
77,128503,420,128923,0.903529,1
78,131243,440,131683,0.901604,1
79,128961,460,129421,0.903207,1
80,128860,520,129380,0.903278,1
81,132469,550,133019,0.900744,1
82,130658,460,131118,0.902014,1
83,130356,500,130856,0.902226,1
84,133915,520,134435,0.899732,1
85,129614,440,130054,0.902748,1
86,130843,460,131303,0.901884,1
87,132812,440,133252,0.900504,1
88,129220,490,129710,0.903024,1
89,131559,440,131999,0.901382,1
90,129057,450,129507,0.903139,1
91,141886,480,142366,0.894176,1
92,129865,470,130335,0.902571,1
93,129073,390,129463,0.903128,1
94,130353,550,130903,0.902228,1
95,132391,450,132841,0.900799,1
96,129960,420,130380,0.902504,1
97,132579,540,133119,0.900667,1
98,131338,450,131788,0.901537,1
99,130117,540,130657,0.902394,1
100,131395,460,131855,0.901497,1
101,129184,450,129634,0.903050,1
102,128953,450,129403,0.903212,1
103,138901,500,139401,0.896251,1
104,128680,480,129160,0.903404,1
105,131218,480,131698,0.901621,1
106,126028,450,126478,0.905272,1
107,125056,460,125516,0.905958,1
108,126736,410,127146,0.904773,1
109,126465,380,126845,0.904964,1
110,126323,420,126743,0.905064,1
111,126332,380,126712,0.905058,1
112,125160,410,125570,0.905885,1
113,126649,390,127039,0.904834,1
114,126558,420,126978,0.904898,1
115,126877,440,127317,0.904674,1
116,133495,540,134035,0.900025,1
117,130803,420,131223,0.901912,1
118,129983,430,130413,0.902488,1
119,132951,440,133391,0.900406,1
120,130211,490,130701,0.902328,1
121,138809,370,139179,0.896315,1
122,130468,440,130908,0.902148,1
123,130688,470,131158,0.901993,1
124,130656,430,131086,0.902016,1
125,128426,439,128865,0.903583,1
126,131794,460,132254,0.901217,1
127,131753,460,132213,0.901246,1
128,130213,420,130633,0.902327,1
129,129851,460,130311,0.902581,1
130,129700,420,130120,0.902687,1
131,132439,420,132859,0.900765,1
132,129678,430,130108,0.902703,1
133,128817,400,129217,0.903308,1
134,128966,400,129366,0.903203,1
135,135095,370,135465,0.898906,1
136,128254,390,128644,0.903704,1
137,131733,460,132193,0.901260,1
138,126102,390,126492,0.905220,1
139,127781,470,128251,0.904037,1
140,126349,410,126759,0.905046,1
141,124918,390,125308,0.906055,1
142,125757,390,126147,0.905463,1
143,127045,400,127445,0.904555,1
144,125685,480,126165,0.905514,1
145,127984,450,128434,0.903894,1
146,124172,400,124572,0.906582,1
147,125392,490,125882,0.905721,1
148,133000,640,133640,0.900372,1
149,130199,480,130679,0.902337,1
150,130238,460,130698,0.902309,1
151,132867,470,133337,0.900465,1
152,130466,440,130906,0.902149,1
153,132444,450,132894,0.900762,1
154,131044,450,131494,0.901743,1
155,140572,430,141002,0.895089,1
156,131460,470,131930,0.901451,1
157,127599,520,128119,0.904165,1
158,128997,470,129467,0.903181,1
159,132227,490,132717,0.900914,1
160,129405,460,129865,0.902894,1
161,129394,440,129834,0.902902,1
162,129883,460,130343,0.902559,1
163,130542,410,130952,0.902096,1
164,130001,440,130441,0.902476,1
165,128589,450,129039,0.903468,1
166,130479,490,130969,0.902140,1
167,132007,480,132487,0.901068,1
168,133566,390,133956,0.899976,1
169,131823,530,132353,0.901197,1
170,131603,440,132043,0.901351,1
171,129462,440,129902,0.902854,1
172,130990,450,131440,0.901781,1
173,130189,470,130659,0.902344,1
174,131687,430,132117,0.901292,1
175,129637,460,130097,0.902731,1
176,134056,520,134576,0.899633,1
177,130804,460,131264,0.901912,1
178,131083,420,131503,0.901716,1
179,132371,540,132911,0.900813,1
180,130019,510,130529,0.902463,1
181,130547,500,131047,0.902092,1
182,130146,430,130576,0.902374,1
183,132155,450,132605,0.900964,1
184,129854,500,130354,0.902579,1
185,129483,500,129983,0.902840,1
186,129311,430,129741,0.902961,1
187,130701,460,131161,0.901984,1
188,130189,450,130639,0.902344,1
189,129528,460,129988,0.902808,1
190,131107,440,131547,0.901699,1
191,132756,440,133196,0.900543,1
192,130384,420,130804,0.902207,1
193,128882,380,129262,0.903262,1
194,128222,410,128632,0.903726,1
195,131950,460,132410,0.901108,1
196,128729,400,129129,0.903370,1
197,128329,470,128799,0.903651,1
198,132207,510,132717,0.900928,1
199,134526,480,135006,0.899304,1
200,138034,440,138474,0.896855,1
201,132413,390,132803,0.900783,1
202,125092,430,125522,0.905933,1
203,127971,450,128421,0.903903,1
204,124980,410,125390,0.906012,1
205,128928,470,129398,0.903230,1
206,127027,340,127367,0.904568,1
207,125075,450,125525,0.905945,1
208,127854,430,128284,0.903985,1
209,127334,390,127724,0.904352,1
210,127162,390,127552,0.904473,1
211,133021,580,133601,0.900357,1
212,131929,420,132349,0.901123,1
213,135248,440,135688,0.898799,1
214,132968,450,133418,0.900394,1
215,133156,440,133596,0.900263,1
216,132995,460,133455,0.900376,1
217,131873,450,132323,0.901162,1
218,130601,430,131031,0.902054,1
219,142009,410,142419,0.894091,1
220,131068,400,131468,0.901727,1
221,130328,430,130758,0.902246,1
222,132726,530,133256,0.900564,1
223,131285,500,131785,0.901574,1
224,131753,480,132233,0.901246,1
225,131082,490,131572,0.901717,1
226,134840,470,135310,0.899085,1
227,132149,410,132559,0.900968,1
228,130237,470,130707,0.902310,1
229,130375,470,130845,0.902213,1
230,130784,460,131244,0.901926,1
231,133222,450,133672,0.900217,1
232,130141,450,130591,0.902377,1
233,130929,490,131419,0.901824,1
234,133488,450,133938,0.900030,1
235,130897,410,131307,0.901847,1
236,131475,440,131915,0.901441,1
237,135904,460,136364,0.898341,1
238,130012,460,130472,0.902468,1
239,132311,500,132811,0.900855,1
240,128950,470,129420,0.903214,1
241,131079,540,131619,0.901719,1
242,130138,420,130558,0.902379,1
243,131266,470,131736,0.901588,1
244,130136,440,130576,0.902381,1
245,131304,460,131764,0.901561,1
246,131043,450,131493,0.901744,1
247,134511,490,135001,0.899315,1
248,130440,450,130890,0.902167,1
249,128639,440,129079,0.903433,1
250,129637,480,130117,0.902731,1
251,130916,480,131396,0.901833,1
252,129255,440,129695,0.903000,1
253,130824,480,131304,0.901898,1
254,129223,420,129643,0.903022,1
255,131651,580,132231,0.901318,1
256,131631,460,132091,0.901332,1
257,129589,460,130049,0.902765,1
258,129218,440,129658,0.903026,1
259,131196,460,131656,0.901637,1
260,129616,420,130036,0.902746,1
261,131805,470,132275,0.901210,1
262,130402,440,130842,0.902194,1
263,139951,550,140501,0.895521,1
264,130169,500,130669,0.902358,1
265,133939,370,134309,0.899715,1
266,131147,470,131617,0.901671,1
267,133976,420,134396,0.899689,1
268,130915,440,131355,0.901834,1
269,133983,400,134383,0.899684,1
270,129083,430,129513,0.903121,1
271,130381,520,130901,0.902209,1
272,131660,430,132090,0.901311,1
273,129989,420,130409,0.902484,1
274,130707,440,131147,0.901980,1
275,130246,460,130706,0.902304,1
276,132434,430,132864,0.900769,1
277,130633,470,131103,0.902032,1
278,131031,480,131511,0.901752,1
279,132011,419,132430,0.901065,1
280,130729,430,131159,0.901964,1
281,129157,430,129587,0.903069,1
282,130277,480,130757,0.902282,1
283,140995,480,141475,0.894795,1
284,131383,570,131953,0.901505,1
285,129921,500,130421,0.902532,1
286,129140,480,129620,0.903081,1
287,140639,550,141189,0.895042,1
288,130718,440,131158,0.901972,1
289,129957,490,130447,0.902507,1
290,129205,490,129695,0.903035,1
291,130844,420,131264,0.901884,1
292,130903,450,131353,0.901842,1
293,128882,490,129372,0.903262,1
294,129541,460,130001,0.902799,1
295,132310,460,132770,0.900855,1
296,128969,420,129389,0.903201,1
297,128166,570,128736,0.903766,1
298,130245,530,130775,0.902304,1
299,134485,450,134935,0.899333,1
300,130613,590,131203,0.902046,1
301,129302,430,129732,0.902967,1
302,129671,440,130111,0.902707,1
303,131160,440,131600,0.901662,1
304,129489,500,129989,0.902835,1
305,132118,510,132628,0.900990,1
306,131877,500,132377,0.901159,1
307,129136,510,129646,0.903084,1
308,132705,510,133215,0.900579,1
309,130383,440,130823,0.902207,1
310,129073,430,129503,0.903128,1
311,132722,450,133172,0.900567,1
312,128271,480,128751,0.903692,1
313,142270,520,142790,0.893910,1
314,131978,460,132438,0.901088,1
315,128868,460,129328,0.903272,1
316,131846,490,132336,0.901181,1
317,129924,450,130374,0.902530,1
318,130814,470,131284,0.901905,1
319,131852,550,132402,0.901177,1
320,129771,470,130241,0.902637,1
321,134650,480,135130,0.899217,1
322,131899,500,132399,0.901144,1
323,129569,460,130029,0.902779,1
324,129857,430,130287,0.902577,1
325,127526,490,128016,0.904216,1
326,128645,470,129115,0.903429,1
327,136304,500,136804,0.898062,1
328,129683,460,130143,0.902699,1
329,128202,460,128662,0.903741,1
330,134801,470,135271,0.899112,1
331,129099,430,129529,0.903110,1
332,134309,440,134749,0.899456,1
333,129747,410,130157,0.902654,1
334,128176,500,128676,0.903759,1
335,129494,420,129914,0.902832,1
336,129243,460,129703,0.903008,1
337,131352,570,131922,0.901527,1
338,131000,500,131500,0.901774,1
339,129689,440,130129,0.902695,1
340,129768,570,130338,0.902639,1
341,130467,510,130977,0.902148,1
342,128196,510,128706,0.903745,1
343,134725,540,135265,0.899165,1
344,131664,460,132124,0.901308,1
345,130892,530,131422,0.901850,1
346,129181,450,129631,0.903052,1
347,140430,460,140890,0.895188,1
348,128509,430,128939,0.903525,1
349,129967,480,130447,0.902500,1
350,135815,450,136265,0.898403,1
351,130484,450,130934,0.902136,1
352,129823,480,130303,0.902601,1
353,131502,490,131992,0.901422,1
354,130531,470,131001,0.902103,1
355,130239,440,130679,0.902308,1
356,130759,470,131229,0.901943,1
357,129857,470,130327,0.902577,1
358,127716,460,128176,0.904083,1
359,134954,450,135404,0.899005,1
360,129613,460,130073,0.902748,1
361,129613,440,130053,0.902748,1
362,130260,450,130710,0.902294,1
363,128849,430,129279,0.903285,1
364,131407,440,131847,0.901489,1
365,132666,440,133106,0.900606,1
366,134356,460,134816,0.899423,1
367,131224,450,131674,0.901617,1
368,128583,440,129023,0.903472,1
369,131171,540,131711,0.901654,1
370,129171,490,129661,0.903059,1
371,128119,500,128619,0.903799,1
372,132758,490,133248,0.900542,1
373,130017,440,130457,0.902464,1
374,130014,460,130474,0.902467,1
375,134203,440,134643,0.899530,1
376,129671,440,130111,0.902707,1
377,131650,510,132160,0.901318,1
378,129128,480,129608,0.903089,1
379,133537,490,134027,0.899996,1
380,131376,470,131846,0.901510,1
381,124705,440,125145,0.906206,1
382,125363,490,125853,0.905741,1
383,140401,430,140831,0.895208,1
384,124301,410,124711,0.906491,1
385,126449,510,126959,0.904975,1
386,124438,440,124878,0.906394,1
387,129518,460,129978,0.902815,1
388,128706,430,129136,0.903386,1
389,124815,410,125225,0.906128,1
390,130134,580,130714,0.902382,1
391,134913,480,135393,0.899034,1
392,129042,430,129472,0.903150,1
393,130690,470,131160,0.901992,1
394,129439,480,129919,0.902871,1
395,129348,460,129808,0.902935,1
396,130156,430,130586,0.902367,1
397,128634,450,129084,0.903437,1
398,134633,490,135123,0.899229,1
399,129762,420,130182,0.902644,1
400,128981,450,129431,0.903193,1
401,132240,680,132920,0.900905,1
402,131848,500,132348,0.901179,1
403,130827,490,131317,0.901896,1
404,131265,530,131795,0.901588,1
405,129035,480,129515,0.903155,1
406,128674,460,129134,0.903408,1
407,133892,480,134372,0.899748,1
408,130292,439,130731,0.902271,1
409,130329,520,130849,0.902245,1
410,130638,450,131088,0.902028,1
411,142047,470,142517,0.894064,1
412,131285,430,131715,0.901574,1
413,129055,440,129495,0.903140,1
414,130893,480,131373,0.901849,1
415,129432,480,129912,0.902875,1
416,131750,440,132190,0.901248,1
417,130590,440,131030,0.902062,1
418,129869,400,130269,0.902568,1
419,129567,460,130027,0.902781,1
420,128886,470,129356,0.903259,1
421,129075,430,129505,0.903126,1
422,129003,450,129453,0.903177,1
423,131971,440,132411,0.901093,1
424,131831,540,132371,0.901191,1
425,130910,520,131430,0.901837,1
426,128928,440,129368,0.903230,1
427,130217,460,130677,0.902324,1
428,127486,460,127946,0.904245,1
429,129705,450,130155,0.902684,1
430,133204,520,133724,0.900229,1
431,136252,440,136692,0.898098,1
432,131491,500,131991,0.901430,1
433,132169,450,132619,0.900954,1
434,130048,480,130528,0.902443,1
435,130946,420,131366,0.901812,1
436,131515,540,132055,0.901413,1
437,128864,450,129314,0.903275,1
438,130512,470,130982,0.902117,1
439,133401,460,133861,0.900091,1
440,131859,500,132359,0.901172,1
441,131468,480,131948,0.901446,1
442,131405,460,131865,0.901490,1
443,131914,450,132364,0.901133,1
444,129643,450,130093,0.902727,1
445,130131,500,130631,0.902384,1
446,130340,460,130800,0.902238,1
447,128338,470,128808,0.903645,1
448,135138,460,135598,0.898876,1
449,129716,460,130176,0.902676,1
450,135675,400,136075,0.898501,1
451,131614,470,132084,0.901343,1
452,128861,470,129331,0.903277,1
453,129951,510,130461,0.902511,1
454,129089,410,129499,0.903117,1
455,130718,460,131178,0.901972,1
456,136576,450,137026,0.897872,1
457,129636,420,130056,0.902732,1
458,133255,480,133735,0.900194,1
459,134423,510,134933,0.899376,1
460,132032,430,132462,0.901050,1
461,129960,460,130420,0.902504,1
462,129540,450,129990,0.902800,1
463,128029,470,128499,0.903862,1
464,131397,460,131857,0.901496,1
465,128845,430,129275,0.903288,1
466,130334,440,130774,0.902242,1
467,135733,420,136153,0.898461,1
468,130011,440,130451,0.902469,1
469,130070,510,130580,0.902427,1
470,129199,500,129699,0.903039,1
471,133238,490,133728,0.900205,1
472,129567,470,130037,0.902781,1
473,129065,460,129525,0.903133,1
474,130765,450,131215,0.901939,1
475,139993,400,140393,0.895491,1
476,128472,470,128942,0.903551,1
477,130721,470,131191,0.901970,1
478,128128,470,128598,0.903793,1
479,129547,490,130037,0.902795,1
480,130766,460,131226,0.901938,1
481,128205,460,128665,0.903738,1
482,129905,520,130425,0.902543,1
483,128403,450,128853,0.903599,1
484,127602,380,127982,0.904163,1
485,133881,520,134401,0.899755,1
486,128710,480,129190,0.903383,1
487,131768,450,132218,0.901235,1
488,136247,460,136707,0.898102,1
489,130617,440,131057,0.902043,1
490,129875,500,130375,0.902564,1
491,128713,480,129193,0.903381,1
492,129411,420,129831,0.902890,1
493,131250,480,131730,0.901599,1
494,129178,480,129658,0.903054,1
495,130107,460,130567,0.902401,1
496,130017,470,130487,0.902464,1
497,131695,430,132125,0.901287,1
498,130764,480,131244,0.901940,1
499,142472,480,142952,0.893769,1
500,129981,430,130411,0.902490,1
501,130891,500,131391,0.901851,1
502,130679,460,131139,0.902000,1
503,130937,450,131387,0.901818,1
504,127326,490,127816,0.904357,1
505,128585,410,128995,0.903471,1
506,129153,450,129603,0.903072,1
507,131402,500,131902,0.901492,1
508,128802,510,129312,0.903318,1
509,129540,420,129960,0.902800,1
510,128799,440,129239,0.903321,1
511,129227,470,129697,0.903020,1
512,128137,450,128587,0.903786,1
513,128885,460,129345,0.903260,1
514,130644,430,131074,0.902024,1
515,128973,460,129433,0.903198,1
516,127542,460,128002,0.904205,1
517,135851,530,136381,0.898378,1
518,130088,480,130568,0.902415,1
519,131597,510,132107,0.901355,1
520,133837,490,134327,0.899786,1
521,129875,440,130315,0.902564,1
522,128124,490,128614,0.903795,1
523,129763,520,130283,0.902643,1
524,134942,470,135412,0.899013,1
525,129870,460,130330,0.902568,1
526,129649,460,130109,0.902723,1
527,130319,560,130879,0.902252,1
528,129597,550,130147,0.902759,1
529,127666,460,128126,0.904118,1
530,132274,440,132714,0.900881,1
531,130442,480,130922,0.902166,1
532,130601,500,131101,0.902054,1
533,129250,480,129730,0.903003,1
534,128039,510,128549,0.903855,1
535,133298,560,133858,0.900163,1
536,128267,440,128707,0.903695,1
537,129295,440,129735,0.902972,1
538,129374,480,129854,0.902916,1
539,138943,460,139403,0.896222,1
540,130251,510,130761,0.902300,1
541,128589,440,129029,0.903468,1
542,128167,400,128567,0.903765,1
543,129396,460,129856,0.902901,1
544,127735,450,128185,0.904069,1
545,141724,530,142254,0.894289,1
546,133563,460,134023,0.899978,1
547,128271,470,128741,0.903692,1
548,130430,430,130860,0.902174,1
549,128849,440,129289,0.903285,1
550,128138,430,128568,0.903786,1
551,133676,450,134126,0.899899,1
552,128715,440,129155,0.903380,1
553,128754,420,129174,0.903352,1
554,130502,460,130962,0.902124,1
555,128051,460,128511,0.903847,1
556,128509,440,128949,0.903525,1
557,129499,430,129929,0.902828,1
558,128778,390,129168,0.903335,1
559,129856,450,130306,0.902578,1
560,128406,510,128916,0.903597,1
561,128854,470,129324,0.903282,1
562,131123,450,131573,0.901688,1
563,134271,500,134771,0.899482,1
564,130780,510,131290,0.901929,1
565,129980,420,130400,0.902490,1
566,128258,450,128708,0.903701,1
567,132246,450,132696,0.900900,1
568,129224,450,129674,0.903022,1
569,129634,450,130084,0.902733,1
570,129212,580,129792,0.903030,1
571,128091,490,128581,0.903819,1
572,129380,470,129850,0.902912,1
573,128668,420,129088,0.903413,1
574,145217,460,145677,0.891868,1
575,131696,470,132166,0.901286,1
576,130115,480,130595,0.902396,1
577,129233,450,129683,0.903015,1
578,130461,440,130901,0.902153,1
579,129310,480,129790,0.902961,1
580,128839,430,129269,0.903292,1
581,128378,460,128838,0.903617,1
582,129466,450,129916,0.902852,1
583,130896,420,131316,0.901847,1
584,128355,430,128785,0.903633,1
585,129613,530,130143,0.902748,1
586,129142,450,129592,0.903079,1
587,130381,400,130781,0.902209,1
588,130170,460,130630,0.902357,1
589,128768,400,129168,0.903342,1
590,130368,490,130858,0.902218,1
591,128577,440,129017,0.903477,1
592,127975,470,128445,0.903900,1
593,129563,430,129993,0.902783,1
594,129632,560,130192,0.902735,1
595,129081,490,129571,0.903122,1
596,130870,450,131320,0.901865,1
597,127218,470,127688,0.904433,1
598,129958,470,130428,0.902506,1
599,132096,470,132566,0.901005,1
600,127255,420,127675,0.904407,1
601,130504,460,130964,0.902122,1
602,128883,490,129373,0.903261,1
603,138542,480,139022,0.896501,1
604,132720,500,133220,0.900568,1
605,129819,490,130309,0.902604,1
606,130216,440,130656,0.902325,1
607,131146,480,131626,0.901672,1
608,129604,450,130054,0.902755,1
609,130493,460,130953,0.902130,1
610,130562,450,131012,0.902082,1
611,130521,450,130971,0.902110,1
612,131820,480,132300,0.901199,1
613,129178,490,129668,0.903054,1
614,130037,510,130547,0.902450,1
615,133366,460,133826,0.900116,1
616,130415,450,130865,0.902185,1
617,129744,480,130224,0.902656,1
618,129202,400,129602,0.903037,1
619,127741,460,128201,0.904065,1
620,129519,500,130019,0.902814,1
621,128498,460,128958,0.903532,1
622,129448,470,129918,0.902864,1
623,130816,470,131286,0.901903,1
624,128515,490,129005,0.903520,1
625,129853,480,130333,0.902580,1
626,129073,420,129493,0.903128,1
627,129241,470,129711,0.903010,1
628,128530,460,128990,0.903510,1
629,132470,410,132880,0.900743,1
630,129298,470,129768,0.902970,1
631,132897,440,133337,0.900444,1
632,129216,440,129656,0.903027,1
633,131885,510,132395,0.901153,1
634,130045,450,130495,0.902445,1
635,130493,440,130933,0.902130,1
636,130372,440,130812,0.902215,1
637,129709,430,130139,0.902681,1
638,129948,430,130378,0.902513,1
639,130226,480,130706,0.902318,1
640,129255,460,129715,0.903000,1
641,129525,480,130005,0.902810,1
642,128793,420,129213,0.903325,1
643,131272,500,131772,0.901583,1
644,129760,470,130230,0.902645,1
645,129299,490,129789,0.902969,1
646,129077,450,129527,0.903125,1
647,131826,470,132296,0.901195,1
648,141185,490,141675,0.894663,1
649,140463,410,140873,0.895165,1
650,128892,480,129372,0.903255,1
651,131550,530,132080,0.901388,1
652,130299,460,130759,0.902266,1
653,128109,480,128589,0.903806,1
654,130667,510,131177,0.902008,1
655,125486,390,125876,0.905654,1
656,125755,430,126185,0.905465,1
657,125564,400,125964,0.905599,1
658,125022,380,125402,0.905982,1
659,125091,450,125541,0.905933,1
660,126410,380,126790,0.905003,1
661,125598,410,126008,0.905575,1
662,130957,410,131367,0.901804,1
663,129826,360,130186,0.902599,1
664,126065,420,126485,0.905246,1
665,128824,520,129344,0.903303,1
666,129263,460,129723,0.902994,1
667,133021,460,133481,0.900357,1
668,129919,410,130329,0.902533,1
669,127929,460,128389,0.903933,1
670,133287,630,133917,0.900171,1
671,130105,460,130565,0.902403,1
672,129945,470,130415,0.902515,1
673,129333,450,129783,0.902945,1
674,127462,410,127872,0.904261,1
675,133741,480,134221,0.899853,1
676,126420,450,126870,0.904996,1
677,123569,410,123979,0.907009,1
678,126008,500,126508,0.905286,1
679,128838,350,129188,0.903293,1
680,127036,490,127526,0.904562,1
681,125726,400,126126,0.905485,1
682,126004,460,126464,0.905289,1
683,125694,450,126144,0.905508,1
684,124753,440,125193,0.906172,1
685,124412,400,124812,0.906413,1
686,131271,670,131941,0.901584,1
687,130169,490,130659,0.902358,1
688,129499,460,129959,0.902828,1
689,131458,430,131888,0.901453,1
690,138516,420,138936,0.896519,1
691,131515,540,132055,0.901413,1
692,129273,470,129743,0.902987,1
693,128893,450,129343,0.903254,1
694,133450,490,133940,0.900057,1
695,132369,440,132809,0.900814,1
696,129889,460,130349,0.902554,1
697,130827,490,131317,0.901896,1
698,129846,510,130356,0.902585,1
699,130725,430,131155,0.901967,1
700,129974,440,130414,0.902495,1
701,128843,450,129293,0.903290,1
702,129841,520,130361,0.902588,1
703,129211,419,129630,0.903031,1
704,130639,430,131069,0.902028,1
705,127848,470,128318,0.903990,1
706,129126,440,129566,0.903091,1
707,129975,440,130415,0.902494,1
708,128814,500,129314,0.903310,1
709,128852,450,129302,0.903283,1
710,129932,570,130502,0.902524,1
711,131440,490,131930,0.901466,1
712,148869,460,149329,0.889346,1
713,128337,420,128757,0.903646,1
714,128177,430,128607,0.903758,1
715,129786,460,130246,0.902627,1
716,128405,440,128845,0.903598,1
717,127244,450,127694,0.904415,1
718,131113,510,131623,0.901695,1
719,129332,440,129772,0.902946,1
720,131611,490,132101,0.901346,1
721,132250,450,132700,0.900898,1
722,134478,480,134958,0.899338,1
723,133065,500,133565,0.900327,1
724,129314,470,129784,0.902958,1
725,133922,540,134462,0.899727,1
726,134911,520,135431,0.899035,1
727,141211,470,141681,0.894645,1
728,133299,480,133779,0.900163,1
729,130328,480,130808,0.902246,1
730,127697,490,128187,0.904096,1
731,129636,520,130156,0.902732,1
