count_index,emit_ts_ns,rtt_ns,e2r_ns,werner
50,1784639043890398437,382803,145152,0.891913
51,1784639043890784010,376502,145762,0.891491
52,1784639043891162422,381014,145813,0.891455
53,1784639043891545106,376282,146412,0.891041
54,1784639043891923178,384922,154363,0.885569
55,1784639043892309990,379273,148285,0.889748
56,1784639043892691053,378722,145865,0.891419
57,1784639043893071495,380303,148576,0.889548
58,1784639043893453418,375622,145936,0.891370
59,1784639043893830970,378413,145137,0.891923
60,1784639043894211293,380772,150107,0.888493
61,1784639043894594195,375052,145438,0.891715
62,1784639043894970887,379473,147090,0.890573
63,1784639043895351990,378443,144390,0.892440
64,1784639043895731953,382903,145490,0.891679
65,1784639043896116626,382132,151570,0.887486
66,1784639043896500618,375213,144781,0.892169
67,1784639043896877711,377222,145811,0.891457
68,1784639043897256583,384682,145723,0.891518
69,1784639043897642935,375863,145504,0.891669
70,1784639043898020408,380402,149184,0.889128
71,1784639043898402600,375013,145185,0.891890
72,1784639043898779443,375102,144665,0.892250
73,1784639043899156355,378122,147136,0.890541
74,1784639043899536027,376823,146167,0.891211
75,1784639043899915120,377982,147228,0.890478
76,1784639043900294892,378083,146459,0.891009
77,1784639043900674535,373052,143839,0.892822
78,1784639043901049237,380303,148290,0.889745
79,1784639043901431240,377242,145720,0.891520
80,1784639043901810402,376662,144152,0.892605
81,1784639043902188834,378364,147663,0.890177
82,1784639043902568928,375152,144742,0.892196
83,1784639043902956030,380743,148483,0.889612
84,1784639043903339043,381962,147133,0.890543
85,1784639043903722995,376053,144304,0.892500
86,1784639043904100768,377142,146964,0.890660
87,1784639043904479470,374052,143476,0.893073
88,1784639043904855272,379523,147417,0.890347
89,1784639043905236875,383212,150247,0.888396
90,1784639043905621797,375693,145008,0.892012
91,1784639043905999570,377622,146318,0.891106
92,1784639043906378912,376483,146659,0.890871
93,1784639043906757125,375253,144940,0.892059
94,1784639043907134288,375652,145730,0.891513
95,1784639043907512050,379603,146081,0.891270
96,1784639043907893423,376742,145371,0.891761
97,1784639043908272115,382583,146342,0.891090
98,1784639043908656688,379312,148162,0.889833
99,1784639043909037650,379872,146253,0.891151
100,1784639043909419142,379893,147355,0.890390
101,1784639043909800535,375052,144775,0.892174
102,1784639043910177347,379633,148876,0.889341
103,1784639043910564580,375712,145746,0.891502
104,1784639043910942182,376203,144857,0.892117
105,1784639043911320326,376922,146406,0.891046
106,1784639043911698948,381492,145368,0.891763
107,1784639043912082680,376013,146339,0.891092
108,1784639043912460403,380032,152069,0.887143
109,1784639043912842075,376403,141520,0.894430
110,1784639043913220278,378772,143060,0.893362
111,1784639043913600830,380843,141461,0.894471
112,1784639043913983303,383862,141852,0.894200
113,1784639043914369325,392622,141573,0.894393
114,1784639043914763627,378793,142133,0.894005
115,1784639043915146720,380533,141654,0.894337
116,1784639043915529033,374583,141954,0.894129
117,1784639043915905246,374192,141114,0.894712
118,1784639043916281068,380413,148725,0.889445
119,1784639043916663091,373472,145565,0.891627
120,1784639043917038083,380082,145616,0.891592
121,1784639043917419725,378023,146338,0.891093
122,1784639043917799448,388002,156988,0.883771
123,1784639043918189100,376973,146869,0.890726
