count_index,emit_ts_ns,rtt_ns,e2r_ns,werner
50,1784639046494614789,372583,140518,0.895126
51,1784639046494989632,374312,140869,0.894882
52,1784639046495365874,377754,143471,0.893077
53,1784639046495745288,377722,141870,0.894187
54,1784639046496124600,392133,143872,0.892799
55,1784639046496518743,393762,152412,0.886908
56,1784639046496914235,382602,143153,0.893297
57,1784639046497298597,386653,142065,0.894052
58,1784639046497686810,393432,141075,0.894739
59,1784639046498082292,392563,143836,0.892824
60,1784639046498476495,376433,143477,0.893073
61,1784639046498854438,380323,145207,0.891875
62,1784639046499236381,381422,144808,0.892151
63,1784639046499619933,374102,141560,0.894402
64,1784639046499995525,376183,142461,0.893777
65,1784639046500373268,374872,143182,0.893277
66,1784639046500749710,374643,141023,0.894775
67,1784639046501126313,374652,142474,0.893768
68,1784639046501502315,376982,143305,0.893192
69,1784639046501880757,377213,143717,0.892906
70,1784639046502259510,375182,142458,0.893779
71,1784639046502636402,375513,142839,0.893515
72,1784639046503013375,375142,141960,0.894125
73,1784639046503389937,372613,140041,0.895458
74,1784639046503764260,371853,141342,0.894554
75,1784639046504138673,373932,141893,0.894171
76,1784639046504514335,373593,141534,0.894421
77,1784639046504889398,375312,141255,0.894614
78,1784639046505266210,380323,145766,0.891488
79,1784639046505648573,373792,141087,0.894731
80,1784639046506023805,377233,142109,0.894021
81,1784639046506402568,374472,141899,0.894167
82,1784639046506778500,382192,143281,0.893208
83,1784639046507172852,376513,143342,0.893166
84,1784639046507551105,374212,142463,0.893776
85,1784639046507927257,391303,156664,0.883993
86,1784639046508320560,375402,141435,0.894489
87,1784639046508697712,377992,140676,0.895017
88,1784639046509077534,378813,144328,0.892483
89,1784639046509457987,376462,142728,0.893592
90,1784639046509836169,376713,141950,0.894132
91,1784639046510214762,377512,143430,0.893105
92,1784639046510593704,382064,140142,0.895388
93,1784639046510977408,388572,140791,0.894937
94,1784639046511367640,394832,145093,0.891953
95,1784639046511764472,386833,141604,0.894372
96,1784639046512153085,392782,143324,0.893179
97,1784639046512548027,373363,141126,0.894704
98,1784639046512922970,375122,141666,0.894329
99,1784639046513299552,372943,141518,0.894432
100,1784639046513674045,372262,140279,0.895293
101,1784639046514048047,376512,141650,0.894340
102,1784639046514426169,381604,152192,0.887059
103,1784639046514815673,378192,141111,0.894714
104,1784639046515195965,377193,143563,0.893013
105,1784639046515575028,375392,141793,0.894241
106,1784639046515952050,377233,143465,0.893081
107,1784639046516330633,375732,141636,0.894350
108,1784639046516707915,371182,137117,0.897495
109,1784639046517080817,367583,136459,0.897954
110,1784639046517450610,373022,138110,0.896802
111,1784639046517825252,375303,142521,0.893735
112,1784639046518202345,373712,141092,0.894728
113,1784639046518577597,370212,137923,0.896933
114,1784639046518949799,371663,138195,0.896743
115,1784639046519324712,379012,138536,0.896506
116,1784639046519706084,375033,136037,0.898248
117,1784639046520082857,375743,143428,0.893107
118,1784639046520460200,375403,143378,0.893141
119,1784639046520837413,374032,139709,0.895689
120,1784639046521213165,394712,146110,0.891250
121,1784639046521609687,376833,143152,0.893298
122,1784639046521988250,378282,143182,0.893277
123,1784639046522368712,374633,142134,0.894004
124,1784639046522745035,372552,139955,0.895518
125,1784639046523119107,382263,150766,0.888039
126,1784639046523503180,377562,143397,0.893128
127,1784639046523883972,375162,141758,0.894265
128,1784639046524260994,374863,142900,0.893473
129,1784639046524637447,372802,142240,0.893930
130,1784639046525011939,375543,141622,0.894359
131,1784639046525389102,376792,142653,0.893644
132,1784639046525767874,373412,141984,0.894108
133,1784639046526142866,372603,141106,0.894718
134,1784639046526517249,371942,141736,0.894280
135,1784639046526890611,375333,140638,0.895043
136,1784639046527267554,372462,141149,0.894688
137,1784639046527641626,373543,141480,0.894458
138,1784639046528016779,375503,140881,0.894874
139,1784639046528394012,374962,140872,0.894880
140,1784639046528770504,373483,142413,0.893810
141,1784639046529145517,381092,142114,0.894018
142,1784639046529528319,383653,143955,0.892741
143,1784639046529919892,392592,144876,0.892104
144,1784639046530314484,390883,144937,0.892061
145,1784639046530707067,384242,140307,0.895273
146,1784639046531092989,390282,144779,0.892171
147,1784639046531484841,374624,142420,0.893806
148,1784639046531861035,381912,144690,0.892232
149,1784639046532244587,374053,142831,0.893520
150,1784639046532620210,372312,141462,0.894471
151,1784639046532994032,375382,142344,0.893858
152,1784639046533371064,377423,142155,0.893989
153,1784639046533750037,375732,141306,0.894579
154,1784639046534127309,376423,142527,0.893731
155,1784639046534505782,373222,141598,0.894376
156,1784639046534880734,373733,141460,0.894472
157,1784639046535256187,373002,142790,0.893549
158,1784639046535631399,372132,140512,0.895131
159,1784639046536006501,373653,141474,0.894462
160,1784639046536381954,370742,137564,0.897183
161,1784639046536754276,368193,136036,0.898249
162,1784639046537124129,371052,138427,0.896581
163,1784639046537496791,371142,136868,0.897668
164,1784639046537869443,373324,139880,0.895570
165,1784639046538244287,371562,138940,0.896224
166,1784639046538617489,376653,147071,0.890586
167,1784639046538995702,369262,136112,0.898196
168,1784639046539366474,371813,138543,0.896501
169,1784639046539739827,366581,137434,0.897273
170,1784639046540108259,373452,146416,0.891039
171,1784639046540483321,371953,143667,0.892941
172,1784639046540856824,376862,148048,0.889912
173,1784639046541235406,386823,144000,0.892710
174,1784639046541623889,372402,144210,0.892565
175,1784639046541997871,370822,142932,0.893450
176,1784639046542370183,373623,148503,0.889598
177,1784639046542745146,367622,140394,0.895213
178,1784639046543114228,370013,142356,0.893850
179,1784639046543487071,367392,139967,0.895510
180,1784639046543856283,380563,144738,0.892199
181,1784639046544238276,373872,145319,0.891797
182,1784639046544614108,372192,143890,0.892786
183,1784639046544987930,373873,143182,0.893277
184,1784639046545363273,371652,144013,0.892701
185,1784639046545736455,370853,142004,0.894094
186,1784639046546108888,368972,142525,0.893733
187,1784639046546479370,366962,140937,0.894835
188,1784639046546847912,373513,144648,0.892261
189,1784639046547222825,376202,142629,0.893661
190,1784639046547600427,371713,143860,0.892807
191,1784639046547973400,372493,144201,0.892571
192,1784639046548347483,371283,142242,0.893929
193,1784639046548720196,370242,142272,0.893908
