count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
51,132019,480,132499,0.901059,0
55,131241,510,131751,0.901605,4
59,132954,430,133384,0.900404,4
60,133113,560,133673,0.900293,1
63,137345,450,137795,0.897336,3
67,132866,430,133296,0.900466,4
68,132467,440,132907,0.900745,1
72,132660,400,133060,0.900610,4
74,132161,470,132631,0.900960,2
75,136222,420,136642,0.898119,1
77,133803,440,134243,0.899810,2
78,133255,470,133725,0.900194,1
79,132194,410,132604,0.900937,1
80,132585,450,133035,0.900663,1
85,134808,360,135168,0.899107,5
86,132578,460,133038,0.900668,1
87,133979,440,134419,0.899687,1
90,132350,430,132780,0.900827,3
93,131882,420,132302,0.901156,3
95,133143,420,133563,0.900272,2
97,133103,430,133533,0.900300,2
103,133237,420,133657,0.900206,6
106,130669,400,131069,0.902007,3
108,132930,410,133340,0.900421,2
113,133191,440,133631,0.900238,5
114,133282,460,133742,0.900175,1
117,134143,520,134663,0.899572,3
119,147263,500,147763,0.890454,2
120,133903,480,134383,0.899740,1
123,134554,450,135004,0.899285,3
125,132924,470,133394,0.900425,2
126,133355,430,133785,0.900123,1
132,134194,490,134684,0.899536,6
133,132775,540,133315,0.900530,1
135,131955,440,132395,0.901104,2
136,130596,440,131036,0.902058,1
137,132635,440,133075,0.900628,1
140,133225,440,133665,0.900215,3
143,140296,500,140796,0.895281,3
147,132036,370,132406,0.901048,4
148,135856,530,136386,0.898375,1
152,132326,430,132756,0.900844,4
154,142707,450,143157,0.893606,2
155,134496,450,134946,0.899325,1
156,134147,380,134527,0.899569,1
157,132306,440,132746,0.900858,1
158,133107,490,133597,0.900297,1
159,137288,450,137738,0.897375,1
160,139716,470,140186,0.895684,1
161,137457,510,137967,0.897257,1
165,131568,420,131988,0.901376,4
167,131598,420,132018,0.901355,2
169,133918,430,134348,0.899729,2
170,132609,500,133109,0.900646,1
174,132098,480,132578,0.901004,4
176,131988,520,132508,0.901081,2
178,135828,450,136278,0.898394,2
179,133389,420,133809,0.900100,1
181,133199,440,133639,0.900233,2
184,132779,480,133259,0.900527,3
185,131989,450,132439,0.901081,1
186,133379,460,133839,0.900107,1
188,133740,420,134160,0.899854,2
190,134590,420,135010,0.899259,2
192,138119,430,138549,0.896796,2
193,135610,440,136050,0.898546,1
194,139160,440,139600,0.896071,1
197,133620,510,134130,0.899938,3
198,132041,420,132461,0.901044,1
199,133161,400,133561,0.900259,1
200,133440,430,133870,0.900064,1
204,130871,390,131261,0.901865,4
206,133141,420,133561,0.900273,2
207,136742,510,137252,0.897756,1
208,133871,420,134291,0.899762,1
210,136992,460,137452,0.897582,2
212,138972,500,139472,0.896202,2
213,133502,490,133992,0.900021,1
214,135732,530,136262,0.898461,1
215,136413,450,136863,0.897986,1
216,139113,430,139543,0.896104,1
217,135652,430,136082,0.898517,1
218,142952,460,143412,0.893437,1
222,133783,440,134223,0.899824,4
223,133643,470,134113,0.899922,1
224,133224,420,133644,0.900215,1
229,133374,380,133754,0.900110,5
230,134043,400,134443,0.899642,1
231,138124,490,138614,0.896793,1
232,134464,400,134864,0.899347,1
233,136014,460,136474,0.898264,1
235,137863,460,138323,0.896974,2
236,133304,440,133744,0.900159,1
237,136554,530,137084,0.897887,1
240,134835,420,135255,0.899088,3
241,133234,470,133704,0.900208,1
242,140125,430,140555,0.895400,1
245,135115,420,135535,0.898892,3
247,133565,430,133995,0.899976,2
250,134016,440,134456,0.899661,3
251,135575,450,136025,0.898571,1
253,134095,420,134515,0.899606,2
254,134745,460,135205,0.899151,1
256,135466,490,135956,0.898647,2
257,133626,380,134006,0.899934,1
258,139306,430,139736,0.895969,1
260,133296,410,133706,0.900165,2
262,136977,470,137447,0.897592,2
263,130666,390,131056,0.902009,1
271,129948,380,130328,0.902513,8
272,131788,420,132208,0.901221,1
274,137277,400,137677,0.897383,2
275,135608,490,136098,0.898548,1
276,134388,420,134808,0.899401,1
277,133208,490,133698,0.900226,1
279,133939,380,134319,0.899715,2
282,143799,460,144259,0.892849,3
284,133519,360,133879,0.900009,2
285,132850,430,133280,0.900477,1
291,140980,470,141450,0.894805,6
292,134020,420,134440,0.899658,1
294,137361,450,137811,0.897324,2
296,134091,480,134571,0.899608,2
297,134900,400,135300,0.899043,1
301,134732,410,135142,0.899160,4
302,134261,420,134681,0.899489,1
303,134852,490,135342,0.899076,1
307,135033,390,135423,0.898950,4
308,135473,460,135933,0.898642,1
318,135014,360,135374,0.898963,10
319,136923,480,137403,0.897630,1
321,135244,420,135664,0.898802,2
324,140225,450,140675,0.895330,3
326,135214,470,135684,0.898823,2
327,134834,430,135264,0.899089,1
329,135315,490,135805,0.898753,2
333,140166,420,140586,0.895371,4
335,135815,420,136235,0.898403,2
337,133935,430,134365,0.899718,2
340,134496,400,134896,0.899325,3
344,135897,460,136357,0.898346,4
346,140827,420,141247,0.894912,2
347,133867,460,134327,0.899765,1
348,129807,450,130257,0.902612,1
351,131087,360,131447,0.901713,3
352,130428,470,130898,0.902176,1
356,132019,560,132579,0.901059,4
358,133309,430,133739,0.900156,2
359,132908,360,133268,0.900437,1
360,131808,500,132308,0.901207,1
362,131639,420,132059,0.901326,2
363,133389,420,133809,0.900100,1
365,131359,480,131839,0.901522,2
374,134100,440,134540,0.899602,9
376,136171,560,136731,0.898155,2
379,135380,430,135810,0.898707,3
380,134131,440,134571,0.899580,1
383,133172,400,133572,0.900252,3
386,134762,430,135192,0.899139,3
387,134682,460,135142,0.899195,1
388,135142,440,135582,0.898873,1
389,141833,450,142283,0.894213,1
390,135742,490,136232,0.898454,1
391,137012,440,137452,0.897568,1
393,134202,360,134562,0.899531,2
394,133693,480,134173,0.899887,1
397,134764,460,135224,0.899138,3
400,132623,410,133033,0.900636,3
401,136454,400,136854,0.897957,1
402,133464,480,133944,0.900047,1
403,134464,430,134894,0.899347,1
404,133965,400,134365,0.899697,1
408,135444,380,135824,0.898662,4
409,134164,470,134634,0.899557,1
416,142796,450,143246,0.893545,7
425,137047,420,137467,0.897543,9
426,135256,430,135686,0.898794,1
427,140537,440,140977,0.895113,1
429,136016,390,136406,0.898263,2
431,132847,490,133337,0.900479,2
437,131719,380,132099,0.901270,6
438,131328,380,131708,0.901544,1
440,138559,530,139089,0.896490,2
441,136659,460,137119,0.897814,1
442,135299,470,135769,0.898764,1
445,134959,420,135379,0.899001,3
448,137070,460,137530,0.897527,3
449,137701,460,138161,0.897087,1
450,136120,450,136570,0.898190,1
452,137680,400,138080,0.897102,2
453,134940,400,135340,0.899015,1
455,140710,410,141120,0.894993,2
456,134351,410,134761,0.899427,1
457,134551,410,134961,0.899287,1
458,136761,370,137131,0.897743,1
460,138721,460,139181,0.896377,2
461,136960,380,137340,0.897604,1
462,133701,480,134181,0.899881,1
465,132472,450,132922,0.900742,3
466,133031,370,133401,0.900350,1
470,133253,430,133683,0.900195,4
472,137732,420,138152,0.897066,2
473,134972,450,135422,0.898992,1
474,145993,420,146413,0.891331,1
478,136453,470,136923,0.897958,4
479,134664,410,135074,0.899208,1
481,137653,490,138143,0.897121,2
485,137274,430,137704,0.897385,4
486,136085,480,136565,0.898215,1
487,134995,440,135435,0.898976,1
488,139495,460,139955,0.895838,1
490,144935,470,145405,0.892063,2
493,137316,390,137706,0.897356,3
496,137456,420,137876,0.897258,3
498,136116,450,136566,0.898193,2
500,136886,460,137346,0.897656,2
501,138186,440,138626,0.896749,1
503,136406,460,136866,0.897991,2
505,135707,440,136147,0.898479,2
506,136277,430,136707,0.898081,1
511,136517,430,136947,0.897913,5
513,136297,410,136707,0.898067,2
514,134238,470,134708,0.899506,1
516,139217,450,139667,0.896031,2
518,136168,420,136588,0.898157,2
520,141618,440,142058,0.894362,2
522,137658,470,138128,0.897117,2
524,137789,430,138219,0.897026,2
526,136549,440,136989,0.897891,2
527,136179,440,136619,0.898149,1
528,136790,480,137270,0.897723,1
533,139141,380,139521,0.896084,5
534,142270,440,142710,0.893910,1
549,137422,440,137862,0.897282,15
551,135822,430,136252,0.898398,2
554,141033,450,141483,0.894769,3
555,141322,420,141742,0.894568,1
556,138062,350,138412,0.896836,1
557,136942,380,137322,0.897617,1
558,141833,470,142303,0.894213,1
559,137532,380,137912,0.897205,1
560,135243,390,135633,0.898803,1
561,139954,430,140384,0.895519,1
562,136013,420,136433,0.898265,1
563,137924,430,138354,0.896932,1
565,136263,420,136683,0.898090,2
569,135664,420,136084,0.898509,4
571,138034,430,138464,0.896855,2
573,136675,410,137085,0.897803,2
574,138775,420,139195,0.896339,1
576,137796,550,138346,0.897021,2
577,138455,390,138845,0.896562,1
