count_index,s2r_ns,r2a_ns,total_ns,werner,inter_success_gap
50,143382,440,143822,0.893138,0
51,143050,470,143520,0.893369,1
52,142339,430,142769,0.893862,1
56,143733,430,144163,0.892895,4
57,138611,490,139101,0.896453,1
58,140560,450,141010,0.895097,1
59,148289,390,148679,0.889746,1
60,141857,420,142277,0.894196,1
62,140204,460,140664,0.895345,2
63,142063,420,142483,0.894053,1
64,140791,430,141221,0.894937,1
65,139511,410,139921,0.895827,1
67,147538,690,148228,0.890264,2
68,145697,550,146247,0.891536,1
69,144725,580,145305,0.892208,1
70,143164,500,143664,0.893290,1
72,143090,510,143600,0.893341,2
74,143488,470,143958,0.893065,2
75,146137,510,146647,0.891231,1
78,142753,410,143163,0.893575,3
80,141330,470,141800,0.894562,2
85,144423,429,144852,0.892417,5
86,142901,400,143301,0.893472,1
88,141988,430,142418,0.894105,2
91,146604,430,147034,0.890909,3
93,143910,460,144370,0.892773,2
94,141669,470,142139,0.894327,1
95,144688,500,145188,0.892234,1
97,146065,490,146555,0.891281,2
103,145406,440,145846,0.891737,6
106,144632,480,145112,0.892273,3
108,144809,450,145259,0.892150,2
109,143198,500,143698,0.893266,1
110,147007,530,147537,0.890630,1
111,146464,510,146974,0.891005,1
112,145233,450,145683,0.891857,1
113,144732,520,145252,0.892203,1
120,142620,470,143090,0.893667,7
121,143548,500,144048,0.893023,1
124,143994,380,144374,0.892714,3
125,153272,410,153682,0.886317,1
126,150190,470,150660,0.888436,1
128,142467,460,142927,0.893773,2
129,142436,410,142846,0.893794,1
130,144225,450,144675,0.892554,1
134,142620,460,143080,0.893667,4
135,142138,450,142588,0.894001,1
136,142098,500,142598,0.894029,1
140,143581,480,144061,0.893001,4
143,139037,360,139397,0.896157,3
145,137925,400,138325,0.896931,2
148,140002,469,140471,0.895485,3
149,142619,450,143069,0.893667,1
150,145418,610,146028,0.891729,1
152,144145,440,144585,0.892610,2
153,141554,390,141944,0.894407,1
155,146972,480,147452,0.890655,2
156,144120,500,144620,0.892627,1
157,144289,450,144739,0.892510,1
159,142045,380,142425,0.894066,2
160,143084,490,143574,0.893345,1
161,141742,460,142202,0.894276,1
164,143418,450,143868,0.893113,3
165,145006,510,145516,0.892014,1
167,141934,460,142394,0.894143,2
169,142230,490,142720,0.893937,2
171,149977,440,150417,0.888582,2
173,145684,450,146134,0.891545,2
174,145073,470,145543,0.891967,1
175,144921,500,145421,0.892073,1
176,144200,460,144660,0.892572,1
177,142397,490,142887,0.893822,1
183,143520,500,144020,0.893043,6
184,143708,390,144098,0.892912,1
190,143250,430,143680,0.893230,6
191,150968,450,151418,0.887900,1
193,142207,450,142657,0.893953,2
194,140905,500,141405,0.894857,1
195,142834,450,143284,0.893518,1
196,144242,520,144762,0.892543,1
197,143231,550,143781,0.893243,1
205,149299,420,149719,0.889049,8
207,143688,420,144108,0.892926,2
208,142836,480,143316,0.893517,1
209,145795,490,146285,0.891468,1
210,143642,430,144072,0.892958,1
211,143191,460,143651,0.893271,1
214,143146,420,143566,0.893302,3
215,144754,510,145264,0.892188,1
217,143910,490,144400,0.892773,2
220,143167,460,143627,0.893287,3
221,143686,380,144066,0.892928,1
223,145103,460,145563,0.891947,2
224,149661,500,150161,0.888800,1
226,144298,480,144778,0.892504,2
227,143166,460,143626,0.893288,1
230,142783,420,143203,0.893554,3
231,154641,470,155111,0.885378,1
232,142870,470,143340,0.893493,1
234,146017,460,146477,0.891314,2
235,149736,450,150186,0.888748,1
238,144011,450,144461,0.892703,3
239,143210,470,143680,0.893258,1
242,143456,500,143956,0.893087,3
243,143154,460,143614,0.893296,1
244,143374,460,143834,0.893144,1
245,144341,450,144791,0.892474,1
246,143861,490,144351,0.892806,1
247,142470,460,142930,0.893771,1
248,143917,440,144357,0.892768,1
251,145693,520,146213,0.891538,3
252,143371,520,143891,0.893146,1
256,144606,500,145106,0.892291,4
258,145422,420,145842,0.891726,2
259,145710,450,146160,0.891527,1
263,142796,440,143236,0.893545,4
266,143231,400,143631,0.893243,3
267,146369,430,146799,0.891071,1
269,152086,430,152516,0.887132,2
273,143041,480,143521,0.893375,4
274,142080,430,142510,0.894041,1
275,144839,460,145299,0.892129,1
276,143977,610,144587,0.892726,1
277,144216,550,144766,0.892561,1
281,143790,530,144320,0.892856,4
282,160968,510,161478,0.881055,1
284,142325,490,142815,0.893871,2
285,142733,390,143123,0.893588,1
288,143789,480,144269,0.892856,3
292,142183,490,142673,0.893970,4
294,143821,450,144271,0.892834,2
296,143789,489,144278,0.892856,2
297,143316,400,143716,0.893184,1
301,141391,490,141881,0.894520,4
304,141527,430,141957,0.894425,3
305,143486,390,143876,0.893066,1
306,144344,470,144814,0.892472,1
309,144400,510,144910,0.892433,3
310,141359,410,141769,0.894542,1
311,144877,570,145447,0.892103,1
312,142346,480,142826,0.893857,1
318,143696,440,144136,0.892921,6
322,145561,510,146071,0.891630,4
324,146398,470,146868,0.891051,2
326,141543,480,142023,0.894414,2
328,143060,450,143510,0.893362,2
331,144436,460,144896,0.892408,3
333,152282,460,152742,0.886997,2
334,147400,400,147800,0.890359,1
337,143937,460,144397,0.892754,3
339,141184,440,141624,0.894664,2
344,143747,480,144227,0.892885,5
347,145163,450,145613,0.891905,3
348,145412,520,145932,0.891733,1
351,144187,450,144637,0.892581,3
352,143016,390,143406,0.893392,1
354,143172,460,143632,0.893284,2
356,152220,480,152700,0.887039,2
357,144459,530,144989,0.892392,1
359,142846,450,143296,0.893510,2
360,139344,460,139804,0.895943,1
361,140043,440,140483,0.895457,1
363,141861,450,142311,0.894193,2
364,137389,430,137819,0.897305,1
365,137427,410,137837,0.897278,1
366,137556,380,137936,0.897188,1
367,137215,420,137635,0.897426,1
370,145991,530,146521,0.891332,3
372,143288,460,143748,0.893204,2
374,142825,490,143315,0.893525,2
376,143952,550,144502,0.892743,2
378,142259,460,142719,0.893917,2
379,145807,500,146307,0.891460,1
380,143816,470,144286,0.892838,1
