count_index,emit_ts_ns,rtt_ns,e2r_ns,werner
50,1784639524375752229,374052,169507,0.875265
51,1784639524376128541,374792,169675,0.875151
52,1784639524376505053,375933,170353,0.874694
53,1784639524376882576,383662,172460,0.873274
54,1784639524377267838,386143,171698,0.873787
55,1784639524377656501,382362,171135,0.874166
56,1784639524378040693,383012,169623,0.875186
57,1784639524378425785,380113,169421,0.875323
58,1784639524378807538,378553,170328,0.874711
59,1784639524379188131,381013,168765,0.875766
60,1784639524379570734,380722,168862,0.875700
61,1784639524379952856,383273,171130,0.874170
62,1784639524380337549,383132,169757,0.875096
63,1784639524380722391,380982,170195,0.874800
64,1784639524381105073,380573,169333,0.875382
65,1784639524381487296,379192,168120,0.876202
66,1784639524381868168,375123,169958,0.874960
67,1784639524382245431,380692,174535,0.871878
68,1784639524382627563,383023,176763,0.870383
69,1784639524383012266,377663,170870,0.874345
70,1784639524383391419,373502,168737,0.875785
71,1784639524383766481,384343,178465,0.869243
72,1784639524384152364,374932,168533,0.875923
73,1784639524384528836,381273,169671,0.875154
74,1784639524384911799,377682,170498,0.874596
75,1784639524385291461,392623,167926,0.876333
76,1784639524385685934,393452,169162,0.875498
77,1784639524386080806,395802,169470,0.875290
78,1784639524386478149,396563,169147,0.875508
79,1784639524386876822,389672,168343,0.876051
80,1784639524387268044,391653,168271,0.876100
81,1784639524387661267,380972,169358,0.875365
82,1784639524388043719,387193,171726,0.873768
83,1784639524388447202,380912,169782,0.875079
84,1784639524388829724,382582,170920,0.874311
85,1784639524389213777,386383,173397,0.872643
86,1784639524389601730,385532,169734,0.875111
87,1784639524389989082,396753,184572,0.865168
88,1784639524390387425,378162,168469,0.875966
89,1784639524390767187,380073,169837,0.875042
90,1784639524391149040,380122,169754,0.875098
91,1784639524391530942,378452,168892,0.875680
92,1784639524391911024,383863,170460,0.874621
93,1784639524392296397,380582,170207,0.874792
94,1784639524392678570,391213,180044,0.868187
95,1784639524393071723,380462,170050,0.874898
96,1784639524393454055,377063,167719,0.876473
97,1784639524393832888,378402,167796,0.876421
98,1784639524394212680,378642,169004,0.875604
99,1784639524394593042,382863,168082,0.876228
100,1784639524394977345,381682,169369,0.875358
101,1784639524395360947,380843,171316,0.874044
102,1784639524395743270,378462,169113,0.875531
103,1784639524396128792,382094,171041,0.874230
104,1784639524396512656,385632,176867,0.870313
105,1784639524396899948,378892,168945,0.875644
106,1784639524397280460,384053,169183,0.875483
107,1784639524397666153,381652,169190,0.875479
108,1784639524398049445,381793,167738,0.876460
109,1784639524398432748,379102,168935,0.875651
110,1784639524398813500,382093,171083,0.874201
111,1784639524399197233,378732,167900,0.876351
112,1784639524399577495,378572,169628,0.875183
113,1784639524399957637,381914,171046,0.874226
114,1784639524400341111,384362,169502,0.875268
115,1784639524400728733,380693,173960,0.872264
116,1784639524401111066,371232,166937,0.877002
117,1784639524401483968,375513,169035,0.875583
118,1784639524401861491,373972,170782,0.874404
119,1784639524402237463,376142,170941,0.874297
120,1784639524402615015,374113,171089,0.874197
121,1784639524402990578,369072,166786,0.877105
122,1784639524403361310,370313,166844,0.877065
123,1784639524403733193,372092,168431,0.875992
124,1784639524404106665,377012,173579,0.872521
125,1784639524404485247,372333,167738,0.876460
126,1784639524404859000,377272,170825,0.874375
127,1784639524405239202,379203,169493,0.875274
128,1784639524405620435,377973,174460,0.871928
129,1784639524406000728,372423,168237,0.876123
130,1784639524406374781,371832,167564,0.876578
131,1784639524406748063,371692,167643,0.876525
132,1784639524407121195,371353,166751,0.877128
133,1784639524407493948,372152,168098,0.876217
134,1784639524407868330,375913,170046,0.874901
135,1784639524408245653,387872,182313,0.866672
136,1784639524408634865,372502,169501,0.875269
137,1784639524409008697,377603,167950,0.876317
138,1784639524409387940,377072,166567,0.877253
139,1784639524409767212,392933,171265,0.874079
140,1784639524410162345,381412,167391,0.876695
141,1784639524410545517,378434,165689,0.877848
142,1784639524410925411,383082,168275,0.876097
143,1784639524411311423,393432,168863,0.875700
144,1784639524411706425,371973,168131,0.876194
145,1784639524412079768,376882,171438,0.873962
146,1784639524412458110,377943,168336,0.876056
147,1784639524412837523,374502,169643,0.875173
148,1784639524413213415,386613,169511,0.875262
149,1784639524413601958,390672,176718,0.870413
150,1784639524413994600,382202,170016,0.874921
151,1784639524414378362,381184,173164,0.872800
152,1784639524414761606,377282,169070,0.875560
153,1784639524415140548,379623,168958,0.875635
154,1784639524415522191,379612,168905,0.875671
155,1784639524415903373,390133,178012,0.869546
156,1784639524416295236,381022,170209,0.874791
157,1784639524416677878,380922,169557,0.875231
158,1784639524417060610,391583,176735,0.870401
159,1784639524417461043,380842,169682,0.875147
160,1784639524417843965,385013,175240,0.871404
161,1784639524418230509,380092,166896,0.877030
162,1784639524418612171,387203,174044,0.872208
163,1784639524419001074,379552,168151,0.876181
164,1784639524419382256,377802,169259,0.875432
165,1784639524419761628,377423,171327,0.874037
166,1784639524420140391,375642,169274,0.875422
167,1784639524420517743,381633,177102,0.870155
168,1784639524420901676,377052,170759,0.874420
169,1784639524421280898,379183,168247,0.876116
170,1784639524421662011,379183,170364,0.874686
171,1784639524422043704,372552,167551,0.876587
172,1784639524422418016,371393,167739,0.876460
173,1784639524422790789,370162,166607,0.877226
174,1784639524423162681,372573,166405,0.877363
175,1784639524423536874,371052,167912,0.876343
176,1784639524423909596,375772,170370,0.874682
177,1784639524424286988,373973,168818,0.875730
178,1784639524424662291,381772,173975,0.872254
179,1784639524425046393,373793,168783,0.875754
180,1784639524425421796,370052,166881,0.877040
181,1784639524425793628,376243,170189,0.874804
182,1784639524426171541,370872,165866,0.877728
183,1784639524426544023,371412,167494,0.876625
184,1784639524426916895,378423,168023,0.876268
185,1784639524427296848,381832,167670,0.876506
186,1784639524427680260,382304,169448,0.875305
187,1784639524428064264,382032,170484,0.874605
188,1784639524428448036,378172,166542,0.877270
189,1784639524428827598,380623,169060,0.875567
190,1784639524429209781,377552,168907,0.875670
191,1784639524429598663,379883,168074,0.876233
192,1784639524429980336,377912,172231,0.873428
193,1784639524430359938,371893,166300,0.877434
194,1784639524430733351,376072,170287,0.874738
195,1784639524431110813,373752,168575,0.875894
196,1784639524431485885,381423,176483,0.870570
197,1784639524431868858,389553,173580,0.872520
198,1784639524432260091,379673,171137,0.874165
199,1784639524432647084,429632,219492,0.842341
200,1784639524433078546,405503,198620,0.855889
201,1784639524433485529,412243,195046,0.858237
202,1784639524433899922,410693,197692,0.856498
203,1784639524434312385,405942,194588,0.858539
204,1784639524434719937,406292,194606,0.858527
205,1784639524435127729,402323,190473,0.861254
206,1784639524435531702,397323,188010,0.862885
207,1784639524435930735,389963,176307,0.870688
208,1784639524436322458,389092,174963,0.871590
209,1784639524436713590,381313,171101,0.874189
210,1784639524437096963,382182,170738,0.874434
211,1784639524437480905,380553,169816,0.875056
212,1784639524437864018,379752,168753,0.875774
213,1784639524438245270,387573,176811,0.870351
214,1784639524438634713,381973,170808,0.874387
215,1784639524439018206,381792,168685,0.875820
216,1784639524439401578,382163,170863,0.874350
217,1784639524439785231,380882,168930,0.875654
218,1784639524440167743,382173,170048,0.874899
219,1784639524440551656,378242,168815,0.875732
220,1784639524440931398,387782,176533,0.870537
221,1784639524441320850,381723,169761,0.875093
222,1784639524441704313,381132,169558,0.875230
223,1784639524442088355,381544,169186,0.875481
224,1784639524442471719,377782,168522,0.875930
225,1784639524442851681,381532,170660,0.874487
226,1784639524443234673,378483,167608,0.876548
227,1784639524443614866,377912,169615,0.875192
228,1784639524443994308,379293,167593,0.876558
229,1784639524444375111,380652,170110,0.874858
230,1784639524444757383,381353,170008,0.874926
231,1784639524445140356,385572,169475,0.875286
232,1784639524445527448,393392,176072,0.870846
233,1784639524445922360,397854,171010,0.874251
234,1784639524446321864,395462,169816,0.875056
235,1784639524446719096,399203,171093,0.874195
236,1784639524447120069,380402,167950,0.876317
237,1784639524447502011,380493,169678,0.875149
238,1784639524447884094,383562,171085,0.874200
239,1784639524448269146,379143,168603,0.875875
240,1784639524448649769,383483,172250,0.873415
241,1784639524449034722,380092,169267,0.875427
242,1784639524449416534,380433,166445,0.877336
243,1784639524449798817,380892,169282,0.875417
244,1784639524450181169,382873,169220,0.875459
245,1784639524450565772,386512,172237,0.873424
246,1784639524450953844,383542,170685,0.874470
247,1784639524451338996,378853,168083,0.876227
248,1784639524451719669,379202,169350,0.875371
249,1784639524452100441,379713,168948,0.875642
250,1784639524452482294,377103,166905,0.877024
251,1784639524452868697,387493,168672,0.875829
252,1784639524453258010,381502,169148,0.875507
253,1784639524453641132,385402,170346,0.874698
254,1784639524454028104,383653,170514,0.874585
255,1784639524454413247,378162,167851,0.876384
256,1784639524454793119,381103,169319,0.875392
257,1784639524455175972,381572,170176,0.874813
258,1784639524455559184,378813,168964,0.875631
259,1784639524455939567,380272,170271,0.874749
260,1784639524456321529,377563,167289,0.876764
261,1784639524456700642,380673,171256,0.874085
262,1784639524457082785,380422,168103,0.876213
263,1784639524457464797,378423,168081,0.876228
264,1784639524457845090,380672,168798,0.875744
265,1784639524458227252,393303,179996,0.868219
266,1784639524458628765,388382,176853,0.870322
267,1784639524459019037,389772,168741,0.875782
268,1784639524459410499,379894,170098,0.874866
269,1784639524459792123,379512,169274,0.875422
270,1784639524460173165,383333,170712,0.874451
271,1784639524460558068,380912,168029,0.876263
272,1784639524460940750,385153,166437,0.877341
273,1784639524461327563,391782,179114,0.868808
274,1784639524461721085,380132,169372,0.875356
275,1784639524462103347,382693,169260,0.875431
276,1784639524462487630,382492,169847,0.875035
277,1784639524462871702,384634,171875,0.873668
278,1784639524463258036,381022,168791,0.875748
279,1784639524463640638,382983,168799,0.875743
280,1784639524464025071,380602,168055,0.876246
281,1784639524464407243,378922,168854,0.875706
282,1784639524464788115,380793,170282,0.874742
283,1784639524465172168,381862,167779,0.876433
284,1784639524465556030,385183,176796,0.870361
285,1784639524465942783,379812,167323,0.876741
286,1784639524466324275,379153,168061,0.876242
287,1784639524466705088,378763,169258,0.875433
288,1784639524467085631,378912,168776,0.875758
289,1784639524467466033,376343,167784,0.876429
290,1784639524467843886,381072,170181,0.874810
291,1784639524468226498,379023,167859,0.876378
292,1784639524468607171,386862,175556,0.871192
293,1784639524468996013,383563,171764,0.873742
294,1784639524469380996,379402,168941,0.875647
295,1784639524469761848,375532,169718,0.875122
296,1784639524470138910,375483,168927,0.875656
297,1784639524470516543,372282,167344,0.876727
298,1784639524470890315,382053,175932,0.870940
299,1784639524471273808,375152,167979,0.876297
300,1784639524471650440,381782,169477,0.875285
301,1784639524472033762,374563,168855,0.875705
302,1784639524472410405,373542,168552,0.875910
