count_index,emit_ts_ns,rtt_ns,e2r_ns,werner,success_bit
50,1784793452348043681,138048,68663,0.946913,1
51,1784793452348186549,93471,38170,0.970039,1
52,1784793452348284979,133659,69625,0.946195,0
53,1784793452348423344,114439,58896,0.954244,0
54,1784793452348541513,106075,54611,0.957483,1
55,1784793452348651535,108247,53531,0.958301,1
56,1784793452348763464,108425,54170,0.957817,1
57,1784793452348875538,106145,52481,0.959098,1
58,1784793452348985355,105004,52182,0.959325,0
59,1784793452349094533,106115,52619,0.958993,1
60,1784793452349204163,105404,52664,0.958959,1
61,1784793452349313272,104817,52674,0.958951,0
62,1784793452349421711,106450,52620,0.958992,1
63,1784793452349531799,110704,52860,0.958810,1
64,1784793452349648071,128719,69029,0.946640,0
65,1784793452349781762,139258,79522,0.938846,1
66,1784793452349925739,128142,70657,0.945425,0
67,1784793452350059064,125201,68205,0.947255,0
68,1784793452350188682,128066,71746,0.944614,0
69,1784793452350321314,126958,70350,0.945654,1
70,1784793452350452489,128614,72706,0.943899,0
71,1784793452350585411,137853,68137,0.947306,1
72,1784793452350727141,152299,85957,0.934107,1
73,1784793452350882815,151374,84615,0.935093,0
74,1784793452351037616,154339,84608,0.935098,0
75,1784793452351195503,151301,84803,0.934955,1
76,1784793452351349979,151450,85258,0.934620,0
77,1784793452351504773,157877,91699,0.929904,0
78,1784793452351665788,104292,69621,0.946198,1
79,1784793452351773284,155547,88093,0.932541,1
80,1784793452351932039,151631,84931,0.934861,0
81,1784793452352086793,151720,85029,0.934789,1
82,1784793452352241704,135880,71148,0.945059,1
83,1784793452352391509,124216,63244,0.950972,1
84,1784793452352520523,154198,90935,0.930462,0
85,1784793452352679477,150748,89077,0.931820,1
86,1784793452352834797,151675,89914,0.931208,1
87,1784793452352991105,150713,88652,0.932131,1
88,1784793452353146306,151699,89582,0.931451,1
89,1784793452353302529,149962,88779,0.932038,0
90,1784793452353457068,165192,89118,0.931790,1
91,1784793452353632502,122699,62045,0.951872,1
92,1784793452353760139,151830,88818,0.932010,1
93,1784793452353916771,159438,89017,0.931864,0
94,1784793452354079921,124852,68023,0.947391,0
95,1784793452354209346,128143,70608,0.945462,0
96,1784793452354342230,128643,70796,0.945322,1
97,1784793452354475482,129433,71446,0.944837,1
98,1784793452354609447,126232,69806,0.946060,0
99,1784793452354740205,127003,69991,0.945922,1
100,1784793452354871534,127025,70862,0.945272,1
101,1784793452355003065,126567,70683,0.945406,0
102,1784793452355134135,127720,71179,0.945036,1
103,1784793452355268851,134416,68637,0.946932,1
104,1784793452355408013,126613,69960,0.945945,0
105,1784793452355539291,127161,70902,0.945243,0
106,1784793452355671164,126488,70218,0.945752,1
107,1784793452355802087,133111,71304,0.944943,0
108,1784793452355939710,175161,70391,0.945623,1
109,1784793452356124507,231100,124216,0.906551,1
110,1784793452356364458,231344,120313,0.909314,0
111,1784793452356604783,180533,104992,0.920265,0
112,1784793452356790914,105152,52810,0.958848,0
113,1784793452356900662,103289,50693,0.960456,0
114,1784793452357008236,174648,110242,0.916494,1
115,1784793452357190572,119133,60671,0.952906,0
116,1784793452357314617,114085,57048,0.955639,1
117,1784793452357433073,104548,52333,0.959210,1
118,1784793452357542040,113419,49993,0.960989,0
119,1784793452357661603,194221,81632,0.937289,1
120,1784793452357864270,137186,71104,0.945092,0
121,1784793452358007954,132755,64293,0.950184,1
122,1784793452358146163,118790,59523,0.953771,1
123,1784793452358269806,116148,58962,0.954194,0
124,1784793452358390720,116481,58479,0.954558,1
125,1784793452358512087,115385,58092,0.954851,1
126,1784793452358632423,114542,57355,0.955407,1
127,1784793452358752975,115993,59082,0.954104,0
128,1784793452358873901,116589,58767,0.954341,1
129,1784793452358995108,114164,57240,0.955494,0
130,1784793452359114039,115501,57920,0.954980,1
131,1784793452359234470,114807,57740,0.955116,1
132,1784793452359354117,115090,58246,0.954734,1
133,1784793452359473997,114454,57714,0.955136,1
134,1784793452359593118,115063,58129,0.954823,1
135,1784793452359713072,114362,57843,0.955038,0
136,1784793452359832145,114648,57699,0.955147,1
137,1784793452359951564,122996,58627,0.954447,0
138,1784793452360079920,180369,91912,0.929748,0
139,1784793452360282229,170076,96517,0.926396,1
140,1784793452360456465,137004,64880,0.949744,1
141,1784793452360597756,151742,74971,0.942216,1
142,1784793452360752987,130363,59097,0.954092,1
143,1784793452360888371,149344,72716,0.943892,0
144,1784793452361041311,130432,59944,0.953454,0
145,1784793452361175855,150881,73724,0.943142,1
146,1784793452361330248,129289,71153,0.945056,0
147,1784793452361463728,129367,71498,0.944799,1
148,1784793452361597544,141499,77487,0.940351,1
149,1784793452361742686,128373,57850,0.955033,0
150,1784793452361875022,150544,74777,0.942360,0
151,1784793452362029074,129142,58145,0.954811,1
152,1784793452362162106,151460,75352,0.941934,1
153,1784793452362317110,127810,57436,0.955346,0
154,1784793452362448674,129415,72771,0.943851,0
155,1784793452362582528,146514,71203,0.945018,0
156,1784793452362732646,133179,75574,0.941769,1
157,1784793452362870312,145023,70930,0.945222,1
158,1784793452363018892,127639,58250,0.954731,0
159,1784793452363151540,147853,72116,0.944338,1
160,1784793452363302872,128355,58419,0.954604,0
161,1784793452363435136,130236,73201,0.943531,0
162,1784793452363569697,145658,71592,0.944729,0
163,1784793452363719042,128130,57838,0.955042,0
164,1784793452363850918,149010,73617,0.943222,0
165,1784793452364003478,128220,57092,0.955606,1
166,1784793452364135502,149860,74457,0.942598,0
167,1784793452364288813,125616,57565,0.955248,0
168,1784793452364418422,119578,61936,0.951954,1
