count_index,ts_swap,swap_to_recv_ns,werner,success_bit
0,1789567626246854291,486299,0.000000,0
1,1789567626247286095,141073,0.000000,0
2,1789567626247696420,121252,0.000000,0
3,1789567626248103674,115842,0.000000,0
4,1789567626248511469,116971,0.931000,1
5,1789567626248919014,123530,0.000000,0
6,1789567626249334648,116880,0.000000,0
7,1789567626249741683,122239,0.931000,1
8,1789567626250148677,119029,0.000000,0
9,1789567626250556202,100868,0.000000,0
10,1789567626250963387,104037,0.931000,1
11,1789567626251370781,99857,0.000000,0
12,1789567626251778176,100916,0.000000,0
13,1789567626252185200,98266,0.000000,0
14,1789567626252592385,100375,0.000000,0
15,1789567626252999290,100515,0.000000,0
16,1789567626253407424,97664,0.000000,0
17,1789567626253814579,98483,0.000000,0
18,1789567626254221883,97363,0.000000,0
19,1789567626254628908,97542,0.000000,0
20,1789567626255036283,100991,0.000000,0
21,1789567626255443747,99471,0.931000,1
22,1789567626255851032,99540,0.000000,0
23,1789567626256258216,97440,0.000000,0
24,1789567626256665511,99419,0.000000,0
25,1789567626257072926,100188,0.000000,0
26,1789567626257481550,99678,0.000000,0
27,1789567626257888885,98757,0.000000,0
28,1789567626258295799,98076,0.000000,0
29,1789567626258702984,98006,0.000000,0
30,1789567626259110199,100275,0.000000,0
31,1789567626259517253,98295,0.000000,0
32,1789567626259924418,103554,0.000000,0
33,1789567626260336142,98003,0.000000,0
34,1789567626260743577,98112,0.000000,0
35,1789567626261150492,98051,0.000000,0
36,1789567626261558476,100611,0.000000,0
37,1789567626261965601,104491,0.000000,0
38,1789567626262372946,97230,0.000000,0
39,1789567626262780060,109339,0.000000,0
40,1789567626263187425,100808,0.931000,1
41,1789567626263594899,98048,0.000000,0
42,1789567626264002174,100397,0.000000,0
43,1789567626264409809,97066,0.000000,0
44,1789567626264817023,99377,0.931000,1
45,1789567626265224968,99175,0.000000,0
46,1789567626265632662,100005,0.931000,1
47,1789567626266039457,98144,0.000000,0
48,1789567626266446701,96724,0.000000,0
49,1789567626266853636,97753,0.000000,0
50,1789567626267260861,100052,0.931000,1
51,1789567626267668505,98742,0.000000,0
52,1789567626268076160,101551,0.000000,0
53,1789567626268483564,99741,0.000000,0
54,1789567626268891009,98000,0.000000,0
55,1789567626269300813,99250,0.000000,0
56,1789567626269708348,97709,0.000000,0
57,1789567626270115563,96917,0.000000,0
58,1789567626270522797,98107,0.000000,0
59,1789567626270930662,98207,0.000000,0
60,1789567626271337656,98107,0.000000,0
61,1789567626271744621,98276,0.000000,0
62,1789567626272151656,98715,0.000000,0
63,1789567626272559100,98274,0.000000,0
64,1789567626272966425,101973,0.000000,0
65,1789567626273374109,98403,0.000000,0
66,1789567626273781434,98783,0.000000,0
67,1789567626274188439,96562,0.931000,1
68,1789567626274595653,97222,0.000000,0
69,1789567626275002298,99670,0.000000,0
70,1789567626275409303,100959,0.931000,1
71,1789567626275816467,97679,0.000000,0
72,1789567626276223652,98858,0.000000,0
73,1789567626276631116,100549,0.000000,0
74,1789567626277038331,99838,0.000000,0
75,1789567626277445966,97136,0.000000,0
76,1789567626277853110,99726,0.000000,0
77,1789567626278260395,98105,0.931000,1
78,1789567626278667579,97915,0.000000,0
79,1789567626279074304,103664,0.000000,0
80,1789567626279481869,97533,0.000000,0
81,1789567626279888623,99313,0.000000,0
82,1789567626280295938,99622,0.000000,0
83,1789567626280703293,98881,0.000000,0
84,1789567626281110317,99321,0.000000,0
85,1789567626281517922,98690,0.000000,0
86,1789567626281925126,103870,0.000000,0
87,1789567626282336971,96958,0.000000,0
88,1789567626282743916,96578,0.000000,0
89,1789567626283150850,98888,0.000000,0
90,1789567626283558135,97667,0.000000,0
91,1789567626283964799,99257,0.000000,0
92,1789567626284372144,101476,0.000000,0
93,1789567626284779579,98104,0.000000,0
94,1789567626285186493,99584,0.000000,0
95,1789567626285594248,96613,0.931000,1
96,1789567626286001422,99824,0.000000,0
97,1789567626286408367,96673,0.000000,0
98,1789567626286815202,97912,0.000000,0
99,1789567626287222166,97441,0.000000,0
100,1789567626287629231,97910,0.000000,0
101,1789567626288036405,98820,0.000000,0
102,1789567626288443600,97639,0.000000,0
103,1789567626288850645,103189,0.000000,0
104,1789567626289258509,97859,0.000000,0
105,1789567626289667234,98887,0.931000,1
106,1789567626290074489,98056,0.000000,0
107,1789567626290481653,98056,0.000000,0
108,1789567626290888598,97805,0.000000,0
109,1789567626291295482,98395,0.000000,0
110,1789567626291702537,97245,0.931000,1
111,1789567626292109562,97773,0.000000,0
112,1789567626292516746,97663,0.000000,0
113,1789567626292923431,102312,0.000000,0
114,1789567626293335165,98922,0.000000,0
115,1789567626293742300,98061,0.000000,0
116,1789567626294149304,98001,0.000000,0
117,1789567626294556329,99319,0.000000,0
118,1789567626294963404,98569,0.000000,0
119,1789567626295370638,96969,0.000000,0
120,1789567626295777963,106638,0.000000,0
121,1789567626296184707,97028,0.000000,0
122,1789567626296592222,111316,0.000000,0
123,1789567626296998946,102506,0.931000,1
124,1789567626297406511,99225,0.000000,0
125,1789567626297813466,98555,0.000000,0
126,1789567626298220490,99265,0.931000,1
127,1789567626298627745,98084,0.000000,0
128,1789567626299034939,97984,0.000000,0
129,1789567626299441864,96252,0.000000,0
130,1789567626299848839,97701,0.000000,0
131,1789567626300255543,97301,0.931000,1
132,1789567626300663008,98321,0.000000,0
133,1789567626301069933,99780,0.000000,0
134,1789567626301477617,96690,0.000000,0
135,1789567626301884462,98278,0.000000,0
136,1789567626302291536,104228,0.931000,1
137,1789567626302698431,97007,0.000000,0
138,1789567626303105616,99086,0.000000,0
139,1789567626303512490,96296,0.000000,0
140,1789567626303919535,99266,0.000000,0
141,1789567626304326339,97265,0.000000,0
142,1789567626304733464,96574,0.000000,0
143,1789567626305140499,97203,0.000000,0
144,1789567626305547823,96883,0.000000,0
145,1789567626305954808,98852,0.000000,0
146,1789567626306362113,97221,0.931000,1
147,1789567626306769297,96621,0.000000,0
148,1789567626307176152,102230,0.000000,0
149,1789567626307583236,96810,0.000000,0
150,1789567626307990161,98099,0.000000,0
151,1789567626308397056,96968,0.000000,0
152,1789567626308804140,96868,0.000000,0
153,1789567626309211455,97287,0.000000,0
154,1789567626309618539,99367,0.000000,0
155,1789567626310025464,97866,0.000000,0
156,1789567626310434119,97385,0.000000,0
157,1789567626310841163,96985,0.000000,0
158,1789567626311248328,98334,0.000000,0
159,1789567626311655402,97274,0.000000,0
160,1789567626312062567,98912,0.000000,0
161,1789567626312469632,97081,0.000000,0
162,1789567626312876946,101392,0.000000,0
163,1789567626313284571,98131,0.000000,0
164,1789567626313691906,97830,0.931000,1
165,1789567626314098960,96810,0.000000,0
166,1789567626314506165,97498,0.000000,0
167,1789567626314913199,100158,0.000000,0
168,1789567626315320254,96987,0.000000,0
169,1789567626315727169,107867,0.000000,0
170,1789567626316134303,97877,0.000000,0
171,1789567626316541388,97646,0.000000,0
172,1789567626316948592,98675,0.000000,0
173,1789567626317355977,96574,0.000000,0
174,1789567626317763152,96963,0.931000,1
175,1789567626318170066,96083,0.000000,0
176,1789567626318577271,102262,0.000000,0
177,1789567626318984365,97693,0.000000,0
178,1789567626319391600,96431,0.000000,0
179,1789567626319798535,96620,0.000000,0
180,1789567626320205609,98020,0.000000,0
181,1789567626320613134,99459,0.000000,0
