count_index,ts_swap,werner,success_bit
0,1789567786114153883,0.931000,1
1,1789567786114560118,0.931000,1
2,1789567786115004372,0.000000,0
3,1789567786115420447,0.000000,0
4,1789567786115827351,0.000000,0
5,1789567786116234626,0.000000,0
6,1789567786116641500,0.931000,1
7,1789567786117048935,0.931000,1
8,1789567786117457400,0.000000,0
9,1789567786117864584,0.000000,0
10,1789567786118272019,0.931000,1
11,1789567786118679203,0.931000,1
12,1789567786119086398,0.000000,0
13,1789567786119493573,0.931000,1
14,1789567786119900637,0.000000,0
15,1789567786120307962,0.000000,0
16,1789567786120714737,0.931000,1
17,1789567786121121561,0.931000,1
18,1789567786121529336,0.931000,1
19,1789567786121936370,0.000000,0
20,1789567786122343385,0.000000,0
21,1789567786122750160,0.931000,1
22,1789567786123156884,0.000000,0
23,1789567786123564069,0.931000,1
24,1789567786123971043,0.931000,1
25,1789567786124378088,0.000000,0
26,1789567786124784893,0.931000,1
27,1789567786125191577,0.000000,0
28,1789567786125599872,0.931000,1
29,1789567786126006936,0.000000,0
30,1789567786126414101,0.000000,0
31,1789567786126823555,0.931000,1
32,1789567786127230540,0.000000,0
33,1789567786127637315,0.000000,0
34,1789567786128044159,0.931000,1
35,1789567786128451174,0.000000,0
36,1789567786128858078,0.931000,1
37,1789567786129265703,0.931000,1
38,1789567786129672787,0.931000,1
39,1789567786130079662,0.931000,1
40,1789567786130486887,0.931000,1
41,1789567786130893751,0.931000,1
42,1789567786131300776,0.931000,1
43,1789567786131707521,0.000000,0
44,1789567786132114485,0.000000,0
45,1789567786132521490,0.000000,0
46,1789567786132928074,0.000000,0
47,1789567786133335549,0.931000,1
48,1789567786133742274,0.000000,0
49,1789567786134149108,0.000000,0
50,1789567786134558893,0.931000,1
51,1789567786134966217,0.931000,1
52,1789567786135373402,0.931000,1
53,1789567786135780757,0.000000,0
54,1789567786136187581,0.000000,0
55,1789567786136594586,0.000000,0
56,1789567786137001221,0.931000,1
57,1789567786137408745,0.000000,0
58,1789567786137815920,0.000000,0
59,1789567786138227964,0.931000,1
60,1789567786138634849,0.931000,1
61,1789567786139041554,0.931000,1
62,1789567786139448518,0.931000,1
63,1789567786139855233,0.000000,0
64,1789567786140262527,0.931000,1
65,1789567786140669492,0.000000,0
66,1789567786141076427,0.931000,1
67,1789567786141483941,0.931000,1
68,1789567786141890896,0.931000,1
69,1789567786142298090,0.931000,1
70,1789567786142705155,0.000000,0
71,1789567786143111910,0.931000,1
72,1789567786143518804,0.000000,0
73,1789567786143925509,0.000000,0
74,1789567786144332564,0.000000,0
75,1789567786144739348,0.000000,0
76,1789567786145146253,0.000000,0
77,1789567786145554367,0.931000,1
78,1789567786145961192,0.931000,1
79,1789567786146368337,0.931000,1
80,1789567786146775251,0.000000,0
81,1789567786147182246,0.000000,0
82,1789567786147589370,0.000000,0
83,1789567786147996025,0.000000,0
84,1789567786148403380,0.000000,0
85,1789567786148810134,0.000000,0
86,1789567786149217379,0.931000,1
87,1789567786149624473,0.931000,1
88,1789567786150031528,0.000000,0
89,1789567786150438433,0.931000,1
90,1789567786150845357,0.000000,0
91,1789567786151252712,0.931000,1
92,1789567786151659607,0.931000,1
93,1789567786152066741,0.000000,0
94,1789567786152473936,0.931000,1
95,1789567786152880630,0.931000,1
96,1789567786153288025,0.931000,1
97,1789567786153695220,0.000000,0
98,1789567786154101964,0.931000,1
99,1789567786154508879,0.000000,0
100,1789567786154917963,0.000000,0
101,1789567786155325288,0.931000,1
102,1789567786155731852,0.931000,1
103,1789567786156138627,0.000000,0
104,1789567786156545651,0.000000,0
105,1789567786156952766,0.000000,0
106,1789567786157360381,0.931000,1
107,1789567786157767405,0.000000,0
108,1789567786158174270,0.931000,1
109,1789567786158581434,0.931000,1
110,1789567786158988489,0.000000,0
111,1789567786159395564,0.000000,0
112,1789567786159802398,0.000000,0
113,1789567786160209063,0.000000,0
114,1789567786160616358,0.000000,0
115,1789567786161023012,0.000000,0
116,1789567786161430317,0.931000,1
117,1789567786161837421,0.931000,1
118,1789567786162244416,0.931000,1
119,1789567786162651021,0.931000,1
120,1789567786163057725,0.931000,1
121,1789567786163464540,0.931000,1
122,1789567786163871424,0.931000,1
123,1789567786164278319,0.000000,0
124,1789567786164685304,0.931000,1
125,1789567786165092048,0.000000,0
126,1789567786165499553,0.931000,1
127,1789567786165906598,0.931000,1
128,1789567786166313472,0.000000,0
129,1789567786166720357,0.000000,0
130,1789567786167127041,0.000000,0
131,1789567786167533936,0.000000,0
132,1789567786167940691,0.000000,0
133,1789567786168347665,0.931000,1
134,1789567786168754440,0.000000,0
135,1789567786169161364,0.000000,0
136,1789567786169569319,0.931000,1
137,1789567786169976134,0.000000,0
138,1789567786170383438,0.000000,0
139,1789567786170790113,0.931000,1
140,1789567786171196928,0.000000,0
141,1789567786171604392,0.000000,0
142,1789567786172011177,0.931000,1
143,1789567786172418431,0.000000,0
144,1789567786172825156,0.931000,1
145,1789567786173232561,0.000000,0
146,1789567786173639265,0.931000,1
147,1789567786174045910,0.931000,1
148,1789567786174453184,0.931000,1
149,1789567786174860059,0.000000,0
150,1789567786175267034,0.000000,0
151,1789567786175675518,0.000000,0
152,1789567786176082283,0.931000,1
153,1789567786176489378,0.931000,1
154,1789567786176896102,0.931000,1
155,1789567786177303737,0.000000,0
156,1789567786177711021,0.931000,1
157,1789567786178117686,0.931000,1
158,1789567786178524801,0.000000,0
159,1789567786178931405,0.931000,1
160,1789567786179338080,0.000000,0
161,1789567786179744744,0.931000,1
162,1789567786180151319,0.000000,0
163,1789567786180558234,0.000000,0
164,1789567786180965118,0.931000,1
165,1789567786181372733,0.000000,0
166,1789567786181779587,0.000000,0
167,1789567786182186302,0.000000,0
168,1789567786182593487,0.000000,0
169,1789567786183000181,0.931000,1
170,1789567786183407296,0.000000,0
171,1789567786183814170,0.931000,1
172,1789567786184224775,0.000000,0
173,1789567786184631569,0.000000,0
174,1789567786185038324,0.931000,1
175,1789567786185445749,0.000000,0
176,1789567786185852673,0.000000,0
177,1789567786186260028,0.931000,1
178,1789567786186666982,0.931000,1
179,1789567786187073627,0.931000,1
180,1789567786187480712,0.000000,0
181,1789567786187887366,0.000000,0
182,1789567786188294611,0.000000,0
183,1789567786188701225,0.931000,1
184,1789567786189108510,0.000000,0
185,1789567786189515865,0.000000,0
186,1789567786189922529,0.000000,0
187,1789567786190329644,0.931000,1
188,1789567786190736719,0.000000,0
189,1789567786191143333,0.931000,1
190,1789567786191550278,0.000000,0
191,1789567786191956992,0.000000,0
192,1789567786192363837,0.931000,1
193,1789567786192770662,0.000000,0
194,1789567786193177766,0.931000,1
195,1789567786193585531,0.000000,0
196,1789567786193992075,0.000000,0
197,1789567786194399200,0.000000,0
198,1789567786194805985,0.000000,0
199,1789567786195212639,0.000000,0
200,1789567786195619494,0.931000,1
201,1789567786196026689,0.931000,1
202,1789567786196435063,0.000000,0
203,1789567786196842388,0.931000,1
204,1789567786197249662,0.000000,0
205,1789567786197656667,0.931000,1
206,1789567786198063502,0.000000,0
207,1789567786198470536,0.000000,0
208,1789567786198877081,0.931000,1
209,1789567786199284155,0.000000,0
210,1789567786199690960,0.000000,0
211,1789567786200097735,0.000000,0
212,1789567786200504839,0.000000,0
213,1789567786200911574,0.931000,1
214,1789567786201319158,0.000000,0
215,1789567786201725843,0.000000,0
216,1789567786202132368,0.931000,1
217,1789567786202539312,0.931000,1
218,1789567786202945957,0.000000,0
219,1789567786203353342,0.931000,1
220,1789567786203760036,0.000000,0
221,1789567786204167111,0.000000,0
222,1789567786204573935,0.931000,1
223,1789567786204980560,0.000000,0
224,1789567786205388285,0.931000,1
225,1789567786205795449,0.931000,1
226,1789567786206202014,0.000000,0
227,1789567786206609408,0.000000,0
228,1789567786207016163,0.931000,1
229,1789567786207423197,0.931000,1
230,1789567786207830142,0.000000,0
231,1789567786208236907,0.931000,1
232,1789567786208644271,0.000000,0
233,1789567786209050996,0.000000,0
234,1789567786209458580,0.000000,0
235,1789567786209865265,0.000000,0
236,1789567786210272280,0.000000,0
237,1789567786210678944,0.000000,0
238,1789567786211085579,0.000000,0
239,1789567786211492383,0.931000,1
240,1789567786211899208,0.931000,1
241,1789567786212306033,0.000000,0
242,1789567786212712727,0.931000,1
243,1789567786213119332,0.931000,1
244,1789567786213526546,0.931000,1
245,1789567786213933341,0.000000,0
246,1789567786214340356,0.000000,0
247,1789567786214747360,0.000000,0
248,1789567786215154065,0.931000,1
249,1789567786215561190,0.000000,0
250,1789567786215967944,0.931000,1
251,1789567786216374769,0.000000,0
252,1789567786216781753,0.931000,1
253,1789567786217188348,0.000000,0
254,1789567786217596983,0.931000,1
255,1789567786218003887,0.000000,0
256,1789567786218411332,0.000000,0
257,1789567786218818656,0.000000,0
258,1789567786219229881,0.000000,0
259,1789567786219636706,0.000000,0
260,1789567786220043440,0.000000,0
261,1789567786220450515,0.000000,0
262,1789567786220857519,0.931000,1
263,1789567786221264774,0.000000,0
264,1789567786221671619,0.000000,0
265,1789567786222078203,0.931000,1
266,1789567786222485228,0.931000,1
267,1789567786222891913,0.000000,0
268,1789567786223298787,0.931000,1
269,1789567786223705622,0.000000,0
270,1789567786224112316,0.931000,1
271,1789567786224519071,0.931000,1
272,1789567786224925706,0.931000,1
273,1789567786225333010,0.000000,0
274,1789567786225739685,0.000000,0
275,1789567786226146599,0.931000,1
276,1789567786226553534,0.931000,1
277,1789567786226960059,0.931000,1
278,1789567786227367043,0.931000,1
279,1789567786227773738,0.000000,0
280,1789567786228180683,0.931000,1
281,1789567786228587587,0.000000,0
282,1789567786228994302,0.931000,1
283,1789567786229401566,0.000000,0
284,1789567786229808581,0.000000,0
285,1789567786230215156,0.000000,0
286,1789567786230622040,0.931000,1
287,1789567786231028905,0.000000,0
288,1789567786231436759,0.000000,0
289,1789567786231844004,0.000000,0
290,1789567786232251179,0.931000,1
291,1789567786232658273,0.931000,1
292,1789567786233065138,0.931000,1
293,1789567786233472462,0.931000,1
294,1789567786233879227,0.931000,1
295,1789567786234286282,0.000000,0
296,1789567786234693256,0.000000,0
297,1789567786235100101,0.931000,1
298,1789567786235507195,0.931000,1
299,1789567786235914400,0.000000,0
300,1789567786236321684,0.000000,0
301,1789567786236728389,0.931000,1
302,1789567786237135504,0.000000,0
303,1789567786237542748,0.931000,1
304,1789567786237950763,0.000000,0
305,1789567786238358067,0.000000,0
306,1789567786238764702,0.931000,1
307,1789567786239171587,0.000000,0
308,1789567786239578781,0.000000,0
309,1789567786239985826,0.000000,0
310,1789567786240393190,0.000000,0
311,1789567786240801135,0.931000,1
312,1789567786241208560,0.931000,1
313,1789567786241616654,0.000000,0
314,1789567786242023559,0.931000,1
315,1789567786242430744,0.000000,0
316,1789567786242837638,0.931000,1
317,1789567786243244683,0.000000,0
318,1789567786243651207,0.931000,1
319,1789567786244057762,0.931000,1
320,1789567786244464677,0.000000,0
321,1789567786244871561,0.000000,0
322,1789567786245279326,0.931000,1
323,1789567786245685880,0.000000,0
324,1789567786246092455,0.000000,0
325,1789567786246499640,0.000000,0
326,1789567786246906334,0.000000,0
327,1789567786247313319,0.931000,1
328,1789567786247720374,0.000000,0
329,1789567786248126918,0.931000,1
330,1789567786248533793,0.000000,0
331,1789567786248940557,0.000000,0
332,1789567786249348362,0.000000,0
333,1789567786249754997,0.000000,0
334,1789567786250161741,0.931000,1
335,1789567786250569006,0.000000,0
336,1789567786250975960,0.931000,1
337,1789567786251382945,0.000000,0
338,1789567786251790040,0.000000,0
339,1789567786252196774,0.931000,1
340,1789567786252603679,0.931000,1
341,1789567786253010534,0.000000,0
342,1789567786253418178,0.931000,1
343,1789567786253824953,0.000000,0
344,1789567786254231977,0.931000,1
345,1789567786254639252,0.000000,0
