count_index,ts_swap,swap_to_recv_ns,werner,success_bit
0,1789567811947298299,308448,0.931000,1
1,1789567811947722353,268110,0.000000,0
2,1789567811948137328,271390,0.931000,1
3,1789567811948549622,261831,0.931000,1
4,1789567811948957157,276862,0.000000,0
5,1789567811949372541,264853,0.931000,1
6,1789567811949780336,264164,0.931000,1
7,1789567811950187721,264854,0.000000,0
8,1789567811950595075,264736,0.931000,1
9,1789567811951002410,265046,0.931000,1
10,1789567811951409365,261316,0.000000,0
11,1789567811951816579,261598,0.000000,0
12,1789567811952223814,262668,0.931000,1
13,1789567811952630718,272740,0.000000,0
14,1789567811953038203,262820,0.931000,1
15,1789567811953445768,262930,0.000000,0
16,1789567811953853072,263812,0.000000,0
17,1789567811954260297,262532,0.000000,0
18,1789567811954667331,261063,0.931000,1
19,1789567811955074366,262984,0.931000,1
20,1789567811955481161,265124,0.931000,1
21,1789567811955888275,264686,0.931000,1
22,1789567811956295420,263136,0.931000,1
23,1789567811956702394,267837,0.931000,1
24,1789567811957109729,267268,0.931000,1
25,1789567811957517464,291148,0.931000,1
26,1789567811957927508,289670,0.931000,1
27,1789567811958334513,279680,0.931000,1
28,1789567811958742587,280412,0.000000,0
29,1789567811959149662,282012,0.931000,1
30,1789567811959556937,284712,0.000000,0
31,1789567811959967411,280564,0.000000,0
32,1789567811960374386,278114,0.931000,1
33,1789567811960781501,278574,0.931000,1
34,1789567811961188555,271625,0.931000,1
35,1789567811961596170,266026,0.931000,1
36,1789567811962003494,263467,0.000000,0
37,1789567811962410309,262007,0.000000,0
38,1789567811962817764,261618,0.931000,1
39,1789567811963224788,264469,0.931000,1
40,1789567811963632533,263950,0.000000,0
41,1789567811964039827,264051,0.931000,1
42,1789567811964447812,263221,0.931000,1
43,1789567811964855307,262722,0.931000,1
44,1789567811965262471,261873,0.931000,1
45,1789567811965669576,262543,0.000000,0
46,1789567811966076670,268195,0.931000,1
47,1789567811966483845,260605,0.000000,0
48,1789567811966893950,262946,0.931000,1
49,1789567811967301374,261527,0.000000,0
50,1789567811967708609,267597,0.931000,1
51,1789567811968115973,265579,0.000000,0
52,1789567811968523308,265619,0.931000,1
53,1789567811968930923,264269,0.931000,1
54,1789567811969338057,264331,0.931000,1
55,1789567811969745502,263361,0.931000,1
56,1789567811970152877,264511,0.931000,1
57,1789567811970559861,265213,0.000000,0
58,1789567811970968296,266103,0.931000,1
59,1789567811971375450,263575,0.931000,1
60,1789567811971782685,262135,0.931000,1
61,1789567811972189620,266175,0.931000,1
62,1789567811972596364,263177,0.931000,1
63,1789567811973003559,264177,0.931000,1
64,1789567811973410883,259708,0.000000,0
65,1789567811973818268,260239,0.931000,1
66,1789567811974225773,265029,0.931000,1
67,1789567811974632837,265691,0.931000,1
68,1789567811975039922,264441,0.931000,1
69,1789567811975447176,265612,0.000000,0
70,1789567811975854301,264333,0.000000,0
71,1789567811976261536,266753,0.000000,0
72,1789567811976668900,263714,0.931000,1
73,1789567811977076175,263845,0.931000,1
74,1789567811977483750,267735,0.000000,0
75,1789567811977891034,265666,0.000000,0
76,1789567811978298299,266467,0.931000,1
77,1789567811978705493,270198,0.931000,1
78,1789567811979112618,265768,0.931000,1
79,1789567811979519603,273869,0.931000,1
80,1789567811979926937,264860,0.000000,0
81,1789567811980334322,262191,0.931000,1
82,1789567811980741456,261482,0.931000,1
83,1789567811981148731,264962,0.931000,1
84,1789567811981556586,264443,0.931000,1
85,1789567811981968670,264434,0.931000,1
86,1789567811982375705,264925,0.000000,0
87,1789567811982782999,265226,0.931000,1
88,1789567811983190284,263596,0.931000,1
89,1789567811983597309,263327,0.000000,0
90,1789567811984004413,263468,0.931000,1
91,1789567811984411518,260528,0.931000,1
92,1789567811984818792,261420,0.000000,0
93,1789567811985226287,264010,0.000000,0
94,1789567811985633382,263170,0.931000,1
95,1789567811986040546,262802,0.931000,1
96,1789567811986447381,263422,0.931000,1
97,1789567811986854626,265862,0.000000,0
98,1789567811987263620,266144,0.931000,1
99,1789567811987672205,261224,0.000000,0
100,1789567811988079349,262725,0.000000,0
101,1789567811988486454,261476,0.000000,0
102,1789567811988893829,263656,0.931000,1
103,1789567811989301143,263337,0.931000,1
104,1789567811989708388,265188,0.000000,0
105,1789567811990115562,262479,0.000000,0
106,1789567811990522497,298570,0.931000,1
107,1789567811990929892,262730,0.000000,0
108,1789567811991337216,262001,0.931000,1
109,1789567811991744541,262082,0.931000,1
110,1789567811992152275,261833,0.931000,1
111,1789567811992558990,268693,0.931000,1
112,1789567811992968475,263364,0.000000,0
113,1789567811993376219,261445,0.000000,0
114,1789567811993784444,264826,0.000000,0
115,1789567811994191648,261627,0.000000,0
116,1789567811994598453,262187,0.931000,1
117,1789567811995005638,263948,0.000000,0
118,1789567811995412582,259029,0.931000,1
119,1789567811995819397,260389,0.000000,0
120,1789567811996226551,261341,0.931000,1
121,1789567811996633546,259981,0.000000,0
122,1789567811997040821,260971,0.000000,0
123,1789567811997448205,261313,0.931000,1
124,1789567811997855200,260943,0.000000,0
125,1789567811998262265,261843,0.931000,1
126,1789567811998669279,263315,0.931000,1
127,1789567811999076464,265335,0.931000,1
128,1789567811999483518,259727,0.931000,1
129,1789567811999890663,261547,0.931000,1
130,1789567812000297728,262567,0.000000,0
131,1789567812000704952,262129,0.931000,1
132,1789567812001112167,261639,0.931000,1
133,1789567812001519931,262461,0.931000,1
134,1789567812001927246,261201,0.931000,1
135,1789567812002334391,261551,0.931000,1
136,1789567812002741845,262883,0.000000,0
137,1789567812003149160,263143,0.000000,0
138,1789567812003555915,263033,0.000000,0
139,1789567812003963059,268485,0.000000,0
140,1789567812004375364,261025,0.931000,1
141,1789567812004782508,263626,0.000000,0
142,1789567812005189623,262497,0.000000,0
143,1789567812005597307,262418,0.000000,0
144,1789567812006004692,271079,0.931000,1
145,1789567812006411847,259959,0.931000,1
146,1789567812006818961,261940,0.931000,1
147,1789567812007226016,261930,0.931000,1
148,1789567812007633261,262411,0.000000,0
149,1789567812008043125,260522,0.931000,1
150,1789567812008450530,259673,0.931000,1
151,1789567812008857754,261474,0.931000,1
152,1789567812009264979,260284,0.000000,0
153,1789567812009671964,260765,0.931000,1
154,1789567812010079038,260816,0.931000,1
155,1789567812010486383,260827,0.931000,1
156,1789567812010893547,265098,0.931000,1
157,1789567812011300542,263208,0.931000,1
158,1789567812011707417,265639,0.931000,1
159,1789567812012114491,262310,0.000000,0
160,1789567812012521496,261560,0.000000,0
161,1789567812012928630,263122,0.931000,1
162,1789567812013335995,263102,0.000000,0
163,1789567812013743440,264322,0.931000,1
164,1789567812014150994,262214,0.000000,0
165,1789567812014557879,263764,0.931000,1
166,1789567812014967863,264275,0.000000,0
167,1789567812015374608,261806,0.931000,1
168,1789567812015782043,261546,0.000000,0
169,1789567812016189257,263508,0.931000,1
170,1789567812016596542,264438,0.931000,1
171,1789567812017003647,263248,0.931000,1
