,pswap_0.1,pswap_0.2,pswap_0.3,pswap_0.4,pswap_0.5,pswap_0.6,pswap_0.7,pswap_0.8,pswap_0.9,pswap_1.0
Infinite,611.5459540669154,985.5493793892857,1288.7609470622929,1489.04666453362,1690.0486186184216,1889.3249607580935,2065.151526450591,2194.219708024161,2335.5271161902097,2452.664205655232
1 min,611.5430584484844,985.5446151658007,1288.7545092757834,1489.039511264552,1690.040310735142,1889.3156497176553,2065.141413234816,2194.2089275889875,2335.51581335979,2452.6520946256846
1 s,611.3722225880805,985.263535403081,1288.37469304671,1488.6174824588452,1689.5501623474636,1888.7663171150557,2064.5447537984574,2193.572903588632,2334.848968753012,2451.937568355623
500 ms,611.1985025550565,984.9777105837958,1287.9884658301564,1488.1883290021608,1689.0517400981992,1888.2077116787168,2063.9380224267297,2192.9261432415783,2334.170866854643,2451.210980836594
1 ms,443.77770848279357,709.6973176808837,916.4985098574899,1074.7809070515952,1209.3424000142338,1350.6155216392988,1479.913039469645,1570.4150278422403,1681.1214344722398,1752.0013387487381
500 us,288.8731990309611,455.4194423080604,574.5723747965856,692.7208292366192,767.0647676931875,855.0131314662345,941.2200363460316,996.3412633068655,1077.990316059135,1107.509064766452
250 us,22.584053116002515,19.571966535697403,7.519554269472417,37.39703267152968,19.606400900941356,18.51744464148679,38.2315193502835,18.313080779306198,46.55650847468179,16.682245749554465
100 us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50 us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
