,pswap_0.1,pswap_0.2,pswap_0.3,pswap_0.4,pswap_0.5,pswap_0.6,pswap_0.7,pswap_0.8,pswap_0.9,pswap_1.0
Infinite,611.5459540669154,985.5493793892857,1289.3980978112857,1489.4242153467037,1690.3512080282444,1890.1759227316413,2065.3565597047314,2194.8448417228833,2335.8581543801965,2453.074770118745
1 min,611.5448313445005,985.5479610668191,1289.3960974997751,1489.421996568626,1690.3481469800035,1890.1735948337428,2065.3524633829043,2194.840874976857,2335.8552468490648,2453.0703203269914
1 s,611.4785915738464,985.4642808834578,1289.2780804278807,1489.291090183272,1690.1675474562355,1890.0362500703084,2065.11078376401,2194.6068399907604,2335.683704030827,2452.8077859447603
500 ms,611.4112308133755,985.379184090556,1289.1580657033514,1489.1579681139485,1689.9838916079968,1889.8965798752868,2064.8650146754894,2194.3688444205177,2335.50925677006,2452.5408085464846
1 ms,545.063759074569,901.3180522183494,1170.7299823938467,1357.8716496168718,1509.0924434573392,1751.750856469312,1823.0675719218832,1960.0422886431475,2162.96965521617,2189.5328796916215
500 us,480.40248265712887,818.8685905780166,1054.8457191776045,1229.5733516008384,1332.8071872159956,1615.885063183291,1588.0117219130932,1731.9093444053767,1993.2832956907946,1933.1098182246642
250 us,356.8772945690433,659.5801645708187,832.3524896060077,983.712920887141,996.6330325203198,1352.4357793182955,1141.3206198268429,1296.0565111001151,1664.1622897078398,1443.2156649164297
100 us,40.759785763620435,231.43029057849657,241.8255086955949,377.80347684874613,140.7999534942121,632.0297853367989,71.32440874760091,164.75280010354092,763.9730758957567,178.12887205135806
50 us,0.0,0.0,0.0,31.36504299006589,0.0,0.0,0.0,0.0,0.4017369932677125,0.0
1 us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
