count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,3319555,0,3319555,0,0
52,3326743,0,3326743,0,0
53,3334173,0,3334173,0,0
54,3341600,0,3341600,0,0
55,3348833,0,3348833,0,0
56,3358699,0,3358699,0,0
57,3364181,0,3364181,0,0
58,3371384,0,3371384,0,0
59,3380128,0,3380128,0,0
60,3386218,0,3386218,0,0
86,4500508,0,4500508,0,0
87,4499199,0,4499199,0,0
88,4495335,0,4495335,0,0
89,4489053,0,4489053,0,0
61,4679117,0,4679117,0,0
90,4485772,0,4485772,0,0
62,4674706,0,4674706,0,0
134,4281245,0,4281245,0,0
135,4282714,0,4282714,0,0
136,4289868,0,4289868,0,0
137,4295440,0,4295440,0,0
138,4295044,0,4295044,0,0
139,4293862,0,4293862,0,0
140,4296121,0,4296121,0,0
141,4298880,0,4298880,0,0
142,4299888,0,4299888,0,0
143,4303606,0,4303606,0,0
144,4305728,0,4305728,0,0
145,4312143,0,4312143,0,0
146,4312731,0,4312731,0,0
147,4316234,0,4316234,0,0
148,4318959,0,4318959,0,0
149,408078,0,408078,0,0
150,667294,0,667294,0,0
151,665023,0,665023,0,0
152,662693,0,662693,0,0
153,660329,0,660329,0,0
154,657748,0,657748,0,0
155,662448,0,662448,0,0
156,660348,0,660348,0,0
164,637483,0,637483,0,0
165,635214,0,635214,0,0
166,806906,0,806906,0,0
167,805815,0,805815,0,0
168,803605,0,803605,0,0
169,801582,0,801582,0,0
170,799349,0,799349,0,0
171,797109,0,797109,0,0
172,794967,0,794967,0,0
181,761706,0,761706,0,0
182,897380,0,897380,0,0
183,894198,0,894198,0,0
184,890869,0,890869,0,0
185,887419,0,887419,0,0
186,883153,0,883153,0,0
187,879182,0,879182,0,0
188,875237,0,875237,0,0
191,865290,0,865290,0,0
192,862123,0,862123,0,0
193,868691,0,868691,0,0
194,871429,0,871429,0,0
195,871794,0,871794,0,0
196,874063,0,874063,0,0
197,876795,0,876795,0,0
198,1101415,0,1101415,0,0
199,1099546,0,1099546,0,0
200,1096277,0,1096277,0,0
201,1092345,0,1092345,0,0
202,1088690,0,1088690,0,0
203,1084353,0,1084353,0,0
204,1082006,0,1082006,0,0
214,1255833,0,1255833,0,0
215,1253989,0,1253989,0,0
216,1251416,0,1251416,0,0
217,1249239,0,1249239,0,0
218,1246945,0,1246945,0,0
219,1244508,0,1244508,0,0
220,1242187,0,1242187,0,0
230,1333647,0,1333647,0,0
231,1330210,0,1330210,0,0
232,1327141,0,1327141,0,0
233,1323539,0,1323539,0,0
234,1319320,0,1319320,0,0
235,1315283,0,1315283,0,0
236,1311320,0,1311320,0,0
241,1290039,0,1290039,0,0
242,1289335,0,1289335,0,0
243,1293237,0,1293237,0,0
244,1295320,0,1295320,0,0
245,1299110,0,1299110,0,0
246,1490682,0,1490682,0,0
247,1488769,0,1488769,0,0
248,1485302,0,1485302,0,0
249,1481743,0,1481743,0,0
250,1477748,0,1477748,0,0
251,1472132,0,1472132,0,0
252,1468649,0,1468649,0,0
262,1510494,0,1510494,0,0
263,1508556,0,1508556,0,0
264,1504130,0,1504130,0,0
265,1501927,0,1501927,0,0
266,799179,0,799179,0,0
267,797653,0,797653,0,0
268,798663,0,798663,0,0
269,801710,0,801710,0,0
270,804850,0,804850,0,0
271,806154,0,806154,0,0
272,808016,0,808016,0,0
273,810917,0,810917,0,0
274,813902,0,813902,0,0
275,814846,0,814846,0,0
276,815732,0,815732,0,0
277,818594,0,818594,0,0
278,1088084,0,1088084,0,0
279,1085549,0,1085549,0,0
280,1082647,0,1082647,0,0
281,1078883,0,1078883,0,0
282,1076743,0,1076743,0,0
283,1074760,0,1074760,0,0
284,1071617,0,1071617,0,0
292,1045697,0,1045697,0,0
293,1042483,0,1042483,0,0
294,1040761,0,1040761,0,0
295,1043801,0,1043801,0,0
296,1047906,0,1047906,0,0
297,1050845,0,1050845,0,0
298,1055098,0,1055098,0,0
299,1054948,0,1054948,0,0
300,1057586,0,1057586,0,0
301,1059615,0,1059615,0,0
302,1063611,0,1063611,0,0
303,1066080,0,1066080,0,0
304,1069249,0,1069249,0,0
305,1073444,0,1073444,0,0
306,1077338,0,1077338,0,0
307,1080209,0,1080209,0,0
308,1083310,0,1083310,0,0
309,1086250,0,1086250,0,0
310,1089047,0,1089047,0,0
311,1091422,0,1091422,0,0
312,1095019,0,1095019,0,0
313,1098574,0,1098574,0,0
314,1102963,0,1102963,0,0
315,1107072,0,1107072,0,0
