count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,674279,0,674279,0,0
52,677526,0,677526,0,0
53,681150,0,681150,0,0
54,684785,0,684785,0,0
55,690083,0,690083,0,0
56,694941,0,694941,0,0
57,698116,0,698116,0,0
58,702370,0,702370,0,0
59,822085,0,822085,0,0
60,973967,0,973967,0,0
61,972232,0,972232,0,0
62,969867,0,969867,0,0
63,967194,0,967194,0,0
64,962757,0,962757,0,0
65,960318,0,960318,0,0
66,957593,0,957593,0,0
74,944764,0,944764,0,0
75,942919,0,942919,0,0
76,933892,0,933892,0,0
77,932024,0,932024,0,0
78,930099,0,930099,0,0
79,926608,0,926608,0,0
80,928375,0,928375,0,0
81,922828,0,922828,0,0
82,1165876,0,1165876,0,0
83,1165753,0,1165753,0,0
84,1163276,0,1163276,0,0
85,1161199,0,1161199,0,0
86,1158948,0,1158948,0,0
87,1156424,0,1156424,0,0
88,1154044,0,1154044,0,0
100,1220263,0,1220263,0,0
101,1216657,0,1216657,0,0
102,1214577,0,1214577,0,0
103,1212803,0,1212803,0,0
104,1210861,0,1210861,0,0
105,1209130,0,1209130,0,0
106,1207473,0,1207473,0,0
108,1205970,0,1205970,0,0
109,1207729,0,1207729,0,0
110,1211463,0,1211463,0,0
111,1212369,0,1212369,0,0
112,1216773,0,1216773,0,0
113,1220112,0,1220112,0,0
114,1221301,0,1221301,0,0
115,1224918,0,1224918,0,0
116,1425764,0,1425764,0,0
117,1424524,0,1424524,0,0
118,1422914,0,1422914,0,0
119,1421182,0,1421182,0,0
120,1419442,0,1419442,0,0
121,1417665,0,1417665,0,0
122,1416061,0,1416061,0,0
132,1427722,0,1427722,0,0
133,1426023,0,1426023,0,0
134,1424218,0,1424218,0,0
135,1426604,0,1426604,0,0
136,1425422,0,1425422,0,0
137,1423495,0,1423495,0,0
138,1425545,0,1425545,0,0
139,1427324,0,1427324,0,0
140,1432299,0,1432299,0,0
141,1434914,0,1434914,0,0
142,1438666,0,1438666,0,0
143,1440069,0,1440069,0,0
144,1444731,0,1444731,0,0
145,1447424,0,1447424,0,0
146,1450341,0,1450341,0,0
147,1454032,0,1454032,0,0
148,1541079,0,1541079,0,0
149,974270,0,974270,0,0
150,972241,0,972241,0,0
151,971704,0,971704,0,0
152,969104,0,969104,0,0
153,971151,0,971151,0,0
154,975067,0,975067,0,0
155,978594,0,978594,0,0
156,983231,0,983231,0,0
157,986748,0,986748,0,0
158,990245,0,990245,0,0
159,993238,0,993238,0,0
160,997717,0,997717,0,0
161,1000904,0,1000904,0,0
162,1004373,0,1004373,0,0
163,1007968,0,1007968,0,0
164,1325233,0,1325233,0,0
165,1322794,0,1322794,0,0
166,1320258,0,1320258,0,0
167,1317836,0,1317836,0,0
168,1315715,0,1315715,0,0
169,1313482,0,1313482,0,0
170,1311389,0,1311389,0,0
189,1168193,0,1168193,0,0
190,1166225,0,1166225,0,0
191,1164279,0,1164279,0,0
192,1162367,0,1162367,0,0
193,1157182,0,1157182,0,0
194,1159638,0,1159638,0,0
195,1167574,0,1167574,0,0
196,1422375,0,1422375,0,0
197,1421346,0,1421346,0,0
198,1419819,0,1419819,0,0
199,1418158,0,1418158,0,0
200,1416382,0,1416382,0,0
201,1413076,0,1413076,0,0
202,1410129,0,1410129,0,0
212,1789530,0,1789530,0,0
213,1788270,0,1788270,0,0
214,1783802,0,1783802,0,0
215,1782047,0,1782047,0,0
216,1780262,0,1780262,0,0
217,1778280,0,1778280,0,0
218,1776468,0,1776468,0,0
263,716546,0,716546,0,0
264,714709,0,714709,0,0
265,717626,0,717626,0,0
266,721582,0,721582,0,0
267,725059,0,725059,0,0
268,728979,0,728979,0,0
269,732676,0,732676,0,0
270,735927,0,735927,0,0
271,654806,0,654806,0,0
272,652788,0,652788,0,0
273,653428,0,653428,0,0
274,656985,0,656985,0,0
275,748393,0,748393,0,0
276,746894,0,746894,0,0
277,745218,0,745218,0,0
278,743584,0,743584,0,0
279,742028,0,742028,0,0
280,740326,0,740326,0,0
281,738746,0,738746,0,0
284,735938,0,735938,0,0
285,747254,0,747254,0,0
286,750849,0,750849,0,0
287,754963,0,754963,0,0
288,758780,0,758780,0,0
289,749105,0,749105,0,0
290,704939,0,704939,0,0
291,708160,0,708160,0,0
292,861891,0,861891,0,0
293,860864,0,860864,0,0
294,848494,0,848494,0,0
295,816878,0,816878,0,0
296,815199,0,815199,0,0
297,813792,0,813792,0,0
298,812436,0,812436,0,0
300,813684,0,813684,0,0
301,812221,0,812221,0,0
302,810832,0,810832,0,0
303,809617,0,809617,0,0
304,810615,0,810615,0,0
305,808963,0,808963,0,0
306,812822,0,812822,0,0
307,816620,0,816620,0,0
308,821198,0,821198,0,0
309,825762,0,825762,0,0
310,826591,0,826591,0,0
311,829550,0,829550,0,0
312,195320,0,195320,0,0
313,190981,0,190981,0,0
314,188330,0,188330,0,0
315,186753,0,186753,0,0
316,185205,0,185205,0,0
317,183696,0,183696,0,0
318,182083,0,182083,0,0
321,239987,0,239987,0,0
322,238875,0,238875,0,0
323,237332,0,237332,0,0
324,437989,0,437989,0,0
325,437521,0,437521,0,0
326,435520,0,435520,0,0
327,434143,0,434143,0,0
328,432542,0,432542,0,0
329,431074,0,431074,0,0
330,429571,0,429571,0,0
331,434252,0,434252,0,0
332,432067,0,432067,0,0
333,432226,0,432226,0,0
334,438895,0,438895,0,0
335,445349,0,445349,0,0
336,450470,0,450470,0,0
337,455951,0,455951,0,0
338,461535,0,461535,0,0
339,468308,0,468308,0,0
340,477380,0,477380,0,0
341,483693,0,483693,0,0
342,454553,0,454553,0,0
343,477803,0,477803,0,0
344,476041,0,476041,0,0
345,473986,0,473986,0,0
346,477133,0,477133,0,0
347,483354,0,483354,0,0
348,489122,0,489122,0,0
349,495043,0,495043,0,0
350,500764,0,500764,0,0
351,506042,0,506042,0,0
352,511433,0,511433,0,0
353,516781,0,516781,0,0
354,773174,0,773174,0,0
355,779223,0,779223,0,0
356,777800,0,777800,0,0
357,775922,0,775922,0,0
358,774134,0,774134,0,0
359,772697,0,772697,0,0
360,771215,0,771215,0,0
368,876567,0,876567,0,0
369,876304,0,876304,0,0
370,874553,0,874553,0,0
371,873101,0,873101,0,0
372,871648,0,871648,0,0
373,870178,0,870178,0,0
374,868478,0,868478,0,0
384,981067,0,981067,0,0
385,979912,0,979912,0,0
386,978415,0,978415,0,0
387,976758,0,976758,0,0
388,974827,0,974827,0,0
389,973178,0,973178,0,0
390,971257,0,971257,0,0
391,973539,0,973539,0,0
394,967756,0,967756,0,0
392,971954,0,971954,0,0
395,966239,0,966239,0,0
393,974011,0,974011,0,0
396,968006,0,968006,0,0
397,970702,0,970702,0,0
398,1009631,0,1009631,0,0
399,1009490,0,1009490,0,0
400,1007142,0,1007142,0,0
401,1004866,0,1004866,0,0
402,1002569,0,1002569,0,0
403,1000359,0,1000359,0,0
404,998616,0,998616,0,0
405,990620,0,990620,0,0
406,988910,0,988910,0,0
407,992226,0,992226,0,0
408,997109,0,997109,0,0
409,1000603,0,1000603,0,0
410,1116541,0,1116541,0,0
411,1115426,0,1115426,0,0
412,1113800,0,1113800,0,0
413,1112532,0,1112532,0,0
414,1111035,0,1111035,0,0
415,1109519,0,1109519,0,0
416,1105728,0,1105728,0,0
417,1106402,0,1106402,0,0
418,1104702,0,1104702,0,0
419,1104296,0,1104296,0,0
420,1108553,0,1108553,0,0
421,1112743,0,1112743,0,0
422,1117165,0,1117165,0,0
423,1121236,0,1121236,0,0
424,1139498,0,1139498,0,0
425,1138012,0,1138012,0,0
426,1234342,0,1234342,0,0
427,1237159,0,1237159,0,0
428,1235804,0,1235804,0,0
429,1234196,0,1234196,0,0
430,1232793,0,1232793,0,0
431,1231310,0,1231310,0,0
432,1227995,0,1227995,0,0
433,1227001,0,1227001,0,0
434,1226604,0,1226604,0,0
435,1230988,0,1230988,0,0
436,1234368,0,1234368,0,0
437,1237797,0,1237797,0,0
438,1241232,0,1241232,0,0
439,1245584,0,1245584,0,0
440,166178,0,166178,0,0
441,164094,0,164094,0,0
442,161566,0,161566,0,0
443,160197,0,160197,0,0
444,158833,0,158833,0,0
445,162824,0,162824,0,0
446,69121,0,69121,0,0
447,75096,0,75096,0,0
448,81154,0,81154,0,0
449,87524,0,87524,0,0
450,94586,0,94586,0,0
451,99649,0,99649,0,0
452,104726,0,104726,0,0
453,110024,0,110024,0,0
454,301511,0,301511,0,0
455,300013,0,300013,0,0
456,298309,0,298309,0,0
457,296948,0,296948,0,0
458,295441,0,295441,0,0
459,295761,0,295761,0,0
460,294308,0,294308,0,0
461,300672,0,300672,0,0
462,305468,0,305468,0,0
463,304839,0,304839,0,0
464,304500,0,304500,0,0
465,310082,0,310082,0,0
466,314968,0,314968,0,0
467,320031,0,320031,0,0
468,325931,0,325931,0,0
469,331916,0,331916,0,0
470,340418,0,340418,0,0
471,344914,0,344914,0,0
472,349957,0,349957,0,0
473,356360,0,356360,0,0
474,361626,0,361626,0,0
475,366785,0,366785,0,0
476,390821,0,390821,0,0
477,389249,0,389249,0,0
478,387765,0,387765,0,0
479,388751,0,388751,0,0
480,395397,0,395397,0,0
481,401695,0,401695,0,0
482,407813,0,407813,0,0
483,413834,0,413834,0,0
484,585709,0,585709,0,0
485,584929,0,584929,0,0
486,583270,0,583270,0,0
487,581637,0,581637,0,0
488,580192,0,580192,0,0
489,581561,0,581561,0,0
490,580089,0,580089,0,0
491,580323,0,580323,0,0
492,585043,0,585043,0,0
493,591019,0,591019,0,0
494,596410,0,596410,0,0
495,601536,0,601536,0,0
496,607819,0,607819,0,0
497,614010,0,614010,0,0
498,619628,0,619628,0,0
499,626124,0,626124,0,0
500,634746,0,634746,0,0
501,640504,0,640504,0,0
502,648125,0,648125,0,0
503,653995,0,653995,0,0
504,660209,0,660209,0,0
505,672786,0,672786,0,0
506,678459,0,678459,0,0
507,678370,0,678370,0,0
508,684871,0,684871,0,0
509,690977,0,690977,0,0
510,721856,0,721856,0,0
511,719973,0,719973,0,0
512,724718,0,724718,0,0
513,723090,0,723090,0,0
514,817382,0,817382,0,0
515,816249,0,816249,0,0
516,814754,0,814754,0,0
517,813658,0,813658,0,0
518,817730,0,817730,0,0
519,816305,0,816305,0,0
520,814932,0,814932,0,0
521,817379,0,817379,0,0
522,822706,0,822706,0,0
523,827295,0,827295,0,0
524,837141,0,837141,0,0
528,829440,0,829440,0,0
525,844216,0,844216,0,0
529,853141,0,853141,0,0
526,859367,0,859367,0,0
530,851954,0,851954,0,0
527,858129,0,858129,0,0
531,850519,0,850519,0,0
532,850214,0,850214,0,0
533,853250,0,853250,0,0
534,857110,0,857110,0,0
535,861813,0,861813,0,0
536,864941,0,864941,0,0
537,868191,0,868191,0,0
538,871042,0,871042,0,0
539,875365,0,875365,0,0
540,878497,0,878497,0,0
541,882503,0,882503,0,0
542,885387,0,885387,0,0
543,888336,0,888336,0,0
544,555439,0,555439,0,0
545,553039,0,553039,0,0
546,551395,0,551395,0,0
547,549603,0,549603,0,0
548,548054,0,548054,0,0
549,546614,0,546614,0,0
550,544893,0,544893,0,0
576,512370,0,512370,0,0
577,510891,0,510891,0,0
578,509376,0,509376,0,0
579,507932,0,507932,0,0
580,506317,0,506317,0,0
581,504741,0,504741,0,0
582,503077,0,503077,0,0
584,504467,0,504467,0,0
585,503108,0,503108,0,0
586,501483,0,501483,0,0
587,499329,0,499329,0,0
588,497961,0,497961,0,0
589,496368,0,496368,0,0
590,494908,0,494908,0,0
603,470080,0,470080,0,0
591,498598,0,498598,0,0
592,497258,0,497258,0,0
604,474483,0,474483,0,0
593,496229,0,496229,0,0
605,473438,0,473438,0,0
594,495193,0,495193,0,0
606,472355,0,472355,0,0
595,493967,0,493967,0,0
607,552840,0,552840,0,0
596,574900,0,574900,0,0
608,552291,0,552291,0,0
597,573898,0,573898,0,0
609,551308,0,551308,0,0
598,573041,0,573041,0,0
610,550439,0,550439,0,0
611,550031,0,550031,0,0
600,570831,0,570831,0,0
612,549136,0,549136,0,0
601,569811,0,569811,0,0
613,548143,0,548143,0,0
602,568638,0,568638,0,0
614,547196,0,547196,0,0
615,545777,0,545777,0,0
616,547171,0,547171,0,0
617,546105,0,546105,0,0
618,544446,0,544446,0,0
619,525262,0,525262,0,0
620,523932,0,523932,0,0
621,522587,0,522587,0,0
622,521104,0,521104,0,0
623,518650,0,518650,0,0
624,216041,0,216041,0,0
625,213729,0,213729,0,0
626,212081,0,212081,0,0
627,210694,0,210694,0,0
628,209181,0,209181,0,0
629,207441,0,207441,0,0
630,205849,0,205849,0,0
635,200406,0,200406,0,0
636,198333,0,198333,0,0
637,196540,0,196540,0,0
638,214980,0,214980,0,0
639,517037,0,517037,0,0
640,516030,0,516030,0,0
641,514663,0,514663,0,0
642,513183,0,513183,0,0
643,511502,0,511502,0,0
644,510094,0,510094,0,0
645,508728,0,508728,0,0
655,495420,0,495420,0,0
656,493993,0,493993,0,0
657,493011,0,493011,0,0
658,491329,0,491329,0,0
659,490349,0,490349,0,0
660,488853,0,488853,0,0
661,487544,0,487544,0,0
662,485920,0,485920,0,0
663,486244,0,486244,0,0
664,487848,0,487848,0,0
665,486169,0,486169,0,0
666,489754,0,489754,0,0
667,493136,0,493136,0,0
668,497988,0,497988,0,0
669,742488,0,742488,0,0
670,741631,0,741631,0,0
671,740074,0,740074,0,0
672,738522,0,738522,0,0
673,736932,0,736932,0,0
674,735361,0,735361,0,0
675,733795,0,733795,0,0
677,832037,0,832037,0,0
678,832151,0,832151,0,0
679,830902,0,830902,0,0
680,826522,0,826522,0,0
681,808567,0,808567,0,0
682,806883,0,806883,0,0
683,805031,0,805031,0,0
699,794749,0,794749,0,0
700,796331,0,796331,0,0
701,798269,0,798269,0,0
702,801837,0,801837,0,0
703,947641,0,947641,0,0
704,1025255,0,1025255,0,0
705,1021975,0,1021975,0,0
706,1020870,0,1020870,0,0
707,1019552,0,1019552,0,0
708,1018064,0,1018064,0,0
709,1016658,0,1016658,0,0
716,1003768,0,1003768,0,0
717,999394,0,999394,0,0
718,996795,0,996795,0,0
719,994236,0,994236,0,0
720,991996,0,991996,0,0
721,991928,0,991928,0,0
722,994784,0,994784,0,0
723,996435,0,996435,0,0
724,305782,0,305782,0,0
725,307218,0,307218,0,0
726,311008,0,311008,0,0
727,314260,0,314260,0,0
728,316658,0,316658,0,0
729,320010,0,320010,0,0
730,322065,0,322065,0,0
731,433538,0,433538,0,0
732,432071,0,432071,0,0
733,430440,0,430440,0,0
734,428891,0,428891,0,0
735,427008,0,427008,0,0
736,425422,0,425422,0,0
737,423937,0,423937,0,0
745,409834,0,409834,0,0
746,410409,0,410409,0,0
747,413816,0,413816,0,0
748,416439,0,416439,0,0
749,419799,0,419799,0,0
750,422261,0,422261,0,0
751,539856,0,539856,0,0
752,538597,0,538597,0,0
753,536818,0,536818,0,0
754,535545,0,535545,0,0
755,533915,0,533915,0,0
756,532499,0,532499,0,0
757,530992,0,530992,0,0
765,516756,0,516756,0,0
766,528890,0,528890,0,0
767,576918,0,576918,0,0
768,611558,0,611558,0,0
769,610118,0,610118,0,0
770,608389,0,608389,0,0
