count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,97385,0,97385,0,0
52,69587,0,69587,0,0
53,75030,0,75030,0,0
54,67702,0,67702,0,0
55,57001,0,57001,0,0
56,57107,0,57107,0,0
57,54323,0,54323,0,0
58,69036,0,69036,0,0
59,57024,0,57024,0,0
60,83314,0,83314,0,0
61,84906,0,84906,0,0
62,58351,0,58351,0,0
63,55556,0,55556,0,0
64,54964,0,54964,0,0
65,78156,0,78156,0,0
66,91903,0,91903,0,0
67,97163,0,97163,0,0
68,98109,0,98109,0,0
69,50945,0,50945,0,0
70,94783,0,94783,0,0
71,101066,0,101066,0,0
72,68759,0,68759,0,0
73,58908,0,58908,0,0
74,86795,0,86795,0,0
75,85355,0,85355,0,0
76,67220,0,67220,0,0
77,121199,0,121199,0,0
78,67300,0,67300,0,0
79,93128,0,93128,0,0
80,127574,0,127574,0,0
81,96426,0,96426,0,0
82,65846,0,65846,0,0
83,59752,0,59752,0,0
84,85636,0,85636,0,0
85,61560,0,61560,0,0
86,56527,0,56527,0,0
87,90434,0,90434,0,0
88,70018,0,70018,0,0
89,77725,0,77725,0,0
90,87108,0,87108,0,0
91,139167,0,139167,0,0
92,63315,0,63315,0,0
93,82483,0,82483,0,0
94,60236,0,60236,0,0
95,93258,0,93258,0,0
96,102110,0,102110,0,0
97,68813,0,68813,0,0
98,63669,0,63669,0,0
99,60598,0,60598,0,0
100,93721,0,93721,0,0
101,57287,0,57287,0,0
102,91469,0,91469,0,0
103,66076,0,66076,0,0
104,97695,0,97695,0,0
105,98451,0,98451,0,0
106,92237,0,92237,0,0
107,61555,0,61555,0,0
108,77358,0,77358,0,0
109,62090,0,62090,0,0
110,90100,0,90100,0,0
111,66724,0,66724,0,0
112,90779,0,90779,0,0
113,60520,0,60520,0,0
114,53564,0,53564,0,0
115,108170,0,108170,0,0
116,87530,0,87530,0,0
117,105230,0,105230,0,0
118,83103,0,83103,0,0
119,121269,0,121269,0,0
120,97746,0,97746,0,0
121,103267,0,103267,0,0
122,75259,0,75259,0,0
123,95118,0,95118,0,0
124,95714,0,95714,0,0
125,94232,0,94232,0,0
126,93507,0,93507,0,0
127,65485,0,65485,0,0
128,54678,0,54678,0,0
129,80473,0,80473,0,0
130,72006,0,72006,0,0
131,84332,0,84332,0,0
132,82666,0,82666,0,0
133,88992,0,88992,0,0
134,104488,0,104488,0,0
135,92986,0,92986,0,0
136,68656,0,68656,0,0
137,54860,0,54860,0,0
138,55795,0,55795,0,0
139,76381,0,76381,0,0
140,71172,0,71172,0,0
141,56768,0,56768,0,0
142,76596,0,76596,0,0
143,61589,0,61589,0,0
144,72901,0,72901,0,0
145,85803,0,85803,0,0
146,88073,0,88073,0,0
147,68037,0,68037,0,0
148,59970,0,59970,0,0
149,62741,0,62741,0,0
150,86348,0,86348,0,0
151,138951,0,138951,0,0
152,69665,0,69665,0,0
153,64613,0,64613,0,0
154,81604,0,81604,0,0
155,89520,0,89520,0,0
156,63000,0,63000,0,0
157,100848,0,100848,0,0
158,106937,0,106937,0,0
159,60326,0,60326,0,0
160,144730,0,144730,0,0
161,96188,0,96188,0,0
162,71438,0,71438,0,0
163,56693,0,56693,0,0
164,91438,0,91438,0,0
165,78712,0,78712,0,0
166,64378,0,64378,0,0
167,91547,0,91547,0,0
168,91637,0,91637,0,0
169,87025,0,87025,0,0
170,76915,0,76915,0,0
171,81695,0,81695,0,0
172,83792,0,83792,0,0
173,89938,0,89938,0,0
174,57947,0,57947,0,0
175,92108,0,92108,0,0
176,89213,0,89213,0,0
177,108367,0,108367,0,0
178,90011,0,90011,0,0
179,59286,0,59286,0,0
180,59703,0,59703,0,0
181,91110,0,91110,0,0
182,92844,0,92844,0,0
183,103752,0,103752,0,0
184,93712,0,93712,0,0
185,88727,0,88727,0,0
186,91406,0,91406,0,0
187,90942,0,90942,0,0
188,91038,0,91038,0,0
189,58239,0,58239,0,0
190,114593,0,114593,0,0
191,88387,0,88387,0,0
192,59425,0,59425,0,0
193,110875,0,110875,0,0
194,73615,0,73615,0,0
195,61674,0,61674,0,0
196,93160,0,93160,0,0
197,90482,0,90482,0,0
198,104816,0,104816,0,0
199,54654,0,54654,0,0
200,92963,0,92963,0,0
201,93736,0,93736,0,0
202,74350,0,74350,0,0
203,62576,0,62576,0,0
204,71551,0,71551,0,0
205,59349,0,59349,0,0
206,60082,0,60082,0,0
207,66142,0,66142,0,0
208,75582,0,75582,0,0
209,91122,0,91122,0,0
210,123842,0,123842,0,0
211,57260,0,57260,0,0
212,93723,0,93723,0,0
213,65911,0,65911,0,0
214,83357,0,83357,0,0
215,104087,0,104087,0,0
216,89233,0,89233,0,0
217,71505,0,71505,0,0
218,62503,0,62503,0,0
219,71999,0,71999,0,0
220,68073,0,68073,0,0
221,91559,0,91559,0,0
222,106295,0,106295,0,0
223,107235,0,107235,0,0
224,67455,0,67455,0,0
225,67430,0,67430,0,0
226,92581,0,92581,0,0
227,93105,0,93105,0,0
228,64045,0,64045,0,0
229,112356,0,112356,0,0
230,112869,0,112869,0,0
231,88071,0,88071,0,0
232,64593,0,64593,0,0
233,90723,0,90723,0,0
234,72846,0,72846,0,0
235,113373,0,113373,0,0
236,103955,0,103955,0,0
237,88946,0,88946,0,0
238,104788,0,104788,0,0
239,76122,0,76122,0,0
240,64298,0,64298,0,0
241,125178,0,125178,0,0
242,143649,0,143649,0,0
243,83046,0,83046,0,0
244,66679,0,66679,0,0
245,92701,0,92701,0,0
246,108234,0,108234,0,0
247,70436,0,70436,0,0
248,58200,0,58200,0,0
249,63996,0,63996,0,0
250,153126,0,153126,0,0
251,119772,0,119772,0,0
252,83622,0,83622,0,0
253,96733,0,96733,0,0
254,78010,0,78010,0,0
255,97085,0,97085,0,0
256,61873,0,61873,0,0
257,181315,0,181315,0,0
258,181387,0,181387,0,0
259,85098,0,85098,0,0
260,118075,0,118075,0,0
261,91547,0,91547,0,0
262,98602,0,98602,0,0
263,96589,0,96589,0,0
264,103399,0,103399,0,0
265,159341,0,159341,0,0
266,109853,0,109853,0,0
267,141917,0,141917,0,0
268,95440,0,95440,0,0
269,88602,0,88602,0,0
270,90138,0,90138,0,0
271,84915,0,84915,0,0
272,92612,0,92612,0,0
273,87538,0,87538,0,0
274,166789,0,166789,0,0
275,125509,0,125509,0,0
276,101279,0,101279,0,0
277,96688,0,96688,0,0
278,74905,0,74905,0,0
279,74238,0,74238,0,0
280,69932,0,69932,0,0
281,108634,0,108634,0,0
282,55341,0,55341,0,0
283,93266,0,93266,0,0
284,75211,0,75211,0,0
285,60373,0,60373,0,0
286,89731,0,89731,0,0
287,65225,0,65225,0,0
288,105702,0,105702,0,0
289,104724,0,104724,0,0
290,92816,0,92816,0,0
291,91816,0,91816,0,0
292,111139,0,111139,0,0
293,116964,0,116964,0,0
294,103272,0,103272,0,0
295,72138,0,72138,0,0
296,94603,0,94603,0,0
297,90830,0,90830,0,0
298,89032,0,89032,0,0
299,71072,0,71072,0,0
300,73410,0,73410,0,0
301,70843,0,70843,0,0
302,91805,0,91805,0,0
303,107617,0,107617,0,0
304,92094,0,92094,0,0
305,89870,0,89870,0,0
306,90582,0,90582,0,0
307,83596,0,83596,0,0
308,71971,0,71971,0,0
309,59084,0,59084,0,0
310,62341,0,62341,0,0
311,110809,0,110809,0,0
312,99251,0,99251,0,0
313,80344,0,80344,0,0
314,129311,0,129311,0,0
315,102028,0,102028,0,0
316,160813,0,160813,0,0
317,61308,0,61308,0,0
318,71620,0,71620,0,0
319,90412,0,90412,0,0
320,92893,0,92893,0,0
321,106363,0,106363,0,0
322,89354,0,89354,0,0
323,62756,0,62756,0,0
324,91398,0,91398,0,0
325,77208,0,77208,0,0
326,74397,0,74397,0,0
327,67547,0,67547,0,0
328,95873,0,95873,0,0
329,72378,0,72378,0,0
330,70569,0,70569,0,0
331,59057,0,59057,0,0
332,92011,0,92011,0,0
333,92332,0,92332,0,0
334,91926,0,91926,0,0
335,90081,0,90081,0,0
336,89015,0,89015,0,0
337,92058,0,92058,0,0
338,90729,0,90729,0,0
339,102246,0,102246,0,0
340,100605,0,100605,0,0
341,90511,0,90511,0,0
342,89519,0,89519,0,0
343,91140,0,91140,0,0
344,90899,0,90899,0,0
345,92213,0,92213,0,0
346,92025,0,92025,0,0
347,94624,0,94624,0,0
348,102560,0,102560,0,0
349,69502,0,69502,0,0
350,72170,0,72170,0,0
351,59936,0,59936,0,0
352,116712,0,116712,0,0
353,81123,0,81123,0,0
354,78287,0,78287,0,0
355,101211,0,101211,0,0
356,58622,0,58622,0,0
357,102378,0,102378,0,0
358,93157,0,93157,0,0
359,91470,0,91470,0,0
360,93699,0,93699,0,0
361,93756,0,93756,0,0
362,92023,0,92023,0,0
363,89351,0,89351,0,0
364,87834,0,87834,0,0
365,74063,0,74063,0,0
366,93861,0,93861,0,0
367,92020,0,92020,0,0
368,59155,0,59155,0,0
369,63867,0,63867,0,0
370,90695,0,90695,0,0
371,90598,0,90598,0,0
372,88977,0,88977,0,0
373,91716,0,91716,0,0
374,73346,0,73346,0,0
375,102546,0,102546,0,0
376,61689,0,61689,0,0
377,71798,0,71798,0,0
378,72387,0,72387,0,0
379,60167,0,60167,0,0
380,90838,0,90838,0,0
381,93302,0,93302,0,0
382,91958,0,91958,0,0
383,89270,0,89270,0,0
384,88850,0,88850,0,0
385,95260,0,95260,0,0
386,92102,0,92102,0,0
387,90000,0,90000,0,0
388,89577,0,89577,0,0
389,93854,0,93854,0,0
390,89713,0,89713,0,0
391,54653,0,54653,0,0
392,102600,0,102600,0,0
393,95751,0,95751,0,0
394,97674,0,97674,0,0
395,104408,0,104408,0,0
396,84761,0,84761,0,0
397,54537,0,54537,0,0
398,65285,0,65285,0,0
399,90535,0,90535,0,0
400,88042,0,88042,0,0
401,76089,0,76089,0,0
402,61495,0,61495,0,0
403,64484,0,64484,0,0
404,64951,0,64951,0,0
405,95076,0,95076,0,0
406,95627,0,95627,0,0
407,77690,0,77690,0,0
408,93399,0,93399,0,0
409,94443,0,94443,0,0
410,88397,0,88397,0,0
411,94193,0,94193,0,0
412,91208,0,91208,0,0
413,93010,0,93010,0,0
414,91523,0,91523,0,0
415,89577,0,89577,0,0
416,91442,0,91442,0,0
417,91619,0,91619,0,0
418,89450,0,89450,0,0
419,88145,0,88145,0,0
420,93006,0,93006,0,0
421,89382,0,89382,0,0
422,91566,0,91566,0,0
423,119642,0,119642,0,0
424,108457,0,108457,0,0
425,80144,0,80144,0,0
426,92051,0,92051,0,0
427,102885,0,102885,0,0
428,63957,0,63957,0,0
429,66831,0,66831,0,0
430,149508,0,149508,0,0
431,63218,0,63218,0,0
432,92673,0,92673,0,0
433,73950,0,73950,0,0
434,77010,0,77010,0,0
435,73154,0,73154,0,0
436,117659,0,117659,0,0
437,98545,0,98545,0,0
438,79619,0,79619,0,0
439,106110,0,106110,0,0
440,77619,0,77619,0,0
441,60490,0,60490,0,0
442,54570,0,54570,0,0
443,91012,0,91012,0,0
444,89752,0,89752,0,0
445,92971,0,92971,0,0
446,92834,0,92834,0,0
447,109247,0,109247,0,0
448,90680,0,90680,0,0
449,67419,0,67419,0,0
450,111824,0,111824,0,0
451,82464,0,82464,0,0
452,59307,0,59307,0,0
453,64698,0,64698,0,0
454,75162,0,75162,0,0
455,88172,0,88172,0,0
456,92270,0,92270,0,0
457,93488,0,93488,0,0
458,88425,0,88425,0,0
459,91900,0,91900,0,0
460,102562,0,102562,0,0
461,88302,0,88302,0,0
462,94240,0,94240,0,0
463,90099,0,90099,0,0
464,63340,0,63340,0,0
465,59661,0,59661,0,0
466,105102,0,105102,0,0
467,91375,0,91375,0,0
468,83743,0,83743,0,0
469,148457,0,148457,0,0
470,65939,0,65939,0,0
471,68511,0,68511,0,0
472,81604,0,81604,0,0
473,103104,0,103104,0,0
474,98173,0,98173,0,0
475,68887,0,68887,0,0
476,109917,0,109917,0,0
477,62294,0,62294,0,0
478,94149,0,94149,0,0
479,90499,0,90499,0,0
480,89630,0,89630,0,0
481,92863,0,92863,0,0
482,91334,0,91334,0,0
483,90872,0,90872,0,0
484,87122,0,87122,0,0
485,66541,0,66541,0,0
486,91110,0,91110,0,0
487,82834,0,82834,0,0
488,93862,0,93862,0,0
489,118223,0,118223,0,0
490,88191,0,88191,0,0
491,92107,0,92107,0,0
492,90998,0,90998,0,0
493,60175,0,60175,0,0
494,68007,0,68007,0,0
495,65438,0,65438,0,0
496,59268,0,59268,0,0
497,66463,0,66463,0,0
498,59800,0,59800,0,0
499,68670,0,68670,0,0
500,98922,0,98922,0,0
501,105601,0,105601,0,0
502,109022,0,109022,0,0
503,83474,0,83474,0,0
504,59337,0,59337,0,0
505,91845,0,91845,0,0
506,89002,0,89002,0,0
507,89034,0,89034,0,0
508,56966,0,56966,0,0
509,84809,0,84809,0,0
510,83045,0,83045,0,0
511,74052,0,74052,0,0
512,93480,0,93480,0,0
513,90429,0,90429,0,0
514,120551,0,120551,0,0
515,72863,0,72863,0,0
516,64510,0,64510,0,0
517,120386,0,120386,0,0
518,112708,0,112708,0,0
519,101439,0,101439,0,0
520,91107,0,91107,0,0
521,67987,0,67987,0,0
522,66391,0,66391,0,0
523,92448,0,92448,0,0
524,70360,0,70360,0,0
525,56757,0,56757,0,0
526,110228,0,110228,0,0
527,92793,0,92793,0,0
528,92943,0,92943,0,0
529,95610,0,95610,0,0
530,92002,0,92002,0,0
531,93434,0,93434,0,0
532,92271,0,92271,0,0
533,93317,0,93317,0,0
534,92570,0,92570,0,0
535,91430,0,91430,0,0
536,92416,0,92416,0,0
537,95162,0,95162,0,0
538,92454,0,92454,0,0
539,94213,0,94213,0,0
540,74657,0,74657,0,0
541,94671,0,94671,0,0
542,94686,0,94686,0,0
543,90701,0,90701,0,0
544,92315,0,92315,0,0
545,77168,0,77168,0,0
546,99681,0,99681,0,0
547,66299,0,66299,0,0
548,94019,0,94019,0,0
549,91904,0,91904,0,0
550,80369,0,80369,0,0
551,92413,0,92413,0,0
552,70040,0,70040,0,0
553,95315,0,95315,0,0
554,79960,0,79960,0,0
555,95567,0,95567,0,0
556,80114,0,80114,0,0
557,57411,0,57411,0,0
558,85671,0,85671,0,0
559,88591,0,88591,0,0
560,97147,0,97147,0,0
561,93233,0,93233,0,0
562,62734,0,62734,0,0
563,89988,0,89988,0,0
564,90466,0,90466,0,0
565,91639,0,91639,0,0
566,90282,0,90282,0,0
567,93434,0,93434,0,0
568,60688,0,60688,0,0
569,69232,0,69232,0,0
570,75524,0,75524,0,0
571,59682,0,59682,0,0
572,94048,0,94048,0,0
573,95719,0,95719,0,0
574,63520,0,63520,0,0
575,93603,0,93603,0,0
576,60077,0,60077,0,0
577,93900,0,93900,0,0
578,90374,0,90374,0,0
579,70568,0,70568,0,0
580,94120,0,94120,0,0
581,62828,0,62828,0,0
582,73250,0,73250,0,0
583,73802,0,73802,0,0
584,62789,0,62789,0,0
585,94246,0,94246,0,0
586,92153,0,92153,0,0
587,92113,0,92113,0,0
588,116133,0,116133,0,0
589,128550,0,128550,0,0
590,80354,0,80354,0,0
591,95222,0,95222,0,0
592,92628,0,92628,0,0
