count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,137574,0,137574,0,0
52,401129,0,401129,0,0
53,215706,0,215706,0,0
54,121747,0,121747,0,0
55,77051,0,77051,0,0
56,89583,0,89583,0,0
57,178580,0,178580,0,0
58,98073,0,98073,0,0
59,78777,0,78777,0,0
60,77489,0,77489,0,0
61,83752,0,83752,0,0
62,97214,0,97214,0,0
63,295126,0,295126,0,0
64,85773,0,85773,0,0
65,98421,0,98421,0,0
66,206545,0,206545,0,0
67,309318,0,309318,0,0
68,125676,0,125676,0,0
69,186352,0,186352,0,0
70,90382,0,90382,0,0
71,315012,0,315012,0,0
72,97383,0,97383,0,0
73,99435,0,99435,0,0
74,109372,0,109372,0,0
75,133209,0,133209,0,0
76,78632,0,78632,0,0
77,80097,0,80097,0,0
78,70336,0,70336,0,0
79,70238,0,70238,0,0
80,71601,0,71601,0,0
81,70315,0,70315,0,0
82,69637,0,69637,0,0
83,89454,0,89454,0,0
84,67559,0,67559,0,0
85,65834,0,65834,0,0
86,68636,0,68636,0,0
87,65864,0,65864,0,0
88,63748,0,63748,0,0
89,65808,0,65808,0,0
90,71368,0,71368,0,0
91,67838,0,67838,0,0
92,188294,0,188294,0,0
93,99836,0,99836,0,0
94,79192,0,79192,0,0
95,74651,0,74651,0,0
96,86502,0,86502,0,0
97,88033,0,88033,0,0
98,83248,0,83248,0,0
99,81863,0,81863,0,0
100,87629,0,87629,0,0
101,82224,0,82224,0,0
102,116630,0,116630,0,0
103,80126,0,80126,0,0
104,81877,0,81877,0,0
105,298574,0,298574,0,0
106,107771,0,107771,0,0
107,278771,0,278771,0,0
108,96698,0,96698,0,0
109,126040,0,126040,0,0
110,80966,0,80966,0,0
111,94375,0,94375,0,0
112,87514,0,87514,0,0
113,91545,0,91545,0,0
114,87067,0,87067,0,0
115,82458,0,82458,0,0
116,93370,0,93370,0,0
117,112279,0,112279,0,0
118,83218,0,83218,0,0
119,105475,0,105475,0,0
120,81078,0,81078,0,0
121,92567,0,92567,0,0
122,100377,0,100377,0,0
123,81577,0,81577,0,0
124,69001,0,69001,0,0
125,70972,0,70972,0,0
126,68632,0,68632,0,0
127,68834,0,68834,0,0
128,68731,0,68731,0,0
129,65543,0,65543,0,0
130,66921,0,66921,0,0
131,66463,0,66463,0,0
132,213043,0,213043,0,0
133,140738,0,140738,0,0
134,79575,0,79575,0,0
135,76882,0,76882,0,0
136,83385,0,83385,0,0
137,134325,0,134325,0,0
138,82888,0,82888,0,0
139,79066,0,79066,0,0
140,73988,0,73988,0,0
141,77121,0,77121,0,0
142,96956,0,96956,0,0
143,95511,0,95511,0,0
144,103076,0,103076,0,0
145,209329,0,209329,0,0
146,319372,0,319372,0,0
147,127758,0,127758,0,0
148,258463,0,258463,0,0
149,71166,0,71166,0,0
150,90405,0,90405,0,0
151,82891,0,82891,0,0
152,83740,0,83740,0,0
153,94265,0,94265,0,0
154,82225,0,82225,0,0
155,75123,0,75123,0,0
156,75343,0,75343,0,0
157,67006,0,67006,0,0
158,65195,0,65195,0,0
159,64535,0,64535,0,0
160,99721,0,99721,0,0
161,78258,0,78258,0,0
162,84142,0,84142,0,0
163,86310,0,86310,0,0
164,94511,0,94511,0,0
165,80998,0,80998,0,0
166,81199,0,81199,0,0
167,80231,0,80231,0,0
168,71616,0,71616,0,0
169,66405,0,66405,0,0
170,62445,0,62445,0,0
171,65700,0,65700,0,0
172,63358,0,63358,0,0
173,122930,0,122930,0,0
174,101737,0,101737,0,0
175,86773,0,86773,0,0
176,77377,0,77377,0,0
177,210393,0,210393,0,0
178,127255,0,127255,0,0
179,88030,0,88030,0,0
180,79873,0,79873,0,0
181,81096,0,81096,0,0
182,87007,0,87007,0,0
183,318990,0,318990,0,0
184,93160,0,93160,0,0
185,227735,0,227735,0,0
186,347659,0,347659,0,0
187,124863,0,124863,0,0
188,141987,0,141987,0,0
189,93179,0,93179,0,0
190,91511,0,91511,0,0
191,83482,0,83482,0,0
192,94401,0,94401,0,0
193,88600,0,88600,0,0
194,80386,0,80386,0,0
195,68583,0,68583,0,0
196,69406,0,69406,0,0
197,71064,0,71064,0,0
198,70865,0,70865,0,0
199,65542,0,65542,0,0
200,68979,0,68979,0,0
201,68503,0,68503,0,0
202,69659,0,69659,0,0
203,65647,0,65647,0,0
204,68972,0,68972,0,0
205,67014,0,67014,0,0
206,65016,0,65016,0,0
207,107229,0,107229,0,0
208,74877,0,74877,0,0
209,98833,0,98833,0,0
210,81776,0,81776,0,0
211,114139,0,114139,0,0
212,219868,0,219868,0,0
