count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,220598,0,220598,0,0
52,199503,0,199503,0,0
53,195398,0,195398,0,0
54,224812,0,224812,0,0
55,218690,0,218690,0,0
56,210579,0,210579,0,0
57,219897,0,219897,0,0
58,203943,0,203943,0,0
59,341569,0,341569,0,0
60,480272,0,480272,0,0
61,454574,0,454574,0,0
62,436355,0,436355,0,0
63,367387,0,367387,0,0
64,297805,0,297805,0,0
65,253344,0,253344,0,0
66,192551,0,192551,0,0
67,127629,0,127629,0,0
68,83243,0,83243,0,0
69,48082,0,48082,0,0
70,101411,0,101411,0,0
71,65912,0,65912,0,0
72,37435,0,37435,0,0
73,50068,0,50068,0,0
74,53937,0,53937,0,0
75,67295,0,67295,0,0
76,50248,0,50248,0,0
77,42207,0,42207,0,0
78,98685,0,98685,0,0
79,69178,0,69178,0,0
80,77622,0,77622,0,0
81,68165,0,68165,0,0
82,74543,0,74543,0,0
83,48913,0,48913,0,0
84,76385,0,76385,0,0
85,40751,0,40751,0,0
86,44581,0,44581,0,0
87,70634,0,70634,0,0
88,40362,0,40362,0,0
89,38793,0,38793,0,0
90,42557,0,42557,0,0
91,131981,0,131981,0,0
92,93176,0,93176,0,0
93,103517,0,103517,0,0
94,112190,0,112190,0,0
95,85437,0,85437,0,0
96,94321,0,94321,0,0
97,46396,0,46396,0,0
98,76304,0,76304,0,0
99,35021,0,35021,0,0
100,67155,0,67155,0,0
101,34204,0,34204,0,0
102,33445,0,33445,0,0
103,62065,0,62065,0,0
104,59516,0,59516,0,0
105,57559,0,57559,0,0
106,42533,0,42533,0,0
107,71641,0,71641,0,0
108,34635,0,34635,0,0
109,69189,0,69189,0,0
110,35932,0,35932,0,0
111,69207,0,69207,0,0
112,33484,0,33484,0,0
113,59181,0,59181,0,0
114,34252,0,34252,0,0
115,61525,0,61525,0,0
116,34423,0,34423,0,0
117,65361,0,65361,0,0
118,38159,0,38159,0,0
119,64071,0,64071,0,0
120,330467,0,330467,0,0
121,322136,0,322136,0,0
122,278792,0,278792,0,0
123,240688,0,240688,0,0
124,198332,0,198332,0,0
125,157602,0,157602,0,0
126,113711,0,113711,0,0
127,64141,0,64141,0,0
128,38837,0,38837,0,0
129,72444,0,72444,0,0
130,74992,0,74992,0,0
131,50420,0,50420,0,0
132,57889,0,57889,0,0
133,389313,0,389313,0,0
134,384040,0,384040,0,0
135,335146,0,335146,0,0
136,304121,0,304121,0,0
137,260730,0,260730,0,0
138,222382,0,222382,0,0
139,139057,0,139057,0,0
140,78890,0,78890,0,0
141,74207,0,74207,0,0
142,30247,0,30247,0,0
143,94298,0,94298,0,0
144,68014,0,68014,0,0
145,50941,0,50941,0,0
146,71173,0,71173,0,0
147,35445,0,35445,0,0
148,85575,0,85575,0,0
149,49759,0,49759,0,0
150,75740,0,75740,0,0
151,67385,0,67385,0,0
152,71323,0,71323,0,0
153,71953,0,71953,0,0
154,73605,0,73605,0,0
155,75847,0,75847,0,0
156,48535,0,48535,0,0
157,72076,0,72076,0,0
158,51156,0,51156,0,0
159,51203,0,51203,0,0
160,72289,0,72289,0,0
161,68784,0,68784,0,0
162,110165,0,110165,0,0
163,65070,0,65070,0,0
164,40120,0,40120,0,0
165,78453,0,78453,0,0
166,83060,0,83060,0,0
167,47647,0,47647,0,0
168,68995,0,68995,0,0
169,70098,0,70098,0,0
170,70221,0,70221,0,0
171,68948,0,68948,0,0
172,66686,0,66686,0,0
173,67010,0,67010,0,0
174,37241,0,37241,0,0
175,37261,0,37261,0,0
176,82541,0,82541,0,0
177,59597,0,59597,0,0
178,49286,0,49286,0,0
179,85891,0,85891,0,0
180,67094,0,67094,0,0
181,48444,0,48444,0,0
182,69977,0,69977,0,0
183,50321,0,50321,0,0
184,75299,0,75299,0,0
185,52429,0,52429,0,0
186,75550,0,75550,0,0
187,101109,0,101109,0,0
188,56498,0,56498,0,0
189,37789,0,37789,0,0
190,53083,0,53083,0,0
191,74705,0,74705,0,0
192,78149,0,78149,0,0
193,81117,0,81117,0,0
194,54754,0,54754,0,0
195,68456,0,68456,0,0
196,70515,0,70515,0,0
197,70334,0,70334,0,0
198,70426,0,70426,0,0
199,73799,0,73799,0,0
200,103382,0,103382,0,0
201,48860,0,48860,0,0
202,71747,0,71747,0,0
203,69995,0,69995,0,0
204,70776,0,70776,0,0
205,67913,0,67913,0,0
206,65995,0,65995,0,0
207,66839,0,66839,0,0
208,82844,0,82844,0,0
209,48821,0,48821,0,0
210,69574,0,69574,0,0
211,75036,0,75036,0,0
212,74220,0,74220,0,0
213,71436,0,71436,0,0
214,66789,0,66789,0,0
215,66331,0,66331,0,0
216,67795,0,67795,0,0
217,68634,0,68634,0,0
218,67655,0,67655,0,0
219,66295,0,66295,0,0
220,66815,0,66815,0,0
221,79561,0,79561,0,0
222,49954,0,49954,0,0
223,71448,0,71448,0,0
224,68097,0,68097,0,0
225,68892,0,68892,0,0
226,67114,0,67114,0,0
227,67478,0,67478,0,0
228,67308,0,67308,0,0
229,69101,0,69101,0,0
230,75471,0,75471,0,0
231,69279,0,69279,0,0
232,73014,0,73014,0,0
233,71692,0,71692,0,0
234,64645,0,64645,0,0
235,69498,0,69498,0,0
236,210105,0,210105,0,0
237,206621,0,206621,0,0
238,163555,0,163555,0,0
239,113287,0,113287,0,0
240,111882,0,111882,0,0
241,49116,0,49116,0,0
242,70653,0,70653,0,0
243,67784,0,67784,0,0
244,73052,0,73052,0,0
245,70423,0,70423,0,0
246,70250,0,70250,0,0
247,69147,0,69147,0,0
248,70328,0,70328,0,0
249,66717,0,66717,0,0
250,70246,0,70246,0,0
251,60174,0,60174,0,0
252,39054,0,39054,0,0
253,221859,0,221859,0,0
254,217864,0,217864,0,0
255,215129,0,215129,0,0
256,162623,0,162623,0,0
257,85734,0,85734,0,0
258,72638,0,72638,0,0
259,70397,0,70397,0,0
260,72990,0,72990,0,0
261,70968,0,70968,0,0
262,71902,0,71902,0,0
263,67979,0,67979,0,0
264,65674,0,65674,0,0
265,64669,0,64669,0,0
266,68357,0,68357,0,0
267,67940,0,67940,0,0
268,70615,0,70615,0,0
269,74610,0,74610,0,0
270,72294,0,72294,0,0
271,69489,0,69489,0,0
272,65627,0,65627,0,0
273,69838,0,69838,0,0
274,69348,0,69348,0,0
275,70299,0,70299,0,0
276,70005,0,70005,0,0
277,69374,0,69374,0,0
278,66500,0,66500,0,0
279,66272,0,66272,0,0
280,183560,0,183560,0,0
281,92259,0,92259,0,0
282,82823,0,82823,0,0
283,101201,0,101201,0,0
284,93369,0,93369,0,0
285,88723,0,88723,0,0
286,51663,0,51663,0,0
287,90899,0,90899,0,0
288,64598,0,64598,0,0
289,91722,0,91722,0,0
290,86617,0,86617,0,0
291,80428,0,80428,0,0
292,80537,0,80537,0,0
293,53509,0,53509,0,0
294,34323,0,34323,0,0
295,74068,0,74068,0,0
296,82738,0,82738,0,0
297,42126,0,42126,0,0
298,74882,0,74882,0,0
299,41849,0,41849,0,0
300,74678,0,74678,0,0
301,74906,0,74906,0,0
302,69868,0,69868,0,0
303,73526,0,73526,0,0
304,70411,0,70411,0,0
305,68861,0,68861,0,0
306,70312,0,70312,0,0
307,68990,0,68990,0,0
308,67674,0,67674,0,0
309,383651,0,383651,0,0
310,337165,0,337165,0,0
311,255504,0,255504,0,0
312,182275,0,182275,0,0
313,138755,0,138755,0,0
314,138310,0,138310,0,0
315,114591,0,114591,0,0
316,54618,0,54618,0,0
317,72242,0,72242,0,0
318,69129,0,69129,0,0
319,67296,0,67296,0,0
320,66513,0,66513,0,0
321,67068,0,67068,0,0
322,79763,0,79763,0,0
323,40531,0,40531,0,0
324,66313,0,66313,0,0
325,70013,0,70013,0,0
326,78112,0,78112,0,0
327,76245,0,76245,0,0
328,69348,0,69348,0,0
329,65986,0,65986,0,0
330,66380,0,66380,0,0
331,65944,0,65944,0,0
332,68068,0,68068,0,0
333,66529,0,66529,0,0
334,66321,0,66321,0,0
335,67643,0,67643,0,0
336,67117,0,67117,0,0
337,65927,0,65927,0,0
338,71999,0,71999,0,0
339,99456,0,99456,0,0
340,54227,0,54227,0,0
341,67985,0,67985,0,0
342,67304,0,67304,0,0
343,64256,0,64256,0,0
344,80479,0,80479,0,0
345,39703,0,39703,0,0
346,33753,0,33753,0,0
347,78584,0,78584,0,0
348,70076,0,70076,0,0
349,68891,0,68891,0,0
350,66654,0,66654,0,0
351,71230,0,71230,0,0
352,68961,0,68961,0,0
353,414202,0,414202,0,0
354,401173,0,401173,0,0
355,353960,0,353960,0,0
356,303344,0,303344,0,0
357,300780,0,300780,0,0
358,242296,0,242296,0,0
359,173335,0,173335,0,0
360,98322,0,98322,0,0
361,52442,0,52442,0,0
362,72313,0,72313,0,0
363,73261,0,73261,0,0
364,66898,0,66898,0,0
365,72504,0,72504,0,0
366,66406,0,66406,0,0
367,69735,0,69735,0,0
368,97020,0,97020,0,0
369,36730,0,36730,0,0
370,31460,0,31460,0,0
371,84581,0,84581,0,0
372,81414,0,81414,0,0
373,115006,0,115006,0,0
374,116922,0,116922,0,0
375,50810,0,50810,0,0
376,74926,0,74926,0,0
377,74443,0,74443,0,0
378,67267,0,67267,0,0
379,73979,0,73979,0,0
380,74494,0,74494,0,0
381,68745,0,68745,0,0
382,64845,0,64845,0,0
383,46056,0,46056,0,0
384,68909,0,68909,0,0
385,62635,0,62635,0,0
386,81117,0,81117,0,0
387,48363,0,48363,0,0
388,76069,0,76069,0,0
389,68789,0,68789,0,0
390,69599,0,69599,0,0
391,76532,0,76532,0,0
392,74357,0,74357,0,0
393,67225,0,67225,0,0
394,69701,0,69701,0,0
395,68510,0,68510,0,0
396,67967,0,67967,0,0
397,399963,0,399963,0,0
398,435921,0,435921,0,0
399,424671,0,424671,0,0
400,305548,0,305548,0,0
401,244923,0,244923,0,0
402,182952,0,182952,0,0
403,306067,0,306067,0,0
404,269481,0,269481,0,0
405,192169,0,192169,0,0
406,280000,0,280000,0,0
407,402547,0,402547,0,0
408,333652,0,333652,0,0
409,255251,0,255251,0,0
410,209747,0,209747,0,0
411,154747,0,154747,0,0
412,151397,0,151397,0,0
413,88187,0,88187,0,0
414,46344,0,46344,0,0
415,76405,0,76405,0,0
416,70410,0,70410,0,0
417,72240,0,72240,0,0
418,70929,0,70929,0,0
419,68603,0,68603,0,0
