count_idx,delay_ns
51,5312
52,5543
53,4337
54,9103
55,7545
56,6530
57,9760
58,23115
59,11031
60,9251
61,8687
62,6941
63,5696
64,8211
65,6032
66,7931
67,8540
68,7077
69,6029
70,4528
71,32136
72,30272
73,29691
74,28767
75,26463
76,26007
77,24293
78,22408
79,22773
80,35068
81,26537
82,23300
83,23106
84,22366
85,22804
86,21139
87,20000
88,18212
89,15718
90,12268
91,10819
92,7740
93,10015
94,7412
95,8483
96,4754
97,10564
98,6534
99,6134
100,5417
101,6931
102,5966
103,3994
104,27810
105,8303
106,6033
107,5725
108,4945
109,4264
110,7918
111,6806
112,21705
113,20395
114,29493
115,18437
116,16954
117,14793
118,12044
119,9972
120,6541
121,8600
122,6750
123,6777
124,5875
125,7934
126,6049
127,4297
128,6922
129,6322
130,5499
131,7988
132,6203
133,4333
134,6787
135,6059
136,5049
137,8033
138,7713
139,7378
140,5525
141,8355
142,6157
143,5185
144,4393
145,19913
146,20434
147,21748
148,20053
149,20386
150,9499
151,6151
152,4428
153,20011
154,19925
155,20625
156,8737
157,5587
158,4536
159,19695
160,20217
161,19942
162,8339
163,6808
164,6038
165,10844
166,6770
167,5847
168,3973
169,19694
170,20217
171,20977
172,19821
173,19849
174,20170
175,8239
176,6940
177,5710
178,5060
179,8352
180,7108
181,4489
182,19990
183,20351
184,20115
185,20974
186,9012
187,7502
188,6177
189,4513
190,7898
191,6087
192,5407
193,4702
194,19653
195,21217
196,8970
197,6851
198,5959
199,5618
200,3950
201,6582
202,5682
203,10643
204,7931
205,5847
206,4105
207,19611
208,57381
209,65524
210,46472
211,46451
212,46010
213,50408
214,55948
215,61413
216,66679
217,71011
218,69436
219,69446
220,68889
221,70268
222,74900
223,80350
224,84422
225,88343
226,92287
227,193286
228,201794
229,204900
230,213310
231,219233
232,223621
233,228226
234,233792
235,240867
236,245204
237,250699
238,256175
239,261501
240,266757
241,269974
242,275317
243,281446
244,285802
245,290528
246,295731
247,301235
248,306550
249,311664
250,315705
251,322049
252,326931
253,331932
254,337104
255,342103
256,347596
257,352964
258,358704
259,365824
260,369803
261,375355
262,350437
263,349312
264,346748
265,351904
266,338691
267,340832
268,344499
269,348084
270,352186
271,356331
272,360666
273,364448
274,355082
275,358458
276,362305
277,366068
278,369977
279,374474
280,377717
281,382203
282,386406
283,513217
284,515381
285,514913
286,515084
287,516308
288,516812
289,516915
290,518120
291,520431
292,521723
293,522745
294,523381
295,523980
296,524951
297,524843
298,525087
299,527309
300,527933
301,528904
302,529682
303,530488
304,531437
305,530410
306,531364
307,533092
308,532959
309,533130
310,534294
311,535398
312,536332
313,536967
314,536596
315,538276
316,538740
317,538837
318,539035
319,539857
320,540946
321,542122
322,542988
323,544600
324,544586
325,545388
326,545627
327,545647
328,545884
329,546986
330,548086
331,550168
332,550911
333,551590
334,551622
335,552546
336,552674
337,552984
338,553892
339,555024
340,556143
341,557066
342,557929
343,558979
344,558227
345,558967
346,558909
347,559408
348,560520
349,560885
350,562069
351,563113
352,563966
353,564650
354,561997
355,561842
356,561968
357,562135
358,563151
359,564233
360,564849
361,565700
362,565403
363,566447
364,566749
365,567486
366,568133
367,567948
368,568990
369,570054
370,570959
371,571164
372,571088
373,571884
374,571846
375,571952
376,572245
377,573178
378,574170
379,575230
380,576079
381,576935
382,576336
383,577148
384,577486
385,577580
386,578588
387,579005
388,579955
389,580897
390,581685
391,582664
392,582116
393,582913
394,583540
395,583625
396,584657
397,585017
398,586131
399,587162
400,588001
401,588832
402,588097
403,589029
404,589435
405,589392
406,589678
407,590699
408,591810
409,592781
410,593727
411,594412
412,594356
413,594403
414,594766
415,565173
416,560478
417,549531
418,548712
419,547406
420,546935
421,546580
422,546704
423,543695
424,544195
425,528543
426,524283
427,523048
428,521880
429,521278
430,521146
431,520965
432,519112
433,518257
434,517214
435,516199
436,515596
437,515517
438,578123
439,578927
440,579121
441,580326
442,580885
443,580843
444,581246
445,583338
446,584983
447,586841
448,587821
449,588770
450,589508
451,590389
452,590722
453,591197
454,592293
455,592990
456,594113
457,595229
458,596195
459,597197
460,596660
461,597464
462,597714
463,597851
464,598035
465,599034
466,600097
467,601138
468,602076
469,601387
470,602238
471,602272
472,602515
473,602731
474,603725
475,604813
476,605866
477,606855
478,607383
479,607816
480,608708
481,608665
482,608992
483,610164
484,610599
485,611691
486,612655
487,613519
488,614416
489,613930
490,615021
491,615236
492,615359
493,616469
494,617554
495,618655
496,619330
497,619093
498,619898
499,620935
500,621994
501,622938
502,623708
503,623602
504,624484
505,624847
506,624741
507,625061
508,626019
509,626991
510,628030
511,628846
512,629308
513,629813
514,630783
515,630729
516,630959
517,631868
518,632519
519,633639
520,634780
521,635693
522,636774
523,637943
524,725792
525,724803
526,721481
527,720530
528,719642
529,718654
530,717329
531,714887
532,712936
533,711817
534,710350
535,708494
536,707329
537,706589
538,705479
539,704115
540,703286
541,702411
542,701187
543,700033
544,697449
545,696589
546,695100
547,693414
548,692542
549,691371
550,690927
551,690340
552,689720
553,689089
554,687180
555,686575
556,685534
557,683983
558,683047
559,681464
560,680533
561,679706
562,678554
563,677621
564,675160
565,673708
566,672773
567,671160
568,669548
569,669050
570,668641
571,668271
572,667499
573,666457
574,665442
575,664540
576,662754
577,660903
578,659193
579,658352
580,657530
581,656591
582,655771
583,653829
584,652631
585,650962
586,649600
587,648978
588,647746
589,647143
590,646570
591,646202
592,645298
593,642865
594,641751
595,639903
596,638047
597,636630
598,635867
599,635126
600,634527
601,633661
602,632921
603,630549
604,629674
605,628466
606,627359
607,626446
608,625345
609,624617
610,623442
611,622432
612,621398
613,618823
614,617882
615,605365
616,582203
617,577362
618,573914
619,570939
620,567663
621,565404
622,563393
623,561063
624,559101
625,557082
626,555225
627,552508
628,549600
629,546724
630,544253
631,541770
632,540016
633,538106
634,536889
635,534572
636,531790
637,529501
638,560371
639,558055
640,556705
641,555842
642,555027
643,553860
644,551149
645,549484
646,548392
647,546427
648,544645
649,543800
650,542846
651,541985
652,549611
653,548665
654,547370
655,546376
656,544374
657,542323
658,540622
659,539745
660,538962
661,538172
662,537020
663,537764
664,535232
665,534697
666,533140
667,531402
668,530551
669,529211
670,528816
671,527906
672,527049
673,527967
674,524282
675,522126
676,520547
677,519458
678,517615
679,516438
680,515608
681,514925
682,513775
683,511182
684,511740
685,510458
686,508916
687,507892
688,506508
689,505641
690,504818
691,503562
692,502568
693,500290
694,499221
695,499080
696,497359
697,496013
698,495084
699,494239
700,493445
701,492387
702,491235
703,489304
704,488226
705,487655
706,486145
707,485265
708,483494
709,482659
710,481850
711,480724
712,479799
713,477680
714,476324
715,474404
716,474191
717,472953
718,471272
719,470441
720,469606
721,468706
722,467731
723,466423
724,464976
725,463880
726,461734
727,461463
728,459860
729,459048
730,458167
731,457290
732,456214
733,454806
734,453113
735,452027
736,450529
737,450412
738,449555
739,447998
740,447209
741,446292
742,444890
743,444000
744,442646
745,440792
746,439705
747,438015
748,437286
749,436480
750,435630
751,434675
752,433621
753,432283
754,430840
755,429448
756,427078
757,424490
758,422779
759,422955
760,422020
761,420862
762,419484
763,416574
764,414976
765,413109
766,410660
767,409105
768,407736
769,408291
770,407196
771,405957
772,404652
773,401493
774,399631
775,397475
776,394537
777,392734
778,391925
779,390987
780,391139
781,385081
782,383532
783,381603
784,378728
785,376975
786,376082
787,375122
788,374052
789,372541
790,370892
791,370209
792,368308
793,365420
794,363091
795,361281
796,360373
797,359463
798,358426
799,357103
800,354151
801,355732
802,353633
803,351505
804,349402
805,348321
806,347456
807,346411
808,345147
809,343953
810,340561
811,338211
812,329416
813,291381
814,286755
815,284355
816,281655
817,279490
818,276720
819,273552
820,271340
821,268422
822,265650
823,266041
824,264364
825,272659
826,270146
827,267414
828,264793
829,262137
830,260148
831,257938
832,255394
833,252687
834,250374
835,256080
836,257099
837,254754
838,253948
839,253122
840,252339
841,251309
842,249014
843,247991
844,246304
845,244572
846,243539
847,244004
848,243209
849,242371
850,241269
851,240322
852,237913
853,236978
854,235260
855,233161
856,231403
857,231860
858,231095
859,230263
860,229330
861,227092
862,226098
863,224001
864,222436
865,221573
866,220004
867,219484
868,220141
869,219239
870,218192
871,215169
872,213884
873,212800
874,211310
875,209482
876,208649
877,207880
878,207025
879,207487
880,205601
881,204443
882,202548
883,201062
884,200119
885,198587
886,197851
887,197058
888,195821
889,196068
890,193736
891,192571
892,190915
893,189058
894,187425
895,186502
896,185618
897,184758
898,183630
899,181667
900,181409
901,179640
902,178127
903,177228
904,175675
905,174637
906,173749
907,172714
908,171596
909,169038
910,168065
911,167853
912,165753
913,164003
914,163129
915,162258
916,161295
917,160456
918,159140
919,151964
920,149505
921,148180
922,146322
923,144223
924,141834
925,139344
926,136454
927,133651
928,130803
929,128427
930,126492
931,124367
932,123502
933,120496
934,118000
935,114890
936,112683
937,110122
938,108151
939,105955
940,103557
941,100908
942,105892
943,107200
944,106204
945,104396
946,103647
947,102786
948,102180
949,101029
950,98963
951,97985
952,96488
953,96414
954,95837
955,94394
956,92410
957,90857
958,90029
959,89259
960,87901
961,87206
962,84897
963,83535
964,84802
965,83170
966,81367
967,82521
968,81732
969,80812
970,79478
971,77153
972,76489
973,74917
974,67112
975,66021
976,63491
977,60968
978,58491
979,55944
980,52780
981,50490
982,47855
983,45758
984,43514
985,42161
986,40080
987,35157
