count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,14727493,17319466,-2591973,-481543260,14468307
52,24613316,17319466,7293850,-481543260,14468307
53,23604432,17319466,6284966,-481543260,14468307
54,22584057,17319466,5264591,-481543260,14468307
55,21562319,17319466,4242853,-481543260,14468307
56,20542287,17319466,3222821,-481543260,14468307
57,19514649,17319466,2195183,-481543260,14468307
58,18487666,17319466,1168200,-481543260,14468307
59,17464895,17319466,145429,-481543260,14468307
60,16461945,17319466,-857521,-481543260,14468307
61,18686203,17319466,1366737,-481543260,14468307
62,17665663,17319466,346197,-481543260,14468307
63,16646192,17319466,-673274,-481543260,14468307
64,15626246,17319466,-1693220,-481543260,14468307
65,24592121,17319466,7272655,-481543260,14468307
66,23592451,17319466,6272985,-481543260,14468307
67,22577377,17319466,5257911,-481543260,14468307
68,21557082,17319466,4237616,-481543260,14468307
69,20533911,17319466,3214445,-481543260,14468307
70,19510690,17319466,2191224,-481543260,14468307
71,18489987,17319466,1170521,-481543260,14468307
72,17464748,17319466,145282,-481543260,14468307
73,16474657,17319466,-844809,-481543260,14468307
74,18155036,17319466,835570,-481543260,14468307
75,17152789,17319466,-166677,-481543260,14468307
76,16133881,17319466,-1185585,-481543260,14468307
77,15113990,17319466,-2205476,-481543260,14468307
78,24825351,17319466,7505885,-481543260,14468307
79,23825944,17319466,6506478,-481543260,14468307
80,22807111,17319466,5487645,-481543260,14468307
81,21787804,17319466,4468338,-481543260,14468307
82,20767250,17319466,3447784,-481543260,14468307
83,19747235,17319466,2427769,-481543260,14468307
84,18725764,17319466,1406298,-481543260,14468307
85,17705194,17319466,385728,-481543260,14468307
86,16715183,17319466,-604283,-481543260,14468307
87,18809675,17319466,1490209,-481543260,14468307
88,17805453,17319466,485987,-481543260,14468307
89,16785507,17319466,-533959,-481543260,14468307
90,15764971,17319466,-1554495,-481543260,14468307
91,14746466,17319466,-2573000,-481543260,14468307
92,23969656,17319466,6650190,-481543260,14468307
93,22966701,17319466,5647235,-481543260,14468307
94,21944967,17319466,4625501,-481543260,14468307
95,20920227,17319466,3600761,-481543260,14468307
96,19898131,17319466,2578665,-481543260,14468307
97,18875628,17319466,1556162,-481543260,14468307
98,17852110,17319466,532644,-481543260,14468307
99,16825424,17319466,-494042,-481543260,14468307
100,15817267,17319466,-1502199,-481543260,14468307
101,23653781,17319466,6334315,-481543260,14468307
102,22652290,17319466,5332824,-481543260,14468307
103,21628679,17319466,4309213,-481543260,14468307
104,20605283,17319466,3285817,-481543260,14468307
105,19582441,17319466,2262975,-481543260,14468307
106,18560884,17319466,1241418,-481543260,14468307
107,17541210,17319466,221744,-481543260,14468307
108,16518748,17319466,-800718,-481543260,14468307
109,15498077,17319466,-1821389,-481543260,14468307
110,23954070,17319466,6634604,-481543260,14468307
111,22948480,17319466,5629014,-481543260,14468307
112,21927261,17319466,4607795,-481543260,14468307
113,20905001,17319466,3585535,-481543260,14468307
114,19882794,17319466,2563328,-481543260,14468307
115,18862658,17319466,1543192,-481543260,14468307
116,17838685,17319466,519219,-481543260,14468307
117,16816171,17319466,-503295,-481543260,14468307
118,15820449,17319466,-1499017,-481543260,14468307
119,17501297,17319466,181831,-481543260,14468307
120,16490581,17319466,-828885,-481543260,14468307
121,15469794,17319466,-1849672,-481543260,14468307
122,14449273,17319466,-2870193,-481543260,14468307
123,23599921,17319466,6280455,-481543260,14468307
124,22592372,17319466,5272906,-481543260,14468307
125,21573272,17319466,4253806,-481543260,14468307
126,20552445,17319466,3232979,-481543260,14468307
127,19531392,17319466,2211926,-481543260,14468307
128,18510740,17319466,1191274,-481543260,14468307
129,17487997,17319466,168531,-481543260,14468307
130,16465778,17319466,-853688,-481543260,14468307
131,15459384,17319466,-1860082,-481543260,14468307
132,17755518,17319466,436052,-481543260,14468307
133,16739065,17319466,-580401,-481543260,14468307
134,15715466,17319466,-1604000,-481543260,14468307
135,14690866,17319466,-2628600,-481543260,14468307
136,23536081,17319466,6216615,-481543260,14468307
137,22521468,17319466,5202002,-481543260,14468307
138,21498809,17319466,4179343,-481543260,14468307
139,20472716,17319466,3153250,-481543260,14468307
140,19449299,17319466,2129833,-481543260,14468307
141,18426849,17319466,1107383,-481543260,14468307
142,17401655,17319466,82189,-481543260,14468307
143,16375576,17319466,-943890,-481543260,14468307
144,15362845,17319466,-1956621,-481543260,14468307
145,17251729,17319466,-67737,-481543260,14468307
146,16233057,17319466,-1086409,-481543260,14468307
147,15210664,17319466,-2108802,-481543260,14468307
148,14184830,17319466,-3134636,-481543260,14468307
149,23544655,17319466,6225189,-481543260,14468307
150,22531600,17319466,5212134,-481543260,14468307
151,21507738,17319466,4188272,-481543260,14468307
152,20482669,17319466,3163203,-481543260,14468307
153,19458635,17319466,2139169,-481543260,14468307
154,18432314,17319466,1112848,-481543260,14468307
155,17409054,17319466,89588,-481543260,14468307
156,16384064,17319466,-935402,-481543260,14468307
157,15374626,17319466,-1944840,-481543260,14468307
158,16840643,17319466,-478823,-481543260,14468307
159,15825267,17319466,-1494199,-481543260,14468307
160,14802631,17319466,-2516835,-481543260,14468307
161,23576674,17319466,6257208,-481543260,14468307
162,22566942,17319466,5247476,-481543260,14468307
163,21544717,17319466,4225251,-481543260,14468307
164,20521031,17319466,3201565,-481543260,14468307
165,19495583,17319466,2176117,-481543260,14468307
166,18471402,17319466,1151936,-481543260,14468307
167,17446163,17319466,126697,-481543260,14468307
168,16421955,17319466,-897511,-481543260,14468307
169,15412309,17319466,-1907157,-481543260,14468307
170,23539768,17319466,6220302,-481543260,14468307
171,22529132,17319466,5209666,-481543260,14468307
172,21506354,17319466,4186888,-481543260,14468307
173,20481824,17319466,3162358,-481543260,14468307
174,19452028,17319466,2132562,-481543260,14468307
175,18426774,17319466,1107308,-481543260,14468307
176,17400746,17319466,81280,-481543260,14468307
177,16375072,17319466,-944394,-481543260,14468307
178,15348928,17319466,-1970538,-481543260,14468307
179,23542933,17319466,6223467,-481543260,14468307
180,22531690,17319466,5212224,-481543260,14468307
181,21508757,17319466,4189291,-481543260,14468307
182,20484229,17319466,3164763,-481543260,14468307
183,19459757,17319466,2140291,-481543260,14468307
184,18436121,17319466,1116655,-481543260,14468307
185,17410444,17319466,90978,-481543260,14468307
186,16385714,17319466,-933752,-481543260,14468307
187,15372721,17319466,-1946745,-481543260,14468307
188,16860456,17319466,-459010,-481543260,14468307
189,15850920,17319466,-1468546,-481543260,14468307
190,14828668,17319466,-2490798,-481543260,14468307
191,23447400,17319466,6127934,-481543260,14468307
192,22438458,17319466,5118992,-481543260,14468307
193,21415931,17319466,4096465,-481543260,14468307
194,20392293,17319466,3072827,-481543260,14468307
195,19369259,17319466,2049793,-481543260,14468307
196,18344525,17319466,1025059,-481543260,14468307
197,17319466,17319466,0,-481543260,14468307
198,16297565,17319466,-1021901,-481543260,14468307
199,15293052,17319466,-2026414,-481543260,14468307
200,18192490,17319466,873024,-481543260,14468307
201,17181926,17319466,-137540,-481543260,14468307
202,16157765,17319466,-1161701,-481543260,14468307
203,23511305,17319466,6191839,-481543260,14468307
204,22501748,17319466,5182282,-481543260,14468307
205,21476419,17319466,4156953,-481543260,14468307
206,20451117,17319466,3131651,-481543260,14468307
207,19426968,17319466,2107502,-481543260,14468307
208,18402550,17319466,1083084,-481543260,14468307
209,17376070,17319466,56604,-481543260,14468307
210,16349140,17319466,-970326,-481543260,14468307
211,15331834,17319466,-1987632,-481543260,14468307
212,16711224,17319466,-608242,-481543260,14468307
213,15688065,17319466,-1631401,-481543260,14468307
214,14662725,17319466,-2656741,-481543260,14468307
215,24239210,17319466,6919744,-481543260,14468307
216,23220975,17319466,5901509,-481543260,14468307
217,22189274,17319466,4869808,-481543260,14468307
218,21160768,17319466,3841302,-481543260,14468307
219,20133511,17319466,2814045,-481543260,14468307
220,19104870,17319466,1785404,-481543260,14468307
221,18070817,17319466,751351,-481543260,14468307
222,17045828,17319466,-273638,-481543260,14468307
223,16023510,17319466,-1295956,-481543260,14468307
224,17550327,17319466,230861,-481543260,14468307
225,16539598,17319466,-779868,-481543260,14468307
226,15517190,17319466,-1802276,-481543260,14468307
227,14495361,17319466,-2824105,-481543260,14468307
228,23372889,17319466,6053423,-481543260,14468307
229,22357378,17319466,5037912,-481543260,14468307
230,21335111,17319466,4015645,-481543260,14468307
231,20312692,17319466,2993226,-481543260,14468307
232,19287658,17319466,1968192,-481543260,14468307
233,18261682,17319466,942216,-481543260,14468307
234,17236840,17319466,-82626,-481543260,14468307
235,16290665,17319466,-1028801,-481543260,14468307
236,15276622,17319466,-2042844,-481543260,14468307
237,16847507,17319466,-471959,-481543260,14468307
238,15831211,17319466,-1488255,-481543260,14468307
239,14808278,17319466,-2511188,-481543260,14468307
240,23531852,17319466,6212386,-481543260,14468307
241,22517468,17319466,5198002,-481543260,14468307
242,21493916,17319466,4174450,-481543260,14468307
243,20472017,17319466,3152551,-481543260,14468307
244,19447399,17319466,2127933,-481543260,14468307
245,18422936,17319466,1103470,-481543260,14468307
246,17394644,17319466,75178,-481543260,14468307
247,16367338,17319466,-952128,-481543260,14468307
248,15352435,17319466,-1967031,-481543260,14468307
249,16711210,17319466,-608256,-481543260,14468307
250,15698074,17319466,-1621392,-481543260,14468307
251,14676512,17319466,-2642954,-481543260,14468307
252,23382230,17319466,6062764,-481543260,14468307
253,22365625,17319466,5046159,-481543260,14468307
254,21340754,17319466,4021288,-481543260,14468307
255,20316559,17319466,2997093,-481543260,14468307
256,19292134,17319466,1972668,-481543260,14468307
257,18266529,17319466,947063,-481543260,14468307
258,17241076,17319466,-78390,-481543260,14468307
259,16217238,17319466,-1102228,-481543260,14468307
260,15200511,17319466,-2118955,-481543260,14468307
261,16658702,17319466,-660764,-481543260,14468307
262,15636047,17319466,-1683419,-481543260,14468307
263,14612576,17319466,-2706890,-481543260,14468307
264,23797364,17319466,6477898,-481543260,14468307
265,22788468,17319466,5469002,-481543260,14468307
266,21764634,17319466,4445168,-481543260,14468307
267,20737196,17319466,3417730,-481543260,14468307
268,19707098,17319466,2387632,-481543260,14468307
269,18680770,17319466,1361304,-481543260,14468307
270,17656904,17319466,337438,-481543260,14468307
271,16634065,17319466,-685401,-481543260,14468307
272,15623357,17319466,-1696109,-481543260,14468307
273,18218113,17319466,898647,-481543260,14468307
274,17205421,17319466,-114045,-481543260,14468307
275,16185551,17319466,-1133915,-481543260,14468307
276,23522811,17319466,6203345,-481543260,14468307
277,22514209,17319466,5194743,-481543260,14468307
278,21490848,17319466,4171382,-481543260,14468307
279,20466331,17319466,3146865,-481543260,14468307
280,19444284,17319466,2124818,-481543260,14468307
281,18420986,17319466,1101520,-481543260,14468307
282,17398593,17319466,79127,-481543260,14468307
283,16370049,17319466,-949417,-481543260,14468307
284,15362149,17319466,-1957317,-481543260,14468307
285,16430147,17319466,-889319,-481543260,14468307
286,15415744,17319466,-1903722,-481543260,14468307
287,14395712,17319466,-2923754,-481543260,14468307
288,23329959,17319466,6010493,-481543260,14468307
289,22320682,17319466,5001216,-481543260,14468307
290,21301457,17319466,3981991,-481543260,14468307
291,20283534,17319466,2964068,-481543260,14468307
292,19262219,17319466,1942753,-481543260,14468307
293,18240841,17319466,921375,-481543260,14468307
294,17217021,17319466,-102445,-481543260,14468307
295,16194090,17319466,-1125376,-481543260,14468307
296,15185979,17319466,-2133487,-481543260,14468307
297,16558812,17319466,-760654,-481543260,14468307
298,15546041,17319466,-1773425,-481543260,14468307
299,14527359,17319466,-2792107,-481543260,14468307
300,23571315,17319466,6251849,-481543260,14468307
301,22582975,17319466,5263509,-481543260,14468307
302,21562966,17319466,4243500,-481543260,14468307
303,20545365,17319466,3225899,-481543260,14468307
304,19530892,17319466,2211426,-481543260,14468307
305,18511905,17319466,1192439,-481543260,14468307
306,17491167,17319466,171701,-481543260,14468307
307,16473674,17319466,-845792,-481543260,14468307
308,15496950,17319466,-1822516,-481543260,14468307
309,17023130,17319466,-296336,-481543260,14468307
310,16019948,17319466,-1299518,-481543260,14468307
311,15001178,17319466,-2318288,-481543260,14468307
312,24554795,17319466,7235329,-481543260,14468307
313,23559462,17319466,6239996,-481543260,14468307
314,22540875,17319466,5221409,-481543260,14468307
315,21524736,17319466,4205270,-481543260,14468307
316,20506563,17319466,3187097,-481543260,14468307
317,19485270,17319466,2165804,-481543260,14468307
318,18465795,17319466,1146329,-481543260,14468307
319,17446718,17319466,127252,-481543260,14468307
320,16451155,17319466,-868311,-481543260,14468307
321,17963290,17319466,643824,-481543260,14468307
322,16963899,17319466,-355567,-481543260,14468307
323,15946914,17319466,-1372552,-481543260,14468307
324,14929182,17319466,-2390284,-481543260,14468307
325,23796385,17319466,6476919,-481543260,14468307
326,22795827,17319466,5476361,-481543260,14468307
327,21777682,17319466,4458216,-481543260,14468307
328,20755209,17319466,3435743,-481543260,14468307
329,19734203,17319466,2414737,-481543260,14468307
330,18713373,17319466,1393907,-481543260,14468307
331,17696350,17319466,376884,-481543260,14468307
332,16677708,17319466,-641758,-481543260,14468307
333,15694211,17319466,-1625255,-481543260,14468307
334,17974630,17319466,655164,-481543260,14468307
335,16988970,17319466,-330496,-481543260,14468307
336,15972056,17319466,-1347410,-481543260,14468307
337,14955878,17319466,-2363588,-481543260,14468307
338,22847203,17319466,5527737,-481543260,14468307
339,21851622,17319466,4532156,-481543260,14468307
340,20831591,17319466,3512125,-481543260,14468307
341,19813131,17319466,2493665,-481543260,14468307
342,18782346,17319466,1462880,-481543260,14468307
343,17758134,17319466,438668,-481543260,14468307
344,16736061,17319466,-583405,-481543260,14468307
345,15714858,17319466,-1604608,-481543260,14468307
346,14729537,17319466,-2589929,-481543260,14468307
347,16407927,17319466,-911539,-481543260,14468307
348,15398237,17319466,-1921229,-481543260,14468307
349,14376955,17319466,-2942511,-481543260,14468307
350,24343174,17319466,7023708,-481543260,14468307
351,23379697,17319466,6060231,-481543260,14468307
352,22362399,17319466,5042933,-481543260,14468307
353,21341389,17319466,4021923,-481543260,14468307
354,20321398,17319466,3001932,-481543260,14468307
355,19300735,17319466,1981269,-481543260,14468307
356,18280619,17319466,961153,-481543260,14468307
357,17258851,17319466,-60615,-481543260,14468307
358,16253366,17319466,-1066100,-481543260,14468307
359,17921363,17319466,601897,-481543260,14468307
360,16920038,17319466,-399428,-481543260,14468307
361,15899285,17319466,-1420181,-481543260,14468307
362,14880830,17319466,-2438636,-481543260,14468307
363,24350960,17319466,7031494,-481543260,14468307
364,23353561,17319466,6034095,-481543260,14468307
365,22335334,17319466,5015868,-481543260,14468307
366,21316032,17319466,3996566,-481543260,14468307
367,20295173,17319466,2975707,-481543260,14468307
368,19275351,17319466,1955885,-481543260,14468307
369,18255400,17319466,935934,-481543260,14468307
370,17235523,17319466,-83943,-481543260,14468307
371,16234898,17319466,-1084568,-481543260,14468307
372,24012597,17319466,6693131,-481543260,14468307
373,23011499,17319466,5692033,-481543260,14468307
374,21988803,17319466,4669337,-481543260,14468307
375,20965087,17319466,3645621,-481543260,14468307
376,19939250,17319466,2619784,-481543260,14468307
377,18914396,17319466,1594930,-481543260,14468307
378,17889833,17319466,570367,-481543260,14468307
379,16864200,17319466,-455266,-481543260,14468307
