count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,9369,0,9369,0,0
52,3185,0,3185,0,0
53,15324,0,15324,0,0
54,7205,0,7205,0,0
55,1881,0,1881,0,0
56,2585,0,2585,0,0
57,1640,0,1640,0,0
58,1610,0,1610,0,0
59,1907,0,1907,0,0
60,7242,0,7242,0,0
61,12971,0,12971,0,0
62,3055,0,3055,0,0
63,4771,0,4771,0,0
64,1601,0,1601,0,0
65,1564,0,1564,0,0
66,1602,0,1602,0,0
67,1553,0,1553,0,0
68,1556,0,1556,0,0
69,1545,0,1545,0,0
70,8940,0,8940,0,0
71,9410,0,9410,0,0
72,4454,0,4454,0,0
73,4504,0,4504,0,0
74,1711,0,1711,0,0
75,1518,0,1518,0,0
76,1540,0,1540,0,0
77,1514,0,1514,0,0
78,1516,0,1516,0,0
79,1534,0,1534,0,0
80,1534,0,1534,0,0
81,1576,0,1576,0,0
82,1518,0,1518,0,0
83,1502,0,1502,0,0
84,1614,0,1614,0,0
85,1514,0,1514,0,0
86,1526,0,1526,0,0
87,1715,0,1715,0,0
88,2149,0,2149,0,0
89,1992,0,1992,0,0
90,1992,0,1992,0,0
91,1549,0,1549,0,0
92,1813,0,1813,0,0
93,1599,0,1599,0,0
94,1600,0,1600,0,0
95,1535,0,1535,0,0
96,1523,0,1523,0,0
97,1520,0,1520,0,0
98,2176,0,2176,0,0
99,1803,0,1803,0,0
100,1693,0,1693,0,0
101,1680,0,1680,0,0
102,1542,0,1542,0,0
103,1537,0,1537,0,0
104,1521,0,1521,0,0
105,1707,0,1707,0,0
106,1514,0,1514,0,0
107,1563,0,1563,0,0
108,1519,0,1519,0,0
109,1527,0,1527,0,0
110,1679,0,1679,0,0
111,1558,0,1558,0,0
112,1533,0,1533,0,0
113,1688,0,1688,0,0
114,1809,0,1809,0,0
115,1675,0,1675,0,0
116,1566,0,1566,0,0
117,8908,0,8908,0,0
118,5851,0,5851,0,0
119,2588,0,2588,0,0
120,2618,0,2618,0,0
121,6935,0,6935,0,0
122,3754,0,3754,0,0
123,2582,0,2582,0,0
124,7875,0,7875,0,0
125,4113,0,4113,0,0
126,1597,0,1597,0,0
127,1718,0,1718,0,0
128,4534,0,4534,0,0
129,1654,0,1654,0,0
130,7478,0,7478,0,0
131,1680,0,1680,0,0
132,1577,0,1577,0,0
133,1556,0,1556,0,0
134,1580,0,1580,0,0
135,1561,0,1561,0,0
