count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,77207,0,77207,0,0
52,74508,0,74508,0,0
53,101985,0,101985,0,0
54,96627,0,96627,0,0
55,103718,0,103718,0,0
56,95984,0,95984,0,0
57,100615,0,100615,0,0
58,140174,0,140174,0,0
59,32627,0,32627,0,0
60,103296,0,103296,0,0
61,103874,0,103874,0,0
62,97442,0,97442,0,0
63,100895,0,100895,0,0
64,88745,0,88745,0,0
65,102969,0,102969,0,0
66,98781,0,98781,0,0
67,81613,0,81613,0,0
68,97227,0,97227,0,0
69,77044,0,77044,0,0
70,73056,0,73056,0,0
71,41601,0,41601,0,0
72,79311,0,79311,0,0
73,96029,0,96029,0,0
74,106135,0,106135,0,0
75,74785,0,74785,0,0
76,82217,0,82217,0,0
77,74611,0,74611,0,0
78,77493,0,77493,0,0
79,74928,0,74928,0,0
80,101056,0,101056,0,0
81,98597,0,98597,0,0
82,130146,0,130146,0,0
83,34085,0,34085,0,0
84,72509,0,72509,0,0
85,33095,0,33095,0,0
86,26644,0,26644,0,0
87,28080,0,28080,0,0
88,40622,0,40622,0,0
89,42180,0,42180,0,0
90,26441,0,26441,0,0
91,31329,0,31329,0,0
92,83120,0,83120,0,0
93,73411,0,73411,0,0
94,77458,0,77458,0,0
95,135780,0,135780,0,0
96,142319,0,142319,0,0
97,70585,0,70585,0,0
98,72644,0,72644,0,0
99,141056,0,141056,0,0
100,113881,0,113881,0,0
101,64296,0,64296,0,0
102,138510,0,138510,0,0
103,38508,0,38508,0,0
104,104032,0,104032,0,0
105,134835,0,134835,0,0
106,27501,0,27501,0,0
107,69689,0,69689,0,0
108,75416,0,75416,0,0
109,9386,0,9386,0,0
110,27677,0,27677,0,0
111,73728,0,73728,0,0
112,50301,0,50301,0,0
113,30186,0,30186,0,0
114,77356,0,77356,0,0
115,127719,0,127719,0,0
116,6611,0,6611,0,0
117,119365,0,119365,0,0
118,61663,0,61663,0,0
119,27728,0,27728,0,0
120,86757,0,86757,0,0
121,26872,0,26872,0,0
122,23794,0,23794,0,0
123,23600,0,23600,0,0
124,95856,0,95856,0,0
125,50942,0,50942,0,0
126,24156,0,24156,0,0
127,51443,0,51443,0,0
128,28272,0,28272,0,0
129,37803,0,37803,0,0
130,115633,0,115633,0,0
131,102501,0,102501,0,0
132,56586,0,56586,0,0
133,21720,0,21720,0,0
134,32070,0,32070,0,0
135,57159,0,57159,0,0
136,59425,0,59425,0,0
137,78036,0,78036,0,0
138,125629,0,125629,0,0
139,27719,0,27719,0,0
140,100107,0,100107,0,0
141,58331,0,58331,0,0
142,139688,0,139688,0,0
143,49163,0,49163,0,0
144,19522,0,19522,0,0
145,39294,0,39294,0,0
146,88422,0,88422,0,0
147,80155,0,80155,0,0
148,41338,0,41338,0,0
149,69287,0,69287,0,0
150,20885,0,20885,0,0
151,6311,0,6311,0,0
152,69047,0,69047,0,0
153,91273,0,91273,0,0
154,16673,0,16673,0,0
155,115044,0,115044,0,0
156,43688,0,43688,0,0
157,20468,0,20468,0,0
158,16915,0,16915,0,0
159,107687,0,107687,0,0
160,111489,0,111489,0,0
161,29565,0,29565,0,0
162,41400,0,41400,0,0
163,19398,0,19398,0,0
164,23119,0,23119,0,0
165,62985,0,62985,0,0
166,106583,0,106583,0,0
167,100554,0,100554,0,0
168,39840,0,39840,0,0
169,18684,0,18684,0,0
170,16365,0,16365,0,0
171,75861,0,75861,0,0
172,42617,0,42617,0,0
173,19264,0,19264,0,0
174,40617,0,40617,0,0
175,81801,0,81801,0,0
176,23024,0,23024,0,0
177,3312,0,3312,0,0
178,21728,0,21728,0,0
179,65827,0,65827,0,0
180,105983,0,105983,0,0
181,84076,0,84076,0,0
182,40181,0,40181,0,0
183,24329,0,24329,0,0
184,40796,0,40796,0,0
185,29666,0,29666,0,0
186,17056,0,17056,0,0
187,18228,0,18228,0,0
188,31756,0,31756,0,0
189,49530,0,49530,0,0
190,16621,0,16621,0,0
191,17631,0,17631,0,0
192,71362,0,71362,0,0
193,58185,0,58185,0,0
194,16606,0,16606,0,0
195,17305,0,17305,0,0
196,105770,0,105770,0,0
197,38936,0,38936,0,0
198,37069,0,37069,0,0
199,25993,0,25993,0,0
200,17050,0,17050,0,0
201,16809,0,16809,0,0
202,23980,0,23980,0,0
203,17044,0,17044,0,0
204,32790,0,32790,0,0
205,14647,0,14647,0,0
206,13449,0,13449,0,0
207,61045,0,61045,0,0
208,16569,0,16569,0,0
209,14482,0,14482,0,0
210,26461,0,26461,0,0
211,19451,0,19451,0,0
212,15472,0,15472,0,0
213,27340,0,27340,0,0
214,20458,0,20458,0,0
215,21398,0,21398,0,0
216,22912,0,22912,0,0
217,14853,0,14853,0,0
218,23821,0,23821,0,0
219,20228,0,20228,0,0
220,20025,0,20025,0,0
221,22129,0,22129,0,0
222,19113,0,19113,0,0
223,18725,0,18725,0,0
224,20630,0,20630,0,0
225,18615,0,18615,0,0
226,14994,0,14994,0,0
227,15063,0,15063,0,0
228,19522,0,19522,0,0
229,18847,0,18847,0,0
230,21479,0,21479,0,0
231,14890,0,14890,0,0
232,26313,0,26313,0,0
233,15156,0,15156,0,0
234,19589,0,19589,0,0
235,15072,0,15072,0,0
236,15253,0,15253,0,0
237,21053,0,21053,0,0
238,18888,0,18888,0,0
239,20618,0,20618,0,0
240,18857,0,18857,0,0
241,18930,0,18930,0,0
242,20556,0,20556,0,0
243,19417,0,19417,0,0
244,19487,0,19487,0,0
245,14884,0,14884,0,0
246,14775,0,14775,0,0
247,24168,0,24168,0,0
248,21600,0,21600,0,0
249,15050,0,15050,0,0
250,17615,0,17615,0,0
251,24609,0,24609,0,0
252,14701,0,14701,0,0
253,20711,0,20711,0,0
254,20832,0,20832,0,0
255,26204,0,26204,0,0
256,20735,0,20735,0,0
257,18969,0,18969,0,0
258,19162,0,19162,0,0
259,22089,0,22089,0,0
260,14667,0,14667,0,0
261,14957,0,14957,0,0
262,35212,0,35212,0,0
263,46807,0,46807,0,0
264,37315,0,37315,0,0
265,15389,0,15389,0,0
266,22887,0,22887,0,0
267,15213,0,15213,0,0
268,22413,0,22413,0,0
269,15490,0,15490,0,0
270,15247,0,15247,0,0
271,14872,0,14872,0,0
272,20252,0,20252,0,0
273,19867,0,19867,0,0
274,24950,0,24950,0,0
275,22079,0,22079,0,0
276,14976,0,14976,0,0
277,18134,0,18134,0,0
278,20580,0,20580,0,0
279,21425,0,21425,0,0
280,14862,0,14862,0,0
281,18045,0,18045,0,0
282,18619,0,18619,0,0
283,14528,0,14528,0,0
284,15792,0,15792,0,0
285,15146,0,15146,0,0
286,15399,0,15399,0,0
287,15452,0,15452,0,0
288,14997,0,14997,0,0
289,15937,0,15937,0,0
290,15557,0,15557,0,0
291,15442,0,15442,0,0
292,15393,0,15393,0,0
293,15264,0,15264,0,0
294,14983,0,14983,0,0
295,15438,0,15438,0,0
296,15123,0,15123,0,0
297,19770,0,19770,0,0
298,14991,0,14991,0,0
299,15475,0,15475,0,0
300,15434,0,15434,0,0
301,15090,0,15090,0,0
302,15178,0,15178,0,0
303,15693,0,15693,0,0
304,14926,0,14926,0,0
305,15204,0,15204,0,0
306,15192,0,15192,0,0
307,14761,0,14761,0,0
308,15329,0,15329,0,0
309,27078,0,27078,0,0
310,17752,0,17752,0,0
311,16876,0,16876,0,0
312,15203,0,15203,0,0
313,15105,0,15105,0,0
314,15012,0,15012,0,0
315,14872,0,14872,0,0
316,15146,0,15146,0,0
317,15317,0,15317,0,0
318,15271,0,15271,0,0
319,15108,0,15108,0,0
320,15532,0,15532,0,0
321,15086,0,15086,0,0
322,15286,0,15286,0,0
323,15411,0,15411,0,0
324,15002,0,15002,0,0
325,15349,0,15349,0,0
326,15062,0,15062,0,0
327,15126,0,15126,0,0
328,36063,0,36063,0,0
329,26749,0,26749,0,0
330,22693,0,22693,0,0
331,15631,0,15631,0,0
332,15395,0,15395,0,0
333,16222,0,16222,0,0
334,15418,0,15418,0,0
335,15532,0,15532,0,0
336,15318,0,15318,0,0
337,15388,0,15388,0,0
338,15064,0,15064,0,0
339,15022,0,15022,0,0
340,15183,0,15183,0,0
341,14993,0,14993,0,0
342,14900,0,14900,0,0
343,15010,0,15010,0,0
344,14843,0,14843,0,0
345,15609,0,15609,0,0
346,15122,0,15122,0,0
347,15161,0,15161,0,0
348,15293,0,15293,0,0
349,15201,0,15201,0,0
350,15455,0,15455,0,0
351,15173,0,15173,0,0
352,15075,0,15075,0,0
353,15047,0,15047,0,0
354,15287,0,15287,0,0
355,15074,0,15074,0,0
356,15277,0,15277,0,0
357,14976,0,14976,0,0
358,15284,0,15284,0,0
359,15622,0,15622,0,0
360,15223,0,15223,0,0
361,15202,0,15202,0,0
362,15364,0,15364,0,0
363,15283,0,15283,0,0
364,15337,0,15337,0,0
365,16762,0,16762,0,0
366,16229,0,16229,0,0
367,16563,0,16563,0,0
368,15765,0,15765,0,0
369,15707,0,15707,0,0
