sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780651151408873212,1780651151408969229,1780651151408969269,1780651151409013703,96017,44434,-25791,70225,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
2,1780651151409019344,1780651151409031283,1780651151409031308,1780651151409044830,11939,13522,791,12730,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
3,1780651151409054977,1780651151409062220,1780651151409062245,1780651151409075040,7243,12795,2776,10019,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
4,1780651151409084160,1780651151409090946,1780651151409090972,1780651151409103235,6786,12263,2738,9524,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
5,1780651151409112439,1780651151409118974,1780651151409119000,1780651151409131213,6535,12213,2839,9374,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
6,1780651151409140182,1780651151409146815,1780651151409146841,1780651151409159127,6633,12286,2826,9459,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
7,1780651151409168007,1780651151409174289,1780651151409174315,1780651151409186513,6282,12198,2958,9240,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
8,1780651151409195712,1780651151409202185,1780651151409202211,1780651151409214496,6473,12285,2906,9379,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
9,1780651151409223290,1780651151409229622,1780651151409229648,1780651151409241860,6332,12212,2940,9272,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
10,1780651151409250827,1780651151409257118,1780651151409257144,1780651151409269471,6291,12327,3018,9309,0,0,best-path-median,2912,2503,2858,2912,2975.861682,227,9344,10782,8709,9733,16478,9344,0,ok
