sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780651161029545423,1780651161029578669,1780651161029578704,1780651161029646409,33246,67705,17229,50475,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
2,1780651161029651104,1780651161029747311,1780651161029747340,1780651161029766999,96207,19659,-38274,57933,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
3,1780651161029781002,1780651161029793731,1780651161029793764,1780651161029813390,12729,19626,3448,16177,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
4,1780651161029825767,1780651161029832267,1780651161029832296,1780651161029846943,6500,14647,4073,10573,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
5,1780651161029857228,1780651161029863822,1780651161029863851,1780651161029881289,6594,17438,5422,12016,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
6,1780651161029893100,1780651161029898200,1780651161029898228,1780651161029915006,5100,16778,5839,10939,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
7,1780651161029927338,1780651161029933680,1780651161029933708,1780651161029948186,6342,14478,4068,10410,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
8,1780651161029958652,1780651161029964887,1780651161029964916,1780651161029979329,6235,14413,4089,10324,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
9,1780651161029989883,1780651161029996099,1780651161029996128,1780651161030010726,6216,14598,4191,10407,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
10,1780651161030021099,1780651161030027415,1780651161030027443,1780651161030041719,6316,14276,3980,10296,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
11,1780651161030052142,1780651161030064599,1780651161030064633,1780651161030079313,12457,14680,1111,13568,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
12,1780651161030089371,1780651161030100645,1780651161030100684,1780651161030120047,11274,19363,4044,15318,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
13,1780651161030131655,1780651161030141094,1780651161030141132,1780651161030160216,9439,19084,4822,14261,0,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
14,1780651161030172971,1780651161030182610,1780651161030182637,1780651161030199631,9639,16994,3677,13316,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
15,1780651161030211339,1780651161030217801,1780651161030217830,1780651161030232197,6462,14367,3952,10414,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
16,1780651161030242313,1780651161030248671,1780651161030248699,1780651161030263076,6358,14377,4009,10367,1,0,best-path-median,3417,3555,3526,3417,1914.679810,195,9147,10161,8953,9257,12027,9147,0,ok
