count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,13506,0,13506,13506,3805,9275
52,13616,0,13616,13616,3805,9275
53,13689,0,13689,13689,3805,9275
54,13373,0,13373,13373,3805,9275
55,13671,0,13671,13671,3805,9275
56,13631,0,13631,13631,3805,9275
57,13558,0,13558,13558,3805,9275
58,13512,0,13512,13512,3805,9275
59,13452,0,13452,13452,3805,9275
60,13414,0,13414,13414,3805,9275
61,13831,0,13831,13831,3805,9275
62,13489,0,13489,13489,3805,9275
63,13406,0,13406,13406,3805,9275
64,13553,0,13553,13553,3805,9275
65,13478,0,13478,13478,3805,9275
66,13540,0,13540,13540,3805,9275
67,13509,0,13509,13509,3805,9275
68,13574,0,13574,13574,3805,9275
69,13562,0,13562,13562,3805,9275
70,13409,0,13409,13409,3805,9275
71,13531,0,13531,13531,3805,9275
72,13434,0,13434,13434,3805,9275
73,13359,0,13359,13359,3805,9275
74,13471,0,13471,13471,3805,9275
75,13326,0,13326,13326,3805,9275
76,13414,0,13414,13414,3805,9275
77,13430,0,13430,13430,3805,9275
78,13467,0,13467,13467,3805,9275
79,13512,0,13512,13512,3805,9275
80,13494,0,13494,13494,3805,9275
81,13517,0,13517,13517,3805,9275
82,13462,0,13462,13462,3805,9275
83,13481,0,13481,13481,3805,9275
84,13385,0,13385,13385,3805,9275
85,13528,0,13528,13528,3805,9275
86,13440,0,13440,13440,3805,9275
87,13394,0,13394,13394,3805,9275
88,13495,0,13495,13495,3805,9275
89,13480,0,13480,13480,3805,9275
90,22842,0,22842,22842,3805,9275
91,15084,0,15084,15084,3805,9275
92,14697,0,14697,14697,3805,9275
93,14637,0,14637,14637,3805,9275
94,13721,0,13721,13721,3805,9275
95,13599,0,13599,13599,3805,9275
96,13457,0,13457,13457,3805,9275
97,13639,0,13639,13639,3805,9275
98,13548,0,13548,13548,3805,9275
99,13909,0,13909,13909,3805,9275
100,14581,0,14581,14581,3805,9275
101,13403,0,13403,13403,3805,9275
102,14011,0,14011,14011,3805,9275
103,13896,0,13896,13896,3805,9275
104,13519,0,13519,13519,3805,9275
105,13487,0,13487,13487,3805,9275
106,13595,0,13595,13595,3805,9275
107,13673,0,13673,13673,3805,9275
108,13410,0,13410,13410,3805,9275
109,13418,0,13418,13418,3805,9275
110,13582,0,13582,13582,3805,9275
111,13472,0,13472,13472,3805,9275
112,13435,0,13435,13435,3805,9275
113,13405,0,13405,13405,3805,9275
114,13548,0,13548,13548,3805,9275
115,13554,0,13554,13554,3805,9275
116,13375,0,13375,13375,3805,9275
117,13389,0,13389,13389,3805,9275
118,13705,0,13705,13705,3805,9275
119,13425,0,13425,13425,3805,9275
120,13584,0,13584,13584,3805,9275
121,13426,0,13426,13426,3805,9275
122,13409,0,13409,13409,3805,9275
123,13472,0,13472,13472,3805,9275
124,13400,0,13400,13400,3805,9275
125,13492,0,13492,13492,3805,9275
126,18300,0,18300,18300,3805,9275
127,14705,0,14705,14705,3805,9275
128,20389,0,20389,20389,3805,9275
129,19196,0,19196,19196,3805,9275
130,25275,0,25275,25275,3805,9275
131,17418,0,17418,17418,3805,9275
132,22661,0,22661,22661,3805,9275
133,21961,0,21961,21961,3805,9275
134,25758,0,25758,25758,3805,9275
135,13171,0,13171,13171,3805,9275
136,14162,0,14162,14162,3805,9275
137,13541,0,13541,13541,3805,9275
138,13622,0,13622,13622,3805,9275
139,13919,0,13919,13919,3805,9275
140,13826,0,13826,13826,3805,9275
141,13827,0,13827,13827,3805,9275
142,13785,0,13785,13785,3805,9275
143,13594,0,13594,13594,3805,9275
144,13642,0,13642,13642,3805,9275
145,13472,0,13472,13472,3805,9275
146,13761,0,13761,13761,3805,9275
147,13472,0,13472,13472,3805,9275
148,13635,0,13635,13635,3805,9275
149,15874,0,15874,15874,3805,9275
150,13975,0,13975,13975,3805,9275
151,13587,0,13587,13587,3805,9275
152,13614,0,13614,13614,3805,9275
153,13843,0,13843,13843,3805,9275
154,14055,0,14055,14055,3805,9275
155,14574,0,14574,14574,3805,9275
156,23870,0,23870,23870,3805,9275
157,14117,0,14117,14117,3805,9275
158,15890,0,15890,15890,3805,9275
159,14958,0,14958,14958,3805,9275
160,20681,0,20681,20681,3805,9275
161,15529,0,15529,15529,3805,9275
162,25415,0,25415,25415,3805,9275
163,20090,0,20090,20090,3805,9275
164,19998,0,19998,19998,3805,9275
165,13690,0,13690,13690,3805,9275
166,14120,0,14120,14120,3805,9275
167,13690,0,13690,13690,3805,9275
168,13580,0,13580,13580,3805,9275
169,13477,0,13477,13477,3805,9275
170,13473,0,13473,13473,3805,9275
171,14082,0,14082,14082,3805,9275
172,13681,0,13681,13681,3805,9275
173,13797,0,13797,13797,3805,9275
174,13514,0,13514,13514,3805,9275
175,13605,0,13605,13605,3805,9275
176,13611,0,13611,13611,3805,9275
177,13542,0,13542,13542,3805,9275
178,13492,0,13492,13492,3805,9275
179,13481,0,13481,13481,3805,9275
180,13519,0,13519,13519,3805,9275
181,13469,0,13469,13469,3805,9275
182,13465,0,13465,13465,3805,9275
183,13462,0,13462,13462,3805,9275
184,13444,0,13444,13444,3805,9275
