count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,20471,0,20471,20471,3417,9147
52,16407,0,16407,16407,3417,9147
53,14304,0,14304,14304,3417,9147
54,14357,0,14357,14357,3417,9147
55,15991,0,15991,15991,3417,9147
56,19632,0,19632,19632,3417,9147
57,14384,0,14384,14384,3417,9147
58,13630,0,13630,13630,3417,9147
59,25784,0,25784,25784,3417,9147
60,16435,0,16435,16435,3417,9147
61,13360,0,13360,13360,3417,9147
62,13413,0,13413,13413,3417,9147
63,13039,0,13039,13039,3417,9147
64,13325,0,13325,13325,3417,9147
65,13525,0,13525,13525,3417,9147
66,13142,0,13142,13142,3417,9147
67,13361,0,13361,13361,3417,9147
68,13279,0,13279,13279,3417,9147
69,13161,0,13161,13161,3417,9147
70,13107,0,13107,13107,3417,9147
71,13116,0,13116,13116,3417,9147
72,13458,0,13458,13458,3417,9147
73,13228,0,13228,13228,3417,9147
74,13163,0,13163,13163,3417,9147
75,13191,0,13191,13191,3417,9147
76,13165,0,13165,13165,3417,9147
77,13070,0,13070,13070,3417,9147
78,13084,0,13084,13084,3417,9147
79,13103,0,13103,13103,3417,9147
80,13059,0,13059,13059,3417,9147
81,13101,0,13101,13101,3417,9147
82,13078,0,13078,13078,3417,9147
83,13192,0,13192,13192,3417,9147
84,14715,0,14715,14715,3417,9147
85,13102,0,13102,13102,3417,9147
86,13258,0,13258,13258,3417,9147
87,13187,0,13187,13187,3417,9147
88,13180,0,13180,13180,3417,9147
89,20736,0,20736,20736,3417,9147
90,13358,0,13358,13358,3417,9147
91,13174,0,13174,13174,3417,9147
92,13097,0,13097,13097,3417,9147
93,12962,0,12962,12962,3417,9147
94,12987,0,12987,12987,3417,9147
95,13104,0,13104,13104,3417,9147
96,15354,0,15354,15354,3417,9147
97,15203,0,15203,15203,3417,9147
98,13193,0,13193,13193,3417,9147
99,13161,0,13161,13161,3417,9147
100,13263,0,13263,13263,3417,9147
101,12998,0,12998,12998,3417,9147
102,13242,0,13242,13242,3417,9147
103,13197,0,13197,13197,3417,9147
104,13323,0,13323,13323,3417,9147
105,13268,0,13268,13268,3417,9147
106,13076,0,13076,13076,3417,9147
107,13152,0,13152,13152,3417,9147
108,13148,0,13148,13148,3417,9147
109,13196,0,13196,13196,3417,9147
110,13117,0,13117,13117,3417,9147
111,13209,0,13209,13209,3417,9147
112,13195,0,13195,13195,3417,9147
113,13110,0,13110,13110,3417,9147
114,13140,0,13140,13140,3417,9147
115,13207,0,13207,13207,3417,9147
116,13144,0,13144,13144,3417,9147
117,13253,0,13253,13253,3417,9147
118,13034,0,13034,13034,3417,9147
