sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780650978567710025,1780650978567760930,1780650978567761204,1780650978567803635,50905,42431,-4237,46668,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
2,1780650978567816486,1780650978567845301,1780650978567845483,1780650978567866010,28815,20527,-4144,24671,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
3,1780650978567877577,1780650978567891432,1780650978567891554,1780650978567909623,13855,18069,2107,15962,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
4,1780650978567920867,1780650978567934001,1780650978567934111,1780650978567951990,13134,17879,2372,15506,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
5,1780650978567963077,1780650978567976376,1780650978567976597,1780650978567994993,13299,18396,2548,15847,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
6,1780650978568006184,1780650978568019611,1780650978568019716,1780650978568037665,13427,17949,2261,15688,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
7,1780650978568048851,1780650978568084939,1780650978568085197,1780650978568106482,36088,21285,-7402,28686,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
8,1780650978568118037,1780650978568137871,1780650978568138016,1780650978568156545,19834,18529,-653,19181,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
9,1780650978568167849,1780650978568180916,1780650978568181071,1780650978568198975,13067,17904,2418,15485,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
10,1780650978568210215,1780650978568231894,1780650978568232052,1780650978568250571,21679,18519,-1580,20099,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
11,1780650978568261733,1780650978568275297,1780650978568275442,1780650978568293129,13564,17687,2061,15625,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
12,1780650978568304169,1780650978568317263,1780650978568317393,1780650978568335412,13094,18019,2462,15556,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
13,1780650978568346629,1780650978568359987,1780650978568360117,1780650978568377995,13358,17878,2260,15618,0,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
14,1780650978568389110,1780650978568402414,1780650978568402539,1780650978568420112,13304,17573,2134,15438,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
15,1780650978568431111,1780650978568448592,1780650978568448729,1780650978568466212,17481,17483,1,17482,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
16,1780650978568477565,1780650978568512350,1780650978568512518,1780650978568534309,34785,21791,-6497,28288,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
17,1780650978568545824,1780650978568567206,1780650978568567326,1780650978568586112,21382,18786,-1298,20084,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
18,1780650978568597232,1780650978568610792,1780650978568610931,1780650978568702266,13560,91335,38887,52447,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
19,1780650978568814830,1780650978568882337,1780650978568882496,1780650978568902601,67507,20105,-23701,43806,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
20,1780650978568915036,1780650978568928834,1780650978568928955,1780650978568946839,13798,17884,2043,15841,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
21,1780650978568958267,1780650978568971626,1780650978568971762,1780650978568989509,13359,17747,2194,15553,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
22,1780650978569000842,1780650978569011501,1780650978569011623,1780650978569029153,10659,17530,3435,14094,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
23,1780650978569040379,1780650978569053274,1780650978569053402,1780650978569071138,12895,17736,2420,15315,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
24,1780650978569082568,1780650978569095476,1780650978569095596,1780650978569113346,12908,17750,2421,15329,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
25,1780650978569124628,1780650978569137336,1780650978569137470,1780650978569154779,12708,17309,2300,15008,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
26,1780650978569165926,1780650978569178922,1780650978569179050,1780650978569196570,12996,17520,2262,15258,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
27,1780650978569207684,1780650978569220255,1780650978569220399,1780650978569247919,12571,27520,7474,20045,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
28,1780650978569267714,1780650978569279067,1780650978569279183,1780650978569300985,11353,21802,5224,16577,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
29,1780650978569314874,1780650978569327335,1780650978569327466,1780650978569345140,12461,17674,2606,15067,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
30,1780650978569356654,1780650978569381096,1780650978569381258,1780650978569400739,24442,19481,-2481,21961,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
31,1780650978569412445,1780650978569432545,1780650978569432679,1780650978569451058,20100,18379,-861,19239,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
32,1780650978569462149,1780650978569475117,1780650978569475235,1780650978569500145,12968,24910,5971,18939,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
33,1780650978569518088,1780650978569530229,1780650978569530361,1780650978569551585,12141,21224,4541,16682,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
34,1780650978569564831,1780650978569587079,1780650978569587294,1780650978569606104,22248,18810,-1719,20529,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
35,1780650978569617429,1780650978569630248,1780650978569630385,1780650978569647952,12819,17567,2374,15193,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
36,1780650978569659215,1780650978569671644,1780650978569671766,1780650978569689172,12429,17406,2488,14917,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
37,1780650978569700395,1780650978569713391,1780650978569713493,1780650978569730901,12996,17408,2206,15202,1,0,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
38,1780650978569742131,1780650978569754587,1780650978569754707,1780650978569772267,12456,17560,2552,15008,1,1,best-path-median,2473,2482,2485,2473,4548.929577,252,13566,16840,13078,15131,29433,13566,0,ok
