count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,14738,0,14738,14738,2241,13831
52,15204,0,15204,15204,2241,13831
53,14983,0,14983,14983,2241,13831
54,14705,0,14705,14705,2241,13831
55,15287,0,15287,15287,2241,13831
56,14929,0,14929,14929,2241,13831
57,15306,0,15306,15306,2241,13831
58,15111,0,15111,15111,2241,13831
59,14903,0,14903,14903,2241,13831
60,15108,0,15108,15108,2241,13831
61,14651,0,14651,14651,2241,13831
62,15096,0,15096,15096,2241,13831
63,14933,0,14933,14933,2241,13831
64,15334,0,15334,15334,2241,13831
65,14821,0,14821,14821,2241,13831
66,14799,0,14799,14799,2241,13831
67,15431,0,15431,15431,2241,13831
68,15358,0,15358,15358,2241,13831
69,15079,0,15079,15079,2241,13831
70,15453,0,15453,15453,2241,13831
71,15460,0,15460,15460,2241,13831
72,15118,0,15118,15118,2241,13831
73,15311,0,15311,15311,2241,13831
74,15751,0,15751,15751,2241,13831
75,32187,0,32187,32187,2241,13831
76,19920,0,19920,19920,2241,13831
77,15574,0,15574,15574,2241,13831
78,15330,0,15330,15330,2241,13831
79,15178,0,15178,15178,2241,13831
80,16327,0,16327,16327,2241,13831
81,15385,0,15385,15385,2241,13831
82,15391,0,15391,15391,2241,13831
83,15242,0,15242,15242,2241,13831
84,15749,0,15749,15749,2241,13831
85,30401,0,30401,30401,2241,13831
86,18147,0,18147,18147,2241,13831
87,14792,0,14792,14792,2241,13831
88,14850,0,14850,14850,2241,13831
89,14883,0,14883,14883,2241,13831
90,15197,0,15197,15197,2241,13831
91,15056,0,15056,15056,2241,13831
92,15719,0,15719,15719,2241,13831
93,15077,0,15077,15077,2241,13831
94,15311,0,15311,15311,2241,13831
95,29042,0,29042,29042,2241,13831
96,21028,0,21028,21028,2241,13831
97,15009,0,15009,15009,2241,13831
98,14792,0,14792,14792,2241,13831
99,14966,0,14966,14966,2241,13831
100,15003,0,15003,15003,2241,13831
101,14882,0,14882,14882,2241,13831
102,26509,0,26509,26509,2241,13831
103,20489,0,20489,20489,2241,13831
104,14743,0,14743,14743,2241,13831
105,14945,0,14945,14945,2241,13831
106,14712,0,14712,14712,2241,13831
107,14656,0,14656,14656,2241,13831
108,15556,0,15556,15556,2241,13831
109,14582,0,14582,14582,2241,13831
110,14597,0,14597,14597,2241,13831
111,14617,0,14617,14617,2241,13831
112,14737,0,14737,14737,2241,13831
113,14724,0,14724,14724,2241,13831
114,14730,0,14730,14730,2241,13831
115,14681,0,14681,14681,2241,13831
116,14784,0,14784,14784,2241,13831
117,15020,0,15020,15020,2241,13831
118,15331,0,15331,15331,2241,13831
119,14672,0,14672,14672,2241,13831
120,14930,0,14930,14930,2241,13831
121,14842,0,14842,14842,2241,13831
122,14611,0,14611,14611,2241,13831
123,14620,0,14620,14620,2241,13831
124,14645,0,14645,14645,2241,13831
125,14902,0,14902,14902,2241,13831
126,14605,0,14605,14605,2241,13831
127,14646,0,14646,14646,2241,13831
128,15393,0,15393,15393,2241,13831
129,15043,0,15043,15043,2241,13831
130,14683,0,14683,14683,2241,13831
131,14722,0,14722,14722,2241,13831
132,15033,0,15033,15033,2241,13831
133,14815,0,14815,14815,2241,13831
134,14853,0,14853,14853,2241,13831
135,14922,0,14922,14922,2241,13831
136,14605,0,14605,14605,2241,13831
137,14682,0,14682,14682,2241,13831
138,14788,0,14788,14788,2241,13831
139,14701,0,14701,14701,2241,13831
140,14728,0,14728,14728,2241,13831
141,14580,0,14580,14580,2241,13831
142,14582,0,14582,14582,2241,13831
143,14497,0,14497,14497,2241,13831
144,14833,0,14833,14833,2241,13831
145,14585,0,14585,14585,2241,13831
146,14671,0,14671,14671,2241,13831
147,14940,0,14940,14940,2241,13831
148,21146,0,21146,21146,2241,13831
149,15197,0,15197,15197,2241,13831
150,15192,0,15192,15192,2241,13831
