count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,14276,0,14276,14276,2012,12237
52,14344,0,14344,14344,2012,12237
53,14361,0,14361,14361,2012,12237
54,14333,0,14333,14333,2012,12237
55,14581,0,14581,14581,2012,12237
56,14498,0,14498,14498,2012,12237
57,14405,0,14405,14405,2012,12237
58,14249,0,14249,14249,2012,12237
59,14209,0,14209,14209,2012,12237
60,14260,0,14260,14260,2012,12237
61,14294,0,14294,14294,2012,12237
62,14371,0,14371,14371,2012,12237
63,14212,0,14212,14212,2012,12237
64,27261,0,27261,27261,2012,12237
65,25205,0,25205,25205,2012,12237
66,16818,0,16818,16818,2012,12237
67,29057,0,29057,29057,2012,12237
68,14782,0,14782,14782,2012,12237
69,14551,0,14551,14551,2012,12237
70,14204,0,14204,14204,2012,12237
71,14279,0,14279,14279,2012,12237
72,14576,0,14576,14576,2012,12237
73,14207,0,14207,14207,2012,12237
74,14211,0,14211,14211,2012,12237
75,14642,0,14642,14642,2012,12237
76,14500,0,14500,14500,2012,12237
77,14965,0,14965,14965,2012,12237
78,14335,0,14335,14335,2012,12237
79,14323,0,14323,14323,2012,12237
80,14493,0,14493,14493,2012,12237
81,14380,0,14380,14380,2012,12237
82,14482,0,14482,14482,2012,12237
83,14229,0,14229,14229,2012,12237
84,14323,0,14323,14323,2012,12237
85,14206,0,14206,14206,2012,12237
86,14379,0,14379,14379,2012,12237
87,14396,0,14396,14396,2012,12237
88,14333,0,14333,14333,2012,12237
89,14265,0,14265,14265,2012,12237
90,14270,0,14270,14270,2012,12237
91,14200,0,14200,14200,2012,12237
92,14359,0,14359,14359,2012,12237
93,18043,0,18043,18043,2012,12237
94,17483,0,17483,17483,2012,12237
95,14325,0,14325,14325,2012,12237
96,14427,0,14427,14427,2012,12237
97,15411,0,15411,15411,2012,12237
98,14584,0,14584,14584,2012,12237
99,14374,0,14374,14374,2012,12237
100,14271,0,14271,14271,2012,12237
