count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,10251,0,10251,0,0
52,20339,0,20339,0,0
53,31537,0,31537,0,0
54,19870,0,19870,0,0
55,14498,0,14498,0,0
56,11414,0,11414,0,0
57,9966,0,9966,0,0
58,21649,0,21649,0,0
59,31476,0,31476,0,0
60,20214,0,20214,0,0
61,13353,0,13353,0,0
62,12668,0,12668,0,0
63,31687,0,31687,0,0
64,15096,0,15096,0,0
65,16720,0,16720,0,0
66,25332,0,25332,0,0
67,31195,0,31195,0,0
68,15147,0,15147,0,0
69,14497,0,14497,0,0
70,5918,0,5918,0,0
71,9777,0,9777,0,0
72,19914,0,19914,0,0
73,31618,0,31618,0,0
74,15565,0,15565,0,0
75,16571,0,16571,0,0
76,23205,0,23205,0,0
77,31248,0,31248,0,0
78,15520,0,15520,0,0
79,16439,0,16439,0,0
80,18454,0,18454,0,0
81,19676,0,19676,0,0
82,5815,0,5815,0,0
83,6527,0,6527,0,0
84,39542,0,39542,0,0
85,18583,0,18583,0,0
86,20158,0,20158,0,0
87,31015,0,31015,0,0
88,8534,0,8534,0,0
89,26934,0,26934,0,0
90,9809,0,9809,0,0
91,17190,0,17190,0,0
92,9860,0,9860,0,0
93,30786,0,30786,0,0
94,65200,0,65200,0,0
95,31136,0,31136,0,0
96,15080,0,15080,0,0
97,14156,0,14156,0,0
98,11388,0,11388,0,0
99,31515,0,31515,0,0
100,11259,0,11259,0,0
101,23806,0,23806,0,0
102,20012,0,20012,0,0
103,11239,0,11239,0,0
104,8218,0,8218,0,0
105,9916,0,9916,0,0
106,9287,0,9287,0,0
107,8145,0,8145,0,0
108,9572,0,9572,0,0
109,9109,0,9109,0,0
110,8130,0,8130,0,0
111,9804,0,9804,0,0
112,9690,0,9690,0,0
113,12770,0,12770,0,0
114,10381,0,10381,0,0
115,30712,0,30712,0,0
116,10393,0,10393,0,0
117,24199,0,24199,0,0
118,11180,0,11180,0,0
119,9709,0,9709,0,0
120,7444,0,7444,0,0
121,9447,0,9447,0,0
122,8845,0,8845,0,0
123,8867,0,8867,0,0
124,8697,0,8697,0,0
125,7307,0,7307,0,0
126,9151,0,9151,0,0
127,8631,0,8631,0,0
128,11406,0,11406,0,0
129,9538,0,9538,0,0
130,27209,0,27209,0,0
131,39395,0,39395,0,0
132,11241,0,11241,0,0
133,8375,0,8375,0,0
134,6960,0,6960,0,0
135,8643,0,8643,0,0
136,8562,0,8562,0,0
137,6739,0,6739,0,0
138,8592,0,8592,0,0
139,7696,0,7696,0,0
140,6726,0,6726,0,0
141,8011,0,8011,0,0
142,7713,0,7713,0,0
143,6532,0,6532,0,0
