sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780313759647993313,1780313759003004892,1780313759003005272,1780313759648565276,-644988421,645560004,645274212,285791,645296984,238512
2,1780313759648578116,1780313759003516482,1780313759003516762,1780313759649041558,-645061634,645524796,645293215,231581,645296984,238512
3,1780313759649050998,1780313759004058801,1780313759004059141,1780313759649588031,-644992197,645528890,645260543,268346,645296984,238512
4,1780313759649597151,1780313759004557023,1780313759004557362,1780313759650091094,-645040128,645533732,645286930,246802,645296984,238512
5,1780313759650100694,1780313759005064752,1780313759005065082,1780313759650602207,-645035942,645537125,645286533,250591,645296984,238512
6,1780313759650614057,1780313759005538093,1780313759005538283,1780313759651078401,-645075964,645540118,645308041,232077,645296984,238512
7,1780313759651087101,1780313759006053493,1780313759006053793,1780313759651593523,-645033608,645539730,645286669,253061,645296984,238512
8,1780313759651602923,1780313759006551383,1780313759006551583,1780313759652088386,-645051540,645536803,645294171,242631,645296984,238512
9,1780313759652097446,1780313759007044993,1780313759007045183,1780313759652583229,-645052453,645538046,645295249,242796,645296984,238512
10,1780313759652591749,1780313759007479486,1780313759007479656,1780313759653018121,-645112263,645538465,645325364,213101,645296984,238512
11,1780313759653027111,1780313759007989066,1780313759007989236,1780313759653510034,-645038045,645520798,645279421,241376,645296984,238512
12,1780313759653518364,1780313759008464196,1780313759008464436,1780313759654001737,-645054168,645537301,645295734,241566,645296984,238512
13,1780313759654010407,1780313759008956456,1780313759008956606,1780313759654491799,-645053951,645535193,645294572,240621,645296984,238512
14,1780313759654504469,1780313759009384388,1780313759009384528,1780313759654918943,-645120081,645534415,645327248,207167,645296984,238512
15,1780313759654927203,1780313759009883978,1780313759009884168,1780313759655423715,-645043225,645539547,645291386,248161,645296984,238512
16,1780313759655431685,1780313759010377329,1780313759010377509,1780313759655912038,-645054356,645534529,645294442,240086,645296984,238512
17,1780313759655920318,1780313759010872680,1780313759010872930,1780313759656407701,-645047638,645534771,645291204,243566,645296984,238512
18,1780313759656417641,1780313759011305021,1780313759011305151,1780313759656797713,-645112620,645492562,645302591,189971,645296984,238512
19,1780313759656805983,1780313759011769002,1780313759011769212,1780313759657305266,-645036981,645536054,645286517,249536,645296984,238512
20,1780313759657313796,1780313759012265612,1780313759012265872,1780313759657801958,-645048184,645536086,645292135,243951,645296984,238512
21,1780313759657810688,1780313759012760112,1780313759012760322,1780313759658304492,-645050576,645544170,645297373,246797,645296984,238512
22,1780313759658313512,1780313759013202113,1780313759013202243,1780313759658699644,-645111399,645497401,645304400,193001,645296984,238512
23,1780313759658708164,1780313759013671745,1780313759013671925,1780313759659209397,-645036419,645537472,645286945,250526,645296984,238512
24,1780313759659217457,1780313759014176395,1780313759014176605,1780313759659673250,-645041062,645496645,645268853,227791,645296984,238512
25,1780313759659681460,1780313759014648496,1780313759014648716,1780313759660152192,-645032964,645503476,645268220,235256,645296984,238512
26,1780313759660160392,1780313759015111157,1780313759015111347,1780313759660649065,-645049235,645537718,645293476,244241,645296984,238512
27,1780313759660657635,1780313759015607307,1780313759015607527,1780313759661143848,-645050328,645536321,645293324,242996,645296984,238512
