sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780313773872321043,1780313773227422518,1780313773227423448,1780313773873022507,-644898525,645599059,645248792,350267,645306315,240521
2,1780313773873035177,1780313773227966447,1780313773227966647,1780313773873511920,-645068730,645545273,645307001,238271,645306315,240521
3,1780313773873521280,1780313773228471527,1780313773228471697,1780313773874018583,-645049753,645546886,645298319,248566,645306315,240521
4,1780313773874028243,1780313773228971338,1780313773228971578,1780313773874529426,-645056905,645557848,645307376,250471,645306315,240521
5,1780313773874538946,1780313773229470078,1780313773229470258,1780313773875024908,-645068868,645554650,645311759,242891,645306315,240521
6,1780313773875033308,1780313773229964958,1780313773229965078,1780313773875524742,-645068350,645559664,645314007,245657,645306315,240521
7,1780313773875532862,1780313773230506087,1780313773230506327,1780313773876059455,-645026775,645553128,645289951,263176,645306315,240521
8,1780313773876068365,1780313773231013947,1780313773231014177,1780313773876529648,-645054418,645515471,645284944,230526,645306315,240521
9,1780313773876537728,1780313773231486808,1780313773231487388,1780313773877048150,-645050920,645560762,645305841,254921,645306315,240521
10,1780313773877056890,1780313773231933140,1780313773231933240,1780313773877446373,-645123750,645513133,645318441,194691,645306315,240521
11,1780313773877454193,1780313773232412470,1780313773232412590,1780313773877966715,-645041723,645554125,645297924,256201,645306315,240521
12,1780313773877976025,1780313773232921280,1780313773232921470,1780313773878473408,-645054745,645551938,645303341,248596,645306315,240521
13,1780313773878481528,1780313773233433860,1780313773233434040,1780313773878953182,-645047668,645519142,645283405,235737,645306315,240521
14,1780313773878961582,1780313773233839002,1780313773233839122,1780313773879397214,-645122580,645558092,645340336,217756,645306315,240521
15,1780313773879405254,1780313773234365292,1780313773234365412,1780313773879877257,-645039962,645511845,645275903,235941,645306315,240521
16,1780313773879885667,1780313773234837543,1780313773234837773,1780313773880348279,-645048124,645510506,645279315,231191,645306315,240521
17,1780313773880356319,1780313773235303904,1780313773235304134,1780313773880862602,-645052415,645558468,645305441,253026,645306315,240521
18,1780313773880870592,1780313773235748545,1780313773235748665,1780313773881301954,-645122047,645553289,645337668,215621,645306315,240521
19,1780313773881310794,1780313773236270705,1780313773236270845,1780313773881780877,-645040089,645510032,645275060,234971,645306315,240521
20,1780313773881790277,1780313773236734625,1780313773236734795,1780313773882290330,-645055652,645555535,645305593,249941,645306315,240521
21,1780313773882298790,1780313773237244705,1780313773237244845,1780313773882758993,-645054085,645514148,645284116,230031,645306315,240521
22,1780313773882767373,1780313773237643258,1780313773237643348,1780313773883156685,-645124115,645513337,645318726,194611,645306315,240521
23,1780313773883164855,1780313773238121749,1780313773238121869,1780313773883680188,-645043106,645558319,645300712,257606,645306315,240521
24,1780313773883689648,1780313773238633679,1780313773238633809,1780313773884146411,-645055969,645512602,645284285,228316,645306315,240521
25,1780313773884154711,1780313773239108669,1780313773239108789,1780313773884625653,-645046042,645516864,645281453,235411,645306315,240521
26,1780313773884633614,1780313773239509411,1780313773239509561,1780313773885025306,-645124203,645515745,645319974,195771,645306315,240521
27,1780313773885033486,1780313773239994012,1780313773239994132,1780313773885508248,-645039474,645514116,645276795,237321,645306315,240521
28,1780313773885516418,1780313773240465412,1780313773240465522,1780313773886021192,-645051006,645555670,645303338,252332,645306315,240521
29,1780313773886030032,1780313773240975553,1780313773240975683,1780313773886535835,-645054479,645560152,645307315,252836,645306315,240521
30,1780313773886543785,1780313773241419924,1780313773241420034,1780313773886979797,-645123861,645559763,645341812,217951,645306315,240521
31,1780313773886988407,1780313773241945834,1780313773241945954,1780313773887507310,-645042573,645561356,645301964,259391,645306315,240521
32,1780313773887515090,1780313773242460663,1780313773242460793,1780313773887978563,-645054427,645517770,645286098,231671,645306315,240521
33,1780313773887986283,1780313773242938104,1780313773242938234,1780313773888455165,-645048179,645516931,645282555,234376,645306315,240521
34,1780313773888462935,1780313773243342856,1780313773243343116,1780313773888904448,-645120079,645561332,645340705,220626,645306315,240521
35,1780313773888912288,1780313773243871996,1780313773243872136,1780313773889430551,-645040292,645558415,645299353,259061,645306315,240521
36,1780313773889440761,1780313773244387316,1780313773244387476,1780313773889946925,-645053445,645559449,645306447,253002,645306315,240521
37,1780313773889954835,1780313773244900056,1780313773244900206,1780313773890457087,-645054779,645556881,645305830,251051,645306315,240521
38,1780313773890465477,1780313773245343987,1780313773245344087,1780313773890902500,-645121490,645558413,645339951,218461,645306315,240521
39,1780313773890910390,1780313773245867507,1780313773245867637,1780313773891382903,-645042883,645515266,645279074,236191,645306315,240521
40,1780313773891390483,1780313773246334298,1780313773246334428,1780313773891851225,-645056185,645516797,645286491,230306,645306315,240521
41,1780313773891858905,1780313773246805469,1780313773246805629,1780313773892367238,-645053436,645561609,645307522,254086,645306315,240521
42,1780313773892374958,1780313773247264640,1780313773247264910,1780313773892784390,-645110318,645519480,645314899,204581,645306315,240521
43,1780313773892792610,1780313773247751601,1780313773247751721,1780313773893312404,-645041009,645560683,645300846,259837,645306315,240521
44,1780313773893320384,1780313773248265890,1780313773248266140,1780313773893823087,-645054494,645556947,645305720,251226,645306315,240521
45,1780313773893830927,1780313773248779130,1780313773248779340,1780313773894294509,-645051797,645515169,645283483,231686,645306315,240521
46,1780313773894302360,1780313773249208132,1780313773249208322,1780313773894734562,-645094228,645526240,645310234,216006,645306315,240521
47,1780313773894742362,1780313773249699283,1780313773249699423,1780313773895255455,-645043079,645556032,645299555,256476,645306315,240521
48,1780313773895263355,1780313773250207403,1780313773250207523,1780313773895723137,-645055952,645515614,645285783,229831,645306315,240521
49,1780313773895730807,1780313773250709023,1780313773250709183,1780313773896274530,-645021784,645565347,645293565,271781,645306315,240521
50,1780313773896282100,1780313773251197333,1780313773251197443,1780313773896756133,-645084767,645558690,645321728,236961,645306315,240521
51,1780313773896763793,1780313773251724203,1780313773251724303,1780313773897279216,-645039590,645554913,645297251,257661,645306315,240521
52,1780313773897286707,1780313773252234693,1780313773252234833,1780313773897791919,-645052014,645557086,645304550,252536,645306315,240521
53,1780313773897800789,1780313773252746723,1780313773252746843,1780313773898304892,-645054066,645558049,645306057,251991,645306315,240521
54,1780313773898312972,1780313773253190895,1780313773253191005,1780313773898749254,-645122077,645558249,645340163,218086,645306315,240521
55,1780313773898756854,1780313773253716054,1780313773253716244,1780313773899271127,-645040800,645554883,645297841,257041,645306315,240521
56,1780313773899278577,1780313773254224274,1780313773254224444,1780313773899740850,-645054303,645516406,645285354,231051,645306315,240521
57,1780313773899749180,1780313773254693365,1780313773254693485,1780313773900210802,-645055815,645517317,645286566,230751,645306315,240521
58,1780313773900218722,1780313773255094167,1780313773255094297,1780313773900610066,-645124555,645515769,645320162,195607,645306315,240521
59,1780313773900617676,1780313773255574787,1780313773255574917,1780313773901131508,-645042889,645556591,645299740,256851,645306315,240521
60,1780313773901139369,1780313773256085698,1780313773256085808,1780313773901602121,-645053671,645516313,645284992,231321,645306315,240521
61,1780313773901609831,1780313773256555669,1780313773256555809,1780313773902071824,-645054162,645516015,645285088,230926,645306315,240521
62,1780313773902079484,1780313773256954511,1780313773256954631,1780313773902515796,-645124973,645561165,645343069,218096,645306315,240521
63,1780313773902523926,1780313773257480871,1780313773257480991,1780313773903004999,-645043055,645524008,645283531,240476,645306315,240521
64,1780313773903012769,1780313773257956031,1780313773257956151,1780313773903471611,-645056738,645515460,645286099,229361,645306315,240521
65,1780313773903478981,1780313773258436272,1780313773258436462,1780313773903986224,-645042709,645549762,645296235,253526,645306315,240521
66,1780313773903993874,1780313773258871004,1780313773258871124,1780313773904387657,-645122870,645516533,645319701,196831,645306315,240521
67,1780313773904395177,1780313773259351955,1780313773259352075,1780313773904868100,-645043222,645516025,645279623,236401,645306315,240521
