count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,302914,0,302914,915947004,242547
52,300824,0,300824,915947004,242547
53,298754,0,298754,915947004,242547
54,296584,0,296584,915947004,242547
55,294094,0,294094,915947004,242547
56,291664,0,291664,915947004,242547
57,289274,0,289274,915947004,242547
58,286824,0,286824,915947004,242547
59,284384,0,284384,915947004,242547
60,282004,0,282004,915947004,242547
61,279524,0,279524,915947004,242547
62,276494,0,276494,915947004,242547
63,273974,0,273974,915947004,242547
64,271834,0,271834,915947004,242547
65,269274,0,269274,915947004,242547
66,259914,0,259914,915947004,242547
67,257644,0,257644,915947004,242547
68,232984,0,232984,915947004,242547
69,234684,0,234684,915947004,242547
70,269824,0,269824,915947004,242547
71,252343,0,252343,915947004,242547
72,243303,0,243303,915947004,242547
73,225473,0,225473,915947004,242547
74,222513,0,222513,915947004,242547
75,213543,0,213543,915947004,242547
76,263363,0,263363,915947004,242547
77,260993,0,260993,915947004,242547
78,246383,0,246383,915947004,242547
79,232353,0,232353,915947004,242547
80,212423,0,212423,915947004,242547
81,256082,0,256082,915947004,242547
82,237451,0,237451,915947004,242547
83,221921,0,221921,915947004,242547
84,294491,0,294491,915947004,242547
85,281091,0,281091,915947004,242547
86,280101,0,280101,915947004,242547
87,262631,0,262631,915947004,242547
88,251021,0,251021,915947004,242547
89,247701,0,247701,915947004,242547
90,234311,0,234311,915947004,242547
91,221351,0,221351,915947004,242547
92,209351,0,209351,915947004,242547
93,210411,0,210411,915947004,242547
94,328881,0,328881,915947004,242547
95,326861,0,326861,915947004,242547
96,313640,0,313640,915947004,242547
97,300870,0,300870,915947004,242547
98,288940,0,288940,915947004,242547
99,285860,0,285860,915947004,242547
100,272310,0,272310,915947004,242547
101,259810,0,259810,915947004,242547
102,248710,0,248710,915947004,242547
103,251350,0,251350,915947004,242547
104,306780,0,306780,915947004,242547
105,298900,0,298900,915947004,242547
106,286890,0,286890,915947004,242547
107,284060,0,284060,915947004,242547
108,241749,0,241749,915947004,242547
109,230019,0,230019,915947004,242547
110,317829,0,317829,915947004,242547
111,299099,0,299099,915947004,242547
112,274479,0,274479,915947004,242547
113,256999,0,256999,915947004,242547
114,235949,0,235949,915947004,242547
115,221589,0,221589,915947004,242547
116,315408,0,315408,915947004,242547
117,294478,0,294478,915947004,242547
118,273618,0,273618,915947004,242547
119,254148,0,254148,915947004,242547
120,234878,0,234878,915947004,242547
121,221128,0,221128,915947004,242547
122,311849,0,311849,915947004,242547
123,292469,0,292469,915947004,242547
124,271168,0,271168,915947004,242547
125,246478,0,246478,915947004,242547
126,227858,0,227858,915947004,242547
127,227968,0,227968,915947004,242547
128,315008,0,315008,915947004,242547
129,299668,0,299668,915947004,242547
130,296308,0,296308,915947004,242547
131,277968,0,277968,915947004,242547
132,261608,0,261608,915947004,242547
133,244458,0,244458,915947004,242547
134,242888,0,242888,915947004,242547
135,233838,0,233838,915947004,242547
136,321817,0,321817,915947004,242547
137,297527,0,297527,915947004,242547
138,280347,0,280347,915947004,242547
139,260997,0,260997,915947004,242547
140,241577,0,241577,915947004,242547
141,221707,0,221707,915947004,242547
142,313967,0,313967,915947004,242547
143,290577,0,290577,915947004,242547
144,267966,0,267966,915947004,242547
145,247766,0,247766,915947004,242547
146,242516,0,242516,915947004,242547
147,231786,0,231786,915947004,242547
148,328146,0,328146,915947004,242547
149,325096,0,325096,915947004,242547
150,312606,0,312606,915947004,242547
151,298036,0,298036,915947004,242547
152,286866,0,286866,915947004,242547
153,283566,0,283566,915947004,242547
154,269136,0,269136,915947004,242547
155,257056,0,257056,915947004,242547
156,238495,0,238495,915947004,242547
157,316645,0,316645,915947004,242547
158,298445,0,298445,915947004,242547
159,277185,0,277185,915947004,242547
160,257395,0,257395,915947004,242547
161,238645,0,238645,915947004,242547
162,225445,0,225445,915947004,242547
163,323795,0,323795,915947004,242547
164,305004,0,305004,915947004,242547
165,285904,0,285904,915947004,242547
166,273324,0,273324,915947004,242547
167,268714,0,268714,915947004,242547
168,239524,0,239524,915947004,242547
169,317114,0,317114,915947004,242547
170,298484,0,298484,915947004,242547
171,279484,0,279484,915947004,242547
172,258904,0,258904,915947004,242547
173,232473,0,232473,915947004,242547
174,221853,0,221853,915947004,242547
175,304063,0,304063,915947004,242547
176,283323,0,283323,915947004,242547
177,264973,0,264973,915947004,242547
178,246143,0,246143,915947004,242547
179,230383,0,230383,915947004,242547
180,323903,0,323903,915947004,242547
181,305052,0,305052,915947004,242547
182,286512,0,286512,915947004,242547
183,260862,0,260862,915947004,242547
184,244902,0,244902,915947004,242547
185,229622,0,229622,915947004,242547
186,315532,0,315532,915947004,242547
187,294322,0,294322,915947004,242547
188,273432,0,273432,915947004,242547
189,253001,0,253001,915947004,242547
190,227041,0,227041,915947004,242547
191,214841,0,214841,915947004,242547
192,323101,0,323101,915947004,242547
193,297951,0,297951,915947004,242547
194,280931,0,280931,915947004,242547
195,260711,0,260711,915947004,242547
196,246901,0,246901,915947004,242547
197,328281,0,328281,915947004,242547
198,310081,0,310081,915947004,242547
199,289781,0,289781,915947004,242547
200,269541,0,269541,915947004,242547
201,244241,0,244241,915947004,242547
202,234121,0,234121,915947004,242547
203,311491,0,311491,915947004,242547
204,291961,0,291961,915947004,242547
205,272580,0,272580,915947004,242547
206,252340,0,252340,915947004,242547
207,233150,0,233150,915947004,242547
208,219190,0,219190,915947004,242547
209,299380,0,299380,915947004,242547
210,278790,0,278790,915947004,242547
211,244100,0,244100,915947004,242547
212,223230,0,223230,915947004,242547
213,206059,0,206059,915947004,242547
214,294839,0,294839,915947004,242547
215,273819,0,273819,915947004,242547
216,251379,0,251379,915947004,242547
217,229459,0,229459,915947004,242547
218,214169,0,214169,915947004,242547
219,305309,0,305309,915947004,242547
220,285529,0,285529,915947004,242547
221,263148,0,263148,915947004,242547
222,242108,0,242108,915947004,242547
223,221658,0,221658,915947004,242547
224,206858,0,206858,915947004,242547
225,305588,0,305588,915947004,242547
226,289308,0,289308,915947004,242547
227,274478,0,274478,915947004,242547
228,257788,0,257788,915947004,242547
229,254548,0,254548,915947004,242547
230,247418,0,247418,915947004,242547
231,280187,0,280187,915947004,242547
232,268327,0,268327,915947004,242547
233,260167,0,260167,915947004,242547
234,232687,0,232687,915947004,242547
235,217667,0,217667,915947004,242547
236,279497,0,279497,915947004,242547
237,274007,0,274007,915947004,242547
238,266567,0,266567,915947004,242547
239,242787,0,242787,915947004,242547
240,222697,0,222697,915947004,242547
241,293436,0,293436,915947004,242547
242,289596,0,289596,915947004,242547
243,269006,0,269006,915947004,242547
244,263876,0,263876,915947004,242547
245,253836,0,253836,915947004,242547
246,222266,0,222266,915947004,242547
247,206466,0,206466,915947004,242547
248,263696,0,263696,915947004,242547
249,239116,0,239116,915947004,242547
250,218996,0,218996,915947004,242547
251,202595,0,202595,915947004,242547
252,269125,0,269125,915947004,242547
253,248915,0,248915,915947004,242547
254,243575,0,243575,915947004,242547
255,229175,0,229175,915947004,242547
256,210505,0,210505,915947004,242547
257,274765,0,274765,915947004,242547
258,254285,0,254285,915947004,242547
259,236145,0,236145,915947004,242547
260,231684,0,231684,915947004,242547
261,215404,0,215404,915947004,242547
262,199484,0,199484,915947004,242547
263,268464,0,268464,915947004,242547
264,248734,0,248734,915947004,242547
265,228113,0,228113,915947004,242547
266,210283,0,210283,915947004,242547
267,281063,0,281063,915947004,242547
268,262403,0,262403,915947004,242547
269,243362,0,243362,915947004,242547
270,222722,0,222722,915947004,242547
271,221252,0,221252,915947004,242547
272,304903,0,304903,915947004,242547
273,290273,0,290273,915947004,242547
274,276003,0,276003,915947004,242547
275,272883,0,272883,915947004,242547
276,258713,0,258713,915947004,242547
277,244363,0,244363,915947004,242547
278,231503,0,231503,915947004,242547
279,233543,0,233543,915947004,242547
280,286843,0,286843,915947004,242547
281,266472,0,266472,915947004,242547
282,251702,0,251702,915947004,242547
283,236462,0,236462,915947004,242547
284,225162,0,225162,915947004,242547
285,227542,0,227542,915947004,242547
286,294292,0,294292,915947004,242547
287,280862,0,280862,915947004,242547
288,277872,0,277872,915947004,242547
289,263762,0,263762,915947004,242547
290,242642,0,242642,915947004,242547
291,227562,0,227562,915947004,242547
292,295421,0,295421,915947004,242547
293,275721,0,275721,915947004,242547
294,254151,0,254151,915947004,242547
295,229061,0,229061,915947004,242547
296,210831,0,210831,915947004,242547
297,194871,0,194871,915947004,242547
298,266151,0,266151,915947004,242547
299,243941,0,243941,915947004,242547
300,224560,0,224560,915947004,242547
301,209500,0,209500,915947004,242547
302,290380,0,290380,915947004,242547
303,287840,0,287840,915947004,242547
304,272540,0,272540,915947004,242547
305,259760,0,259760,915947004,242547
306,244630,0,244630,915947004,242547
307,237130,0,237130,915947004,242547
308,237480,0,237480,915947004,242547
309,306860,0,306860,915947004,242547
310,292390,0,292390,915947004,242547
311,278110,0,278110,915947004,242547
312,275319,0,275319,915947004,242547
313,261009,0,261009,915947004,242547
314,247219,0,247219,915947004,242547
315,244219,0,244219,915947004,242547
316,229909,0,229909,915947004,242547
317,223209,0,223209,915947004,242547
318,301549,0,301549,915947004,242547
319,277209,0,277209,915947004,242547
320,255739,0,255739,915947004,242547
321,237979,0,237979,915947004,242547
322,324268,0,324268,915947004,242547
323,306218,0,306218,915947004,242547
324,280878,0,280878,915947004,242547
325,263488,0,263488,915947004,242547
326,250748,0,250748,915947004,242547
327,295168,0,295168,915947004,242547
328,291378,0,291378,915947004,242547
329,277808,0,277808,915947004,242547
330,276488,0,276488,915947004,242547
331,261818,0,261818,915947004,242547
332,246758,0,246758,915947004,242547
333,232397,0,232397,915947004,242547
334,229157,0,229157,915947004,242547
335,219467,0,219467,915947004,242547
336,301977,0,301977,915947004,242547
337,299717,0,299717,915947004,242547
338,285587,0,285587,915947004,242547
339,252187,0,252187,915947004,242547
340,235287,0,235287,915947004,242547
341,215807,0,215807,915947004,242547
342,198287,0,198287,915947004,242547
343,183816,0,183816,915947004,242547
344,171556,0,171556,915947004,242547
345,239366,0,239366,915947004,242547
346,217906,0,217906,915947004,242547
347,204406,0,204406,915947004,242547
348,252766,0,252766,915947004,242547
349,223246,0,223246,915947004,242547
350,209975,0,209975,915947004,242547
351,266005,0,266005,915947004,242547
352,245635,0,245635,915947004,242547
353,226615,0,226615,915947004,242547
354,209715,0,209715,915947004,242547
355,191625,0,191625,915947004,242547
356,254086,0,254086,915947004,242547
357,234426,0,234426,915947004,242547
358,218845,0,218845,915947004,242547
359,264075,0,264075,915947004,242547
360,243395,0,243395,915947004,242547
361,226145,0,226145,915947004,242547
362,203455,0,203455,915947004,242547
363,252475,0,252475,915947004,242547
364,232695,0,232695,915947004,242547
365,214515,0,214515,915947004,242547
366,194794,0,194794,915947004,242547
367,179044,0,179044,915947004,242547
368,244594,0,244594,915947004,242547
369,223044,0,223044,915947004,242547
370,207714,0,207714,915947004,242547
371,266514,0,266514,915947004,242547
372,248354,0,248354,915947004,242547
373,228894,0,228894,915947004,242547
374,215113,0,215113,915947004,242547
375,265603,0,265603,915947004,242547
376,247013,0,247013,915947004,242547
377,226203,0,226203,915947004,242547
378,207053,0,207053,915947004,242547
379,193453,0,193453,915947004,242547
380,257733,0,257733,915947004,242547
381,239083,0,239083,915947004,242547
382,218663,0,218663,915947004,242547
383,202772,0,202772,915947004,242547
384,256532,0,256532,915947004,242547
385,238182,0,238182,915947004,242547
386,219022,0,219022,915947004,242547
387,206552,0,206552,915947004,242547
388,276452,0,276452,915947004,242547
389,256812,0,256812,915947004,242547
390,235562,0,235562,915947004,242547
391,214481,0,214481,915947004,242547
392,199201,0,199201,915947004,242547
393,246841,0,246841,915947004,242547
394,222611,0,222611,915947004,242547
395,210921,0,210921,915947004,242547
396,272681,0,272681,915947004,242547
397,254451,0,254451,915947004,242547
