count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,332057,0,332057,915680479,249599
52,347717,0,347717,915680479,249599
53,341887,0,341887,915680479,249599
54,339687,0,339687,915680479,249599
55,337297,0,337297,915680479,249599
56,334917,0,334917,915680479,249599
57,332667,0,332667,915680479,249599
58,330387,0,330387,915680479,249599
59,328117,0,328117,915680479,249599
60,326567,0,326567,915680479,249599
61,323957,0,323957,915680479,249599
62,320997,0,320997,915680479,249599
63,318617,0,318617,915680479,249599
64,316397,0,316397,915680479,249599
65,313987,0,313987,915680479,249599
66,311547,0,311547,915680479,249599
67,309107,0,309107,915680479,249599
68,306627,0,306627,915680479,249599
69,295977,0,295977,915680479,249599
70,282717,0,282717,915680479,249599
71,279507,0,279507,915680479,249599
72,267767,0,267767,915680479,249599
73,261787,0,261787,915680479,249599
74,284187,0,284187,915680479,249599
75,271556,0,271556,915680479,249599
76,259186,0,259186,915680479,249599
77,252866,0,252866,915680479,249599
78,250626,0,250626,915680479,249599
79,244486,0,244486,915680479,249599
80,269396,0,269396,915680479,249599
81,267426,0,267426,915680479,249599
82,342006,0,342006,915680479,249599
83,339856,0,339856,915680479,249599
84,337576,0,337576,915680479,249599
85,327526,0,327526,915680479,249599
86,290796,0,290796,915680479,249599
87,269016,0,269016,915680479,249599
88,256465,0,256465,915680479,249599
89,306176,0,306176,915680479,249599
90,293146,0,293146,915680479,249599
91,289906,0,289906,915680479,249599
92,277536,0,277536,915680479,249599
93,264626,0,264626,915680479,249599
94,249256,0,249256,915680479,249599
95,236236,0,236236,915680479,249599
96,240606,0,240606,915680479,249599
97,296736,0,296736,915680479,249599
98,283146,0,283146,915680479,249599
99,271336,0,271336,915680479,249599
100,268386,0,268386,915680479,249599
101,249785,0,249785,915680479,249599
102,237645,0,237645,915680479,249599
103,234315,0,234315,915680479,249599
104,226105,0,226105,915680479,249599
105,219545,0,219545,915680479,249599
106,323935,0,323935,915680479,249599
107,322025,0,322025,915680479,249599
108,309115,0,309115,915680479,249599
109,297215,0,297215,915680479,249599
110,287355,0,287355,915680479,249599
111,280155,0,280155,915680479,249599
112,271955,0,271955,915680479,249599
113,259475,0,259475,915680479,249599
114,256495,0,256495,915680479,249599
115,249434,0,249434,915680479,249599
116,319804,0,319804,915680479,249599
117,311714,0,311714,915680479,249599
118,309084,0,309084,915680479,249599
119,296374,0,296374,915680479,249599
120,294364,0,294364,915680479,249599
121,278984,0,278984,915680479,249599
122,265654,0,265654,915680479,249599
123,249914,0,249914,915680479,249599
124,238654,0,238654,915680479,249599
125,331724,0,331724,915680479,249599
126,307534,0,307534,915680479,249599
127,286683,0,286683,915680479,249599
128,267493,0,267493,915680479,249599
129,259413,0,259413,915680479,249599
130,239643,0,239643,915680479,249599
131,216343,0,216343,915680479,249599
132,303883,0,303883,915680479,249599
133,284753,0,284753,915680479,249599
134,263723,0,263723,915680479,249599
135,242202,0,242202,915680479,249599
136,227612,0,227612,915680479,249599
137,308052,0,308052,915680479,249599
138,285212,0,285212,915680479,249599
139,264692,0,264692,915680479,249599
140,242772,0,242772,915680479,249599
141,229152,0,229152,915680479,249599
142,321582,0,321582,915680479,249599
143,301441,0,301441,915680479,249599
144,296641,0,296641,915680479,249599
145,281541,0,281541,915680479,249599
146,264061,0,264061,915680479,249599
147,242191,0,242191,915680479,249599
148,226641,0,226641,915680479,249599
149,314651,0,314651,915680479,249599
150,290411,0,290411,915680479,249599
151,274841,0,274841,915680479,249599
152,254910,0,254910,915680479,249599
153,241620,0,241620,915680479,249599
154,332590,0,332590,915680479,249599
155,301710,0,301710,915680479,249599
156,279880,0,279880,915680479,249599
157,256300,0,256300,915680479,249599
158,236560,0,236560,915680479,249599
159,331199,0,331199,915680479,249599
160,310799,0,310799,915680479,249599
161,293119,0,293119,915680479,249599
162,272739,0,272739,915680479,249599
163,252429,0,252429,915680479,249599
164,238439,0,238439,915680479,249599
165,241509,0,241509,915680479,249599
166,335089,0,335089,915680479,249599
167,321589,0,321589,915680479,249599
168,309719,0,309719,915680479,249599
169,292359,0,292359,915680479,249599
170,278048,0,278048,915680479,249599
171,274748,0,274748,915680479,249599
172,260378,0,260378,915680479,249599
173,250798,0,250798,915680479,249599
174,341529,0,341529,915680479,249599
175,338139,0,338139,915680479,249599
176,322919,0,322919,915680479,249599
