sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,clock_offset_mean_ns,clock_sync_path_delay_mean_ns
1,1780313404477229411,1780313403832806012,1780313403832806752,1780313404477952665,-644423399,645145913,644784656,361257,644849250,233981
2,1780313404477963146,1780313403833502239,1780313403833502809,1780313404478596639,-644460907,645093830,644777368,316461,644849250,233981
3,1780313404478606159,1780313403834030808,1780313403834031118,1780313404479107872,-644575351,645076754,644826052,250701,644849250,233981
4,1780313404479116172,1780313403834509098,1780313403834509368,1780313404479567494,-644607074,645058126,644832600,225526,644849250,233981
5,1780313404479575804,1780313403834985629,1780313403834985889,1780313404480078607,-644590175,645092718,644841446,251271,644849250,233981
6,1780313404480086397,1780313403835491429,1780313403835491629,1780313404480590830,-644594968,645099201,644847084,252116,644849250,233981
7,1780313404480600000,1780313403836018989,1780313403836019279,1780313404481111084,-644581011,645091805,644836408,255397,644849250,233981
8,1780313404481119254,1780313403836533369,1780313403836533609,1780313404481624617,-644585885,645091008,644838446,252561,644849250,233981
9,1780313404481633357,1780313403837027369,1780313403837027559,1780313404482136469,-644605988,645108910,644857449,251461,644849250,233981
10,1780313404482146259,1780313403837546999,1780313403837547189,1780313404482603422,-644599260,645056233,644827746,228486,644849250,233981
11,1780313404482611562,1780313403837938711,1780313403837938841,1780313404482991694,-644672851,645052853,644862852,190001,644849250,233981
12,1780313404482999234,1780313403838404762,1780313403838404942,1780313404483457907,-644594472,645052965,644823718,229246,644849250,233981
13,1780313404483465407,1780313403838877614,1780313403838877774,1780313404483932209,-644587793,645054435,644821114,233321,644849250,233981
14,1780313404483940129,1780313403839332704,1780313403839332864,1780313404484384393,-644607425,645051529,644829477,222052,644849250,233981
15,1780313404484391933,1780313403839786275,1780313403839786455,1780313404484840765,-644605658,645054310,644829984,224326,644849250,233981
16,1780313404484851005,1780313403840196677,1780313403840196807,1780313404485248887,-644654328,645052080,644853204,198876,644849250,233981
17,1780313404485256688,1780313403840652908,1780313403840653088,1780313404485746670,-644603780,645093582,644848681,244901,644849250,233981
18,1780313404485756620,1780313403841154638,1780313403841154838,1780313404486247093,-644601982,645092255,644847118,245136,644849250,233981
19,1780313404486255053,1780313403841592779,1780313403841592899,1780313404486685385,-644662274,645092486,644877380,215106,644849250,233981
20,1780313404486693075,1780313403842102650,1780313403842102840,1780313404487192458,-644590425,645089618,644840021,249596,644849250,233981
21,1780313404487200048,1780313403842597870,1780313403842598070,1780313404487688411,-644602178,645090341,644846259,244081,644849250,233981
22,1780313404487696181,1780313403843101970,1780313403843102180,1780313404488194234,-644594211,645092054,644843132,248921,644849250,233981
23,1780313404488201934,1780313403843534692,1780313403843534832,1780313404488590226,-644667242,645055394,644861318,194076,644849250,233981
24,1780313404488598067,1780313403844007002,1780313403844007172,1780313404489098439,-644591065,645091267,644841166,250101,644849250,233981
25,1780313404489105999,1780313403844500653,1780313403844500853,1780313404489590672,-644605346,645089819,644847582,242236,644849250,233981
26,1780313404489600332,1780313403844996524,1780313403844996734,1780313404490095845,-644603808,645099111,644851459,247651,644849250,233981
27,1780313404490104395,1780313403845431265,1780313403845431425,1780313404490492657,-644673130,645061232,644867181,194051,644849250,233981
28,1780313404490500547,1780313403845910685,1780313403845910865,1780313404490968919,-644589862,645058054,644823958,234096,644849250,233981
29,1780313404490976439,1780313403846371486,1780313403846371696,1780313404491428912,-644604953,645057216,644831084,226131,644849250,233981
30,1780313404491436472,1780313403846833847,1780313403846834037,1780313404491892075,-644602625,645058038,644830331,227706,644849250,233981
31,1780313404491899655,1780313403847225939,1780313403847226089,1780313404492283638,-644673716,645057549,644865632,191916,644849250,233981
32,1780313404492291058,1780313403847699711,1780313403847699911,1780313404492756740,-644591347,645056829,644824088,232741,644849250,233981
33,1780313404492764280,1780313403848157462,1780313403848157632,1780313404493214363,-644606818,645056731,644831774,224956,644849250,233981
34,1780313404493222083,1780313403848622173,1780313403848622473,1780313404493717935,-644599910,645095462,644847686,247776,644849250,233981
35,1780313404493725655,1780313403849052464,1780313403849052614,1780313404494110288,-644673191,645057674,644865432,192241,644849250,233981
36,1780313404494117558,1780313403849531224,1780313403849531414,1780313404494626980,-644586334,645095566,644840950,254616,644849250,233981
37,1780313404494635090,1780313403850031334,1780313403850031484,1780313404495088083,-644603756,645056599,644830177,226421,644849250,233981
38,1780313404495095553,1780313403850491695,1780313403850491875,1780313404495587207,-644603858,645095332,644849595,245737,644849250,233981
39,1780313404495594937,1780313403850924348,1780313403850924468,1780313404495981519,-644670589,645057051,644863820,193231,644849250,233981
40,1780313404495988939,1780313403851398198,1780313403851398358,1780313404496493212,-644590741,645094854,644842797,252056,644849250,233981
41,1780313404496501252,1780313403851895259,1780313403851895429,1780313404496950464,-644605993,645055035,644830514,224521,644849250,233981
42,1780313404496958054,1780313403852354159,1780313403852354419,1780313404497453747,-644603895,645099328,644851611,247716,644849250,233981
43,1780313404497461357,1780313403852788661,1780313403852788801,1780313404497845519,-644672696,645056718,644864707,192011,644849250,233981
44,1780313404497853239,1780313403853261481,1780313403853261671,1780313404498356282,-644591758,645094611,644843184,251426,644849250,233981
45,1780313404498363722,1780313403853758383,1780313403853758543,1780313404498811595,-644605339,645053052,644829195,223856,644849250,233981
46,1780313404498819365,1780313403854216574,1780313403854216744,1780313404499308648,-644602791,645091904,644847347,244556,644849250,233981
47,1780313404499316648,1780313403854648035,1780313403854648195,1780313404499701560,-644668613,645053365,644860989,192376,644849250,233981
48,1780313404499709270,1780313403855118646,1780313403855118806,1780313404500210053,-644590624,645091247,644840935,250311,644849250,233981
49,1780313404500217843,1780313403855614326,1780313403855614516,1780313404500705886,-644603517,645091370,644847443,243926,644849250,233981
50,1780313404500713706,1780313403856119056,1780313403856119246,1780313404501182938,-644594650,645063692,644829171,234521,644849250,233981
51,1780313404501191188,1780313403856516938,1780313403856517058,1780313404501621031,-644674250,645103973,644889111,214861,644849250,233981
52,1780313404501629171,1780313403857037639,1780313403857037809,1780313404502148554,-644591532,645110745,644851138,259606,644849250,233981
53,1780313404502170874,1780313403857569168,1780313403857569398,1780313404502648947,-644601706,645079549,644840627,238921,644849250,233981
54,1780313404502656997,1780313403858054089,1780313403858054259,1780313404503127620,-644602908,645073361,644838134,235226,644849250,233981
55,1780313404503135140,1780313403858463361,1780313403858463521,1780313404503520922,-644671779,645057401,644864590,192811,644849250,233981
56,1780313404503528402,1780313403858935911,1780313403858936101,1780313404504030915,-644592491,645094814,644843652,251161,644849250,233981
57,1780313404504038325,1780313403859433231,1780313403859433401,1780313404504494447,-644605094,645061046,644833070,227976,644849250,233981
58,1780313404504503387,1780313403859900713,1780313403859900913,1780313404504996650,-644602674,645095737,644849205,246531,644849250,233981
59,1780313404505005280,1780313403860331734,1780313403860331844,1780313404505395032,-644673546,645063188,644868367,194821,644849250,233981
60,1780313404505402512,1780313403860810605,1780313403860810805,1780313404505905535,-644591907,645094730,644843318,251411,644849250,233981
61,1780313404505913086,1780313403861306815,1780313403861307035,1780313404506364588,-644606271,645057553,644831912,225641,644849250,233981
62,1780313404506372578,1780313403861771416,1780313403861771586,1780313404506868721,-644601162,645097135,644849148,247986,644849250,233981
63,1780313404506876441,1780313403862203677,1780313403862203787,1780313404507260073,-644672764,645056286,644864525,191761,644849250,233981
64,1780313404507267443,1780313403862675249,1780313403862675449,1780313404507731926,-644592194,645056477,644824335,232141,644849250,233981
65,1780313404507739356,1780313403863132810,1780313403863132970,1780313404508193608,-644606546,645060638,644833592,227046,644849250,233981
66,1780313404508202058,1780313403863598600,1780313403863598770,1780313404508695291,-644603458,645096521,644849989,246531,644849250,233981
67,1780313404508703241,1780313403864028262,1780313403864028382,1780313404509086993,-644674979,645058611,644866795,191816,644849250,233981
68,1780313404509094513,1780313403864507542,1780313403864507702,1780313404509602187,-644586971,645094485,644840728,253757,644849250,233981
69,1780313404509609707,1780313403865007863,1780313403865008053,1780313404510103480,-644601844,645095427,644848635,246791,644849250,233981
70,1780313404510110940,1780313403865505243,1780313403865505443,1780313404510560512,-644605697,645055069,644830383,224686,644849250,233981
71,1780313404510568502,1780313403865898136,1780313403865898266,1780313404510954604,-644670366,645056338,644863352,192986,644849250,233981
72,1780313404510962235,1780313403866370547,1780313403866370717,1780313404511465617,-644591688,645094900,644843294,251606,644849250,233981
73,1780313404511476997,1780313403866873837,1780313403866874027,1780313404511970420,-644603160,645096393,644849776,246616,644849250,233981
74,1780313404511977740,1780313403867376067,1780313403867376267,1780313404512433933,-644601673,645057666,644829669,227996,644849250,233981
75,1780313404512441533,1780313403867770159,1780313403867770279,1780313404512829255,-644671374,645058976,644865175,193801,644849250,233981
76,1780313404512836855,1780313403868249209,1780313403868249399,1780313404513310378,-644587646,645060979,644824312,236666,644849250,233981
77,1780313404513317828,1780313403868712981,1780313403868713171,1780313404513807751,-644604847,645094580,644849713,244866,644849250,233981
78,1780313404513815121,1780313403869218911,1780313403869219081,1780313404514312904,-644596210,645093823,644845016,248806,644849250,233981
79,1780313404514320394,1780313403869647463,1780313403869647613,1780313404514742966,-644672931,645095353,644884142,211211,644849250,233981
80,1780313404514750436,1780313403870157613,1780313403870157773,1780313404515252369,-644592823,645094596,644843709,250886,644849250,233981
81,1780313404515259709,1780313403870652463,1780313403870652593,1780313404515709732,-644607246,645057139,644832192,224946,644849250,233981
82,1780313404515717052,1780313403871113594,1780313403871113774,1780313404516205544,-644603458,645091770,644847614,244156,644849250,233981
83,1780313404516212994,1780313403871553045,1780313403871553185,1780313404516611106,-644659949,645057921,644858935,198986,644849250,233981
84,1780313404516618847,1780313403872026776,1780313403872026946,1780313404517123430,-644592071,645096484,644844277,252206,644849250,233981
85,1780313404517131130,1780313403872530506,1780313403872530656,1780313404517622473,-644600624,645091817,644846220,245596,644849250,233981
86,1780313404517630853,1780313403873025837,1780313403873025997,1780313404518121966,-644605016,645095969,644850492,245476,644849250,233981
87,1780313404518129466,1780313403873454078,1780313403873454198,1780313404518511448,-644675388,645057250,644866319,190931,644849250,233981
88,1780313404518518878,1780313403873928149,1780313403873928329,1780313404519024171,-644590729,645095842,644843285,252556,644849250,233981
89,1780313404519031451,1780313403874436758,1780313403874436938,1780313404519520343,-644594693,645083405,644839049,244356,644849250,233981
90,1780313404519528133,1780313403874924400,1780313403874924570,1780313404520017996,-644603733,645093426,644848579,244846,644849250,233981
91,1780313404520025576,1780313403875352901,1780313403875353031,1780313404520446340,-644672675,645093309,644882992,210317,644849250,233981
92,1780313404520453700,1780313403875862801,1780313403875862991,1780313404520959042,-644590899,645096051,644843475,252576,644849250,233981
93,1780313404520967132,1780313403876362151,1780313403876362361,1780313404521458795,-644604981,645096434,644850707,245726,644849250,233981
94,1780313404521467155,1780313403876865231,1780313403876865531,1780313404521962408,-644601924,645096877,644849400,247476,644849250,233981
95,1780313404521970278,1780313403877296313,1780313403877296463,1780313404522353410,-644673965,645056947,644865456,191491,644849250,233981
