count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,253164,0,253164,644377536,231141
52,243664,0,243664,644377536,231141
53,259073,0,259073,644377536,231141
54,246853,0,246853,644377536,231141
55,234243,0,234243,644377536,231141
56,221383,0,221383,644377536,231141
57,208373,0,208373,644377536,231141
58,251552,0,251552,644377536,231141
59,239252,0,239252,644377536,231141
60,226742,0,226742,644377536,231141
61,212681,0,212681,644377536,231141
62,198561,0,198561,644377536,231141
63,184771,0,184771,644377536,231141
64,247719,0,247719,644377536,231141
65,234069,0,234069,644377536,231141
66,220289,0,220289,644377536,231141
67,206489,0,206489,644377536,231141
68,192769,0,192769,644377536,231141
69,251537,0,251537,644377536,231141
70,238947,0,238947,644377536,231141
71,225157,0,225157,644377536,231141
72,212336,0,212336,644377536,231141
73,199616,0,199616,644377536,231141
74,250695,0,250695,644377536,231141
75,238545,0,238545,644377536,231141
76,224595,0,224595,644377536,231141
77,210514,0,210514,644377536,231141
78,197094,0,197094,644377536,231141
79,183254,0,183254,644377536,231141
80,266892,0,266892,644377536,231141
81,253832,0,253832,644377536,231141
82,241092,0,241092,644377536,231141
83,227592,0,227592,644377536,231141
84,215171,0,215171,644377536,231141
85,252920,0,252920,644377536,231141
86,240420,0,240420,644377536,231141
87,227489,0,227489,644377536,231141
88,214809,0,214809,644377536,231141
89,202109,0,202109,644377536,231141
90,260168,0,260168,644377536,231141
91,247058,0,247058,644377536,231141
92,234418,0,234418,644377536,231141
93,220728,0,220728,644377536,231141
94,207088,0,207088,644377536,231141
95,193448,0,193448,644377536,231141
96,181457,0,181457,644377536,231141
97,242175,0,242175,644377536,231141
98,228945,0,228945,644377536,231141
99,215465,0,215465,644377536,231141
100,202075,0,202075,644377536,231141
101,188885,0,188885,644377536,231141
102,260253,0,260253,644377536,231141
103,245973,0,245973,644377536,231141
104,232883,0,232883,644377536,231141
105,219023,0,219023,644377536,231141
106,204633,0,204633,644377536,231141
107,252562,0,252562,644377536,231141
108,240131,0,240131,644377536,231141
109,227971,0,227971,644377536,231141
110,212581,0,212581,644377536,231141
111,198141,0,198141,644377536,231141
112,185001,0,185001,644377536,231141
113,251699,0,251699,644377536,231141
114,239549,0,239549,644377536,231141
115,226759,0,226759,644377536,231141
116,214429,0,214429,644377536,231141
117,201419,0,201419,644377536,231141
118,187589,0,187589,644377536,231141
119,242647,0,242647,644377536,231141
120,230386,0,230386,644377536,231141
121,217436,0,217436,644377536,231141
122,205936,0,205936,644377536,231141
123,192156,0,192156,644377536,231141
124,256825,0,256825,644377536,231141
125,244045,0,244045,644377536,231141
126,231725,0,231725,644377536,231141
127,218964,0,218964,644377536,231141
128,207764,0,207764,644377536,231141
129,195024,0,195024,644377536,231141
130,181644,0,181644,644377536,231141
131,245253,0,245253,644377536,231141
132,232162,0,232162,644377536,231141
133,218522,0,218522,644377536,231141
134,205762,0,205762,644377536,231141
135,193162,0,193162,644377536,231141
136,265040,0,265040,644377536,231141
137,239180,0,239180,644377536,231141
138,227020,0,227020,644377536,231141
139,213090,0,213090,644377536,231141
140,200010,0,200010,644377536,231141
141,257118,0,257118,644377536,231141
142,244798,0,244798,644377536,231141
143,231407,0,231407,644377536,231141
144,219757,0,219757,644377536,231141
145,206757,0,206757,644377536,231141
146,194537,0,194537,644377536,231141
147,180737,0,180737,644377536,231141
148,249905,0,249905,644377536,231141
149,237765,0,237765,644377536,231141
150,225385,0,225385,644377536,231141
151,211795,0,211795,644377536,231141
152,198945,0,198945,644377536,231141
153,265683,0,265683,644377536,231141
154,254843,0,254843,644377536,231141
155,242322,0,242322,644377536,231141
156,229762,0,229762,644377536,231141
157,216762,0,216762,644377536,231141
158,203422,0,203422,644377536,231141
159,261451,0,261451,644377536,231141
160,250471,0,250471,644377536,231141
161,238051,0,238051,644377536,231141
162,225271,0,225271,644377536,231141
163,210261,0,210261,644377536,231141
164,197301,0,197301,644377536,231141
165,183491,0,183491,644377536,231141
166,252369,0,252369,644377536,231141
167,238978,0,238978,644377536,231141
168,226468,0,226468,644377536,231141
