count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,258362,0,258362,644824599,231660
52,245802,0,245802,644824599,231660
53,232741,0,232741,644824599,231660
54,219491,0,219491,644824599,231660
55,207141,0,207141,644824599,231660
56,245610,0,245610,644824599,231660
57,232089,0,232089,644824599,231660
58,219019,0,219019,644824599,231660
59,206509,0,206509,644824599,231660
60,193079,0,193079,644824599,231660
61,243888,0,243888,644824599,231660
62,230568,0,230568,644824599,231660
63,217758,0,217758,644824599,231660
64,203378,0,203378,644824599,231660
65,190377,0,190377,644824599,231660
66,271045,0,271045,644824599,231660
67,258135,0,258135,644824599,231660
68,245145,0,245145,644824599,231660
69,232835,0,232835,644824599,231660
70,220035,0,220035,644824599,231660
71,206605,0,206605,644824599,231660
72,238534,0,238534,644824599,231660
73,237844,0,237844,644824599,231660
74,224403,0,224403,644824599,231660
75,211543,0,211543,644824599,231660
76,199053,0,199053,644824599,231660
77,246221,0,246221,644824599,231660
78,232941,0,232941,644824599,231660
79,220411,0,220411,644824599,231660
80,207771,0,207771,644824599,231660
81,194021,0,194021,644824599,231660
82,180791,0,180791,644824599,231660
83,239370,0,239370,644824599,231660
84,225780,0,225780,644824599,231660
85,213750,0,213750,644824599,231660
86,200750,0,200750,644824599,231660
87,187120,0,187120,644824599,231660
88,251319,0,251319,644824599,231660
89,240008,0,240008,644824599,231660
90,227228,0,227228,644824599,231660
91,214578,0,214578,644824599,231660
92,201757,0,201757,644824599,231660
93,250686,0,250686,644824599,231660
94,238426,0,238426,644824599,231660
95,226126,0,226126,644824599,231660
96,213526,0,213526,644824599,231660
97,201076,0,201076,644824599,231660
98,187296,0,187296,644824599,231660
99,247945,0,247945,644824599,231660
100,235204,0,235204,644824599,231660
101,222974,0,222974,644824599,231660
102,210543,0,210543,644824599,231660
103,197473,0,197473,644824599,231660
104,256952,0,256952,644824599,231660
105,246202,0,246202,644824599,231660
106,233942,0,233942,644824599,231660
107,221692,0,221692,644824599,231660
108,208352,0,208352,644824599,231660
109,195422,0,195422,644824599,231660
110,250120,0,250120,644824599,231660
111,237570,0,237570,644824599,231660
112,225270,0,225270,644824599,231660
113,211770,0,211770,644824599,231660
114,197759,0,197759,644824599,231660
115,184939,0,184939,644824599,231660
116,253997,0,253997,644824599,231660
117,242547,0,242547,644824599,231660
118,229027,0,229027,644824599,231660
119,216307,0,216307,644824599,231660
120,203847,0,203847,644824599,231660
121,191987,0,191987,644824599,231660
122,259055,0,259055,644824599,231660
123,246245,0,246245,644824599,231660
124,233135,0,233135,644824599,231660
125,220735,0,220735,644824599,231660
126,207525,0,207525,644824599,231660
127,253123,0,253123,644824599,231660
128,240813,0,240813,644824599,231660
129,228023,0,228023,644824599,231660
