count_idx,delay_ns,loop_gap_ns,recv_block_ns
51,4916,5456,2679
52,6174,6208,2497
53,6162,4336,2419
54,8343,4164,7246
55,9220,9679,3383
56,7617,5499,1358
57,6529,3354,1881
58,5175,3124,2452
59,35237,3700,38184
60,25799,43413,3227
61,22742,4858,1786
62,21252,3148,1914
63,18781,3117,1427
64,17737,2613,1315
65,15966,3407,1598
66,13493,2588,1157
67,12653,2071,1560
68,10416,3671,1246
69,8413,2173,1309
70,6766,2227,2415
71,5765,3367,2906
72,8241,3864,8252
73,6834,9757,2264
74,5714,3320,2926
75,11487,3879,8034
76,8917,11398,3342
77,6608,4297,1829
78,5645,2792,2629
79,9215,3598,7719
80,25414,9251,25712
81,15917,30940,2954
82,12792,4509,2257
83,10862,3278,1209
84,8451,3334,1255
85,11581,2197,6686
86,9422,7701,1333
87,6368,2250,2215
88,5108,3181,2616
89,7591,3602,7127
90,6480,8631,2621
91,5323,3569,2151
92,9296,4078,7791
93,6427,9320,2808
94,4673,3772,2461
95,7208,3493,6103
96,6233,7686,2634
97,4610,3665,2333
98,7278,3277,6202
99,7047,7712,2576
100,5115,4428,2283
101,6602,3244,6084
102,5525,7567,2387
103,9605,3348,7634
104,6002,9128,2423
105,4017,3371,2295
106,21804,3245,20856
107,12324,24457,3624
108,9053,7626,1626
109,8123,2742,3137
110,7807,4114,2827
111,6129,3791,1789
112,5210,2741,2565
113,7489,3498,6523
114,6805,8105,2860
115,8527,3837,6144
116,7129,9089,2277
117,5414,3257,2566
118,5407,3521,4162
119,11159,5126,9548
120,7626,11088,1970
121,5205,2904,2459
122,7107,3388,6071
123,6999,7585,2605
124,5167,4625,2351
125,9399,3314,7830
126,6079,9316,2464
127,4046,3401,2203
128,20143,3139,19662
129,7684,22508,3458
130,5655,5509,2492
131,4825,3553,2239
132,8238,4218,6814
133,6767,8376,2127
134,5133,3069,2431
135,9409,3376,8025
136,5186,9626,2455
137,8131,3402,6231
138,6586,7796,2692
139,7494,4199,3462
140,8138,6082,3812
141,6573,4955,2392
142,4891,3326,2424
143,7514,3467,6441
144,5204,8074,2644
145,4338,3600,2799
146,6666,4221,6054
147,7124,7658,2622
148,5712,4795,2212
149,4067,3161,2186
150,20935,3118,20022
151,10441,22903,4253
152,7209,6188,1633
153,6603,2683,2508
154,4894,3565,2231
155,8195,3203,6793
156,6965,9275,2304
157,5099,3326,2472
158,7253,3435,6170
159,6426,7833,2527
160,4939,3501,2424
161,6950,3397,6003
162,6071,7592,2542
163,5463,3515,2201
164,4233,4755,2517
165,19766,3473,19096
166,8263,21961,2857
167,5538,4190,2400
168,21796,3414,21409
169,10267,24421,2699
170,7442,5020,1903
171,8956,3746,3149
172,6349,5562,2384
173,4765,3360,2471
174,7175,3446,6310
175,6106,7911,2209
176,4778,3218,2387
177,6679,3333,5894
178,6214,7541,2719
179,5534,3715,2401
180,4482,4866,2341
181,7283,3388,6039
182,6242,7650,2415
183,4925,3402,2515
184,7247,3567,5952
185,6504,7576,2642
186,4961,3616,2414
187,8111,3389,5955
188,7593,8578,2664
189,6041,3649,2190
190,4402,3155,2407
191,7074,3379,5955
192,6038,7466,2544
193,4135,3513,2305
194,6824,3309,6280
195,6399,7790,2427
196,5256,4307,2715
197,5096,3681,3987
198,7684,5018,6345
199,19892,7849,20590
200,8773,23493,3395
201,52569,5683,57880
202,48466,66782,7216
203,50660,10727,3638
204,52270,7568,3179
205,51597,5292,2877
206,51498,4914,3742
207,52108,5888,2903
208,41752,4842,2522
209,39240,4581,2540
210,38566,4523,2642
211,39377,4800,2760
212,38922,5784,2673
213,37675,4509,2710
214,37649,4514,2616
215,26890,4601,2597
216,23949,4489,2551
217,32673,4603,11748
218,32851,14373,3285
219,34753,5380,2595
220,35423,6026,2429
221,35786,4462,2650
222,36331,4507,2519
223,36994,4500,2458
224,38254,4365,2884
225,25223,4931,3115
226,23594,4980,2984
227,25287,5047,2840
228,26471,6538,2767
229,26025,4737,3846
230,26104,5989,2753
231,26342,4828,2748
232,26816,4739,2612
233,27531,5018,2565
234,27730,4489,2553
235,29318,4727,2663
236,30025,5985,2679
237,30280,4710,2639
238,30210,4545,2433
239,30772,4564,2485
240,49427,4589,20464
241,51008,23440,3619
242,52926,5664,3410
243,55557,5627,2656
244,57519,6156,2593
245,58865,4633,2634
246,60109,4634,2491
247,61233,4475,2525
248,62348,4487,2514
249,63756,4706,2602
250,65765,4435,3261
251,56994,5462,2911
252,58110,6392,2641
253,58237,4538,2551
254,58311,4362,2542
255,61339,4636,5287
256,62291,7487,3121
257,62981,5271,2770
258,61726,5077,2856
259,62040,5174,2786
260,62565,6299,2701
261,62400,4684,2722
262,62676,4951,2769
263,62421,4833,2547
264,62636,4487,2562
265,62718,4557,2751
266,61921,4619,2569
267,63367,4505,2716
268,60493,6469,2431
269,60922,4462,2585
270,60920,4576,2510
271,61073,4474,2593
272,60884,4439,2548
273,61319,4647,2595
274,50407,4481,2547
275,48299,4521,2558
276,47576,5863,2550
277,45262,5462,2465
278,44545,4336,2428
279,44444,4292,2411
280,44379,4284,2455
281,44340,4314,2436
282,44505,4376,2581
283,45598,4474,2564
284,45917,6033,2517
285,56729,4476,13161
286,55786,15766,3080
287,56940,5138,2771
288,58250,4752,2516
289,59545,4445,2625
290,60720,4622,2493
291,62820,4436,2602
292,64509,6041,2556
293,66070,4583,2550
294,67222,4616,2637
295,68301,4575,2538
296,69583,4441,2515
297,71158,4504,2699
298,72348,4758,2661
299,73851,4786,9266
300,75012,13140,3067
301,75660,5272,2685
302,75644,4628,2699
303,70831,4615,2779
304,71701,4779,2808
305,71638,4741,2616
306,71924,4632,2803
307,72891,4730,2817
308,73285,6073,2758
309,73513,4792,2646
310,73397,4678,2637
311,73040,4626,2510
312,73058,4493,2674
313,72839,4582,2576
314,70701,4527,2498
315,71375,4448,2417
316,71666,5871,2724
317,71388,4638,2577
318,71209,4441,2436
319,70597,4358,2413
320,70031,4308,2384
321,69569,4339,2423
322,69484,4347,2488
323,70484,4481,2362
324,70937,5893,2323
325,70844,4289,2529
326,70622,4525,2342
327,70881,4249,2652
328,70971,4515,2577
329,66402,4510,2551
330,66351,4471,2476
331,79451,4411,14408
332,80612,18137,3071
333,82191,5051,3075
334,83682,5018,2702
335,84839,4615,2444
336,86146,4399,2571
337,87271,4857,2527
338,90719,4524,4829
339,92840,7225,3042
340,94416,5380,2544
341,96537,4551,3439
342,98013,5434,2620
343,97963,4534,2764
344,98942,4668,2537
345,99810,4458,2534
346,101269,4463,2954
347,102438,4878,2702
348,104207,5135,2693
349,105580,4682,2669
350,106518,4623,2718
351,99352,4671,2424
352,99673,4314,2713
353,100014,4663,2704
354,100445,4624,2576
355,96234,4518,2585
356,96515,4764,2494
357,96446,4400,2501
358,96744,4354,2488
359,95688,4390,2490
360,95109,4387,2347
361,94958,4206,2514
362,94905,4454,2540
363,94749,4551,2449
364,94706,4690,2419
365,94717,4317,2492
366,94555,4515,2678
367,94360,4674,2495
368,93704,4483,2520
369,93476,4470,2469
370,93264,4395,2674
371,90135,4616,2533
372,89786,4765,2499
373,89690,4469,2578
