count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,74613,0,74613,74613,0,0
52,96498,0,96498,96498,0,0
53,43224,0,43224,43224,0,0
54,40915,0,40915,40915,0,0
55,61302,0,61302,61302,0,0
56,57746,0,57746,57746,0,0
57,72508,0,72508,72508,0,0
58,87540,0,87540,87540,0,0
59,33459,0,33459,33459,0,0
60,86867,0,86867,86867,0,0
61,81631,0,81631,81631,0,0
62,53777,0,53777,53777,0,0
63,33446,0,33446,33446,0,0
64,44135,0,44135,44135,0,0
65,38549,0,38549,38549,0,0
66,69399,0,69399,69399,0,0
67,63557,0,63557,63557,0,0
68,68696,0,68696,68696,0,0
69,162770,0,162770,162770,0,0
70,109201,0,109201,109201,0,0
71,55222,0,55222,55222,0,0
72,94675,0,94675,94675,0,0
73,75513,0,75513,75513,0,0
74,152472,0,152472,152472,0,0
75,91156,0,91156,91156,0,0
76,69346,0,69346,69346,0,0
77,72947,0,72947,72947,0,0
78,76475,0,76475,76475,0,0
79,61132,0,61132,61132,0,0
80,34669,0,34669,34669,0,0
81,45863,0,45863,45863,0,0
82,55385,0,55385,55385,0,0
83,38929,0,38929,38929,0,0
84,38184,0,38184,38184,0,0
85,89652,0,89652,89652,0,0
86,35962,0,35962,35962,0,0
87,51384,0,51384,51384,0,0
88,36863,0,36863,36863,0,0
89,68325,0,68325,68325,0,0
90,66508,0,66508,66508,0,0
91,28595,0,28595,28595,0,0
92,46167,0,46167,46167,0,0
93,95094,0,95094,95094,0,0
94,88513,0,88513,88513,0,0
95,34629,0,34629,34629,0,0
96,45211,0,45211,45211,0,0
97,39864,0,39864,39864,0,0
98,48537,0,48537,48537,0,0
99,42079,0,42079,42079,0,0
100,42114,0,42114,42114,0,0
101,36391,0,36391,36391,0,0
102,41201,0,41201,41201,0,0
103,29544,0,29544,29544,0,0
104,48128,0,48128,48128,0,0
105,38219,0,38219,38219,0,0
106,34527,0,34527,34527,0,0
107,50909,0,50909,50909,0,0
108,42147,0,42147,42147,0,0
109,53568,0,53568,53568,0,0
110,49643,0,49643,49643,0,0
111,37355,0,37355,37355,0,0
112,50683,0,50683,50683,0,0
113,42910,0,42910,42910,0,0
114,47450,0,47450,47450,0,0
115,30288,0,30288,30288,0,0
116,57026,0,57026,57026,0,0
117,34282,0,34282,34282,0,0
118,58952,0,58952,58952,0,0
119,43692,0,43692,43692,0,0
120,40688,0,40688,40688,0,0
121,38482,0,38482,38482,0,0
122,54060,0,54060,54060,0,0
123,48296,0,48296,48296,0,0
124,40516,0,40516,40516,0,0
125,41727,0,41727,41727,0,0
126,36815,0,36815,36815,0,0
127,42932,0,42932,42932,0,0
128,34431,0,34431,34431,0,0
129,101967,0,101967,101967,0,0
130,99008,0,99008,99008,0,0
131,44669,0,44669,44669,0,0
132,55178,0,55178,55178,0,0
133,56476,0,56476,56476,0,0
134,46500,0,46500,46500,0,0
135,39147,0,39147,39147,0,0
136,56104,0,56104,56104,0,0
137,53705,0,53705,53705,0,0
138,33312,0,33312,33312,0,0
139,44610,0,44610,44610,0,0
140,39675,0,39675,39675,0,0
141,40443,0,40443,40443,0,0
142,40591,0,40591,40591,0,0
143,38478,0,38478,38478,0,0
144,46271,0,46271,46271,0,0
145,42581,0,42581,42581,0,0
146,43778,0,43778,43778,0,0
147,92687,0,92687,92687,0,0
148,48120,0,48120,48120,0,0
149,40918,0,40918,40918,0,0
150,222078,0,222078,222078,0,0
151,167803,0,167803,167803,0,0
152,123424,0,123424,123424,0,0
153,202133,0,202133,202133,0,0
154,148428,0,148428,148428,0,0
155,141269,0,141269,141269,0,0
156,96269,0,96269,96269,0,0
157,116480,0,116480,116480,0,0
158,112809,0,112809,112809,0,0
159,119910,0,119910,119910,0,0
160,75028,0,75028,75028,0,0
161,92891,0,92891,92891,0,0
162,141853,0,141853,141853,0,0
163,88229,0,88229,88229,0,0
164,147047,0,147047,147047,0,0
165,93022,0,93022,93022,0,0
166,92130,0,92130,92130,0,0
167,97611,0,97611,97611,0,0
168,96277,0,96277,96277,0,0
169,89972,0,89972,89972,0,0
170,212459,0,212459,212459,0,0
171,158857,0,158857,158857,0,0
172,130957,0,130957,130957,0,0
173,79489,0,79489,79489,0,0
174,90552,0,90552,90552,0,0
175,37006,0,37006,37006,0,0
176,47076,0,47076,47076,0,0
177,89917,0,89917,89917,0,0
178,33233,0,33233,33233,0,0
179,72150,0,72150,72150,0,0
180,48761,0,48761,48761,0,0
181,61087,0,61087,61087,0,0
182,59049,0,59049,59049,0,0
183,39913,0,39913,39913,0,0
184,54246,0,54246,54246,0,0
185,41225,0,41225,41225,0,0
186,49985,0,49985,49985,0,0
187,52610,0,52610,52610,0,0
188,45153,0,45153,45153,0,0
189,33461,0,33461,33461,0,0
190,50189,0,50189,50189,0,0
191,43783,0,43783,43783,0,0
192,39155,0,39155,39155,0,0
193,103840,0,103840,103840,0,0
194,50178,0,50178,50178,0,0
195,59008,0,59008,59008,0,0
196,42121,0,42121,42121,0,0
197,102937,0,102937,102937,0,0
198,49114,0,49114,49114,0,0
199,56498,0,56498,56498,0,0
200,58221,0,58221,58221,0,0
201,76655,0,76655,76655,0,0
202,48880,0,48880,48880,0,0
203,50940,0,50940,50940,0,0
204,63906,0,63906,63906,0,0
205,118126,0,118126,118126,0,0
206,64482,0,64482,64482,0,0
207,63607,0,63607,63607,0,0
208,58383,0,58383,58383,0,0
209,90511,0,90511,90511,0,0
210,63472,0,63472,63472,0,0
211,53859,0,53859,53859,0,0
212,51462,0,51462,51462,0,0
213,49066,0,49066,49066,0,0
214,26915,0,26915,26915,0,0
215,61578,0,61578,61578,0,0
216,72010,0,72010,72010,0,0
217,28452,0,28452,28452,0,0
218,46161,0,46161,46161,0,0
219,32171,0,32171,32171,0,0
220,49006,0,49006,49006,0,0
221,50430,0,50430,50430,0,0
222,34749,0,34749,34749,0,0
223,43242,0,43242,43242,0,0
224,36943,0,36943,36943,0,0
225,34802,0,34802,34802,0,0
226,43737,0,43737,43737,0,0
227,29109,0,29109,29109,0,0
228,43371,0,43371,43371,0,0
229,39912,0,39912,39912,0,0
230,59026,0,59026,59026,0,0
231,45323,0,45323,45323,0,0
