count_idx,delay_ns
51,21532
52,17510
53,22673
54,16652
55,82001
56,41152
57,28852
58,19505
59,169427
60,129950
61,115620
62,81946
63,64602
64,52048
65,38761
66,31081
67,45470
68,50136
69,161332
70,135954
71,121411
72,108985
73,98588
74,92810
75,78979
76,68860
77,106087
78,166146
79,86530
80,41438
81,123105
82,58306
83,28190
84,18662
85,13898
86,42793
87,53558
88,21379
89,13405
90,13638
91,35567
92,20327
93,15333
94,18024
95,24554
96,17450
97,9827
98,63486
99,50487
100,27401
101,19610
102,18842
103,21016
104,47140
105,76670
106,41584
107,34335
108,30269
109,26738
110,22890
111,18252
112,23990
113,23474
114,267659
115,101845
116,55069
117,42503
118,30897
119,28221
120,26139
121,18465
122,63854
123,22143
124,20383
125,21084
126,20869
127,25144
128,76574
129,35893
130,24720
131,25652
132,14727
133,88273
134,44375
135,30527
136,23557
137,90958
138,64719
139,26129
140,14793
141,60516
142,40123
143,30724
144,24997
145,24876
146,28025
147,281556
148,49849
149,44227
150,33493
151,22788
152,67689
153,177062
154,115874
155,100464
156,90602
157,82361
158,72090
159,62533
160,53994
161,61816
162,108242
163,76018
164,31675
165,22337
166,78746
167,42218
168,43174
169,29780
170,27082
171,89964
172,57657
173,42361
174,52829
175,74367
176,39411
177,32067
178,26403
179,19050
180,171156
181,131278
182,99787
183,88237
184,84518
185,79643
186,74823
187,70402
188,129238
189,139107
190,142640
191,77226
192,62255
193,52677
194,43815
195,35958
196,33617
197,31424
198,18580
199,25825
200,96544
201,60999
202,33011
203,25201
204,18892
205,12499
206,22121
207,15746
208,81202
209,50866
210,17961
211,58225
212,94794
213,58245
214,43317
215,36239
216,31120
217,29481
218,25024
219,27913
220,21393
221,23418
222,197516
223,92221
224,41796
225,33421
226,25870
227,16275
228,13228
229,19729
230,16530
231,11746
232,60371
233,39088
234,44603
235,28723
236,64587
237,25945
238,95511
239,77929
240,52347
241,45305
242,37362
243,30385
244,30096
245,23078
246,16100
247,25821
248,365714
249,103436
250,87040
251,80486
252,75994
253,68878
254,63276
255,58110
256,105639
257,142449
258,157134
259,115315
260,107135
261,101279
262,96020
263,90605
264,85705
265,86721
266,93469
267,203293
268,46153
269,35424
270,29639
271,24388
272,24515
273,19518
274,28478
275,25064
276,323829
277,48340
278,32570
279,28594
280,23118
281,21536
282,25466
283,149814
284,111747
285,81366
286,73555
287,68864
288,63431
289,63758
290,58767
291,105219
292,412480
293,182774
294,141654
295,134221
296,128774
297,122923
298,122808
299,116235
300,151489
301,345921
302,77906
303,34864
304,27832
305,30385
306,22476
307,16934
308,16342
309,18577
310,17883
311,67830
312,63346
313,23439
314,25385
315,16534
316,83717
317,58711
318,134863
319,110124
320,96372
321,85865
322,75358
323,92425
324,83178
325,84951
326,338416
327,80971
328,41174
329,34803
330,25701
331,19590
332,39878
333,49129
334,88577
335,32954
336,22929
337,15982
338,16067
339,11038
340,42378
341,22626
342,16738
343,364822
344,108845
345,93538
346,85576
347,76709
348,67561
349,63068
350,59024
351,94084
352,366552
353,116911
354,106660
355,102241
356,98468
357,93796
358,88893
359,83567
360,90238
361,356316
362,143317
363,131463
364,126038
365,121089
366,113735
367,105670
368,98703
369,104045
370,327353
371,89136
372,74945
373,67533
374,67232
375,60190
376,56290
377,51218
378,100489
379,328324
380,114935
381,80057
382,72643
383,67646
384,62262
385,57031
386,52433
387,104293
388,258523
389,76376
390,34103
391,21569
392,15808
393,24814
394,20327
395,14746
396,48516
397,198484
398,154863
399,147966
400,154443
401,151162
402,147952
403,143262
404,138008
405,144340
406,318956
407,55786
408,52635
409,43072
410,26382
411,22376
412,19201
413,20509
414,19156
415,24292
416,19457
417,13813
418,11731
419,17128
420,15308
421,12690
422,16192
423,73437
424,52603
425,36021
426,27233
427,38070
428,33330
429,30653
430,26226
431,20051
432,15898
433,14605
434,16655
435,197529
436,156882
437,149204
438,142131
439,136987
440,136959
441,131444
442,126270
443,157823
444,309117
445,44658
446,17530
447,10609
448,31532
449,14331
450,132020
451,125256
452,95485
453,88600
454,92743
455,91608
456,90218
457,89233
458,120937
459,298255
460,40708
461,17580
462,10420
463,31990
464,19252
465,61814
466,42089
467,29892
468,22541
469,21149
470,155271
471,132464
472,123643
473,116821
474,112383
475,155034
476,155430
477,150980
478,180647
479,243497
480,161582
481,101084
482,94054
483,89759
484,86547
485,82120
486,78292
487,74809
488,84833
489,412889
490,115577
491,104070
492,98512
