count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,59896,17396,62544
2,4659,3097,5757
3,2704,2980,3290
4,2722,2744,3231
5,2659,3053,3132
6,2654,2745,3219
7,2850,2692,3322
8,1872,2814,2333
9,2220,3016,2637
10,5660,3211,6072
11,3228,3393,3709
12,2668,2638,3129
13,2554,2616,3044
14,2578,2665,3029
15,2628,1854,3085
16,3007,1815,3450
17,2682,2177,3126
18,2347,2596,2809
19,2302,2102,2779
20,2080,1807,2526
21,2692,2025,3142
22,1823,1886,2271
23,1998,2209,2462
24,2314,2380,2775
25,2292,8437,2794
26,109384,19800,114471
27,18843,4150,20701
28,4119,5825,5050
29,3575,3057,4479
30,3507,3417,4435
31,8058,23524,8877
32,15434,4210,17469
33,3034,2885,3848
34,3112,2934,3800
35,2848,3576,3673
36,3150,3467,4049
37,3367,3626,4255
38,3154,3422,4031
39,7438,3892,8177
40,5895,183544,7307
41,23931,4369,26376
42,4251,3400,5199
43,3547,5800,4516
44,3396,3066,4161
45,3680,3591,4569
46,3892,21664,4725
47,4233,6753,5751
48,3574,3010,4536
49,3287,3103,4059
50,6292,4909,7254
51,21146,17344,23376
52,3239,2371,4500
53,3633,2414,4271
54,25116,13204,26829
55,2635,2010,3892
56,1828,1743,2325
57,2076,2054,2549
58,2080,1965,2535
59,1797,1792,2246
60,1742,1817,2189
61,1778,1780,2352
62,2079,1991,2561
63,229457,8245,235188
64,4102,20427,4942
65,18928,16290,21020
66,4761,5842,5793
67,2150,1794,2778
68,2043,3530,2475
69,2293,3489,2733
70,2700,16195,3140
71,17989,89756,20030
72,33426,14267,35586
73,3353,2666,4536
74,2223,1966,2741
75,1701,1805,2172
76,1768,2513,2229
77,2190,2154,2710
78,2088,1860,2562
79,2149,2097,2614
80,7454,2431,7889
81,14013,255536,15688
82,18330,22241,20216
83,4294,5186,5679
84,2977,2710,3717
85,2884,5810,3619
86,3868,3843,4657
87,5463,7226,6187
88,2520,2613,2959
89,2179,2338,2610
90,2367,2242,2826
91,214759,19712,220198
92,3331,1929,4121
93,1967,1814,2543
94,2330,1909,2819
95,2316,1897,2796
96,2019,1835,2530
97,1662,2185,2181
98,2704,2235,3204
99,2374,2153,2838
100,187268,18642,192837
101,3437,1904,4317
102,1853,1752,2390
103,1794,1708,2414
104,2312,2154,2776
105,2350,1779,2838
106,1809,1714,2258
107,2080,1835,2544
108,1846,2010,2327
109,161095,19541,166506
110,3480,1920,4299
111,2132,1838,2748
112,1966,1790,2470
113,2429,2196,2919
114,2012,1821,2495
115,1712,1748,2234
116,1840,1856,2339
117,2280,2046,2840
118,162913,16937,168497
119,3358,1905,4087
120,1853,1780,2337
121,1753,1807,2269
122,2616,1998,3070
123,1849,1875,2305
124,1851,1646,2316
125,2016,2143,2572
126,2070,2151,2554
127,216455,18595,221970
128,3294,1878,4103
129,1876,1721,2454
130,1801,1697,2319
131,2266,2552,2754
132,2387,1739,2853
133,1681,1714,2265
134,1794,1803,2254
135,3090,2184,3541
136,160719,19261,166136
137,3432,1865,4252
138,1793,1689,2334
139,1915,1752,2393
140,2412,2280,2879
141,2070,1787,2644
142,1721,1736,2192
143,1819,1754,2324
144,2022,1988,2470
145,166500,27345,172086
146,3353,1898,4132
147,1938,1790,2453
148,1940,1686,2445
149,2671,2210,3274
150,2192,1760,2679
151,1706,1705,2185
152,1796,1763,2232
153,2364,2124,2788
154,192252,18249,197888
155,3322,1915,4136
156,1876,1752,2429
157,1713,1769,2221
158,2158,2035,2619
159,1921,1722,2398
160,2215,1723,2679
161,1785,1756,2245
162,1816,1940,2295
163,190420,28542,195913
164,3168,2618,4052
165,2770,2443,3301
166,4478,2537,5494
167,2630,2285,3138
168,3000,1986,3472
169,4712,2294,5161
170,2338,2187,2818
171,2553,2032,3017
172,3484,250561,3936
173,19061,3147,21082
174,2713,2705,3368
175,4318,2079,4855
176,1913,1943,2397
177,2191,2038,2639
178,2162,2033,2642
179,1957,2458,2419
180,2303,2248,2764
181,2239,2113,2686
182,190990,18573,196511
183,3555,2285,4393
184,3512,1990,4090
185,1959,1743,2438
186,1622,2280,2088
187,2068,1793,2535
188,2308,2859,2760
189,3160,3204,3933
190,3165,3609,3873
191,16680,201394,17573
192,46654,5946,49486
193,3319,4091,4300
194,6356,2998,7157
195,2945,3735,3758
196,2477,2244,3012
197,2296,2111,2892
198,2168,2087,2657
199,2169,1992,2638
200,2174,195276,2637
201,22570,3466,24541
202,1899,2004,2535
203,1691,1773,2274
204,1715,2203,2187
205,2048,1801,2515
206,1985,1997,2440
207,2061,2094,2529
208,1720,1900,2222
209,1974,207905,2427
210,18403,3337,20429
211,1920,1940,2552
212,1699,1770,2158
213,1685,2246,2150
214,2014,1824,2505
215,1728,1749,2186
216,1685,1838,2130
217,1718,2209,2168
218,1893,337109,2381
219,17457,3435,19439
220,1904,1918,2523
221,1685,1792,2250
222,1719,2834,2199
223,1998,1998,2493
224,1752,7771,2202
225,1711,1782,2190
226,1723,1830,2217
227,2159,188731,2643
228,29269,3319,31190
229,1879,1936,2518
230,1682,1806,2217
231,1665,2338,2276
232,2371,2150,2840
233,1694,1753,2142
234,1762,1755,2222
235,1753,2373,2251
236,2081,216515,2568
237,22466,3680,24720
238,2593,1895,3260
239,1859,2064,2453
240,1676,2167,2154
241,2121,2114,2613
242,1956,1797,2460
243,1590,2023,2042
244,1963,2147,2414
245,2144,214579,2600
246,18151,3228,20140
247,1986,1963,2624
248,1713,1799,2230
249,1716,2236,2234
250,1999,1793,2451
251,1684,1738,2144
252,1680,1831,2158
253,1928,2297,2419
254,2226,206264,2717
255,18550,17707,20472
256,3907,2710,4843
257,1734,1868,2249
258,1720,2037,2212
259,1928,2369,2426
260,2143,1823,2594
261,2431,2017,2883
262,2461,2222,2908
263,4565,2476,4987
264,2471,189272,2926
265,17120,3614,19058
266,1844,2055,2546
267,1778,1790,2279
268,2293,2255,2758
269,2732,1976,3212
270,2146,2260,2646
271,1670,1842,2135
272,1643,1782,2094
273,2195,73569,2661
274,13353,14245,15083
275,2712,2224,3931
276,1842,2031,2643
277,2051,2001,2689
278,2045,1789,2483
279,1761,2139,2184
280,2092,2152,2564
281,2426,2169,2880
282,2321,2050,2772
283,212969,23386,219943
284,20204,4497,22302
285,2956,14576,3481
286,3360,5578,4659
287,3519,3074,4265
288,4656,14315,5683
289,13848,4726,15547
290,2750,2375,3710
291,2404,14696,3094
292,2826,2585,4140
293,2592,2499,3424
294,1970,2240,2578
295,1998,2228,2425
296,2174,4483,2595
297,2498,13983,2918
298,210699,20622,216210
299,4368,2809,5483
300,2999,2810,3830
301,2937,2703,3744
302,3579,2902,4379
303,3328,2740,4044
304,3141,3209,3916
305,2759,2761,3481
306,3482,3395,4229
307,124256,17000,129080
308,2960,1977,3689
309,1853,7489,2333
310,1813,1975,2271
311,2564,2118,3060
312,1765,2024,2214
313,1793,1670,2244
314,1828,2111,2286
315,2414,2090,2867
316,116404,16339,120639
317,14331,42487,16027
318,5311,19336,6634
319,25499,3735,27376
320,4876,3504,5899
321,3367,3805,4325
322,4401,6053,5315
323,19099,13357,21748
324,2678,2607,3795
325,2049,2380,2613
326,1896,1868,2472
327,2338,2105,2804
328,2129,2372,2588
329,1983,12947,2505
330,2370,2737,2818
331,2333,14088,2780
332,123293,15965,127690
333,2804,2522,3845
334,2212,2385,2738
335,1983,2206,2428
336,2343,14452,2790
337,2995,2862,4125
338,2363,15022,3008
339,3278,3066,4571
340,2511,2627,3360
341,191370,19181,196739
342,3082,2524,3932
343,2685,2218,3208
344,4596,3163,5050
345,4017,3153,4855
346,3211,3363,3868
347,23229,4538,25241
348,3747,8106,4756
349,3905,19166,4917
350,4751,4233,6600
351,4034,39328,5539
352,16463,3025,18154
353,14571,2875,16240
354,2055,1953,2692
355,1845,2174,2413
356,2274,1928,2755
357,1783,1960,2252
358,2110,2206,2558
359,2070,1803,2522
360,1644,136293,2103
361,16327,22568,18163
362,3162,2060,4006
363,1840,1796,2382
364,1729,1703,2172
365,2171,1941,2646
366,1824,8742,2248
367,3244,2947,3883
368,2845,2959,3539
369,3115,3290,3923
370,78489,50361,80242
371,14133,14660,15744
372,2609,2064,3742
373,1855,2122,2412
374,1957,2038,2396
375,1997,1818,2457
376,1793,2399,2222
377,1993,2433,2440
378,1991,2064,2417
379,2416,2052,2840
380,158419,18863,163988
381,15231,3041,17000
382,2639,4872,3285
383,2200,1992,2710
384,1749,1690,2254
385,1982,1993,2455
386,2085,1962,2541
387,2143,2478,2647
388,2432,2253,2925
