sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780657635826625940,1780657635826673624,1780657635826770780,1780657635826781073,47684,10293,-18695,28988,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
2,1780657635826883020,1780657635826888181,1780657635826909531,1780657635826914048,5161,4517,-322,4839,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
3,1780657635827001025,1780657635827004711,1780657635827024811,1780657635827028863,3686,4052,183,3869,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
4,1780657635827119206,1780657635827122968,1780657635827197318,1780657635827225932,3762,28614,12426,16188,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
5,1780657635827338264,1780657635827342016,1780657635827370451,1780657635827377056,3752,6605,1426,5178,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
6,1780657635827468874,1780657635827472824,1780657635827518611,1780657635827535087,3950,16476,6263,10213,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
7,1780657635827638916,1780657635827642990,1780657635827667177,1780657635827672692,4074,5515,720,4794,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
8,1780657635827768322,1780657635827772385,1780657635827793192,1780657635827797572,4063,4380,158,4221,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
9,1780657635827890656,1780657635827894609,1780657635827917684,1780657635827921956,3953,4272,159,4112,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
10,1780657635828018706,1780657635828022800,1780657635828042622,1780657635828046799,4094,4177,41,4135,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
11,1780657635828137247,1780657635828141177,1780657635828162301,1780657635828166521,3930,4220,145,4075,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
12,1780657635828263763,1780657635828267786,1780657635828290336,1780657635828294529,4023,4193,85,4108,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
13,1780657635828389812,1780657635828393756,1780657635828415892,1780657635828420035,3944,4143,99,4043,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
14,1780657635828514084,1780657635828518457,1780657635828540497,1780657635828544785,4373,4288,-42,4330,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
15,1780657635828642479,1780657635828646062,1780657635828667784,1780657635828671650,3583,3866,141,3724,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,6,14,12,6,112.914443,18,1134,1937,936,1656,3592,1134,0,ok
