count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,913,0,913,913,-1,971
52,906,0,906,906,-1,971
53,974,0,974,974,-1,971
54,923,0,923,923,-1,971
55,902,0,902,902,-1,971
56,903,0,903,903,-1,971
57,908,0,908,908,-1,971
58,907,0,907,907,-1,971
59,903,0,903,903,-1,971
60,904,0,904,904,-1,971
61,968,0,968,968,-1,971
62,945,0,945,945,-1,971
63,906,0,906,906,-1,971
64,904,0,904,904,-1,971
65,903,0,903,903,-1,971
66,950,0,950,950,-1,971
67,902,0,902,902,-1,971
68,903,0,903,903,-1,971
69,918,0,918,918,-1,971
70,905,0,905,905,-1,971
71,902,0,902,902,-1,971
72,913,0,913,913,-1,971
73,905,0,905,905,-1,971
74,932,0,932,932,-1,971
75,904,0,904,904,-1,971
76,993,0,993,993,-1,971
77,966,0,966,966,-1,971
78,906,0,906,906,-1,971
79,906,0,906,906,-1,971
80,899,0,899,899,-1,971
81,928,0,928,928,-1,971
82,907,0,907,907,-1,971
83,909,0,909,909,-1,971
84,910,0,910,910,-1,971
85,902,0,902,902,-1,971
86,912,0,912,912,-1,971
87,902,0,902,902,-1,971
88,927,0,927,927,-1,971
89,908,0,908,908,-1,971
90,904,0,904,904,-1,971
91,993,0,993,993,-1,971
92,899,0,899,899,-1,971
93,934,0,934,934,-1,971
94,908,0,908,908,-1,971
95,930,0,930,930,-1,971
96,920,0,920,920,-1,971
97,917,0,917,917,-1,971
98,943,0,943,943,-1,971
99,917,0,917,917,-1,971
100,905,0,905,905,-1,971
101,911,0,911,911,-1,971
102,899,0,899,899,-1,971
103,904,0,904,904,-1,971
104,909,0,909,909,-1,971
105,921,0,921,921,-1,971
106,1003,0,1003,1003,-1,971
107,922,0,922,922,-1,971
108,903,0,903,903,-1,971
109,898,0,898,898,-1,971
110,899,0,899,899,-1,971
111,907,0,907,907,-1,971
112,947,0,947,947,-1,971
113,906,0,906,906,-1,971
114,903,0,903,903,-1,971
115,905,0,905,905,-1,971
116,925,0,925,925,-1,971
117,925,0,925,925,-1,971
118,917,0,917,917,-1,971
119,949,0,949,949,-1,971
120,911,0,911,911,-1,971
121,974,0,974,974,-1,971
122,929,0,929,929,-1,971
123,906,0,906,906,-1,971
124,906,0,906,906,-1,971
125,904,0,904,904,-1,971
126,921,0,921,921,-1,971
127,920,0,920,920,-1,971
128,935,0,935,935,-1,971
129,909,0,909,909,-1,971
130,921,0,921,921,-1,971
131,905,0,905,905,-1,971
132,907,0,907,907,-1,971
133,905,0,905,905,-1,971
134,907,0,907,907,-1,971
135,903,0,903,903,-1,971
136,981,0,981,981,-1,971
137,908,0,908,908,-1,971
138,902,0,902,902,-1,971
139,904,0,904,904,-1,971
140,903,0,903,903,-1,971
141,911,0,911,911,-1,971
142,912,0,912,912,-1,971
143,910,0,910,910,-1,971
144,912,0,912,912,-1,971
145,902,0,902,902,-1,971
146,934,0,934,934,-1,971
147,912,0,912,912,-1,971
148,910,0,910,910,-1,971
149,909,0,909,909,-1,971
150,923,0,923,923,-1,971
151,981,0,981,981,-1,971
152,926,0,926,926,-1,971
153,933,0,933,933,-1,971
154,926,0,926,926,-1,971
155,908,0,908,908,-1,971
156,912,0,912,912,-1,971
157,902,0,902,902,-1,971
158,902,0,902,902,-1,971
159,915,0,915,915,-1,971
160,931,0,931,931,-1,971
161,906,0,906,906,-1,971
162,914,0,914,914,-1,971
163,900,0,900,900,-1,971
164,897,0,897,897,-1,971
165,926,0,926,926,-1,971
166,1030,0,1030,1030,-1,971
167,909,0,909,909,-1,971
168,906,0,906,906,-1,971
169,901,0,901,901,-1,971
170,936,0,936,936,-1,971
171,915,0,915,915,-1,971
172,910,0,910,910,-1,971
173,913,0,913,913,-1,971
174,907,0,907,907,-1,971
175,904,0,904,904,-1,971
176,903,0,903,903,-1,971
177,898,0,898,898,-1,971
178,910,0,910,910,-1,971
179,927,0,927,927,-1,971
180,909,0,909,909,-1,971
181,971,0,971,971,-1,971
182,903,0,903,903,-1,971
183,929,0,929,929,-1,971
184,762,0,762,762,-1,971
185,926,0,926,926,-1,971
186,652,0,652,652,-1,971
187,650,0,650,650,-1,971
188,652,0,652,652,-1,971
189,901,0,901,901,-1,971
190,912,0,912,912,-1,971
191,895,0,895,895,-1,971
192,922,0,922,922,-1,971
193,908,0,908,908,-1,971
194,903,0,903,903,-1,971
