count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns,loop_gap_ns,recv_block_ns
51,210696,0,210696,0,0,238476,169286
52,287082,0,287082,0,0,180976,195022
53,187982,0,187982,0,0,202694,2950
54,360253,0,360253,0,0,6454,314158
55,254079,0,254079,0,0,324934,3637
56,285078,0,285078,0,0,7503,143550
57,169178,0,169178,0,0,152047,3200
58,264179,0,264179,0,0,7958,277440
59,292389,0,292389,0,0,287507,230003
60,275600,0,275600,0,0,268419,123469
61,268966,0,268966,0,0,133815,132625
62,281127,0,281127,0,0,141580,126326
63,161499,0,161499,0,0,136941,4002
64,314444,0,314444,0,0,8003,298935
65,172314,0,172314,0,0,311711,4566
66,318693,0,318693,0,0,7988,260678
67,233258,0,233258,0,0,270777,37666
68,340921,0,340921,0,0,49587,251044
69,192382,0,192382,0,0,262604,4243
70,315458,0,315458,0,0,7505,279644
71,199922,0,199922,0,0,290218,3521
72,328374,0,328374,0,0,6566,280810
73,182936,0,182936,0,0,318732,4796
74,309964,0,309964,0,0,8190,240446
75,188514,0,188514,0,0,254261,16315
76,291514,0,291514,0,0,23292,331458
77,219580,0,219580,0,0,343676,70596
78,223406,0,223406,0,0,85240,133502
79,250390,0,250390,0,0,143133,206044
80,128187,0,128187,0,0,218794,5533
81,242669,0,242669,0,0,11086,220658
82,158556,0,158556,0,0,231088,3584
83,196705,0,196705,0,0,7583,151919
84,107867,0,107867,0,0,161760,3489
85,293860,0,293860,0,0,6928,278946
86,260871,0,260871,0,0,289562,86003
87,375728,0,375728,0,0,91516,340453
88,259722,0,259722,0,0,351174,4567
89,318302,0,318302,0,0,9532,278959
90,143268,0,143268,0,0,290016,3876
91,341320,0,341320,0,0,7426,328121
92,240384,0,240384,0,0,338638,4707
93,227903,0,227903,0,0,8418,195589
94,293520,0,293520,0,0,224667,239565
95,246705,0,246705,0,0,250030,91179
96,163909,0,163909,0,0,101598,42621
97,160688,0,160688,0,0,51192,122114
98,236141,0,236141,0,0,130250,171535
99,201447,0,201447,0,0,179162,90493
100,174162,0,174162,0,0,101283,140607
101,284282,0,284282,0,0,150670,225749
102,171125,0,171125,0,0,237552,3132
103,133222,0,133222,0,0,6121,144610
104,245873,0,245873,0,0,154172,217943
105,267567,0,267567,0,0,227454,179884
106,165593,0,165593,0,0,189718,3893
107,161172,0,161172,0,0,7415,123145
108,182943,0,182943,0,0,131545,168407
109,230152,0,230152,0,0,178302,200828
110,290954,0,290954,0,0,210594,234020
111,161854,0,161854,0,0,244184,3553
112,204690,0,204690,0,0,7214,268667
113,423949,0,423949,0,0,280727,456202
114,278865,0,278865,0,0,468939,51221
