count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,688348,0,688348,0,0
52,682999,0,682999,0,0
53,676822,0,676822,0,0
54,670927,0,670927,0,0
55,665260,0,665260,0,0
56,659470,0,659470,0,0
57,654144,0,654144,0,0
58,865624,0,865624,0,0
59,864058,0,864058,0,0
60,858854,0,858854,0,0
61,853195,0,853195,0,0
62,846465,0,846465,0,0
63,841000,0,841000,0,0
64,835910,0,835910,0,0
65,828087,0,828087,0,0
66,820324,0,820324,0,0
67,894834,0,894834,0,0
68,894762,0,894762,0,0
69,890035,0,890035,0,0
70,874966,0,874966,0,0
71,867188,0,867188,0,0
72,861462,0,861462,0,0
73,855409,0,855409,0,0
74,847573,0,847573,0,0
75,841054,0,841054,0,0
76,833962,0,833962,0,0
77,827463,0,827463,0,0
78,824304,0,824304,0,0
79,905772,0,905772,0,0
80,905063,0,905063,0,0
81,898087,0,898087,0,0
82,890403,0,890403,0,0
83,876435,0,876435,0,0
84,867717,0,867717,0,0
85,860891,0,860891,0,0
86,854501,0,854501,0,0
87,848869,0,848869,0,0
88,1237197,0,1237197,0,0
89,1234331,0,1234331,0,0
90,1225750,0,1225750,0,0
91,1216816,0,1216816,0,0
92,1208164,0,1208164,0,0
93,1200591,0,1200591,0,0
94,1190331,0,1190331,0,0
95,1180788,0,1180788,0,0
96,1172596,0,1172596,0,0
97,1163434,0,1163434,0,0
98,1153592,0,1153592,0,0
99,1146280,0,1146280,0,0
100,1138216,0,1138216,0,0
101,1128176,0,1128176,0,0
102,1119130,0,1119130,0,0
103,1111277,0,1111277,0,0
104,1104811,0,1104811,0,0
105,1088861,0,1088861,0,0
106,1080360,0,1080360,0,0
107,1072455,0,1072455,0,0
108,1067074,0,1067074,0,0
109,1172881,0,1172881,0,0
110,1168434,0,1168434,0,0
111,1161841,0,1161841,0,0
112,1156828,0,1156828,0,0
113,1149996,0,1149996,0,0
114,1142868,0,1142868,0,0
115,1135180,0,1135180,0,0
116,1128407,0,1128407,0,0
117,1122014,0,1122014,0,0
118,1464540,0,1464540,0,0
119,1458341,0,1458341,0,0
120,1438454,0,1438454,0,0
121,1432433,0,1432433,0,0
122,1426015,0,1426015,0,0
123,1419182,0,1419182,0,0
124,1412507,0,1412507,0,0
125,1405968,0,1405968,0,0
126,1398511,0,1398511,0,0
127,1392115,0,1392115,0,0
128,1385705,0,1385705,0,0
129,1378286,0,1378286,0,0
130,1371596,0,1371596,0,0
131,1364793,0,1364793,0,0
132,1358139,0,1358139,0,0
133,1346974,0,1346974,0,0
134,1339167,0,1339167,0,0
135,1328325,0,1328325,0,0
136,1322247,0,1322247,0,0
137,1313482,0,1313482,0,0
138,1307195,0,1307195,0,0
139,1300472,0,1300472,0,0
140,1293238,0,1293238,0,0
141,1285736,0,1285736,0,0
142,1279129,0,1279129,0,0
143,2361732,0,2361732,0,0
144,2363729,0,2363729,0,0
145,2333592,0,2333592,0,0
146,2320531,0,2320531,0,0
147,2305881,0,2305881,0,0
148,2296801,0,2296801,0,0
149,2289006,0,2289006,0,0
150,2277752,0,2277752,0,0
151,2267606,0,2267606,0,0
152,2261259,0,2261259,0,0
153,2254921,0,2254921,0,0
154,2249995,0,2249995,0,0
155,2243221,0,2243221,0,0
156,2235533,0,2235533,0,0
157,2227906,0,2227906,0,0
158,2218782,0,2218782,0,0
159,2211507,0,2211507,0,0
160,2196092,0,2196092,0,0
161,2189749,0,2189749,0,0
162,2177254,0,2177254,0,0
163,2171049,0,2171049,0,0
164,2165406,0,2165406,0,0
165,2158796,0,2158796,0,0
166,2152095,0,2152095,0,0
167,2145392,0,2145392,0,0
168,2139350,0,2139350,0,0
169,2131657,0,2131657,0,0
170,2123497,0,2123497,0,0
171,2115754,0,2115754,0,0
172,2108050,0,2108050,0,0
173,2100416,0,2100416,0,0
174,2091505,0,2091505,0,0
175,2084184,0,2084184,0,0
176,2077782,0,2077782,0,0
177,2071206,0,2071206,0,0
178,2064665,0,2064665,0,0
179,2028416,0,2028416,0,0
180,2021450,0,2021450,0,0
181,2014499,0,2014499,0,0
182,1857951,0,1857951,0,0
183,1840115,0,1840115,0,0
184,1833354,0,1833354,0,0
185,1826921,0,1826921,0,0
186,1821011,0,1821011,0,0
187,1814428,0,1814428,0,0
188,1807891,0,1807891,0,0
189,1799663,0,1799663,0,0
190,1785106,0,1785106,0,0
191,1778008,0,1778008,0,0
192,1795083,0,1795083,0,0
193,1652012,0,1652012,0,0
194,1643995,0,1643995,0,0
195,1636753,0,1636753,0,0
196,1630471,0,1630471,0,0
197,1624876,0,1624876,0,0
198,1618969,0,1618969,0,0
199,1612797,0,1612797,0,0
200,1607147,0,1607147,0,0
201,1600895,0,1600895,0,0
202,1593592,0,1593592,0,0
203,1587426,0,1587426,0,0
204,1581290,0,1581290,0,0
205,1573920,0,1573920,0,0
206,1567290,0,1567290,0,0
207,1539207,0,1539207,0,0
208,1531527,0,1531527,0,0
209,1524235,0,1524235,0,0
210,1517752,0,1517752,0,0
211,1511707,0,1511707,0,0
212,1293248,0,1293248,0,0
213,1260086,0,1260086,0,0
214,1253653,0,1253653,0,0
215,1247118,0,1247118,0,0
216,1240107,0,1240107,0,0
217,1231870,0,1231870,0,0
218,1224158,0,1224158,0,0
219,1209586,0,1209586,0,0
220,1203008,0,1203008,0,0
221,1270913,0,1270913,0,0
222,1656950,0,1656950,0,0
223,549172,0,549172,0,0
224,544923,0,544923,0,0
225,595184,0,595184,0,0
226,594284,0,594284,0,0
227,588147,0,588147,0,0
228,582651,0,582651,0,0
229,576929,0,576929,0,0
230,570298,0,570298,0,0
231,664587,0,664587,0,0
232,662941,0,662941,0,0
233,688663,0,688663,0,0
234,682316,0,682316,0,0
235,1231303,0,1231303,0,0
236,1227653,0,1227653,0,0
237,1221310,0,1221310,0,0
238,1214154,0,1214154,0,0
239,1206622,0,1206622,0,0
240,1201041,0,1201041,0,0
241,1193621,0,1193621,0,0
242,1256466,0,1256466,0,0
243,1256216,0,1256216,0,0
244,1295044,0,1295044,0,0
245,1291317,0,1291317,0,0
246,1353518,0,1353518,0,0
247,1319184,0,1319184,0,0
248,1307019,0,1307019,0,0
249,1371771,0,1371771,0,0
250,1368143,0,1368143,0,0
251,1362110,0,1362110,0,0
252,1428916,0,1428916,0,0
253,1430009,0,1430009,0,0
254,1462240,0,1462240,0,0
255,1460606,0,1460606,0,0
256,1511707,0,1511707,0,0
257,1506781,0,1506781,0,0
258,1545192,0,1545192,0,0
259,1541793,0,1541793,0,0
260,1566634,0,1566634,0,0
261,1564567,0,1564567,0,0
262,1620723,0,1620723,0,0
263,1616721,0,1616721,0,0
264,1618732,0,1618732,0,0
265,2061355,0,2061355,0,0
266,2059957,0,2059957,0,0
267,2054472,0,2054472,0,0
268,2048740,0,2048740,0,0
269,2052561,0,2052561,0,0
270,2045118,0,2045118,0,0
271,2151053,0,2151053,0,0
272,2150961,0,2150961,0,0
273,2146795,0,2146795,0,0
274,2140366,0,2140366,0,0
275,2223295,0,2223295,0,0
276,2225313,0,2225313,0,0
277,2221014,0,2221014,0,0
278,2214147,0,2214147,0,0
279,2284494,0,2284494,0,0
280,2286419,0,2286419,0,0
281,2351179,0,2351179,0,0
282,2347357,0,2347357,0,0
283,2339727,0,2339727,0,0
284,2379644,0,2379644,0,0
285,2375596,0,2375596,0,0
286,2424829,0,2424829,0,0
287,2420043,0,2420043,0,0
288,2471201,0,2471201,0,0
289,2470794,0,2470794,0,0
290,2555436,0,2555436,0,0
291,2554080,0,2554080,0,0
292,2548840,0,2548840,0,0
293,2541100,0,2541100,0,0
294,2531991,0,2531991,0,0
295,2935189,0,2935189,0,0
296,2935830,0,2935830,0,0
297,2929701,0,2929701,0,0
298,2970428,0,2970428,0,0
299,2968229,0,2968229,0,0
300,2965756,0,2965756,0,0
301,3113038,0,3113038,0,0
302,3114003,0,3114003,0,0
303,3108055,0,3108055,0,0
304,3099768,0,3099768,0,0
305,3094311,0,3094311,0,0
306,3088296,0,3088296,0,0
307,3231832,0,3231832,0,0
308,3235524,0,3235524,0,0
309,3230508,0,3230508,0,0
310,3094045,0,3094045,0,0
311,3085702,0,3085702,0,0
312,3078716,0,3078716,0,0
313,3179227,0,3179227,0,0
314,3180508,0,3180508,0,0
315,3174403,0,3174403,0,0
316,3246416,0,3246416,0,0
317,3246451,0,3246451,0,0
318,3239812,0,3239812,0,0
319,3233084,0,3233084,0,0
320,3291928,0,3291928,0,0
321,3294191,0,3294191,0,0
322,3288619,0,3288619,0,0
323,3281840,0,3281840,0,0
324,3338415,0,3338415,0,0
325,3631989,0,3631989,0,0
326,3629438,0,3629438,0,0
327,3622381,0,3622381,0,0
328,3763823,0,3763823,0,0
329,3764051,0,3764051,0,0
330,3758852,0,3758852,0,0
331,3752810,0,3752810,0,0
332,3737864,0,3737864,0,0
333,3777035,0,3777035,0,0
334,3774290,0,3774290,0,0
335,3768660,0,3768660,0,0
336,3866426,0,3866426,0,0
337,3930860,0,3930860,0,0
338,3961708,0,3961708,0,0
339,3954372,0,3954372,0,0
340,3058071,0,3058071,0,0
341,3053451,0,3053451,0,0
342,3034018,0,3034018,0,0
343,3085641,0,3085641,0,0
344,3094871,0,3094871,0,0
345,3092700,0,3092700,0,0
346,3132949,0,3132949,0,0
347,3133750,0,3133750,0,0
348,3132302,0,3132302,0,0
349,3283827,0,3283827,0,0
350,3289858,0,3289858,0,0
351,3287256,0,3287256,0,0
352,3255659,0,3255659,0,0
353,3247779,0,3247779,0,0
354,3232819,0,3232819,0,0
355,3693145,0,3693145,0,0
356,3691977,0,3691977,0,0
357,3686127,0,3686127,0,0
358,3678515,0,3678515,0,0
359,3672565,0,3672565,0,0
360,3666826,0,3666826,0,0
361,3659162,0,3659162,0,0
362,3751244,0,3751244,0,0
363,3746234,0,3746234,0,0
364,3738711,0,3738711,0,0
365,3747987,0,3747987,0,0
366,3742806,0,3742806,0,0
367,3804836,0,3804836,0,0
368,3801700,0,3801700,0,0
369,3796711,0,3796711,0,0
370,2949539,0,2949539,0,0
371,2946038,0,2946038,0,0
372,3007472,0,3007472,0,0
373,2997589,0,2997589,0,0
374,2989459,0,2989459,0,0
375,3047005,0,3047005,0,0
376,3045494,0,3045494,0,0
377,3039508,0,3039508,0,0
378,3092424,0,3092424,0,0
379,3089676,0,3089676,0,0
380,3136200,0,3136200,0,0
381,3133539,0,3133539,0,0
382,3167448,0,3167448,0,0
383,3163767,0,3163767,0,0
384,3246723,0,3246723,0,0
385,3518177,0,3518177,0,0
386,3517357,0,3517357,0,0
387,3511670,0,3511670,0,0
388,3557791,0,3557791,0,0
389,3555454,0,3555454,0,0
390,3549090,0,3549090,0,0
391,3615955,0,3615955,0,0
392,3606879,0,3606879,0,0
393,3600340,0,3600340,0,0
394,3637967,0,3637967,0,0
395,3634528,0,3634528,0,0
396,3628996,0,3628996,0,0
397,3692142,0,3692142,0,0
398,3689926,0,3689926,0,0
399,3747083,0,3747083,0,0
400,2897709,0,2897709,0,0
401,2915762,0,2915762,0,0
402,2912065,0,2912065,0,0
403,2908530,0,2908530,0,0
404,3003849,0,3003849,0,0
405,3005604,0,3005604,0,0
406,2999967,0,2999967,0,0
407,3045338,0,3045338,0,0
408,3045428,0,3045428,0,0
409,3039639,0,3039639,0,0
410,3031954,0,3031954,0,0
411,3105172,0,3105172,0,0
412,3104023,0,3104023,0,0
413,3146543,0,3146543,0,0
414,3143754,0,3143754,0,0
415,3516580,0,3516580,0,0
416,3515646,0,3515646,0,0
417,3509922,0,3509922,0,0
418,3581614,0,3581614,0,0
419,3581885,0,3581885,0,0
420,3577449,0,3577449,0,0
421,3565511,0,3565511,0,0
422,3675615,0,3675615,0,0
423,3680371,0,3680371,0,0
424,3678509,0,3678509,0,0
425,3725082,0,3725082,0,0
426,3725731,0,3725731,0,0
427,3773695,0,3773695,0,0
428,3773652,0,3773652,0,0
429,3768785,0,3768785,0,0
430,2903995,0,2903995,0,0
431,2899547,0,2899547,0,0
432,2967150,0,2967150,0,0
433,2964618,0,2964618,0,0
434,2995504,0,2995504,0,0
435,2991739,0,2991739,0,0
436,3034354,0,3034354,0,0
437,3030974,0,3030974,0,0
438,3082079,0,3082079,0,0
439,3079434,0,3079434,0,0
440,3072876,0,3072876,0,0
441,3119623,0,3119623,0,0
442,3105600,0,3105600,0,0
443,3143277,0,3143277,0,0
444,3143538,0,3143538,0,0
445,3514072,0,3514072,0,0
446,3515358,0,3515358,0,0
447,3513503,0,3513503,0,0
448,3511127,0,3511127,0,0
449,3554141,0,3554141,0,0
450,3551761,0,3551761,0,0
451,3555346,0,3555346,0,0
452,3626056,0,3626056,0,0
453,3626210,0,3626210,0,0
454,3665946,0,3665946,0,0
455,3661776,0,3661776,0,0
456,3655934,0,3655934,0,0
457,3719612,0,3719612,0,0
458,3719257,0,3719257,0,0
459,3717117,0,3717117,0,0
460,2968904,0,2968904,0,0
461,2965404,0,2965404,0,0
462,2994058,0,2994058,0,0
463,2989919,0,2989919,0,0
464,3054367,0,3054367,0,0
465,3045631,0,3045631,0,0
466,3077653,0,3077653,0,0
467,3074944,0,3074944,0,0
468,3121443,0,3121443,0,0
469,3119549,0,3119549,0,0
470,3112953,0,3112953,0,0
471,3163934,0,3163934,0,0
472,3159266,0,3159266,0,0
473,3196249,0,3196249,0,0
474,3218614,0,3218614,0,0
475,3723273,0,3723273,0,0
476,3722227,0,3722227,0,0
477,3716490,0,3716490,0,0
478,3700698,0,3700698,0,0
479,3693690,0,3693690,0,0
480,3735841,0,3735841,0,0
481,3732926,0,3732926,0,0
482,3726848,0,3726848,0,0
483,3798912,0,3798912,0,0
484,3798166,0,3798166,0,0
485,3793616,0,3793616,0,0
486,3913111,0,3913111,0,0
487,3913452,0,3913452,0,0
488,3908290,0,3908290,0,0
489,3903420,0,3903420,0,0
490,2974467,0,2974467,0,0
491,2966331,0,2966331,0,0
492,3047626,0,3047626,0,0
493,3038912,0,3038912,0,0
494,3146952,0,3146952,0,0
495,3147774,0,3147774,0,0
496,3140727,0,3140727,0,0
497,3134416,0,3134416,0,0
498,3127435,0,3127435,0,0
499,3183815,0,3183815,0,0
500,3180896,0,3180896,0,0
501,3224407,0,3224407,0,0
502,3221029,0,3221029,0,0
503,3215166,0,3215166,0,0
504,3267290,0,3267290,0,0
505,3969399,0,3969399,0,0
506,3958545,0,3958545,0,0
507,3951542,0,3951542,0,0
508,3946678,0,3946678,0,0
509,3940677,0,3940677,0,0
510,3933865,0,3933865,0,0
511,3926394,0,3926394,0,0
512,3920012,0,3920012,0,0
513,3913586,0,3913586,0,0
514,3906653,0,3906653,0,0
515,3901010,0,3901010,0,0
516,3893456,0,3893456,0,0
517,3886044,0,3886044,0,0
518,3878286,0,3878286,0,0
519,3870663,0,3870663,0,0
520,2868303,0,2868303,0,0
521,2859923,0,2859923,0,0
522,2852540,0,2852540,0,0
523,2845247,0,2845247,0,0
524,2916221,0,2916221,0,0
525,2916391,0,2916391,0,0
526,2910310,0,2910310,0,0
527,2913436,0,2913436,0,0
528,2948679,0,2948679,0,0
529,2945255,0,2945255,0,0
530,3004371,0,3004371,0,0
531,2999577,0,2999577,0,0
532,3043140,0,3043140,0,0
533,3037760,0,3037760,0,0
534,3023553,0,3023553,0,0
535,3477907,0,3477907,0,0
536,3479063,0,3479063,0,0
537,3472724,0,3472724,0,0
538,3466451,0,3466451,0,0
539,3547703,0,3547703,0,0
540,3547916,0,3547916,0,0
541,3542575,0,3542575,0,0
542,3535481,0,3535481,0,0
543,3693585,0,3693585,0,0
544,3691261,0,3691261,0,0
545,3686915,0,3686915,0,0
546,3681056,0,3681056,0,0
547,3673784,0,3673784,0,0
548,3666823,0,3666823,0,0
549,3660411,0,3660411,0,0
550,2900012,0,2900012,0,0
551,3007280,0,3007280,0,0
552,3005899,0,3005899,0,0
553,3003164,0,3003164,0,0
554,3000091,0,3000091,0,0
