count_idx,send_a_block_ns,send_b_block_ns,send_gap_ab_ns
1,10670,5031,12871
2,6989,5355,8320
3,16844,5588,19761
4,10489,4701,12267
5,26533,4825,32781
6,10318,5229,12221
7,39477,4846,41506
8,13204,4823,16021
9,10261,4179,12291
10,16478,6392,18844
11,9819,4778,12318
12,13876,4663,15868
13,15460,5349,17475
14,13625,6534,16007
15,11071,5666,13632
16,39923,5457,42347
17,16857,5688,19174
18,13423,5699,16055
19,14390,5406,16867
20,13618,5029,16147
21,13909,5510,16292
22,14363,4328,16006
23,11045,5279,13365
24,14163,5790,16770
25,11730,4792,13997
26,37439,5635,39911
27,10881,5391,13176
28,13591,4282,15614
29,34665,4901,36983
30,6174,3125,7662
31,7614,9446,9124
32,41523,5815,43998
33,13839,5212,16623
34,8200,4879,10596
35,16048,5019,18272
36,12944,3557,14656
37,10642,4451,12752
38,7314,4896,9652
39,13802,5446,16333
40,10439,4692,12840
41,11983,3768,13930
42,41573,5498,44478
43,17439,4367,19774
44,15672,5436,18227
45,11947,3637,13759
46,6860,4458,9179
47,10814,4942,13501
48,13818,4681,16811
49,55735,7196,58871
50,14217,26458,16691
51,12888,4875,15319
52,7353,4468,9539
53,8634,3881,10451
54,10125,4339,12322
55,8693,10811,14573
56,6315,3837,8086
57,41762,4935,44073
58,11057,4270,12972
59,18867,6065,21527
60,12764,4176,14590
61,15186,5353,17497
62,14243,4942,16256
63,15634,8902,17607
64,19255,14225,28987
65,17308,5080,19734
66,15735,5462,18211
67,8354,4397,10421
68,14176,22255,16568
69,16140,28326,23699
70,13772,5756,16282
71,12850,5159,14739
72,14545,5790,16803
73,14392,5996,17126
74,10751,9733,12979
75,14965,5605,17448
76,9850,4053,11637
77,13903,5166,16315
78,16458,5332,18965
79,11289,5508,13325
80,6021,3261,10432
81,6658,3353,8424
82,5776,5532,7440
83,11137,4443,13602
84,6956,3149,8302
85,8330,4434,10312
86,36873,3812,38666
87,16596,5810,19082
88,12119,4938,14090
89,15815,5291,18285
90,13502,4315,15514
91,11727,4864,13819
92,5465,3733,7329
93,16234,5739,18636
94,12504,5302,14851
95,11410,5256,13702
96,10722,5363,13137
97,10081,5270,12405
98,38127,5789,40424
99,6166,3459,7506
100,14536,5658,16977
101,10891,5395,13042
102,6896,4775,9122
103,8470,4685,10794
104,16691,5528,19532
105,11151,4791,13339
106,28016,3368,29530
107,11571,5277,14006
108,14848,5232,17241
109,12395,5041,14430
110,10996,4841,13210
111,8925,3370,10593
112,15858,5585,18277
113,24140,6640,27040
114,55403,7761,64625
115,79916,9211,85353
116,49398,12696,59298
117,18836,52552,21989
118,55249,8529,62732
119,6537,2908,7828
120,7067,8753,9469
121,10237,6382,11668
122,17932,5994,20567
123,13988,3780,15625
124,12946,3872,14540
125,12188,3843,13882
126,9408,5108,11894
127,18780,5756,21085
128,12095,3997,13721
129,15314,5354,17758
130,7135,4451,8965
131,8261,3578,10017
132,5352,3626,7176
133,7628,3555,9200
134,13451,5456,16051
135,6921,3338,8579
136,6209,3481,8033
137,9016,3591,11126
138,11754,3447,13462
139,36657,3340,38256
140,10935,5152,13108
141,21559,4492,24344
142,9047,3696,10594
