sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,t2_kernel_timestamp,t4_kernel_timestamp,used_for_offset,used_for_best_path,clock_sync_method,clock_sync_protocol,clock_sync_kernel_timestamp,clock_sync_kernel_timestamp_received,clock_sync_kernel_timestamp_fallback,clock_sync_t2_kernel_timestamp_received,clock_sync_t2_kernel_timestamp_fallback,clock_sync_t4_kernel_timestamp_received,clock_sync_t4_kernel_timestamp_fallback,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780654284728939975,1780654284728942665,1780654284729012285,1780654284729020256,2690,7971,2640,5330,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
2,1780654284729054034,1780654284729056587,1780654284729077988,1780654284729081280,2553,3292,369,2922,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
3,1780654284729147553,1780654284729150750,1780654284729177323,1780654284729182062,3197,4739,771,3968,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
4,1780654284729208062,1780654284729209734,1780654284729222060,1780654284729224565,1672,2505,416,2088,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
5,1780654284729262816,1780654284729265216,1780654284729288137,1780654284729293128,2400,4991,1295,3695,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
6,1780654284729333139,1780654284729335835,1780654284729370061,1780654284729376686,2696,6625,1964,4660,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
7,1780654284729408156,1780654284729410614,1780654284729423762,1780654284729426600,2458,2838,190,2648,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
8,1780654284729456178,1780654284729458509,1780654284729470789,1780654284729473192,2331,2403,36,2367,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
9,1780654284729502864,1780654284729505170,1780654284729516616,1780654284729519128,2306,2512,103,2409,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
10,1780654284729548543,1780654284729550862,1780654284729562619,1780654284729565622,2319,3003,342,2661,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
11,1780654284729595959,1780654284729598269,1780654284729609965,1780654284729612558,2310,2593,141,2451,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
12,1780654284729640275,1780654284729642609,1780654284729654111,1780654284729656424,2334,2313,-11,2323,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
13,1780654284729685415,1780654284729687746,1780654284729698965,1780654284729701274,2331,2309,-11,2320,1,1,0,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
14,1780654284729730305,1780654284729732784,1780654284729758656,1780654284729764227,2479,5571,1546,4025,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
15,1780654284729794802,1780654284729797113,1780654284729814743,1780654284729818432,2311,3689,689,3000,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
16,1780654284729858793,1780654284729861398,1780654284729872099,1780654284729874667,2605,2568,-19,2586,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
17,1780654284729910999,1780654284729913471,1780654284729924284,1780654284729926857,2472,2573,50,2522,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
18,1780654284729964510,1780654284729967094,1780654284729978244,1780654284729980780,2584,2536,-24,2560,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
19,1780654284730010838,1780654284730013194,1780654284730024394,1780654284730027136,2356,2742,193,2549,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
20,1780654284730057308,1780654284730059802,1780654284730078766,1780654284730082265,2494,3499,502,2996,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
21,1780654284730112839,1780654284730115399,1780654284730137722,1780654284730143002,2560,5280,1360,3920,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
22,1780654284730174062,1780654284730176457,1780654284730188633,1780654284730191158,2395,2525,65,2460,1,1,1,0,best-path-median,udp,1,528,0,264,0,264,0,-63,143,-48,-63,687.725554,50,2193,2602,2047,2343,4025,2193,0,ok
