count_idx,delay_ns,delay_center_ns,delay_centered_ns,delay_physical_ns,clock_offset_ns,clock_sync_path_delay_ns
51,15760,0,15760,15760,-48,2184
52,12879,0,12879,12879,-48,2184
53,13277,0,13277,13277,-48,2184
54,13206,0,13206,13206,-48,2184
55,13049,0,13049,13049,-48,2184
56,13093,0,13093,13093,-48,2184
57,14060,0,14060,14060,-48,2184
58,13844,0,13844,13844,-48,2184
59,13104,0,13104,13104,-48,2184
60,13227,0,13227,13227,-48,2184
61,13373,0,13373,13373,-48,2184
62,13039,0,13039,13039,-48,2184
63,12963,0,12963,12963,-48,2184
64,13509,0,13509,13509,-48,2184
65,13045,0,13045,13045,-48,2184
66,12844,0,12844,12844,-48,2184
67,12933,0,12933,12933,-48,2184
68,13212,0,13212,13212,-48,2184
69,13174,0,13174,13174,-48,2184
70,12743,0,12743,12743,-48,2184
71,13393,0,13393,13393,-48,2184
72,13066,0,13066,13066,-48,2184
73,13401,0,13401,13401,-48,2184
74,14246,0,14246,14246,-48,2184
75,13430,0,13430,13430,-48,2184
76,13103,0,13103,13103,-48,2184
77,13688,0,13688,13688,-48,2184
78,13923,0,13923,13923,-48,2184
79,14775,0,14775,14775,-48,2184
80,15366,0,15366,15366,-48,2184
81,6707,0,6707,6707,-48,2184
82,13614,0,13614,13614,-48,2184
83,13208,0,13208,13208,-48,2184
84,13344,0,13344,13344,-48,2184
85,13476,0,13476,13476,-48,2184
86,12970,0,12970,12970,-48,2184
87,13390,0,13390,13390,-48,2184
88,13029,0,13029,13029,-48,2184
89,13116,0,13116,13116,-48,2184
90,13152,0,13152,13152,-48,2184
91,13035,0,13035,13035,-48,2184
92,13449,0,13449,13449,-48,2184
93,13138,0,13138,13138,-48,2184
94,13255,0,13255,13255,-48,2184
95,13236,0,13236,13236,-48,2184
96,12685,0,12685,12685,-48,2184
97,13147,0,13147,13147,-48,2184
98,13210,0,13210,13210,-48,2184
99,13240,0,13240,13240,-48,2184
100,13218,0,13218,13218,-48,2184
101,14533,0,14533,14533,-48,2184
102,15190,0,15190,15190,-48,2184
103,15018,0,15018,15018,-48,2184
104,13741,0,13741,13741,-48,2184
105,19596,0,19596,19596,-48,2184
106,13106,0,13106,13106,-48,2184
107,12989,0,12989,12989,-48,2184
108,12723,0,12723,12723,-48,2184
109,12700,0,12700,12700,-48,2184
110,12977,0,12977,12977,-48,2184
111,12629,0,12629,12629,-48,2184
112,12990,0,12990,12990,-48,2184
113,12540,0,12540,12540,-48,2184
114,12754,0,12754,12754,-48,2184
115,12553,0,12553,12553,-48,2184
116,12484,0,12484,12484,-48,2184
117,13270,0,13270,13270,-48,2184
118,13196,0,13196,13196,-48,2184
119,12824,0,12824,12824,-48,2184
120,13278,0,13278,13278,-48,2184
121,12722,0,12722,12722,-48,2184
122,12591,0,12591,12591,-48,2184
123,12451,0,12451,12451,-48,2184
124,12665,0,12665,12665,-48,2184
125,12823,0,12823,12823,-48,2184
126,29997,0,29997,29997,-48,2184
127,15272,0,15272,15272,-48,2184
128,15907,0,15907,15907,-48,2184
129,15040,0,15040,15040,-48,2184
130,12742,0,12742,12742,-48,2184
131,12474,0,12474,12474,-48,2184
132,12437,0,12437,12437,-48,2184
133,12631,0,12631,12631,-48,2184
134,12525,0,12525,12525,-48,2184
135,12472,0,12472,12472,-48,2184
136,12545,0,12545,12545,-48,2184
137,12318,0,12318,12318,-48,2184
138,12541,0,12541,12541,-48,2184
139,12270,0,12270,12270,-48,2184
140,12248,0,12248,12248,-48,2184
141,12385,0,12385,12385,-48,2184
142,12270,0,12270,12270,-48,2184
143,13050,0,13050,13050,-48,2184
144,12479,0,12479,12479,-48,2184
145,12504,0,12504,12504,-48,2184
146,12271,0,12271,12271,-48,2184
147,12373,0,12373,12373,-48,2184
148,12357,0,12357,12357,-48,2184
149,12526,0,12526,12526,-48,2184
150,12487,0,12487,12487,-48,2184
151,14011,0,14011,14011,-48,2184
152,12449,0,12449,12449,-48,2184
153,12638,0,12638,12638,-48,2184
154,12613,0,12613,12613,-48,2184
155,12379,0,12379,12379,-48,2184
156,12312,0,12312,12312,-48,2184
157,12388,0,12388,12388,-48,2184
158,12267,0,12267,12267,-48,2184
159,13067,0,13067,13067,-48,2184
160,12271,0,12271,12271,-48,2184
161,12294,0,12294,12294,-48,2184
162,12401,0,12401,12401,-48,2184
163,12323,0,12323,12323,-48,2184
164,12821,0,12821,12821,-48,2184
165,12413,0,12413,12413,-48,2184
166,12408,0,12408,12408,-48,2184
167,12404,0,12404,12404,-48,2184
168,12434,0,12434,12434,-48,2184
169,12368,0,12368,12368,-48,2184
170,12306,0,12306,12306,-48,2184
171,12305,0,12305,12305,-48,2184
172,12315,0,12315,12315,-48,2184
173,12456,0,12456,12456,-48,2184
174,12592,0,12592,12592,-48,2184
175,12392,0,12392,12392,-48,2184
176,18668,0,18668,18668,-48,2184
177,12714,0,12714,12714,-48,2184
178,12333,0,12333,12333,-48,2184
179,12743,0,12743,12743,-48,2184
180,13115,0,13115,13115,-48,2184
181,13026,0,13026,13026,-48,2184
182,14109,0,14109,14109,-48,2184
183,13606,0,13606,13606,-48,2184
184,12761,0,12761,12761,-48,2184
185,12909,0,12909,12909,-48,2184
186,13209,0,13209,13209,-48,2184
187,12661,0,12661,12661,-48,2184
188,13248,0,13248,13248,-48,2184
189,13277,0,13277,13277,-48,2184
190,12978,0,12978,12978,-48,2184
191,12494,0,12494,12494,-48,2184
192,12302,0,12302,12302,-48,2184
193,13083,0,13083,13083,-48,2184
194,12820,0,12820,12820,-48,2184
195,12635,0,12635,12635,-48,2184
196,13007,0,13007,13007,-48,2184
197,12716,0,12716,12716,-48,2184
198,12292,0,12292,12292,-48,2184
199,12691,0,12691,12691,-48,2184
200,12437,0,12437,12437,-48,2184
201,12515,0,12515,12515,-48,2184
202,12340,0,12340,12340,-48,2184
203,13069,0,13069,13069,-48,2184
204,12729,0,12729,12729,-48,2184
205,12403,0,12403,12403,-48,2184
206,12153,0,12153,12153,-48,2184
207,12731,0,12731,12731,-48,2184
208,13120,0,13120,13120,-48,2184
209,12486,0,12486,12486,-48,2184
210,12603,0,12603,12603,-48,2184
211,13891,0,13891,13891,-48,2184
212,12636,0,12636,12636,-48,2184
213,13438,0,13438,13438,-48,2184
214,12662,0,12662,12662,-48,2184
215,13430,0,13430,13430,-48,2184
216,12809,0,12809,12809,-48,2184
217,13385,0,13385,13385,-48,2184
218,13033,0,13033,13033,-48,2184
219,13436,0,13436,13436,-48,2184
220,13152,0,13152,13152,-48,2184
221,16615,0,16615,16615,-48,2184
222,30943,0,30943,30943,-48,2184
223,57310,0,57310,57310,-48,2184
224,21705,0,21705,21705,-48,2184
225,18837,0,18837,18837,-48,2184
226,12448,0,12448,12448,-48,2184
227,12565,0,12565,12565,-48,2184
228,12480,0,12480,12480,-48,2184
229,12814,0,12814,12814,-48,2184
230,12529,0,12529,12529,-48,2184
231,12544,0,12544,12544,-48,2184
232,12537,0,12537,12537,-48,2184
233,12753,0,12753,12753,-48,2184
234,12456,0,12456,12456,-48,2184
235,12420,0,12420,12420,-48,2184
236,12478,0,12478,12478,-48,2184
237,12534,0,12534,12534,-48,2184
238,12571,0,12571,12571,-48,2184
239,12633,0,12633,12633,-48,2184
240,12923,0,12923,12923,-48,2184
241,12410,0,12410,12410,-48,2184
242,12924,0,12924,12924,-48,2184
243,12551,0,12551,12551,-48,2184
244,12829,0,12829,12829,-48,2184
245,12969,0,12969,12969,-48,2184
246,13163,0,13163,13163,-48,2184
247,13009,0,13009,13009,-48,2184
248,12640,0,12640,12640,-48,2184
249,13233,0,13233,13233,-48,2184
250,12833,0,12833,12833,-48,2184
251,12793,0,12793,12793,-48,2184
252,13064,0,13064,13064,-48,2184
253,13174,0,13174,13174,-48,2184
254,13261,0,13261,13261,-48,2184
255,13224,0,13224,13224,-48,2184
256,12950,0,12950,12950,-48,2184
257,13516,0,13516,13516,-48,2184
258,13476,0,13476,13476,-48,2184
259,13044,0,13044,13044,-48,2184
260,13274,0,13274,13274,-48,2184
261,13283,0,13283,13283,-48,2184
262,13302,0,13302,13302,-48,2184
263,13764,0,13764,13764,-48,2184
264,13469,0,13469,13469,-48,2184
265,13463,0,13463,13463,-48,2184
266,13363,0,13363,13363,-48,2184
267,14012,0,14012,14012,-48,2184
268,13482,0,13482,13482,-48,2184
269,14613,0,14613,14613,-48,2184
270,15200,0,15200,15200,-48,2184
271,15132,0,15132,15132,-48,2184
272,14426,0,14426,14426,-48,2184
273,13339,0,13339,13339,-48,2184
274,14301,0,14301,14301,-48,2184
275,12883,0,12883,12883,-48,2184
276,12596,0,12596,12596,-48,2184
277,12437,0,12437,12437,-48,2184
278,12782,0,12782,12782,-48,2184
279,12602,0,12602,12602,-48,2184
280,13042,0,13042,13042,-48,2184
281,12237,0,12237,12237,-48,2184
