count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,1025816,0,1025816,0,0
52,1061370,0,1061370,0,0
53,1054347,0,1054347,0,0
54,1047086,0,1047086,0,0
55,1047173,0,1047173,0,0
56,1088207,0,1088207,0,0
57,1081286,0,1081286,0,0
58,1073670,0,1073670,0,0
59,1066347,0,1066347,0,0
60,1076360,0,1076360,0,0
61,1426230,0,1426230,0,0
62,1418420,0,1418420,0,0
63,1411168,0,1411168,0,0
64,1401500,0,1401500,0,0
65,1394619,0,1394619,0,0
66,1387964,0,1387964,0,0
67,1381266,0,1381266,0,0
68,1374012,0,1374012,0,0
69,1508566,0,1508566,0,0
70,1501847,0,1501847,0,0
71,1495175,0,1495175,0,0
72,1488537,0,1488537,0,0
73,1356075,0,1356075,0,0
74,1346602,0,1346602,0,0
75,1337917,0,1337917,0,0
76,1326045,0,1326045,0,0
77,1333189,0,1333189,0,0
78,1325663,0,1325663,0,0
79,1318718,0,1318718,0,0
80,1311942,0,1311942,0,0
81,1305221,0,1305221,0,0
82,1298341,0,1298341,0,0
83,1291387,0,1291387,0,0
84,1284434,0,1284434,0,0
85,1289768,0,1289768,0,0
86,1282634,0,1282634,0,0
87,1276006,0,1276006,0,0
88,1268951,0,1268951,0,0
89,1263973,0,1263973,0,0
90,1468002,0,1468002,0,0
91,1517699,0,1517699,0,0
92,1508863,0,1508863,0,0
93,1500078,0,1500078,0,0
94,1492547,0,1492547,0,0
95,1524982,0,1524982,0,0
96,1517578,0,1517578,0,0
97,1508870,0,1508870,0,0
98,1510535,0,1510535,0,0
99,1515226,0,1515226,0,0
100,1689199,0,1689199,0,0
101,1675742,0,1675742,0,0
102,1667846,0,1667846,0,0
103,1658832,0,1658832,0,0
104,1650475,0,1650475,0,0
105,1643139,0,1643139,0,0
106,1296775,0,1296775,0,0
107,1145541,0,1145541,0,0
108,1155684,0,1155684,0,0
109,1148074,0,1148074,0,0
110,1140434,0,1140434,0,0
111,1132743,0,1132743,0,0
112,1124706,0,1124706,0,0
113,1117119,0,1117119,0,0
114,1108102,0,1108102,0,0
115,1108049,0,1108049,0,0
116,1142401,0,1142401,0,0
117,1134918,0,1134918,0,0
118,1127657,0,1127657,0,0
119,1123168,0,1123168,0,0
120,1176506,0,1176506,0,0
121,1357010,0,1357010,0,0
122,1349412,0,1349412,0,0
123,1341434,0,1341434,0,0
124,1333947,0,1333947,0,0
125,1326645,0,1326645,0,0
126,1326570,0,1326570,0,0
127,1361456,0,1361456,0,0
128,1353642,0,1353642,0,0
129,1346727,0,1346727,0,0
130,1348721,0,1348721,0,0
131,1384718,0,1384718,0,0
132,1239652,0,1239652,0,0
133,1067161,0,1067161,0,0
134,972826,0,972826,0,0
135,1024157,0,1024157,0,0
136,1016904,0,1016904,0,0
137,1009071,0,1009071,0,0
138,1001631,0,1001631,0,0
139,1000936,0,1000936,0,0
140,1061323,0,1061323,0,0
141,1054296,0,1054296,0,0
142,1046609,0,1046609,0,0
143,1039485,0,1039485,0,0
144,1032295,0,1032295,0,0
145,1117498,0,1117498,0,0
146,1108594,0,1108594,0,0
147,1101105,0,1101105,0,0
148,1093474,0,1093474,0,0
149,1085736,0,1085736,0,0
150,1078241,0,1078241,0,0
151,1290737,0,1290737,0,0
152,1187805,0,1187805,0,0
153,1177686,0,1177686,0,0
154,1168515,0,1168515,0,0
155,1160240,0,1160240,0,0
156,1152383,0,1152383,0,0
157,1144887,0,1144887,0,0
158,1190190,0,1190190,0,0
159,1182599,0,1182599,0,0
160,1174989,0,1174989,0,0
161,1166707,0,1166707,0,0
162,1159132,0,1159132,0,0
163,1158080,0,1158080,0,0
164,1164209,0,1164209,0,0
165,1186738,0,1186738,0,0
166,1179299,0,1179299,0,0
167,1272122,0,1272122,0,0
168,1056506,0,1056506,0,0
169,1044319,0,1044319,0,0
170,1035124,0,1035124,0,0
171,1026899,0,1026899,0,0
172,1018578,0,1018578,0,0
173,1010927,0,1010927,0,0
174,1003357,0,1003357,0,0
175,1029506,0,1029506,0,0
176,1020467,0,1020467,0,0
177,1011984,0,1011984,0,0
178,913046,0,913046,0,0
179,900768,0,900768,0,0
