count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,1606525,0,1606525,0,0
52,1600447,0,1600447,0,0
53,1596027,0,1596027,0,0
54,1591720,0,1591720,0,0
55,1587407,0,1587407,0,0
56,1583009,0,1583009,0,0
57,1578651,0,1578651,0,0
58,1574278,0,1574278,0,0
59,1593853,0,1593853,0,0
60,1589578,0,1589578,0,0
61,1584819,0,1584819,0,0
62,1580494,0,1580494,0,0
63,1576107,0,1576107,0,0
64,1569960,0,1569960,0,0
65,1564075,0,1564075,0,0
66,1563909,0,1563909,0,0
67,1572197,0,1572197,0,0
68,1567658,0,1567658,0,0
69,1583076,0,1583076,0,0
70,1575307,0,1575307,0,0
71,1569773,0,1569773,0,0
72,1564974,0,1564974,0,0
73,2136862,0,2136862,0,0
74,2132531,0,2132531,0,0
75,2128087,0,2128087,0,0
76,2123750,0,2123750,0,0
77,2115882,0,2115882,0,0
78,2111501,0,2111501,0,0
79,2131093,0,2131093,0,0
80,2126771,0,2126771,0,0
81,2122357,0,2122357,0,0
82,2118015,0,2118015,0,0
83,2113677,0,2113677,0,0
84,2185269,0,2185269,0,0
85,2180993,0,2180993,0,0
86,2176617,0,2176617,0,0
87,2172145,0,2172145,0,0
88,2167695,0,2167695,0,0
89,1758739,0,1758739,0,0
90,1748324,0,1748324,0,0
91,1741426,0,1741426,0,0
92,1759084,0,1759084,0,0
93,1754449,0,1754449,0,0
94,1749924,0,1749924,0,0
95,1745533,0,1745533,0,0
96,1741187,0,1741187,0,0
97,1736708,0,1736708,0,0
98,1732162,0,1732162,0,0
99,1732085,0,1732085,0,0
100,1813151,0,1813151,0,0
101,1808821,0,1808821,0,0
102,1803742,0,1803742,0,0
103,2355469,0,2355469,0,0
104,2350911,0,2350911,0,0
105,2346300,0,2346300,0,0
106,2340232,0,2340232,0,0
107,2333539,0,2333539,0,0
108,2329009,0,2329009,0,0
109,2324509,0,2324509,0,0
110,2319513,0,2319513,0,0
111,2351240,0,2351240,0,0
112,2346895,0,2346895,0,0
113,2342470,0,2342470,0,0
114,2337495,0,2337495,0,0
115,2332670,0,2332670,0,0
116,2332427,0,2332427,0,0
117,2349086,0,2349086,0,0
118,1740753,0,1740753,0,0
119,1739019,0,1739019,0,0
120,1741774,0,1741774,0,0
121,1791512,0,1791512,0,0
122,1786264,0,1786264,0,0
123,1779074,0,1779074,0,0
124,1774377,0,1774377,0,0
125,1769918,0,1769918,0,0
126,1765516,0,1765516,0,0
127,1760395,0,1760395,0,0
128,1755822,0,1755822,0,0
129,1773566,0,1773566,0,0
130,1768942,0,1768942,0,0
131,1764336,0,1764336,0,0
132,1759814,0,1759814,0,0
133,2349234,0,2349234,0,0
134,2344879,0,2344879,0,0
135,2340513,0,2340513,0,0
136,2336009,0,2336009,0,0
137,2353916,0,2353916,0,0
138,2349571,0,2349571,0,0
139,2343248,0,2343248,0,0
140,2338041,0,2338041,0,0
141,2355197,0,2355197,0,0
142,2350480,0,2350480,0,0
143,2366789,0,2366789,0,0
144,2362408,0,2362408,0,0
145,2392153,0,2392153,0,0
146,2387768,0,2387768,0,0
147,2383129,0,2383129,0,0
148,1714393,0,1714393,0,0
149,1736137,0,1736137,0,0
150,1731025,0,1731025,0,0
151,1726128,0,1726128,0,0
152,1737651,0,1737651,0,0
153,1732987,0,1732987,0,0
154,1739111,0,1739111,0,0
155,1747567,0,1747567,0,0
156,1743194,0,1743194,0,0
157,1825624,0,1825624,0,0
158,1812776,0,1812776,0,0
159,1804711,0,1804711,0,0
160,1798163,0,1798163,0,0
161,1792566,0,1792566,0,0
162,1787360,0,1787360,0,0
163,2563501,0,2563501,0,0
164,2558557,0,2558557,0,0
165,2554060,0,2554060,0,0
166,2549540,0,2549540,0,0
167,2544681,0,2544681,0,0
168,2540267,0,2540267,0,0
169,2535822,0,2535822,0,0
170,2531277,0,2531277,0,0
171,2555591,0,2555591,0,0
172,2551133,0,2551133,0,0
173,2546740,0,2546740,0,0
174,2541962,0,2541962,0,0
175,2537690,0,2537690,0,0
176,2533403,0,2533403,0,0
177,2528661,0,2528661,0,0
178,1935560,0,1935560,0,0
179,1931135,0,1931135,0,0
180,1926115,0,1926115,0,0
181,1921308,0,1921308,0,0
182,1915582,0,1915582,0,0
183,1911133,0,1911133,0,0
184,1906604,0,1906604,0,0
185,1902199,0,1902199,0,0
186,1897705,0,1897705,0,0
187,1901892,0,1901892,0,0
188,1897553,0,1897553,0,0
189,1892442,0,1892442,0,0
190,1887881,0,1887881,0,0
191,1882954,0,1882954,0,0
192,1877950,0,1877950,0,0
193,2413607,0,2413607,0,0
194,2409225,0,2409225,0,0
195,2404730,0,2404730,0,0
196,2434535,0,2434535,0,0
197,2429448,0,2429448,0,0
198,2424794,0,2424794,0,0
199,2420329,0,2420329,0,0
200,2421743,0,2421743,0,0
201,2430634,0,2430634,0,0
202,2425956,0,2425956,0,0
203,2431601,0,2431601,0,0
204,2491681,0,2491681,0,0
205,2484727,0,2484727,0,0
206,2477931,0,2477931,0,0
207,2472746,0,2472746,0,0
208,1882451,0,1882451,0,0
209,1870916,0,1870916,0,0
210,1863089,0,1863089,0,0
211,1882614,0,1882614,0,0
212,1875233,0,1875233,0,0
213,1866997,0,1866997,0,0
214,1876027,0,1876027,0,0
215,1869412,0,1869412,0,0
216,1943948,0,1943948,0,0
217,1939557,0,1939557,0,0
218,1934811,0,1934811,0,0
219,1930234,0,1930234,0,0
220,1925837,0,1925837,0,0
221,1921458,0,1921458,0,0
222,1917053,0,1917053,0,0
223,2526773,0,2526773,0,0
224,2522181,0,2522181,0,0
225,2517763,0,2517763,0,0
226,2543596,0,2543596,0,0
227,2537935,0,2537935,0,0
228,2533407,0,2533407,0,0
229,2528956,0,2528956,0,0
230,2524568,0,2524568,0,0
231,2520205,0,2520205,0,0
232,2520734,0,2520734,0,0
233,2591274,0,2591274,0,0
234,2584821,0,2584821,0,0
235,2578675,0,2578675,0,0
236,2572607,0,2572607,0,0
237,2566161,0,2566161,0,0
238,1940466,0,1940466,0,0
239,1925522,0,1925522,0,0
240,1918313,0,1918313,0,0
241,1947256,0,1947256,0,0
242,1940456,0,1940456,0,0
243,1932677,0,1932677,0,0
244,1925909,0,1925909,0,0
245,1919377,0,1919377,0,0
246,1912247,0,1912247,0,0
247,1905537,0,1905537,0,0
248,1899240,0,1899240,0,0
249,1900100,0,1900100,0,0
250,1894028,0,1894028,0,0
251,1887299,0,1887299,0,0
252,1880949,0,1880949,0,0
253,2463752,0,2463752,0,0
254,2457867,0,2457867,0,0
255,2473244,0,2473244,0,0
256,2364769,0,2364769,0,0
257,2356222,0,2356222,0,0
258,2347957,0,2347957,0,0
259,2363217,0,2363217,0,0
260,2355621,0,2355621,0,0
261,2349682,0,2349682,0,0
262,2369416,0,2369416,0,0
263,2361931,0,2361931,0,0
264,2354152,0,2354152,0,0
265,2392836,0,2392836,0,0
266,2385560,0,2385560,0,0
267,2378203,0,2378203,0,0
268,1864002,0,1864002,0,0
269,1854427,0,1854427,0,0
270,1852881,0,1852881,0,0
271,1872909,0,1872909,0,0
272,1868352,0,1868352,0,0
273,1863810,0,1863810,0,0
274,1859387,0,1859387,0,0
275,1872507,0,1872507,0,0
276,1867886,0,1867886,0,0
277,1862764,0,1862764,0,0
278,1955107,0,1955107,0,0
279,1950553,0,1950553,0,0
280,1946082,0,1946082,0,0
281,1941643,0,1941643,0,0
282,1937333,0,1937333,0,0
283,2452740,0,2452740,0,0
284,2448485,0,2448485,0,0
285,2443705,0,2443705,0,0
286,2429410,0,2429410,0,0
287,2424620,0,2424620,0,0
288,2420130,0,2420130,0,0
289,2415410,0,2415410,0,0
290,2410772,0,2410772,0,0
291,2440571,0,2440571,0,0
292,2436046,0,2436046,0,0
293,2431612,0,2431612,0,0
294,2431172,0,2431172,0,0
295,2489553,0,2489553,0,0
296,2485029,0,2485029,0,0
297,2480524,0,2480524,0,0
298,1755665,0,1755665,0,0
299,1741903,0,1741903,0,0
300,1734322,0,1734322,0,0
301,1726317,0,1726317,0,0
302,1775960,0,1775960,0,0
303,1768275,0,1768275,0,0
304,1760454,0,1760454,0,0
305,1752539,0,1752539,0,0
306,1745243,0,1745243,0,0
307,1738031,0,1738031,0,0
308,1730426,0,1730426,0,0
309,1723305,0,1723305,0,0
310,1724494,0,1724494,0,0
311,1894003,0,1894003,0,0
312,1887446,0,1887446,0,0
313,2396829,0,2396829,0,0
314,2389693,0,2389693,0,0
315,2382768,0,2382768,0,0
316,2376020,0,2376020,0,0
317,2369147,0,2369147,0,0
318,2361708,0,2361708,0,0
319,2354532,0,2354532,0,0
320,2348183,0,2348183,0,0
321,2387098,0,2387098,0,0
322,2380623,0,2380623,0,0
323,2374107,0,2374107,0,0
324,2367462,0,2367462,0,0
325,2360366,0,2360366,0,0
326,2353529,0,2353529,0,0
327,2345579,0,2345579,0,0
328,1785056,0,1785056,0,0
329,1780568,0,1780568,0,0
330,1773375,0,1773375,0,0
331,1766013,0,1766013,0,0
332,1761473,0,1761473,0,0
333,1810689,0,1810689,0,0
334,1803781,0,1803781,0,0
335,1796812,0,1796812,0,0
336,1789460,0,1789460,0,0
337,1781673,0,1781673,0,0
338,1774503,0,1774503,0,0
339,1776514,0,1776514,0,0
340,1772119,0,1772119,0,0
341,1826553,0,1826553,0,0
342,1819706,0,1819706,0,0
343,2395836,0,2395836,0,0
344,2442169,0,2442169,0,0
345,2435410,0,2435410,0,0
346,2428915,0,2428915,0,0
347,2421729,0,2421729,0,0
348,2414524,0,2414524,0,0
349,2408086,0,2408086,0,0
350,2401647,0,2401647,0,0
351,2404033,0,2404033,0,0
352,2406097,0,2406097,0,0
353,2442528,0,2442528,0,0
354,2436000,0,2436000,0,0
355,2429451,0,2429451,0,0
356,2423144,0,2423144,0,0
357,2416828,0,2416828,0,0
358,1927976,0,1927976,0,0
359,1949274,0,1949274,0,0
360,1944618,0,1944618,0,0
361,2007310,0,2007310,0,0
362,2002791,0,2002791,0,0
363,1998169,0,1998169,0,0
364,1992695,0,1992695,0,0
365,1987916,0,1987916,0,0
366,1982990,0,1982990,0,0
367,1978518,0,1978518,0,0
368,1996381,0,1996381,0,0
369,1991892,0,1991892,0,0
370,1987366,0,1987366,0,0
371,2089318,0,2089318,0,0
372,2084856,0,2084856,0,0
373,2678833,0,2678833,0,0
374,2602125,0,2602125,0,0
375,2587309,0,2587309,0,0
376,2576792,0,2576792,0,0
377,2564203,0,2564203,0,0
378,2552359,0,2552359,0,0
379,2574942,0,2574942,0,0
380,2567424,0,2567424,0,0
381,2560819,0,2560819,0,0
382,2554448,0,2554448,0,0
383,2598697,0,2598697,0,0
384,2592035,0,2592035,0,0
385,2584885,0,2584885,0,0
386,2577162,0,2577162,0,0
387,2569609,0,2569609,0,0
388,2000904,0,2000904,0,0
389,1993021,0,1993021,0,0
390,2023683,0,2023683,0,0
391,2016372,0,2016372,0,0
392,2009680,0,2009680,0,0
393,2025753,0,2025753,0,0
394,2019179,0,2019179,0,0
395,2012542,0,2012542,0,0
396,2041353,0,2041353,0,0
397,2034421,0,2034421,0,0
398,2027543,0,2027543,0,0
399,2040446,0,2040446,0,0
400,2033451,0,2033451,0,0
401,2137477,0,2137477,0,0
402,2129781,0,2129781,0,0
403,2651179,0,2651179,0,0
404,2644641,0,2644641,0,0
405,2637942,0,2637942,0,0
406,2631169,0,2631169,0,0
407,2653296,0,2653296,0,0
408,2646739,0,2646739,0,0
409,2640337,0,2640337,0,0
410,2637655,0,2637655,0,0
411,2707124,0,2707124,0,0
412,2700442,0,2700442,0,0
413,2694004,0,2694004,0,0
414,2686908,0,2686908,0,0
415,2679421,0,2679421,0,0
416,2672638,0,2672638,0,0
417,2666474,0,2666474,0,0
418,2065412,0,2065412,0,0
419,2076509,0,2076509,0,0
420,2069825,0,2069825,0,0
421,2063057,0,2063057,0,0
422,2124387,0,2124387,0,0
423,2117326,0,2117326,0,0
424,2110391,0,2110391,0,0
425,2104203,0,2104203,0,0
426,2097796,0,2097796,0,0
427,2090357,0,2090357,0,0
428,2117375,0,2117375,0,0
429,2111158,0,2111158,0,0
430,2104090,0,2104090,0,0
431,2096297,0,2096297,0,0
432,2130414,0,2130414,0,0
433,2745352,0,2745352,0,0
434,2739219,0,2739219,0,0
435,2732852,0,2732852,0,0
436,2661059,0,2661059,0,0
437,2655530,0,2655530,0,0
438,2650732,0,2650732,0,0
439,2671883,0,2671883,0,0
440,2667209,0,2667209,0,0
441,2662714,0,2662714,0,0
442,2658215,0,2658215,0,0
443,2717086,0,2717086,0,0
444,2712716,0,2712716,0,0
445,2708081,0,2708081,0,0
446,2703576,0,2703576,0,0
447,2698595,0,2698595,0,0
448,2055328,0,2055328,0,0
449,2051138,0,2051138,0,0
450,2045218,0,2045218,0,0
451,2140279,0,2140279,0,0
452,2131313,0,2131313,0,0
453,2123171,0,2123171,0,0
454,2114883,0,2114883,0,0
455,2107229,0,2107229,0,0
456,2099952,0,2099952,0,0
457,2092838,0,2092838,0,0
458,2085880,0,2085880,0,0
459,2101723,0,2101723,0,0
460,2095545,0,2095545,0,0
461,2088847,0,2088847,0,0
462,2082391,0,2082391,0,0
463,2722596,0,2722596,0,0
464,2715713,0,2715713,0,0
465,2708776,0,2708776,0,0
466,2702118,0,2702118,0,0
467,2695163,0,2695163,0,0
468,2688179,0,2688179,0,0
469,2681519,0,2681519,0,0
470,2725030,0,2725030,0,0
471,2716927,0,2716927,0,0
472,2739264,0,2739264,0,0
473,2731987,0,2731987,0,0
474,2724643,0,2724643,0,0
475,2748708,0,2748708,0,0
476,2741403,0,2741403,0,0
477,2733626,0,2733626,0,0
478,2060030,0,2060030,0,0
479,2091124,0,2091124,0,0
480,2084303,0,2084303,0,0
481,2077285,0,2077285,0,0
482,2070196,0,2070196,0,0
483,2063698,0,2063698,0,0
484,2113047,0,2113047,0,0
485,2106180,0,2106180,0,0
486,2099427,0,2099427,0,0
487,2092910,0,2092910,0,0
488,2086001,0,2086001,0,0
489,2111557,0,2111557,0,0
490,2104320,0,2104320,0,0
491,2095973,0,2095973,0,0
492,2089149,0,2089149,0,0
493,2776258,0,2776258,0,0
494,2768717,0,2768717,0,0
495,2761271,0,2761271,0,0
496,2754423,0,2754423,0,0
497,2747339,0,2747339,0,0
498,2740460,0,2740460,0,0
499,2733502,0,2733502,0,0
500,2770566,0,2770566,0,0
501,2763728,0,2763728,0,0
502,2756419,0,2756419,0,0
503,2748990,0,2748990,0,0
504,2741764,0,2741764,0,0
505,2755662,0,2755662,0,0
506,2748889,0,2748889,0,0
507,2741697,0,2741697,0,0
508,2110174,0,2110174,0,0
509,2096400,0,2096400,0,0
510,2088889,0,2088889,0,0
511,2081319,0,2081319,0,0
512,2104479,0,2104479,0,0
513,2084598,0,2084598,0,0
514,2074942,0,2074942,0,0
515,2113723,0,2113723,0,0
516,2106873,0,2106873,0,0
517,2099377,0,2099377,0,0
518,2092640,0,2092640,0,0
519,2092166,0,2092166,0,0
520,2113901,0,2113901,0,0
521,2106997,0,2106997,0,0
522,2102673,0,2102673,0,0
523,2653586,0,2653586,0,0
524,2670619,0,2670619,0,0
525,2664211,0,2664211,0,0
526,2660643,0,2660643,0,0
527,2659857,0,2659857,0,0
528,2648855,0,2648855,0,0
529,2640058,0,2640058,0,0
530,2631540,0,2631540,0,0
531,2623848,0,2623848,0,0
532,2623855,0,2623855,0,0
533,2651744,0,2651744,0,0
534,2644736,0,2644736,0,0
535,2637460,0,2637460,0,0
536,2636343,0,2636343,0,0
537,2673139,0,2673139,0,0
538,2083021,0,2083021,0,0
539,2069909,0,2069909,0,0
540,2062121,0,2062121,0,0
541,2071568,0,2071568,0,0
542,2090852,0,2090852,0,0
543,2083955,0,2083955,0,0
544,2077040,0,2077040,0,0
545,2113802,0,2113802,0,0
546,2107855,0,2107855,0,0
547,2102837,0,2102837,0,0
548,2098395,0,2098395,0,0
549,2093913,0,2093913,0,0
550,2121542,0,2121542,0,0
551,2117253,0,2117253,0,0
552,2112384,0,2112384,0,0
553,2693498,0,2693498,0,0
554,2689252,0,2689252,0,0
555,2684784,0,2684784,0,0
556,2582862,0,2582862,0,0
557,2574322,0,2574322,0,0
558,2566001,0,2566001,0,0
559,2558239,0,2558239,0,0
560,2581165,0,2581165,0,0
561,2573611,0,2573611,0,0
562,2566090,0,2566090,0,0
563,2558110,0,2558110,0,0
564,2550535,0,2550535,0,0
565,2581224,0,2581224,0,0
566,2573641,0,2573641,0,0
567,2566437,0,2566437,0,0
568,1910847,0,1910847,0,0
569,1934508,0,1934508,0,0
570,1927052,0,1927052,0,0
571,1920130,0,1920130,0,0
572,1913116,0,1913116,0,0
573,1911010,0,1911010,0,0
574,1948392,0,1948392,0,0
575,1941362,0,1941362,0,0
576,1934131,0,1934131,0,0
577,1926205,0,1926205,0,0
578,1927922,0,1927922,0,0
579,1922717,0,1922717,0,0
580,1947134,0,1947134,0,0
581,1939286,0,1939286,0,0
582,1933540,0,1933540,0,0
583,2526016,0,2526016,0,0
584,2521464,0,2521464,0,0
585,2516898,0,2516898,0,0
586,2512400,0,2512400,0,0
587,2507751,0,2507751,0,0
588,2503294,0,2503294,0,0
589,2498666,0,2498666,0,0
590,2494179,0,2494179,0,0
591,2527709,0,2527709,0,0
592,2520275,0,2520275,0,0
593,2513118,0,2513118,0,0
594,2506173,0,2506173,0,0
595,2498486,0,2498486,0,0
596,2493253,0,2493253,0,0
597,2488831,0,2488831,0,0
598,1814990,0,1814990,0,0
599,1864861,0,1864861,0,0
600,1860111,0,1860111,0,0
601,1855649,0,1855649,0,0
602,1850514,0,1850514,0,0
603,1846046,0,1846046,0,0
604,1841431,0,1841431,0,0
605,1847469,0,1847469,0,0
606,1843053,0,1843053,0,0
607,1898013,0,1898013,0,0
608,1893488,0,1893488,0,0
609,1888977,0,1888977,0,0
