count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,207316,0,207316,0,0
52,89271,0,89271,0,0
53,103941,0,103941,0,0
54,92850,0,92850,0,0
55,63961,0,63961,0,0
56,85529,0,85529,0,0
57,60493,0,60493,0,0
58,86012,0,86012,0,0
59,31556,0,31556,0,0
60,58128,0,58128,0,0
61,95038,0,95038,0,0
62,71737,0,71737,0,0
63,90902,0,90902,0,0
64,91971,0,91971,0,0
65,97096,0,97096,0,0
66,97743,0,97743,0,0
67,74207,0,74207,0,0
68,86617,0,86617,0,0
69,91522,0,91522,0,0
70,86049,0,86049,0,0
71,32305,0,32305,0,0
72,94544,0,94544,0,0
73,87002,0,87002,0,0
74,123597,0,123597,0,0
75,195061,0,195061,0,0
76,114960,0,114960,0,0
77,73944,0,73944,0,0
78,76766,0,76766,0,0
79,107401,0,107401,0,0
80,83995,0,83995,0,0
81,79126,0,79126,0,0
82,62100,0,62100,0,0
83,74550,0,74550,0,0
84,84835,0,84835,0,0
85,94008,0,94008,0,0
86,67866,0,67866,0,0
87,70067,0,70067,0,0
88,62491,0,62491,0,0
89,80730,0,80730,0,0
90,122482,0,122482,0,0
91,89000,0,89000,0,0
92,116840,0,116840,0,0
93,90081,0,90081,0,0
94,223045,0,223045,0,0
95,133514,0,133514,0,0
96,100276,0,100276,0,0
97,92445,0,92445,0,0
98,94115,0,94115,0,0
99,81677,0,81677,0,0
100,94253,0,94253,0,0
101,106439,0,106439,0,0
102,88129,0,88129,0,0
103,95098,0,95098,0,0
104,98692,0,98692,0,0
105,105836,0,105836,0,0
106,192781,0,192781,0,0
107,132176,0,132176,0,0
108,119437,0,119437,0,0
109,99662,0,99662,0,0
110,108773,0,108773,0,0
111,97652,0,97652,0,0
112,79814,0,79814,0,0
113,79152,0,79152,0,0
114,79954,0,79954,0,0
115,80392,0,80392,0,0
116,73344,0,73344,0,0
117,71481,0,71481,0,0
118,85366,0,85366,0,0
119,49114,0,49114,0,0
120,64780,0,64780,0,0
121,46350,0,46350,0,0
122,85727,0,85727,0,0
123,71856,0,71856,0,0
124,78980,0,78980,0,0
125,77523,0,77523,0,0
126,81943,0,81943,0,0
127,85774,0,85774,0,0
128,74176,0,74176,0,0
129,101287,0,101287,0,0
130,34763,0,34763,0,0
131,78381,0,78381,0,0
132,41098,0,41098,0,0
133,88237,0,88237,0,0
134,100565,0,100565,0,0
135,103284,0,103284,0,0
136,68171,0,68171,0,0
137,81030,0,81030,0,0
138,96127,0,96127,0,0
139,77162,0,77162,0,0
140,76215,0,76215,0,0
141,87973,0,87973,0,0
142,85142,0,85142,0,0
143,60883,0,60883,0,0
144,113046,0,113046,0,0
145,103663,0,103663,0,0
146,64316,0,64316,0,0
147,87838,0,87838,0,0
148,156505,0,156505,0,0
149,84885,0,84885,0,0
150,86076,0,86076,0,0
151,86332,0,86332,0,0
152,106899,0,106899,0,0
153,78077,0,78077,0,0
154,101263,0,101263,0,0
155,56650,0,56650,0,0
156,73917,0,73917,0,0
157,30713,0,30713,0,0
158,83194,0,83194,0,0
159,94906,0,94906,0,0
160,71346,0,71346,0,0
161,74824,0,74824,0,0
162,54547,0,54547,0,0
163,73708,0,73708,0,0
164,104040,0,104040,0,0
165,69644,0,69644,0,0
166,63450,0,63450,0,0
167,92715,0,92715,0,0
168,75730,0,75730,0,0
169,61291,0,61291,0,0
170,30712,0,30712,0,0
171,81896,0,81896,0,0
172,97205,0,97205,0,0
173,86751,0,86751,0,0
174,125456,0,125456,0,0
175,153822,0,153822,0,0
176,105674,0,105674,0,0
177,99001,0,99001,0,0
178,112903,0,112903,0,0
179,84354,0,84354,0,0
180,129783,0,129783,0,0
181,102621,0,102621,0,0
182,110724,0,110724,0,0
183,131324,0,131324,0,0
184,139359,0,139359,0,0
185,90090,0,90090,0,0
186,96955,0,96955,0,0
187,102756,0,102756,0,0
188,78251,0,78251,0,0
189,79421,0,79421,0,0
190,79002,0,79002,0,0
191,71656,0,71656,0,0
192,81967,0,81967,0,0
193,81476,0,81476,0,0
194,36131,0,36131,0,0
195,78879,0,78879,0,0
196,87136,0,87136,0,0
197,57668,0,57668,0,0
198,84622,0,84622,0,0
199,65965,0,65965,0,0
200,99639,0,99639,0,0
201,79483,0,79483,0,0
202,72569,0,72569,0,0
203,83771,0,83771,0,0
204,55968,0,55968,0,0
205,98781,0,98781,0,0
206,83071,0,83071,0,0
207,55146,0,55146,0,0
208,89354,0,89354,0,0
209,87619,0,87619,0,0
210,84123,0,84123,0,0
211,83281,0,83281,0,0
212,53306,0,53306,0,0
213,86222,0,86222,0,0
214,75506,0,75506,0,0
215,55853,0,55853,0,0
216,86343,0,86343,0,0
217,32284,0,32284,0,0
218,31621,0,31621,0,0
219,67880,0,67880,0,0
220,31844,0,31844,0,0
221,30098,0,30098,0,0
222,107062,0,107062,0,0
223,108893,0,108893,0,0
224,113127,0,113127,0,0
225,94815,0,94815,0,0
226,74418,0,74418,0,0
227,78737,0,78737,0,0
228,91087,0,91087,0,0
229,84510,0,84510,0,0
230,123683,0,123683,0,0
231,94120,0,94120,0,0
232,106295,0,106295,0,0
233,111098,0,111098,0,0
234,99154,0,99154,0,0
235,78991,0,78991,0,0
236,62615,0,62615,0,0
237,110504,0,110504,0,0
238,82505,0,82505,0,0
239,60279,0,60279,0,0
240,77301,0,77301,0,0
241,80318,0,80318,0,0
242,108601,0,108601,0,0
243,92238,0,92238,0,0
244,58065,0,58065,0,0
245,75797,0,75797,0,0
246,57858,0,57858,0,0
247,133505,0,133505,0,0
248,51496,0,51496,0,0
249,84237,0,84237,0,0
250,101350,0,101350,0,0
251,89744,0,89744,0,0
252,128685,0,128685,0,0
253,66058,0,66058,0,0
254,96951,0,96951,0,0
255,107094,0,107094,0,0
256,100434,0,100434,0,0
257,80099,0,80099,0,0
258,89371,0,89371,0,0
259,100188,0,100188,0,0
260,126830,0,126830,0,0
261,100713,0,100713,0,0
262,114421,0,114421,0,0
263,84993,0,84993,0,0
264,76556,0,76556,0,0
265,86843,0,86843,0,0
266,82804,0,82804,0,0
267,76528,0,76528,0,0
268,86602,0,86602,0,0
269,100596,0,100596,0,0
270,79800,0,79800,0,0
271,75082,0,75082,0,0
272,48484,0,48484,0,0
273,103563,0,103563,0,0
274,62197,0,62197,0,0
275,83809,0,83809,0,0
276,82707,0,82707,0,0
277,69506,0,69506,0,0
278,79102,0,79102,0,0
279,109132,0,109132,0,0
280,96223,0,96223,0,0
281,60911,0,60911,0,0
282,72500,0,72500,0,0
283,53990,0,53990,0,0
284,88830,0,88830,0,0
285,65603,0,65603,0,0
286,76278,0,76278,0,0
287,52835,0,52835,0,0
288,57318,0,57318,0,0
289,56104,0,56104,0,0
290,75015,0,75015,0,0
