count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,96315,0,96315,0,0
52,84544,0,84544,0,0
53,96007,0,96007,0,0
54,91237,0,91237,0,0
55,91432,0,91432,0,0
56,92268,0,92268,0,0
57,89540,0,89540,0,0
58,90061,0,90061,0,0
59,90928,0,90928,0,0
60,95048,0,95048,0,0
61,112382,0,112382,0,0
62,69823,0,69823,0,0
63,104173,0,104173,0,0
64,87058,0,87058,0,0
65,82689,0,82689,0,0
66,96357,0,96357,0,0
67,79347,0,79347,0,0
68,88712,0,88712,0,0
69,82659,0,82659,0,0
70,77360,0,77360,0,0
71,80320,0,80320,0,0
72,87364,0,87364,0,0
73,79060,0,79060,0,0
74,98369,0,98369,0,0
75,94205,0,94205,0,0
76,90846,0,90846,0,0
77,89616,0,89616,0,0
78,76765,0,76765,0,0
79,82724,0,82724,0,0
80,78936,0,78936,0,0
81,94259,0,94259,0,0
82,91868,0,91868,0,0
83,90321,0,90321,0,0
84,89274,0,89274,0,0
85,82647,0,82647,0,0
86,88400,0,88400,0,0
87,114490,0,114490,0,0
88,75973,0,75973,0,0
89,101418,0,101418,0,0
90,89306,0,89306,0,0
91,76212,0,76212,0,0
92,84966,0,84966,0,0
93,70224,0,70224,0,0
94,78780,0,78780,0,0
95,95624,0,95624,0,0
96,93907,0,93907,0,0
97,81486,0,81486,0,0
98,85153,0,85153,0,0
99,150969,0,150969,0,0
100,116118,0,116118,0,0
101,84436,0,84436,0,0
102,72829,0,72829,0,0
103,105868,0,105868,0,0
104,114540,0,114540,0,0
105,118933,0,118933,0,0
106,87669,0,87669,0,0
107,85890,0,85890,0,0
108,68497,0,68497,0,0
109,84496,0,84496,0,0
110,78967,0,78967,0,0
111,72902,0,72902,0,0
112,73926,0,73926,0,0
113,112376,0,112376,0,0
114,87822,0,87822,0,0
115,96961,0,96961,0,0
116,94402,0,94402,0,0
117,90591,0,90591,0,0
118,89494,0,89494,0,0
119,122043,0,122043,0,0
120,118704,0,118704,0,0
121,151502,0,151502,0,0
122,100435,0,100435,0,0
123,115315,0,115315,0,0
124,88557,0,88557,0,0
125,70544,0,70544,0,0
126,86137,0,86137,0,0
127,80584,0,80584,0,0
128,127417,0,127417,0,0
129,108457,0,108457,0,0
130,77112,0,77112,0,0
131,108760,0,108760,0,0
132,101314,0,101314,0,0
133,85764,0,85764,0,0
134,93746,0,93746,0,0
135,91098,0,91098,0,0
136,89536,0,89536,0,0
137,74672,0,74672,0,0
138,94133,0,94133,0,0
139,83364,0,83364,0,0
140,78375,0,78375,0,0
141,87572,0,87572,0,0
142,90394,0,90394,0,0
143,87266,0,87266,0,0
144,91606,0,91606,0,0
145,87816,0,87816,0,0
146,115536,0,115536,0,0
147,120019,0,120019,0,0
148,95888,0,95888,0,0
149,115473,0,115473,0,0
150,106001,0,106001,0,0
151,94098,0,94098,0,0
152,88690,0,88690,0,0
153,92254,0,92254,0,0
154,115727,0,115727,0,0
155,111790,0,111790,0,0
