count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,85201,0,85201,0,0
52,59486,0,59486,0,0
53,96929,0,96929,0,0
54,43625,0,43625,0,0
55,84754,0,84754,0,0
56,37102,0,37102,0,0
57,113357,0,113357,0,0
58,53909,0,53909,0,0
59,88002,0,88002,0,0
60,69112,0,69112,0,0
61,50858,0,50858,0,0
62,63159,0,63159,0,0
63,79475,0,79475,0,0
64,60994,0,60994,0,0
65,47658,0,47658,0,0
66,87275,0,87275,0,0
67,53412,0,53412,0,0
68,81626,0,81626,0,0
69,56476,0,56476,0,0
70,81075,0,81075,0,0
71,71998,0,71998,0,0
72,70921,0,70921,0,0
73,86765,0,86765,0,0
74,133636,0,133636,0,0
75,72550,0,72550,0,0
76,78780,0,78780,0,0
77,180032,0,180032,0,0
78,119958,0,119958,0,0
79,60047,0,60047,0,0
80,89740,0,89740,0,0
81,137794,0,137794,0,0
82,75627,0,75627,0,0
83,150878,0,150878,0,0
84,80802,0,80802,0,0
85,181575,0,181575,0,0
86,114208,0,114208,0,0
87,50954,0,50954,0,0
88,97044,0,97044,0,0
89,136006,0,136006,0,0
90,74507,0,74507,0,0
91,74572,0,74572,0,0
92,120045,0,120045,0,0
93,52395,0,52395,0,0
94,90442,0,90442,0,0
95,100036,0,100036,0,0
96,72438,0,72438,0,0
97,81115,0,81115,0,0
98,69953,0,69953,0,0
99,84736,0,84736,0,0
100,90187,0,90187,0,0
101,81535,0,81535,0,0
102,69693,0,69693,0,0
103,72899,0,72899,0,0
104,65454,0,65454,0,0
105,102827,0,102827,0,0
106,42389,0,42389,0,0
107,151727,0,151727,0,0
108,90379,0,90379,0,0
109,87374,0,87374,0,0
110,83028,0,83028,0,0
111,81804,0,81804,0,0
112,64380,0,64380,0,0
113,98422,0,98422,0,0
114,109045,0,109045,0,0
115,64621,0,64621,0,0
116,118765,0,118765,0,0
117,43479,0,43479,0,0
118,68530,0,68530,0,0
119,119125,0,119125,0,0
120,120577,0,120577,0,0
121,61614,0,61614,0,0
122,80117,0,80117,0,0
123,60184,0,60184,0,0
124,64742,0,64742,0,0
125,93816,0,93816,0,0
126,82130,0,82130,0,0
127,75861,0,75861,0,0
128,90145,0,90145,0,0
129,103859,0,103859,0,0
130,38275,0,38275,0,0
131,105711,0,105711,0,0
132,60415,0,60415,0,0
133,80383,0,80383,0,0
134,68304,0,68304,0,0
135,71960,0,71960,0,0
136,76958,0,76958,0,0
137,62352,0,62352,0,0
138,67173,0,67173,0,0
139,101804,0,101804,0,0
140,79261,0,79261,0,0
141,76906,0,76906,0,0
142,53014,0,53014,0,0
143,87577,0,87577,0,0
144,78674,0,78674,0,0
145,62138,0,62138,0,0
146,72764,0,72764,0,0
147,67390,0,67390,0,0
148,96681,0,96681,0,0
149,154521,0,154521,0,0
150,116427,0,116427,0,0
151,141655,0,141655,0,0
152,67822,0,67822,0,0
153,72544,0,72544,0,0
154,83168,0,83168,0,0
155,123519,0,123519,0,0
156,59022,0,59022,0,0
157,55891,0,55891,0,0
158,107822,0,107822,0,0
159,61434,0,61434,0,0
160,66032,0,66032,0,0
161,102636,0,102636,0,0
162,83200,0,83200,0,0
163,97887,0,97887,0,0
164,118744,0,118744,0,0
165,137964,0,137964,0,0
166,77609,0,77609,0,0
167,105538,0,105538,0,0
168,42792,0,42792,0,0
169,113412,0,113412,0,0
170,144067,0,144067,0,0
171,79086,0,79086,0,0
172,150331,0,150331,0,0
173,86710,0,86710,0,0
174,89858,0,89858,0,0
175,194035,0,194035,0,0
176,131520,0,131520,0,0
177,72438,0,72438,0,0
178,106054,0,106054,0,0
179,205994,0,205994,0,0
180,113538,0,113538,0,0
181,185804,0,185804,0,0
182,148688,0,148688,0,0
183,228027,0,228027,0,0
184,168652,0,168652,0,0
185,109613,0,109613,0,0
186,80978,0,80978,0,0
187,163194,0,163194,0,0
188,74357,0,74357,0,0
189,155867,0,155867,0,0
190,96545,0,96545,0,0
191,190592,0,190592,0,0
192,126587,0,126587,0,0
193,171155,0,171155,0,0
194,168342,0,168342,0,0
195,77221,0,77221,0,0
196,127255,0,127255,0,0
197,67796,0,67796,0,0
198,86121,0,86121,0,0
199,72981,0,72981,0,0
200,62987,0,62987,0,0
201,66107,0,66107,0,0
202,111102,0,111102,0,0
203,152905,0,152905,0,0
204,77783,0,77783,0,0
205,126379,0,126379,0,0
206,66562,0,66562,0,0
207,128688,0,128688,0,0
208,67403,0,67403,0,0
209,66301,0,66301,0,0
210,80975,0,80975,0,0
211,72812,0,72812,0,0
212,67287,0,67287,0,0
213,89165,0,89165,0,0
214,76962,0,76962,0,0
215,76366,0,76366,0,0
216,89483,0,89483,0,0
217,92098,0,92098,0,0
218,45818,0,45818,0,0
219,137382,0,137382,0,0
220,77606,0,77606,0,0
221,108257,0,108257,0,0
222,48130,0,48130,0,0
223,90983,0,90983,0,0
224,106694,0,106694,0,0
225,123418,0,123418,0,0
226,61935,0,61935,0,0
227,105492,0,105492,0,0
228,46020,0,46020,0,0
229,127397,0,127397,0,0
230,68371,0,68371,0,0
231,29764,0,29764,0,0
232,111992,0,111992,0,0
233,49622,0,49622,0,0
234,163083,0,163083,0,0
235,87433,0,87433,0,0
236,121350,0,121350,0,0
237,61921,0,61921,0,0
238,130414,0,130414,0,0
239,71492,0,71492,0,0
240,75212,0,75212,0,0
241,111769,0,111769,0,0
242,52059,0,52059,0,0
243,131147,0,131147,0,0
244,69025,0,69025,0,0
245,90209,0,90209,0,0
246,93044,0,93044,0,0
247,113088,0,113088,0,0
248,67022,0,67022,0,0
249,42968,0,42968,0,0
250,135380,0,135380,0,0
251,75410,0,75410,0,0
252,91512,0,91512,0,0
253,85972,0,85972,0,0
254,91859,0,91859,0,0
255,73715,0,73715,0,0
256,354256,0,354256,0,0
257,294783,0,294783,0,0
258,239459,0,239459,0,0
259,184668,0,184668,0,0
260,146416,0,146416,0,0
261,166994,0,166994,0,0
262,101467,0,101467,0,0
263,125438,0,125438,0,0
264,139510,0,139510,0,0
265,63393,0,63393,0,0
