count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns,loop_gap_ns,recv_block_ns
51,1377921,0,1377921,0,0,2681,1389
52,1378708,0,1378708,0,0,4980,1797
53,1378835,0,1378835,0,0,4871,1818
54,1378742,0,1378742,0,0,5394,1545
55,1378204,0,1378204,0,0,4179,1683
56,1377432,0,1377432,0,0,3944,1783
57,1366993,0,1366993,0,0,4593,1981
58,1363696,0,1363696,0,0,4124,2020
59,1361892,0,1361892,0,0,3880,1609
60,1360223,0,1360223,0,0,3524,1676
61,1774894,0,1774894,0,0,3721,412006
62,1779988,0,1779988,0,0,423697,3362
63,1778355,0,1778355,0,0,7440,1774
64,1868722,0,1868722,0,0,5024,87454
65,1871511,0,1871511,0,0,97656,3480
66,1869624,0,1869624,0,0,5607,1547
67,1868235,0,1868235,0,0,2756,1233
68,1865501,0,1865501,0,0,3624,1159
69,1862788,0,1862788,0,0,2201,1223
70,1859931,0,1859931,0,0,2232,1084
71,1856877,0,1856877,0,0,2051,1059
72,1853266,0,1853266,0,0,2086,1099
73,1850169,0,1850169,0,0,2101,1223
74,1845633,0,1845633,0,0,2231,1039
75,1843712,0,1843712,0,0,1990,1108
76,1719130,0,1719130,0,0,3192,1616
77,1703122,0,1703122,0,0,2647,1229
78,1696286,0,1696286,0,0,2239,1009
79,1689697,0,1689697,0,0,1984,1050
80,1683709,0,1683709,0,0,2023,1097
81,1678200,0,1678200,0,0,2085,1388
82,1671826,0,1671826,0,0,2433,1065
83,1666630,0,1666630,0,0,2071,1019
84,1660947,0,1660947,0,0,2523,1147
85,1655298,0,1655298,0,0,2141,1457
86,1640707,0,1640707,0,0,2479,1040
87,1633216,0,1633216,0,0,2047,1043
88,1625517,0,1625517,0,0,2042,1132
89,1619306,0,1619306,0,0,2109,1143
90,1609374,0,1609374,0,0,2124,1236
91,1804486,0,1804486,0,0,2319,218514
92,1801756,0,1801756,0,0,224432,2090
93,1796417,0,1796417,0,0,4187,1380
94,1790908,0,1790908,0,0,3077,1162
95,1784864,0,1784864,0,0,2204,1121
96,1779098,0,1779098,0,0,2139,1098
97,1773399,0,1773399,0,0,2110,1275
98,1767989,0,1767989,0,0,2277,1295
99,1825050,0,1825050,0,0,2358,58751
100,1823850,0,1823850,0,0,67551,3217
101,1817424,0,1817424,0,0,5606,2290
102,1811578,0,1811578,0,0,4129,1751
103,1806488,0,1806488,0,0,3452,1352
104,1802733,0,1802733,0,0,3126,2418
105,1881161,0,1881161,0,0,4185,148075
106,1680737,0,1680737,0,0,159769,2792
107,1736956,0,1736956,0,0,5643,59318
108,1737108,0,1737108,0,0,69366,3105
109,1732502,0,1732502,0,0,5731,1994
110,1727907,0,1727907,0,0,4094,1703
111,1722971,0,1722971,0,0,3616,1556
112,1718335,0,1718335,0,0,3438,1856
113,1713469,0,1713469,0,0,3709,2028
114,1700492,0,1700492,0,0,4074,1585
115,1696156,0,1696156,0,0,3430,1495
116,1691220,0,1691220,0,0,4216,1681
