count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,1134748,0,1134748,0,0
52,1133779,0,1133779,0,0
53,1130883,0,1130883,0,0
54,1137816,0,1137816,0,0
55,1134851,0,1134851,0,0
56,1132313,0,1132313,0,0
57,1129736,0,1129736,0,0
58,1126914,0,1126914,0,0
59,1178413,0,1178413,0,0
60,1360061,0,1360061,0,0
61,1361843,0,1361843,0,0
62,1359353,0,1359353,0,0
63,1357535,0,1357535,0,0
64,1395561,0,1395561,0,0
65,1397350,0,1397350,0,0
66,1394031,0,1394031,0,0
67,1391520,0,1391520,0,0
68,1388318,0,1388318,0,0
69,1397893,0,1397893,0,0
70,1393029,0,1393029,0,0
71,1387754,0,1387754,0,0
72,1383122,0,1383122,0,0
73,1422780,0,1422780,0,0
74,1420405,0,1420405,0,0
75,1416837,0,1416837,0,0
76,1414257,0,1414257,0,0
77,1412821,0,1412821,0,0
78,1420638,0,1420638,0,0
79,1417306,0,1417306,0,0
80,1467493,0,1467493,0,0
81,1467149,0,1467149,0,0
82,1463324,0,1463324,0,0
83,1520197,0,1520197,0,0
84,1519745,0,1519745,0,0
85,1518171,0,1518171,0,0
86,1517645,0,1517645,0,0
87,1515806,0,1515806,0,0
88,1512113,0,1512113,0,0
89,1508965,0,1508965,0,0
90,1774180,0,1774180,0,0
91,1773844,0,1773844,0,0
92,1751955,0,1751955,0,0
93,1822172,0,1822172,0,0
94,1822667,0,1822667,0,0
95,1818623,0,1818623,0,0
96,1813875,0,1813875,0,0
97,1809102,0,1809102,0,0
98,1803943,0,1803943,0,0
99,1801379,0,1801379,0,0
100,1797695,0,1797695,0,0
101,1793176,0,1793176,0,0
102,1791555,0,1791555,0,0
103,1788344,0,1788344,0,0
104,1784796,0,1784796,0,0
105,1450830,0,1450830,0,0
106,1190579,0,1190579,0,0
107,1181302,0,1181302,0,0
108,1177675,0,1177675,0,0
109,1232303,0,1232303,0,0
110,1232063,0,1232063,0,0
111,1229000,0,1229000,0,0
112,1226100,0,1226100,0,0
113,1221581,0,1221581,0,0
114,1217549,0,1217549,0,0
115,1255384,0,1255384,0,0
116,1254302,0,1254302,0,0
117,1252951,0,1252951,0,0
118,1249963,0,1249963,0,0
119,1244906,0,1244906,0,0
120,1385662,0,1385662,0,0
121,1386481,0,1386481,0,0
122,1383108,0,1383108,0,0
123,1467897,0,1467897,0,0
124,1468588,0,1468588,0,0
125,1467479,0,1467479,0,0
126,1464862,0,1464862,0,0
127,1460886,0,1460886,0,0
128,1456402,0,1456402,0,0
129,1452396,0,1452396,0,0
130,1448673,0,1448673,0,0
131,1457619,0,1457619,0,0
132,1454616,0,1454616,0,0
133,1451191,0,1451191,0,0
134,1447364,0,1447364,0,0
135,1460685,0,1460685,0,0
136,1029248,0,1029248,0,0
137,1020942,0,1020942,0,0
138,1016185,0,1016185,0,0
139,1012600,0,1012600,0,0
140,1008760,0,1008760,0,0
141,1065580,0,1065580,0,0
142,1064650,0,1064650,0,0
143,1060954,0,1060954,0,0
144,1057817,0,1057817,0,0
145,1053117,0,1053117,0,0
146,1048055,0,1048055,0,0
147,1104645,0,1104645,0,0
148,1108796,0,1108796,0,0
149,1108848,0,1108848,0,0
150,1327480,0,1327480,0,0
151,1330885,0,1330885,0,0
152,1330431,0,1330431,0,0
153,1329504,0,1329504,0,0
154,1326869,0,1326869,0,0
155,1326917,0,1326917,0,0
156,1325540,0,1325540,0,0
157,1321109,0,1321109,0,0
158,1315447,0,1315447,0,0
159,1311444,0,1311444,0,0
160,1307092,0,1307092,0,0
161,1302939,0,1302939,0,0
162,1399027,0,1399027,0,0
163,1400757,0,1400757,0,0
164,1399678,0,1399678,0,0
165,1397296,0,1397296,0,0
166,812737,0,812737,0,0
167,802279,0,802279,0,0
168,797602,0,797602,0,0
169,794007,0,794007,0,0
170,837689,0,837689,0,0
171,838000,0,838000,0,0
172,834341,0,834341,0,0
173,830148,0,830148,0,0
174,824336,0,824336,0,0
175,820320,0,820320,0,0
176,817597,0,817597,0,0
177,889163,0,889163,0,0
178,888885,0,888885,0,0
179,886526,0,886526,0,0
180,985910,0,985910,0,0
181,984658,0,984658,0,0
182,980635,0,980635,0,0
