count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns,loop_gap_ns,recv_block_ns
51,1113971,0,1113971,0,0,4149,62070
52,1117328,0,1117328,0,0,69250,2793
53,1115985,0,1115985,0,0,6284,1950
54,1116279,0,1116279,0,0,5319,2244
55,1114734,0,1114734,0,0,5024,1652
56,1112529,0,1112529,0,0,3672,1562
57,1111524,0,1111524,0,0,4079,2100
58,1110569,0,1110569,0,0,4252,2310
59,1181922,0,1181922,0,0,4358,72571
60,1266490,0,1266490,0,0,79078,83256
61,1269015,0,1269015,0,0,89709,2690
62,1268501,0,1268501,0,0,6643,2039
63,1330357,0,1330357,0,0,5198,61203
64,1336628,0,1336628,0,0,71105,4484
65,1328914,0,1328914,0,0,8894,3118
66,1327207,0,1327207,0,0,5240,2011
67,1326698,0,1326698,0,0,3880,1806
68,1324440,0,1324440,0,0,4838,1716
69,1321712,0,1321712,0,0,3443,1694
70,1320648,0,1320648,0,0,3700,2439
71,1394927,0,1394927,0,0,4584,76397
72,1396932,0,1396932,0,0,82005,2753
73,1395853,0,1395853,0,0,5866,2103
74,1394575,0,1394575,0,0,4753,2297
75,1393956,0,1393956,0,0,4539,1648
76,1386455,0,1386455,0,0,5180,1699
77,1384759,0,1384759,0,0,3573,1637
78,1382895,0,1382895,0,0,3375,1778
79,1381316,0,1381316,0,0,3559,1772
80,1994590,0,1994590,0,0,3906,612091
81,1999154,0,1999154,0,0,622067,4146
82,1998554,0,1998554,0,0,6772,2185
83,1810376,0,1810376,0,0,4418,1567
84,1807453,0,1807453,0,0,4448,1723
85,1802211,0,1802211,0,0,3758,1828
86,1800525,0,1800525,0,0,3816,1813
87,1798525,0,1798525,0,0,3660,1554
88,1793451,0,1793451,0,0,3402,1691
89,1791941,0,1791941,0,0,3671,1882
90,1790507,0,1790507,0,0,3907,1935
91,1789692,0,1789692,0,0,3794,1627
92,1787186,0,1787186,0,0,4304,1356
93,1778932,0,1778932,0,0,2741,1530
94,1776758,0,1776758,0,0,3379,1638
95,1771593,0,1771593,0,0,3040,1947
96,1767349,0,1767349,0,0,3645,1511
97,1761858,0,1761858,0,0,3342,1594
98,1757761,0,1757761,0,0,3365,1803
99,1754669,0,1754669,0,0,3760,1667
100,1751330,0,1751330,0,0,4916,1876
101,1743164,0,1743164,0,0,3924,1821
102,1739490,0,1739490,0,0,3786,1978
103,1735721,0,1735721,0,0,4048,1763
104,1730614,0,1730614,0,0,3556,1630
105,1726809,0,1726809,0,0,3649,1954
106,1567459,0,1567459,0,0,4055,1801
107,1562016,0,1562016,0,0,3770,1679
108,1559285,0,1559285,0,0,4749,1571
109,1557275,0,1557275,0,0,3480,1695
110,1554755,0,1554755,0,0,3621,1790
111,1553063,0,1553063,0,0,3778,1848
112,1613284,0,1613284,0,0,3873,60909
113,1313774,0,1313774,0,0,68857,3003
114,1307655,0,1307655,0,0,5674,1894
115,1304514,0,1304514,0,0,3947,2120
116,1417755,0,1417755,0,0,5526,117728
117,1415978,0,1415978,0,0,123520,2577
118,1411958,0,1411958,0,0,5147,1866
119,1407159,0,1407159,0,0,3942,1586
120,1402115,0,1402115,0,0,3613,1687
121,1398084,0,1398084,0,0,3712,2295
122,1426205,0,1426205,0,0,4312,40758
123,1425570,0,1425570,0,0,45986,2249
124,1421320,0,1421320,0,0,5923,1649
125,1474581,0,1474581,0,0,3775,55415
126,1479055,0,1479055,0,0,68392,6425
127,1479048,0,1479048,0,0,11919,4249
128,1473601,0,1473601,0,0,6189,1487
129,1469101,0,1469101,0,0,3436,1808
130,1464316,0,1464316,0,0,3991,1828
131,1460273,0,1460273,0,0,3777,1637
132,1455269,0,1455269,0,0,4362,1705
133,1450639,0,1450639,0,0,3650,1906
134,1446283,0,1446283,0,0,3631,2081
135,1441809,0,1441809,0,0,3892,2279
136,1516545,0,1516545,0,0,4204,79209
137,1517727,0,1517727,0,0,86500,3745
138,1513899,0,1513899,0,0,7567,2399
139,1510786,0,1510786,0,0,4984,1675
140,1506546,0,1506546,0,0,5437,1622
141,1502304,0,1502304,0,0,3483,2235
142,1624899,0,1624899,0,0,4277,124908
143,932866,0,932866,0,0,132599,153914
144,932340,0,932340,0,0,162517,3039
145,929857,0,929857,0,0,6400,2574
146,925119,0,925119,0,0,5105,1892
147,924128,0,924128,0,0,3870,1807
148,920350,0,920350,0,0,7195,1784
149,917074,0,917074,0,0,3853,2007
150,905560,0,905560,0,0,4008,1822
151,900789,0,900789,0,0,3900,1671
152,897196,0,897196,0,0,3700,1679
153,893091,0,893091,0,0,3674,1833
154,888527,0,888527,0,0,3758,1921
155,885299,0,885299,0,0,3592,2092
156,921633,0,921633,0,0,5434,38730
157,921452,0,921452,0,0,47150,2746
158,916700,0,916700,0,0,4674,1477
159,941986,0,941986,0,0,2795,30051
160,939090,0,939090,0,0,33506,1750
161,1005245,0,1005245,0,0,3498,71971
162,1002535,0,1002535,0,0,75690,1896
163,996762,0,996762,0,0,3364,1099
164,991020,0,991020,0,0,3482,1048
165,985958,0,985958,0,0,2232,1202
166,981277,0,981277,0,0,2218,1225
167,975789,0,975789,0,0,2226,1019
168,969822,0,969822,0,0,2024,1084
169,964465,0,964465,0,0,2083,1591
170,958636,0,958636,0,0,2616,1201
171,953940,0,953940,0,0,2200,1035
172,1038659,0,1038659,0,0,2839,90077
173,1036856,0,1036856,0,0,93727,2315
174,1033965,0,1033965,0,0,5096,1793
175,1029862,0,1029862,0,0,4163,1576
176,1024942,0,1024942,0,0,3535,1517
177,1015876,0,1015876,0,0,2609,1200
178,1005444,0,1005444,0,0,2235,1414
179,1244892,0,1244892,0,0,2409,241211
180,1249579,0,1249579,0,0,250969,3719
181,1248522,0,1248522,0,0,6955,2130
182,1245524,0,1245524,0,0,4056,2668
183,1241325,0,1241325,0,0,4557,1813
184,1237559,0,1237559,0,0,3455,1779
185,1233702,0,1233702,0,0,3771,1930
186,1333533,0,1333533,0,0,3831,104385
187,1334926,0,1334926,0,0,110094,2832
188,1330814,0,1330814,0,0,8179,2100
189,1327297,0,1327297,0,0,4513,2479
190,1323539,0,1323539,0,0,4510,2053
191,1319376,0,1319376,0,0,4072,1668
192,1315346,0,1315346,0,0,3651,1675
193,1311035,0,1311035,0,0,3639,1735
194,1306400,0,1306400,0,0,3349,2238
195,1303325,0,1303325,0,0,4046,1740
196,1298986,0,1298986,0,0,4858,1592
197,1295331,0,1295331,0,0,3590,2019
198,1436926,0,1436926,0,0,4102,143689
199,1437019,0,1437019,0,0,152288,2821
200,1433574,0,1433574,0,0,5589,1789
201,1429713,0,1429713,0,0,4003,2072
202,1426053,0,1426053,0,0,4281,1960
203,1421784,0,1421784,0,0,4057,1539
204,1418296,0,1418296,0,0,4671,2666
205,1413811,0,1413811,0,0,4667,1731
206,1409534,0,1409534,0,0,3567,1959
207,1458675,0,1458675,0,0,3955,58330
208,1456457,0,1456457,0,0,63256,3017
209,1451450,0,1451450,0,0,5722,1997
210,1446644,0,1446644,0,0,3946,1879
211,1442705,0,1442705,0,0,3660,1978
212,1437469,0,1437469,0,0,5740,1462
213,1432113,0,1432113,0,0,3350,1803
214,1531135,0,1531135,0,0,3800,99877
215,1533019,0,1533019,0,0,112506,3120
216,1529594,0,1529594,0,0,5970,2157
217,1346199,0,1346199,0,0,4317,2783
218,1402457,0,1402457,0,0,4866,154149
219,1398515,0,1398515,0,0,163160,3263
220,1394343,0,1394343,0,0,7164,1870
221,1390487,0,1390487,0,0,3815,2140
222,1386646,0,1386646,0,0,3894,1727
223,1381614,0,1381614,0,0,3185,1632
224,1376747,0,1376747,0,0,3226,1528
225,1372399,0,1372399,0,0,3105,1563
226,1367854,0,1367854,0,0,3412,2462
227,1364390,0,1364390,0,0,4308,1710
228,1360403,0,1360403,0,0,4696,1616
229,1356366,0,1356366,0,0,3345,1699
230,1351665,0,1351665,0,0,3473,1749
231,1483030,0,1483030,0,0,3416,134213
232,1485184,0,1485184,0,0,142904,4478
233,1538494,0,1538494,0,0,8358,51809
234,1544692,0,1544692,0,0,66822,4319
235,1535602,0,1535602,0,0,7698,1575
236,1530779,0,1530779,0,0,4597,1651
237,1526513,0,1526513,0,0,3604,1719
238,1516835,0,1516835,0,0,3704,1750
239,1512374,0,1512374,0,0,3537,1651
240,1509248,0,1509248,0,0,3604,2199
241,1507855,0,1507855,0,0,4085,1685
242,1506607,0,1506607,0,0,3715,1679
243,1506178,0,1506178,0,0,3730,1840
244,1502054,0,1502054,0,0,4756,1861
245,1498139,0,1498139,0,0,3848,2041
246,1494490,0,1494490,0,0,4153,1853
247,1490374,0,1490374,0,0,3555,1843
248,1486194,0,1486194,0,0,3671,1715
249,1541808,0,1541808,0,0,3669,59027
250,1540727,0,1540727,0,0,66083,2126
251,1657851,0,1657851,0,0,3673,124168
252,1654412,0,1654412,0,0,129577,1899
253,1649359,0,1649359,0,0,3762,1192
254,1345307,0,1345307,0,0,2308,1068
255,1336908,0,1336908,0,0,2080,984
256,1333305,0,1333305,0,0,1999,1300
257,1497668,0,1497668,0,0,2431,163951
258,1502606,0,1502606,0,0,173810,3922
259,1503874,0,1503874,0,0,7617,2151
260,1502931,0,1502931,0,0,6783,1970
261,1502079,0,1502079,0,0,4193,2154
262,1500907,0,1500907,0,0,4391,1970
263,1492889,0,1492889,0,0,3632,1575
264,1490814,0,1490814,0,0,3275,1646
265,1488879,0,1488879,0,0,3554,1974
