count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns
51,2388632,0,2388632,0,0
52,2386342,0,2386342,0,0
53,2382680,0,2382680,0,0
54,2379919,0,2379919,0,0
55,2375990,0,2375990,0,0
56,2371808,0,2371808,0,0
57,2367028,0,2367028,0,0
58,2362422,0,2362422,0,0
59,2357382,0,2357382,0,0
60,2352530,0,2352530,0,0
61,2347907,0,2347907,0,0
62,2341583,0,2341583,0,0
63,2337187,0,2337187,0,0
64,2332167,0,2332167,0,0
65,3382092,0,3382092,0,0
66,3385487,0,3385487,0,0
67,3380334,0,3380334,0,0
68,3376113,0,3376113,0,0
69,3371759,0,3371759,0,0
70,3367240,0,3367240,0,0
71,3362420,0,3362420,0,0
72,3358484,0,3358484,0,0
73,3354790,0,3354790,0,0
74,3350523,0,3350523,0,0
75,3346255,0,3346255,0,0
76,3334877,0,3334877,0,0
77,3330740,0,3330740,0,0
78,3332740,0,3332740,0,0
79,3150819,0,3150819,0,0
80,3146008,0,3146008,0,0
81,3141921,0,3141921,0,0
82,3137873,0,3137873,0,0
83,3134045,0,3134045,0,0
84,3129831,0,3129831,0,0
85,3125874,0,3125874,0,0
86,3121251,0,3121251,0,0
87,3116463,0,3116463,0,0
88,3112368,0,3112368,0,0
89,3107950,0,3107950,0,0
90,3104151,0,3104151,0,0
91,3100489,0,3100489,0,0
92,3096209,0,3096209,0,0
93,3091868,0,3091868,0,0
94,3083790,0,3083790,0,0
95,3079517,0,3079517,0,0
96,3945728,0,3945728,0,0
97,3948558,0,3948558,0,0
98,3947388,0,3947388,0,0
99,3944266,0,3944266,0,0
100,3939483,0,3939483,0,0
101,3935610,0,3935610,0,0
102,3930868,0,3930868,0,0
103,3933830,0,3933830,0,0
104,3930575,0,3930575,0,0
105,3927155,0,3927155,0,0
106,3923342,0,3923342,0,0
107,3918674,0,3918674,0,0
108,3914285,0,3914285,0,0
109,3278663,0,3278663,0,0
110,3273399,0,3273399,0,0
111,3270458,0,3270458,0,0
112,3265131,0,3265131,0,0
113,3260227,0,3260227,0,0
114,3255689,0,3255689,0,0
115,3149600,0,3149600,0,0
116,3140815,0,3140815,0,0
117,3137192,0,3137192,0,0
118,3132903,0,3132903,0,0
119,3128643,0,3128643,0,0
120,3123108,0,3123108,0,0
121,3119261,0,3119261,0,0
122,3115197,0,3115197,0,0
123,3110473,0,3110473,0,0
124,3106956,0,3106956,0,0
125,3104882,0,3104882,0,0
126,3101186,0,3101186,0,0
127,3895020,0,3895020,0,0
128,3897190,0,3897190,0,0
129,3902346,0,3902346,0,0
130,3898240,0,3898240,0,0
131,3893428,0,3893428,0,0
132,3889646,0,3889646,0,0
133,3886076,0,3886076,0,0
134,3882324,0,3882324,0,0
135,3878568,0,3878568,0,0
136,3875081,0,3875081,0,0
137,3865208,0,3865208,0,0
138,3860665,0,3860665,0,0
139,3331389,0,3331389,0,0
140,3329072,0,3329072,0,0
141,3327110,0,3327110,0,0
142,3325862,0,3325862,0,0
143,3323982,0,3323982,0,0
144,3322327,0,3322327,0,0
145,3321148,0,3321148,0,0
146,3319524,0,3319524,0,0
147,3318078,0,3318078,0,0
148,3316754,0,3316754,0,0
149,3311915,0,3311915,0,0
150,3310593,0,3310593,0,0
151,3309032,0,3309032,0,0
152,3307813,0,3307813,0,0
153,3306343,0,3306343,0,0
154,3307935,0,3307935,0,0
155,3305665,0,3305665,0,0
156,3303945,0,3303945,0,0
157,3302867,0,3302867,0,0
158,4116461,0,4116461,0,0
159,4121364,0,4121364,0,0
160,4106732,0,4106732,0,0
161,4032149,0,4032149,0,0
162,4022936,0,4022936,0,0
163,4021086,0,4021086,0,0
164,4019641,0,4019641,0,0
165,4018512,0,4018512,0,0
166,4008432,0,4008432,0,0
167,4004898,0,4004898,0,0
168,4002610,0,4002610,0,0
169,3045238,0,3045238,0,0
170,3038247,0,3038247,0,0
171,3051038,0,3051038,0,0
172,3047901,0,3047901,0,0
173,3044920,0,3044920,0,0
174,3039084,0,3039084,0,0
175,2882531,0,2882531,0,0
176,2866455,0,2866455,0,0
177,2860970,0,2860970,0,0
178,2855514,0,2855514,0,0
179,2850552,0,2850552,0,0
180,2853372,0,2853372,0,0
181,2849301,0,2849301,0,0
182,2844799,0,2844799,0,0
183,2841197,0,2841197,0,0
184,2836666,0,2836666,0,0
185,2832149,0,2832149,0,0
186,2808211,0,2808211,0,0
187,2800728,0,2800728,0,0
188,2796245,0,2796245,0,0
189,3756850,0,3756850,0,0
190,3758945,0,3758945,0,0
191,3754316,0,3754316,0,0
192,3749785,0,3749785,0,0
193,3728030,0,3728030,0,0
194,3718702,0,3718702,0,0
195,3711126,0,3711126,0,0
196,3705682,0,3705682,0,0
197,3699765,0,3699765,0,0
198,3694645,0,3694645,0,0
199,3169365,0,3169365,0,0
200,3163471,0,3163471,0,0
201,3158725,0,3158725,0,0
202,3153369,0,3153369,0,0
203,3148544,0,3148544,0,0
204,3143946,0,3143946,0,0
205,3073069,0,3073069,0,0
206,3065987,0,3065987,0,0
207,3060525,0,3060525,0,0
208,3054813,0,3054813,0,0
209,3049911,0,3049911,0,0
210,3045258,0,3045258,0,0
211,3040282,0,3040282,0,0
212,3035936,0,3035936,0,0
213,3033974,0,3033974,0,0
214,3030179,0,3030179,0,0
215,3025522,0,3025522,0,0
216,3021756,0,3021756,0,0
217,3018079,0,3018079,0,0
218,3014586,0,3014586,0,0
219,3010407,0,3010407,0,0
220,3908390,0,3908390,0,0
221,3910406,0,3910406,0,0
222,3908123,0,3908123,0,0
223,3903610,0,3903610,0,0
224,3897514,0,3897514,0,0
225,3892520,0,3892520,0,0
